Date,Open,High,Low,Close,Volume,Adj Close
2016-07-15,0.88,0.88,0.80,0.83,199300,0.83
2016-07-14,0.885,0.90,0.845,0.86,220500,0.86
2016-07-13,0.875,0.90,0.875,0.885,288000,0.885
2016-07-12,0.90,0.905,0.875,0.88,108900,0.88
2016-07-11,0.87,0.915,0.862,0.865,366900,0.865
2016-07-08,0.82,0.87,0.82,0.86,549500,0.86
2016-07-07,0.83,0.83,0.80,0.83,296900,0.83
2016-07-06,0.80,0.83,0.80,0.815,926500,0.815
2016-07-05,0.745,0.81,0.74,0.805,708000,0.805
2016-07-04,0.72,0.76,0.72,0.755,199300,0.755
2016-07-01,0.73,0.73,0.71,0.72,237000,0.72
2016-06-30,0.76,0.76,0.71,0.735,2437800,0.735
2016-06-29,0.70,0.75,0.70,0.745,1118200,0.745
2016-06-28,0.66,0.70,0.65,0.695,582500,0.695
2016-06-27,0.665,0.69,0.65,0.66,165300,0.66
2016-06-24,0.685,0.685,0.645,0.665,521200,0.665
2016-06-23,0.675,0.685,0.65,0.685,1129300,0.685
2016-06-22,0.66,0.685,0.645,0.675,263800,0.675
2016-06-21,0.64,0.67,0.625,0.665,5844100,0.665
2016-06-20,0.64,0.6525,0.63,0.64,1980600,0.64
2016-06-17,0.65,0.672,0.635,0.64,1005500,0.64
2016-06-16,0.66,0.68,0.65,0.665,2314000,0.665
2016-06-15,0.65,0.665,0.64,0.655,4721400,0.655
2016-06-14,0.64,0.67,0.63,0.67,917800,0.67
2016-06-13,0.63,0.63,0.63,0.63,000,0.63
2016-06-10,0.66,0.68,0.63,0.63,659700,0.63
2016-06-09,0.70,0.70,0.66,0.67,567500,0.67
2016-06-08,0.70,0.71,0.67,0.685,372500,0.685
2016-06-07,0.75,0.75,0.695,0.705,1649900,0.705
2016-06-06,0.69,0.745,0.68,0.73,1027400,0.73
2016-06-03,0.74,0.745,0.67,0.685,1767400,0.685
2016-06-02,0.69,0.765,0.625,0.75,6960200,0.75
2016-06-01,0.80,0.84,0.70,0.71,5373900,0.71
2016-05-31,1.12,1.12,1.07,1.08,281100,1.08
2016-05-30,1.045,1.105,1.03,1.105,258300,1.105
2016-05-27,1.04,1.05,1.015,1.04,462000,1.04
2016-05-26,1.035,1.05,1.015,1.04,314600,1.04
2016-05-25,1.08,1.08,1.03,1.04,1054000,1.04
2016-05-24,1.10,1.10,1.06,1.07,943000,1.07
2016-05-23,1.10,1.105,1.07,1.08,379700,1.08
2016-05-20,1.11,1.11,1.095,1.10,175000,1.10
2016-05-19,1.09,1.13,1.08,1.095,871700,1.095
2016-05-18,1.115,1.16,1.075,1.075,363100,1.075
2016-05-17,1.155,1.16,1.11,1.115,423000,1.115
2016-05-16,1.135,1.16,1.12,1.15,267700,1.15
2016-05-13,1.13,1.13,1.12,1.12,2181600,1.12
2016-05-12,1.15,1.165,1.12,1.12,500200,1.12
2016-05-11,1.21,1.21,1.155,1.155,494300,1.155
2016-05-10,1.20,1.23,1.18,1.205,114000,1.205
2016-05-09,1.22,1.235,1.19,1.205,292500,1.205
2016-05-06,1.23,1.235,1.19,1.20,416000,1.20
2016-05-05,1.21,1.235,1.185,1.21,236900,1.21
2016-05-04,1.21,1.26,1.185,1.20,177500,1.20
2016-05-03,1.285,1.29,1.205,1.21,587400,1.21
2016-05-02,1.25,1.295,1.23,1.295,222400,1.295
2016-04-29,1.13,1.245,1.107,1.24,507000,1.24
2016-04-28,1.18,1.185,1.06,1.07,231900,1.07
2016-04-27,1.17,1.172,1.11,1.165,250700,1.165
2016-04-26,1.26,1.28,1.115,1.175,474900,1.175
2016-04-25,1.26,1.26,1.26,1.26,000,1.26
2016-04-22,1.30,1.30,1.26,1.26,786600,1.26
2016-04-21,1.33,1.33,1.29,1.30,203000,1.30
2016-04-20,1.295,1.325,1.285,1.31,106100,1.31
2016-04-19,1.305,1.307,1.27,1.29,193500,1.29
2016-04-18,1.305,1.345,1.30,1.305,170500,1.305
2016-04-15,1.34,1.355,1.31,1.32,113100,1.32
2016-04-14,1.36,1.37,1.315,1.33,344500,1.33
2016-04-13,1.345,1.38,1.33,1.335,607300,1.335
2016-04-12,1.325,1.345,1.325,1.34,218500,1.34
2016-04-11,1.32,1.345,1.32,1.325,55700,1.325
2016-04-08,1.33,1.35,1.29,1.32,314000,1.32
2016-04-07,1.31,1.36,1.30,1.35,1280500,1.35
2016-04-06,1.32,1.325,1.285,1.305,1064300,1.305
2016-04-05,1.40,1.40,1.325,1.33,231800,1.33
2016-04-04,1.39,1.42,1.36,1.385,233600,1.385
2016-04-01,1.41,1.42,1.355,1.385,2988400,1.385
2016-03-31,1.385,1.42,1.385,1.41,351700,1.41
2016-03-30,1.395,1.40,1.38,1.38,33000,1.38
2016-03-29,1.375,1.395,1.35,1.385,98800,1.385
2016-03-28,1.38,1.38,1.38,1.38,000,1.38
2016-03-25,1.38,1.38,1.38,1.38,000,1.38
2016-03-24,1.385,1.40,1.37,1.38,516700,1.38
2016-03-23,1.43,1.43,1.38,1.38,56200,1.38
2016-03-22,1.44,1.44,1.42,1.42,10400,1.42
2016-03-21,1.40,1.44,1.385,1.44,65400,1.44
2016-03-18,1.415,1.43,1.37,1.42,1915200,1.42
2016-03-17,1.50,1.50,1.42,1.43,154200,1.43
2016-03-16,1.53,1.55,1.435,1.44,237500,1.44
2016-03-15,1.55,1.57,1.49,1.55,196200,1.55
2016-03-14,1.50,1.55,1.47,1.55,313500,1.55
2016-03-11,1.44,1.53,1.37,1.49,578600,1.49
2016-03-10,1.41,1.435,1.35,1.36,323900,1.36
2016-03-09,1.49,1.49,1.41,1.42,135800,1.42
2016-03-08,1.51,1.54,1.415,1.44,781900,1.44
2016-03-07,1.50,1.54,1.49,1.49,492300,1.49
2016-03-04,1.51,1.54,1.48,1.48,417100,1.48
2016-03-03,1.445,1.515,1.445,1.50,345300,1.50
2016-03-02,1.45,1.50,1.445,1.445,350200,1.445
2016-03-01,1.43,1.45,1.40,1.45,175600,1.45
2016-02-29,1.42,1.425,1.40,1.41,127400,1.41
2016-02-26,1.395,1.42,1.37,1.395,219300,1.395
2016-02-25,1.36,1.41,1.35,1.39,1130200,1.39
2016-02-24,1.35,1.365,1.31,1.35,251300,1.35
2016-02-23,1.35,1.37,1.305,1.32,908000,1.32
2016-02-22,1.45,1.45,1.285,1.32,4875800,1.32
2016-02-19,1.70,1.70,1.265,1.41,3076700,1.41
2016-02-18,1.90,1.90,1.86,1.88,93900,1.88
2016-02-17,1.86,1.93,1.86,1.88,99900,1.88
2016-02-16,1.725,1.86,1.72,1.83,134400,1.83
2016-02-15,1.785,1.815,1.71,1.72,216000,1.72
