Date,Open,High,Low,Close,Volume,Adj Close
2016-07-15,50.13,50.13,50.12,50.12,145100,50.12
2016-07-14,50.12,50.13,50.12,50.12,58300,50.12
2016-07-13,50.12,50.12,50.11,50.11,167800,50.11
2016-07-12,50.11,50.12,50.11,50.11,97000,50.11
2016-07-11,50.11,50.12,50.11,50.12,66300,50.12
2016-07-08,50.11,50.11,50.10,50.11,37800,50.11
2016-07-07,50.10,50.11,50.10,50.11,92400,50.11
2016-07-06,50.09,50.11,50.09,50.09,303400,50.09
2016-07-05,50.10,50.10,50.09,50.09,710900,50.09
2016-07-04,50.10,50.10,50.09,50.09,90900,50.09
2016-07-01,50.09,50.09,50.08,50.08,63600,50.08
2016-06-30,50.18,50.18,50.17,50.17,81400,50.17
2016-06-29,50.17,50.18,50.16,50.16,82600,50.16
2016-06-28,50.16,50.17,50.16,50.16,172200,50.16
2016-06-27,50.16,50.17,50.16,50.16,121900,50.16
2016-06-24,50.15,50.16,50.15,50.15,79300,50.15
2016-06-23,50.15,50.16,50.15,50.16,141400,50.16
2016-06-22,50.14,50.15,50.14,50.14,41600,50.14
2016-06-21,50.15,50.15,50.14,50.14,62800,50.14
2016-06-20,50.14,50.15,50.14,50.14,94400,50.14
2016-06-17,50.14,50.15,50.13,50.15,324500,50.15
2016-06-16,50.13,50.14,50.12,50.12,24100,50.12
2016-06-15,50.12,50.13,50.12,50.12,89400,50.12
2016-06-14,50.12,50.13,50.12,50.12,124300,50.12
2016-06-10,50.11,50.12,50.10,50.10,120100,50.10
2016-06-09,50.11,50.11,50.10,50.10,21400,50.10
2016-06-08,50.11,50.11,50.10,50.10,63200,50.10
2016-06-07,50.10,50.11,50.09,50.11,47300,50.11
2016-06-06,50.10,50.10,50.09,50.09,54800,50.09
2016-06-02,50.08,50.09,50.08,50.09,94300,50.09
2016-06-01,50.08,50.09,50.07,50.08,242500,50.08
2016-05-31,50.17,50.18,50.17,50.18,50800,50.18
2016-05-30,50.18,50.18,50.17,50.18,115500,50.18
2016-05-27,50.16,50.18,50.16,50.18,79600,50.18
2016-05-26,50.17,50.17,50.16,50.16,64800,50.16
2016-05-25,50.16,50.17,50.15,50.15,29000,50.15
2016-05-24,50.15,50.16,50.14,50.14,65500,50.14
2016-05-23,50.15,50.16,50.14,50.14,235000,50.14
2016-05-20,50.15,50.16,50.14,50.14,24200,50.14
2016-05-19,50.15,50.16,50.14,50.14,25800,50.14
2016-05-18,50.14,50.15,50.13,50.15,70100,50.15
2016-05-17,50.14,50.15,50.13,50.15,20000,50.15
2016-05-16,50.14,50.15,50.13,50.13,52500,50.13
2016-05-13,50.14,50.14,50.12,50.13,133000,50.13
2016-05-12,50.12,50.13,50.12,50.13,55200,50.13
2016-05-11,50.11,50.12,50.11,50.11,42400,50.11
2016-05-10,50.12,50.12,50.11,50.12,48000,50.12
2016-05-09,50.12,50.12,50.11,50.12,60100,50.12
2016-05-06,50.12,50.12,50.10,50.11,11500,50.11
2016-05-05,50.10,50.11,50.09,50.11,28200,50.11
2016-05-04,50.10,50.10,50.09,50.10,15500,50.10
2016-05-03,50.10,50.10,50.08,50.09,40200,50.09
2016-05-02,50.08,50.09,50.08,50.08,52800,50.08
2016-04-29,50.18,50.18,50.17,50.18,26100,50.18
2016-04-28,50.18,50.18,50.17,50.18,42400,50.18
2016-04-27,50.16,50.18,50.16,50.18,24500,50.18
2016-04-26,50.16,50.17,50.16,50.17,54100,50.17
2016-04-22,50.16,50.16,50.15,50.16,52700,50.16
2016-04-21,50.15,50.16,50.15,50.16,38000,50.16
2016-04-20,50.14,50.15,50.14,50.15,55000,50.15
2016-04-19,50.15,50.15,50.14,50.14,83700,50.14
2016-04-15,50.14,50.14,50.13,50.13,54300,50.13
2016-04-14,50.13,50.13,50.12,50.12,145600,50.12
2016-04-13,50.12,50.13,50.12,50.13,91400,50.13
2016-04-12,50.12,50.13,50.11,50.13,61900,50.13
2016-04-11,50.12,50.12,50.11,50.11,45700,50.11
2016-04-08,50.10,50.12,50.10,50.11,235800,50.11
2016-04-07,50.11,50.11,50.10,50.10,147600,50.10
2016-04-06,50.10,50.11,50.09,50.11,45100,50.11
2016-04-05,50.09,50.10,50.09,50.09,64600,50.09
2016-04-04,50.09,50.10,50.09,50.09,24500,50.09
2016-04-01,50.09,50.10,50.08,50.10,44700,50.10
2016-03-31,50.19,50.19,50.18,50.19,37700,50.19
2016-03-30,50.19,50.19,50.18,50.19,71200,50.19
2016-03-29,50.17,50.18,50.17,50.17,36100,50.17
2016-03-24,50.17,50.17,50.16,50.17,32500,50.17
2016-03-23,50.16,50.17,50.16,50.17,34500,50.17
2016-03-22,50.15,50.16,50.15,50.15,65300,50.15
2016-03-21,50.15,50.16,50.14,50.14,53800,50.14
2016-03-18,50.14,50.16,50.14,50.14,81000,50.14
2016-03-17,50.13,50.14,50.13,50.14,74000,50.14
2016-03-16,50.13,50.14,50.13,50.14,30100,50.14
2016-03-15,50.14,50.14,50.13,50.14,54800,50.14
2016-03-14,50.12,50.13,50.12,50.13,40500,50.13
2016-03-11,50.12,50.12,50.11,50.11,51600,50.11
2016-03-10,50.12,50.12,50.11,50.12,39400,50.12
2016-03-09,50.11,50.11,50.10,50.11,48000,50.11
2016-03-08,50.11,50.11,50.10,50.10,32200,50.10
2016-03-07,50.10,50.11,50.10,50.11,288200,50.11
2016-03-04,50.10,50.10,50.09,50.09,85600,50.09
2016-03-03,50.10,50.10,50.09,50.10,124000,50.10
2016-03-02,50.09,50.09,50.08,50.08,412000,50.08
2016-03-01,50.09,50.09,50.08,50.08,266200,50.08
2016-02-29,50.19,50.19,50.18,50.19,229800,50.19
2016-02-26,50.18,50.18,50.17,50.18,54800,50.18
2016-02-25,50.18,50.18,50.17,50.17,302100,50.17
2016-02-24,50.16,50.17,50.16,50.17,60200,50.17
2016-02-23,50.17,50.18,50.16,50.16,327600,50.16
2016-02-22,50.17,50.17,50.15,50.15,30600,50.15
2016-02-19,50.16,50.17,50.15,50.17,26400,50.17
2016-02-18,50.14,50.16,50.14,50.16,77500,50.16
2016-02-17,50.16,50.16,50.13,50.14,240900,50.14
2016-02-16,50.15,50.15,50.13,50.13,67000,50.13
2016-02-15,50.15,50.15,50.13,50.15,100000,50.15
2016-02-12,50.13,50.14,50.12,50.12,24100,50.12
2016-02-11,50.14,50.14,50.12,50.12,63600,50.12
2016-02-10,50.12,50.13,50.11,50.11,165300,50.11
2016-02-09,50.12,50.13,50.11,50.12,160900,50.12
2016-02-08,50.12,50.12,50.10,50.12,38600,50.12
2016-02-05,50.11,50.12,50.10,50.11,79000,50.11
2016-02-04,50.10,50.11,50.09,50.11,82900,50.11
2016-02-03,50.11,50.11,50.09,50.09,91600,50.09
2016-02-02,50.10,50.11,50.09,50.11,22900,50.11
2016-02-01,50.10,50.10,50.09,50.10,43200,50.10
2016-01-29,50.19,50.19,50.17,50.19,185600,50.19
2016-01-28,50.17,50.18,50.16,50.18,22400,50.18
2016-01-27,50.17,50.18,50.16,50.18,50100,50.18
2016-01-25,50.18,50.18,50.16,50.18,7800,50.18
2016-01-22,50.17,50.17,50.15,50.15,64100,50.15
2016-01-21,50.15,50.17,50.15,50.17,32800,50.17
2016-01-20,50.16,50.16,50.15,50.16,18700,50.16
2016-01-19,50.16,50.16,50.14,50.14,36000,50.14
2016-01-18,50.14,50.15,50.14,50.15,35900,50.15
2016-01-15,50.14,50.15,50.12,50.14,57700,50.14
2016-01-14,50.12,50.14,50.12,50.12,91600,50.12
2016-01-13,50.12,50.12,50.10,50.11,25000,50.11
2016-01-12,50.13,50.13,50.10,50.12,210800,50.12
2016-01-11,50.13,50.13,50.10,50.13,24100,50.13
2016-01-08,50.11,50.12,50.10,50.12,24500,50.12
2016-01-07,50.10,50.12,50.10,50.10,90900,50.10
2016-01-06,50.11,50.11,50.09,50.09,58100,50.09
2016-01-05,50.10,50.11,50.09,50.11,30100,50.11
2016-01-04,50.09,50.10,50.09,50.10,44100,50.10
2015-12-30,50.18,50.21,50.16,50.21,38500,50.21
2015-12-29,50.19,50.20,50.17,50.20,4200,50.20
2015-12-24,50.18,50.19,50.17,50.19,18400,50.19
2015-12-23,50.17,50.17,50.16,50.17,40400,50.17
2015-12-22,50.15,50.17,50.15,50.16,28300,50.16
2015-12-21,50.17,50.17,50.15,50.15,27400,50.15
2015-12-18,50.16,50.16,50.14,50.16,29000,50.16
2015-12-17,50.15,50.15,50.13,50.13,38900,50.13
2015-12-16,50.15,50.15,50.13,50.15,40700,50.15
2015-12-15,50.12,50.14,50.12,50.13,51800,50.13
2015-12-14,50.13,50.13,50.11,50.11,34000,50.11
2015-12-11,50.11,50.13,50.11,50.13,36300,50.13
2015-12-10,50.11,50.13,50.11,50.11,32000,50.11
2015-12-09,50.12,50.12,50.10,50.11,91800,50.11
2015-12-08,50.12,50.12,50.10,50.12,41300,50.12
2015-12-07,50.12,50.12,50.10,50.10,33200,50.10
2015-12-04,50.09,50.11,50.09,50.11,62100,50.11
2015-12-03,50.09,50.11,50.09,50.09,38700,50.09
2015-12-02,50.09,50.10,50.08,50.08,43700,50.08
2015-12-01,50.10,50.10,50.08,50.10,59700,50.10
2015-11-30,50.18,50.20,50.17,50.17,291200,50.17
2015-11-27,50.17,50.19,50.17,50.17,22500,50.17
2015-11-26,50.18,50.19,50.17,50.19,35400,50.19
2015-11-25,50.17,50.18,50.16,50.17,20800,50.17
2015-11-24,50.18,50.18,50.16,50.16,42900,50.16
2015-11-23,50.17,50.18,50.16,50.18,26500,50.18
2015-11-20,50.15,50.17,50.15,50.17,27100,50.17
2015-11-19,50.15,50.16,50.14,50.14,89300,50.14
2015-11-18,50.14,50.16,50.14,50.16,58200,50.16
2015-11-17,50.15,50.15,50.13,50.13,37100,50.13
2015-11-16,50.14,50.15,50.13,50.15,25500,50.15
2015-11-13,50.14,50.14,50.12,50.14,68600,50.14
2015-11-12,50.12,50.14,50.12,50.14,64800,50.14
2015-11-11,50.13,50.13,50.11,50.12,40600,50.12
2015-11-10,50.12,50.13,50.11,50.13,69700,50.13
2015-11-09,50.13,50.13,50.11,50.11,55800,50.11
2015-11-06,50.10,50.12,50.10,50.12,43000,50.12
2015-11-05,50.11,50.11,50.09,50.10,21500,50.10
2015-11-04,50.11,50.11,50.09,50.10,32100,50.10
2015-11-03,50.10,50.11,50.09,50.11,31600,50.11
2015-11-02,50.10,50.10,50.08,50.09,59200,50.09
2015-10-30,50.19,50.19,50.17,50.17,89300,50.17
2015-10-29,50.17,50.19,50.17,50.17,107000,50.17
2015-10-28,50.17,50.19,50.17,50.19,85300,50.19
2015-10-27,50.18,50.18,50.16,50.18,69100,50.18
2015-10-26,50.16,50.18,50.16,50.18,122000,50.18
2015-10-23,50.17,50.17,50.15,50.15,95800,50.15
2015-10-22,50.17,50.17,50.15,50.17,48300,50.17
2015-10-21,50.15,50.17,50.15,50.15,84200,50.15
2015-10-20,50.16,50.16,50.14,50.14,18100,50.14
2015-10-19,50.16,50.16,50.14,50.15,47100,50.15
2015-10-16,50.13,50.15,50.13,50.13,53200,50.13
2015-10-15,50.13,50.14,50.13,50.14,70700,50.14
2015-10-14,50.12,50.14,50.12,50.14,16500,50.14
2015-10-13,50.14,50.14,50.12,50.12,135500,50.12
2015-10-12,50.13,50.13,50.11,50.13,106300,50.13
2015-10-09,50.12,50.13,50.11,50.13,31500,50.13
2015-10-08,50.12,50.12,50.10,50.12,48700,50.12
2015-10-07,50.10,50.12,50.10,50.12,13200,50.12
2015-10-06,50.10,50.12,50.10,50.12,50700,50.12
2015-10-05,50.11,50.11,50.10,50.11,15400,50.11
2015-10-02,50.09,50.11,50.09,50.11,30500,50.11
2015-10-01,50.10,50.10,50.08,50.10,72600,50.10
2015-09-30,50.19,50.20,50.17,50.17,34800,50.068
2015-09-29,50.17,50.19,50.16,50.19,205700,50.088
2015-09-28,50.17,50.19,50.17,50.19,51400,50.088
2015-09-25,50.17,50.17,50.15,50.17,28100,50.068
2015-09-24,50.16,50.17,50.15,50.17,70300,50.068
2015-09-23,50.16,50.17,50.15,50.15,285900,50.048
2015-09-22,50.17,50.17,50.16,50.17,69400,50.068
2015-09-21,50.15,50.17,50.15,50.17,148100,50.068
2015-09-18,50.15,50.16,50.15,50.15,12400,50.048
2015-09-17,50.15,50.15,50.14,50.14,77100,50.038
2015-09-16,50.14,50.14,50.13,50.14,109200,50.038
2015-09-15,50.14,50.14,50.13,50.14,17600,50.038
2015-09-14,50.12,50.14,50.12,50.14,25800,50.038
2015-09-11,50.13,50.13,50.11,50.13,39900,50.028
2015-09-10,50.11,50.13,50.11,50.13,39900,50.028
2015-09-09,50.12,50.12,50.10,50.12,158600,50.018
2015-09-08,50.11,50.12,50.10,50.12,45200,50.018
2015-09-07,50.10,50.12,50.10,50.11,36500,50.008
2015-09-04,50.11,50.11,50.10,50.11,31500,50.008
2015-09-03,50.09,50.10,50.08,50.08,36400,49.978
2015-09-02,50.10,50.10,50.08,50.08,44300,49.978
2015-09-01,50.10,50.10,50.08,50.08,177500,49.978
2015-08-31,50.18,50.20,50.18,50.18,114500,49.972
2015-08-28,50.19,50.19,50.17,50.17,64800,49.962
2015-08-27,50.19,50.19,50.17,50.19,35000,49.982
2015-08-26,50.16,50.17,50.16,50.16,57600,49.952
2015-08-25,50.16,50.18,50.16,50.18,106400,49.972
2015-08-24,50.17,50.17,50.15,50.17,65600,49.962
2015-08-21,50.15,50.17,50.14,50.15,76300,49.942
