Date,Open,High,Low,Close,Volume,Adj Close
2016-07-15,0.012,0.017,0.012,0.017,4840300,0.017
2016-07-14,0.013,0.013,0.013,0.013,46100,0.013
2016-07-13,0.014,0.014,0.011,0.011,763900,0.011
2016-07-12,0.013,0.013,0.013,0.013,543300,0.013
2016-07-11,0.015,0.015,0.015,0.015,000,0.015
2016-07-08,0.012,0.015,0.012,0.015,1369000,0.015
2016-07-07,0.012,0.012,0.012,0.012,000,0.012
2016-07-06,0.012,0.012,0.012,0.012,000,0.012
2016-07-05,0.012,0.012,0.012,0.012,000,0.012
2016-07-04,0.012,0.012,0.012,0.012,000,0.012
2016-07-01,0.012,0.012,0.012,0.012,000,0.012
2016-06-30,0.012,0.012,0.012,0.012,123000,0.012
2016-06-29,0.009,0.009,0.009,0.009,000,0.009
2016-06-28,0.009,0.009,0.009,0.009,000,0.009
2016-06-27,0.009,0.009,0.009,0.009,000,0.009
2016-06-24,0.009,0.009,0.009,0.009,000,0.009
2016-06-23,0.009,0.009,0.009,0.009,1312600,0.009
2016-06-22,0.012,0.012,0.01,0.01,521000,0.01
2016-06-21,0.01,0.011,0.009,0.011,715000,0.011
2016-06-20,0.013,0.013,0.013,0.013,000,0.013
2016-06-17,0.013,0.013,0.013,0.013,000,0.013
2016-06-16,0.013,0.013,0.013,0.013,43000,0.013
2016-06-15,0.011,0.011,0.011,0.011,000,0.011
2016-06-14,0.011,0.011,0.011,0.011,000,0.011
2016-06-13,0.011,0.011,0.011,0.011,000,0.011
2016-06-10,0.011,0.011,0.011,0.011,000,0.011
2016-06-09,0.013,0.013,0.011,0.011,600000,0.011
2016-06-08,0.012,0.013,0.012,0.013,600000,0.013
2016-06-07,0.011,0.011,0.011,0.011,23800,0.011
2016-06-06,0.011,0.011,0.011,0.011,000,0.011
2016-06-03,0.011,0.011,0.011,0.011,000,0.011
2016-06-02,0.011,0.011,0.011,0.011,000,0.011
2016-06-01,0.011,0.011,0.011,0.011,000,0.011
2016-05-31,0.011,0.011,0.011,0.011,000,0.011
2016-05-30,0.012,0.012,0.011,0.011,300000,0.011
2016-05-27,0.011,0.013,0.01,0.01,2700000,0.01
2016-05-26,0.011,0.011,0.011,0.011,000,0.011
2016-05-25,0.011,0.011,0.011,0.011,800000,0.011
2016-05-24,0.011,0.011,0.011,0.011,762000,0.011
2016-05-23,0.01,0.01,0.01,0.01,000,0.01
2016-05-20,0.01,0.01,0.01,0.01,000,0.01
2016-05-19,0.01,0.012,0.01,0.01,850000,0.01
2016-05-18,0.009,0.01,0.009,0.01,1000000,0.01
2016-05-17,0.009,0.009,0.008,0.008,1356800,0.008
2016-05-16,0.009,0.009,0.009,0.009,000,0.009
2016-05-13,0.009,0.009,0.009,0.009,340600,0.009
2016-05-12,0.009,0.009,0.009,0.009,000,0.009
2016-05-11,0.009,0.009,0.009,0.009,150000,0.009
2016-05-10,0.009,0.009,0.009,0.009,50000,0.009
2016-05-09,0.01,0.01,0.01,0.01,242000,0.01
2016-05-06,0.01,0.01,0.01,0.01,100000,0.01
2016-05-05,0.01,0.01,0.01,0.01,20000,0.01
2016-05-04,0.01,0.01,0.01,0.01,000,0.01
2016-05-03,0.011,0.011,0.01,0.01,134000,0.01
2016-05-02,0.01,0.011,0.01,0.011,678000,0.011
2016-04-29,0.01,0.01,0.01,0.01,000,0.01
2016-04-28,0.008,0.01,0.008,0.01,552000,0.01
2016-04-27,0.008,0.008,0.008,0.008,000,0.008
2016-04-26,0.009,0.009,0.008,0.008,500400,0.008
2016-04-25,0.009,0.009,0.009,0.009,000,0.009
2016-04-22,0.007,0.009,0.007,0.009,956000,0.009
2016-04-21,0.007,0.007,0.007,0.007,000,0.007
2016-04-20,0.007,0.007,0.007,0.007,000,0.007
2016-04-19,0.007,0.007,0.007,0.007,400000,0.007
2016-04-18,0.009,0.009,0.009,0.009,000,0.009
2016-04-15,0.009,0.009,0.009,0.009,000,0.009
2016-04-14,0.009,0.009,0.009,0.009,000,0.009
2016-04-13,0.009,0.009,0.009,0.009,000,0.009
2016-04-12,0.009,0.009,0.009,0.009,000,0.009
2016-04-11,0.008,0.009,0.008,0.009,200000,0.009
2016-04-08,0.007,0.007,0.007,0.007,798000,0.007
2016-04-07,0.008,0.008,0.008,0.008,298000,0.008
2016-04-06,0.007,0.007,0.007,0.007,000,0.007
2016-04-05,0.007,0.007,0.007,0.007,000,0.007
2016-04-04,0.007,0.007,0.007,0.007,000,0.007
2016-04-01,0.007,0.007,0.007,0.007,000,0.007
2016-03-31,0.007,0.007,0.007,0.007,000,0.007
2016-03-30,0.007,0.007,0.007,0.007,000,0.007
2016-03-29,0.007,0.007,0.007,0.007,500000,0.007
2016-03-28,0.007,0.007,0.007,0.007,000,0.007
2016-03-25,0.007,0.007,0.007,0.007,000,0.007
2016-03-24,0.007,0.007,0.007,0.007,000,0.007
2016-03-23,0.007,0.007,0.007,0.007,000,0.007
2016-03-22,0.007,0.007,0.007,0.007,000,0.007
2016-03-21,0.007,0.007,0.007,0.007,000,0.007
2016-03-18,0.007,0.007,0.007,0.007,000,0.007
2016-03-17,0.007,0.007,0.007,0.007,000,0.007
2016-03-16,0.007,0.007,0.007,0.007,000,0.007
2016-03-15,0.007,0.007,0.007,0.007,000,0.007
2016-03-14,0.007,0.007,0.007,0.007,000,0.007
2016-03-11,0.007,0.007,0.007,0.007,000,0.007
2016-03-10,0.007,0.007,0.007,0.007,000,0.007
2016-03-09,0.007,0.007,0.007,0.007,000,0.007
2016-03-08,0.007,0.007,0.007,0.007,000,0.007
2016-03-07,0.007,0.007,0.007,0.007,000,0.007
2016-03-04,0.007,0.007,0.007,0.007,000,0.007
2016-03-03,0.007,0.007,0.006,0.007,418900,0.007
2016-03-02,0.007,0.007,0.007,0.007,000,0.007
2016-03-01,0.007,0.007,0.007,0.007,31500,0.007
2016-02-29,0.006,0.006,0.006,0.006,000,0.006
2016-02-26,0.006,0.006,0.006,0.006,944400,0.006
2016-02-25,0.007,0.007,0.007,0.007,000,0.007
2016-02-24,0.007,0.007,0.007,0.007,000,0.007
2016-02-23,0.009,0.009,0.007,0.007,899500,0.007
2016-02-22,0.007,0.007,0.007,0.007,000,0.007
2016-02-19,0.007,0.007,0.007,0.007,000,0.007
2016-02-18,0.007,0.007,0.007,0.007,000,0.007
2016-02-17,0.007,0.007,0.007,0.007,47600,0.007
2016-02-16,0.008,0.008,0.008,0.008,39000,0.008
2016-02-15,0.008,0.008,0.008,0.008,000,0.008
2016-02-12,0.008,0.008,0.008,0.008,000,0.008
2016-02-11,0.008,0.008,0.008,0.008,1469600,0.008
2016-02-10,0.008,0.008,0.008,0.008,199000,0.008
2016-02-09,0.007,0.007,0.007,0.007,392000,0.007
2016-02-08,0.006,0.006,0.006,0.006,000,0.006
2016-02-05,0.006,0.006,0.006,0.006,000,0.006
2016-02-04,0.006,0.006,0.006,0.006,000,0.006
2016-02-03,0.006,0.006,0.006,0.006,000,0.006
2016-02-02,0.006,0.006,0.006,0.006,1089000,0.006
2016-02-01,0.007,0.007,0.007,0.007,000,0.007
2016-01-29,0.007,0.007,0.007,0.007,000,0.007
2016-01-28,0.007,0.007,0.007,0.007,000,0.007
2016-01-27,0.007,0.007,0.007,0.007,000,0.007
2016-01-26,0.007,0.007,0.007,0.007,000,0.007
2016-01-25,0.007,0.007,0.007,0.007,000,0.007
2016-01-22,0.007,0.007,0.007,0.007,000,0.007
2016-01-21,0.007,0.007,0.007,0.007,000,0.007
2016-01-20,0.007,0.007,0.007,0.007,000,0.007
2016-01-19,0.007,0.007,0.007,0.007,000,0.007
2016-01-18,0.007,0.007,0.007,0.007,59900,0.007
2016-01-15,0.007,0.007,0.007,0.007,000,0.007
2016-01-14,0.007,0.007,0.007,0.007,15000,0.007
2016-01-13,0.007,0.007,0.007,0.007,550000,0.007
2016-01-12,0.008,0.008,0.008,0.008,000,0.008
2016-01-11,0.008,0.008,0.008,0.008,000,0.008
2016-01-08,0.008,0.008,0.008,0.008,000,0.008
2016-01-07,0.008,0.008,0.008,0.008,000,0.008
2016-01-06,0.008,0.008,0.008,0.008,000,0.008
