Date,Open,High,Low,Close,Volume,Adj Close
2016-07-15,0.015,0.015,0.015,0.015,785500,0.015
2016-07-14,0.014,0.014,0.014,0.014,565100,0.014
2016-07-13,0.014,0.014,0.014,0.014,000,0.014
2016-07-12,0.014,0.014,0.014,0.014,73000,0.014
2016-07-11,0.014,0.014,0.014,0.014,000,0.014
2016-07-08,0.014,0.014,0.014,0.014,000,0.014
2016-07-07,0.014,0.014,0.014,0.014,000,0.014
2016-07-06,0.014,0.014,0.014,0.014,000,0.014
2016-07-05,0.014,0.014,0.014,0.014,60000,0.014
2016-07-04,0.015,0.015,0.015,0.015,200000,0.015
2016-07-01,0.012,0.012,0.012,0.012,000,0.012
2016-06-30,0.012,0.012,0.012,0.012,000,0.012
2016-06-29,0.013,0.013,0.012,0.012,73000,0.012
2016-06-28,0.014,0.014,0.014,0.014,450000,0.014
2016-06-27,0.013,0.015,0.013,0.015,340000,0.015
2016-06-24,0.013,0.013,0.013,0.013,39700,0.013
2016-06-23,0.013,0.013,0.013,0.013,000,0.013
2016-06-22,0.013,0.013,0.013,0.013,50000,0.013
2016-06-21,0.013,0.013,0.013,0.013,15500,0.013
2016-06-20,0.013,0.013,0.013,0.013,000,0.013
2016-06-17,0.013,0.013,0.013,0.013,000,0.013
2016-06-16,0.013,0.013,0.013,0.013,000,0.013
2016-06-15,0.013,0.013,0.013,0.013,000,0.013
2016-06-14,0.013,0.013,0.013,0.013,209700,0.013
2016-06-13,0.014,0.014,0.014,0.014,000,0.014
2016-06-10,0.014,0.014,0.014,0.014,200000,0.014
2016-06-09,0.015,0.015,0.015,0.015,000,0.015
2016-06-08,0.015,0.015,0.015,0.015,80000,0.015
2016-06-07,0.013,0.015,0.013,0.015,273300,0.015
2016-06-06,0.012,0.012,0.012,0.012,000,0.012
2016-06-03,0.012,0.012,0.012,0.012,000,0.012
2016-06-02,0.012,0.012,0.012,0.012,000,0.012
2016-06-01,0.013,0.013,0.012,0.012,615100,0.012
2016-05-31,0.01,0.01,0.01,0.01,000,0.01
2016-05-30,0.011,0.011,0.01,0.01,114800,0.01
2016-05-27,0.013,0.013,0.013,0.013,15100,0.013
2016-05-26,0.015,0.015,0.015,0.015,000,0.015
2016-05-25,0.015,0.015,0.015,0.015,100000,0.015
2016-05-24,0.013,0.013,0.013,0.013,000,0.013
2016-05-23,0.013,0.013,0.013,0.013,1600,0.013
2016-05-20,0.013,0.013,0.013,0.013,175000,0.013
2016-05-19,0.013,0.013,0.013,0.013,476200,0.013
2016-05-18,0.014,0.014,0.013,0.013,500000,0.013
2016-05-17,0.015,0.018,0.014,0.014,1095300,0.014
2016-05-16,0.016,0.016,0.013,0.014,469100,0.014
2016-05-13,0.015,0.017,0.015,0.017,1070700,0.017
2016-05-12,0.012,0.016,0.012,0.015,2142100,0.015
2016-05-11,0.012,0.012,0.012,0.012,000,0.012
2016-05-10,0.012,0.012,0.012,0.012,558900,0.012
2016-05-09,0.013,0.013,0.012,0.012,1300000,0.012
2016-05-06,0.01,0.01,0.01,0.01,000,0.01
2016-05-05,0.01,0.01,0.01,0.01,000,0.01
2016-05-04,0.01,0.01,0.01,0.01,000,0.01
2016-05-03,0.014,0.014,0.01,0.01,1105800,0.01
2016-05-02,0.011,0.012,0.011,0.012,2170800,0.012
2016-04-29,0.011,0.011,0.01,0.01,242800,0.01
2016-04-28,0.012,0.012,0.011,0.011,60500,0.011
2016-04-27,0.013,0.013,0.012,0.012,11600,0.012
2016-04-26,0.014,0.014,0.014,0.014,000,0.014
2016-04-25,0.014,0.014,0.014,0.014,000,0.014
2016-04-22,0.014,0.014,0.014,0.014,76000,0.014
2016-04-21,0.013,0.013,0.013,0.013,000,0.013
2016-04-20,0.013,0.013,0.013,0.013,452700,0.013
2016-04-19,0.016,0.016,0.016,0.016,000,0.016
2016-04-18,0.016,0.016,0.016,0.016,61200,0.016
2016-04-15,0.013,0.016,0.012,0.016,701000,0.016
2016-04-14,0.013,0.015,0.013,0.015,401700,0.015
2016-04-13,0.014,0.014,0.012,0.014,333100,0.014
2016-04-12,0.015,0.015,0.013,0.013,1116800,0.013
2016-04-11,0.015,0.015,0.014,0.015,516600,0.015
2016-04-08,0.015,0.015,0.013,0.015,200300,0.015
2016-04-07,0.016,0.018,0.014,0.015,3105700,0.015
2016-04-06,0.017,0.019,0.017,0.018,1764100,0.018
2016-04-05,0.014,0.023,0.014,0.016,5142600,0.016
2016-04-04,0.009,0.013,0.009,0.013,1633400,0.013
2016-04-01,0.008,0.008,0.008,0.008,000,0.008
2016-03-31,0.008,0.008,0.008,0.008,000,0.008
2016-03-30,0.008,0.008,0.008,0.008,5000,0.008
2016-03-29,0.008,0.008,0.008,0.008,28900,0.008
2016-03-28,0.008,0.008,0.008,0.008,000,0.008
2016-03-25,0.008,0.008,0.008,0.008,000,0.008
2016-03-24,0.008,0.008,0.008,0.008,000,0.008
2016-03-23,0.008,0.008,0.008,0.008,582100,0.008
2016-03-22,0.008,0.008,0.008,0.008,587000,0.008
2016-03-21,0.006,0.006,0.006,0.006,000,0.006
2016-03-18,0.006,0.006,0.006,0.006,000,0.006
2016-03-17,0.006,0.006,0.006,0.006,000,0.006
2016-03-16,0.006,0.006,0.006,0.006,000,0.006
2016-03-15,0.006,0.006,0.006,0.006,000,0.006
2016-03-14,0.006,0.006,0.006,0.006,000,0.006
2016-03-11,0.006,0.006,0.006,0.006,000,0.006
2016-03-10,0.006,0.006,0.006,0.006,000,0.006
2016-03-09,0.006,0.006,0.006,0.006,000,0.006
2016-03-08,0.006,0.006,0.006,0.006,000,0.006
2016-03-07,0.006,0.006,0.006,0.006,000,0.006
2016-03-04,0.006,0.006,0.006,0.006,000,0.006
2016-03-03,0.006,0.006,0.006,0.006,000,0.006
2016-03-02,0.006,0.006,0.006,0.006,38100,0.006
2016-03-01,0.006,0.006,0.006,0.006,000,0.006
2016-02-29,0.006,0.006,0.006,0.006,000,0.006
2016-02-26,0.006,0.006,0.006,0.006,000,0.006
2016-02-25,0.006,0.006,0.006,0.006,000,0.006
2016-02-24,0.006,0.006,0.006,0.006,000,0.006
2016-02-23,0.006,0.006,0.006,0.006,000,0.006
2016-02-22,0.006,0.006,0.006,0.006,000,0.006
2016-02-19,0.006,0.006,0.006,0.006,000,0.006
2016-02-18,0.006,0.006,0.006,0.006,300000,0.006
2016-02-17,0.006,0.006,0.006,0.006,26600,0.006
2016-02-16,0.006,0.006,0.006,0.006,81900,0.006
2016-02-15,0.006,0.006,0.006,0.006,000,0.006
2016-02-12,0.006,0.006,0.006,0.006,000,0.006
2016-02-11,0.006,0.006,0.006,0.006,000,0.006
2016-02-10,0.006,0.006,0.006,0.006,000,0.006
2016-02-09,0.006,0.006,0.006,0.006,000,0.006
2016-02-08,0.006,0.006,0.006,0.006,000,0.006
2016-02-05,0.006,0.006,0.006,0.006,000,0.006
2016-02-04,0.006,0.006,0.006,0.006,000,0.006
2016-02-03,0.006,0.006,0.006,0.006,000,0.006
2016-02-02,0.006,0.006,0.006,0.006,000,0.006
2016-02-01,0.007,0.007,0.005,0.006,1500000,0.006
2016-01-29,0.007,0.007,0.005,0.006,1198000,0.006
2016-01-28,0.008,0.008,0.008,0.008,000,0.008
2016-01-27,0.008,0.008,0.008,0.008,000,0.008
2016-01-26,0.008,0.008,0.008,0.008,000,0.008
2016-01-25,0.008,0.008,0.008,0.008,000,0.008
2016-01-22,0.008,0.008,0.008,0.008,000,0.008
2016-01-21,0.008,0.008,0.008,0.008,45000,0.008
2016-01-20,0.009,0.009,0.009,0.009,000,0.009
2016-01-19,0.009,0.009,0.009,0.009,000,0.009
2016-01-18,0.009,0.009,0.009,0.009,000,0.009
2016-01-15,0.006,0.009,0.006,0.009,620900,0.009
2016-01-14,0.006,0.006,0.006,0.006,000,0.006
2016-01-13,0.006,0.006,0.006,0.006,000,0.006
2016-01-12,0.005,0.006,0.005,0.006,488100,0.006
2016-01-11,0.005,0.005,0.005,0.005,000,0.005
2016-01-08,0.005,0.005,0.005,0.005,8500,0.005
2016-01-07,0.005,0.005,0.005,0.005,000,0.005
2016-01-06,0.005,0.005,0.005,0.005,000,0.005
2016-01-05,0.005,0.005,0.005,0.005,000,0.005
2016-01-04,0.005,0.005,0.005,0.005,000,0.005
