Date,Open,High,Low,Close,Volume,Adj Close
2016-07-15,0.375,0.375,0.375,0.375,315900,0.375
2016-07-14,0.375,0.375,0.375,0.375,376700,0.375
2016-07-13,0.38,0.38,0.375,0.38,135100,0.38
2016-07-12,0.38,0.38,0.375,0.38,136600,0.38
2016-07-11,0.385,0.385,0.38,0.38,269600,0.38
2016-07-08,0.38,0.385,0.38,0.385,106400,0.385
2016-07-07,0.38,0.385,0.38,0.385,25500,0.385
2016-07-06,0.38,0.38,0.38,0.38,188700,0.38
2016-07-05,0.38,0.385,0.375,0.375,913900,0.375
2016-07-04,0.375,0.385,0.375,0.38,923300,0.38
2016-07-01,0.365,0.375,0.365,0.375,25100,0.375
2016-06-30,0.375,0.375,0.36,0.365,278000,0.365
2016-06-29,0.38,0.38,0.375,0.375,115400,0.375
2016-06-28,0.38,0.38,0.375,0.375,215900,0.375
2016-06-27,0.38,0.38,0.375,0.375,334700,0.375
2016-06-24,0.38,0.38,0.38,0.38,72500,0.38
2016-06-23,0.38,0.38,0.38,0.38,89800,0.38
2016-06-22,0.38,0.38,0.38,0.38,178200,0.38
2016-06-21,0.38,0.38,0.38,0.38,268300,0.38
2016-06-20,0.385,0.385,0.38,0.38,176600,0.38
2016-06-17,0.38,0.38,0.38,0.38,148100,0.38
2016-06-16,0.385,0.385,0.38,0.385,225800,0.385
2016-06-15,0.38,0.385,0.375,0.38,588900,0.38
2016-06-14,0.375,0.39,0.375,0.39,2649300,0.39
2016-06-13,0.34,0.34,0.34,0.34,000,0.34
2016-06-10,0.345,0.345,0.34,0.34,13500,0.34
2016-06-09,0.34,0.35,0.34,0.34,22000,0.34
2016-06-08,0.34,0.34,0.34,0.34,2800,0.34
2016-06-07,0.35,0.35,0.34,0.34,48300,0.34
2016-06-06,0.34,0.345,0.34,0.34,64200,0.34
2016-06-03,0.34,0.34,0.34,0.34,21200,0.34
2016-06-02,0.34,0.345,0.34,0.34,36600,0.34
2016-06-01,0.335,0.335,0.33,0.335,34000,0.335
