Date,Open,High,Low,Close,Volume,Adj Close
2016-07-15,5.12,5.12,5.09,5.09,6600,5.09
2016-07-14,5.09,5.09,5.07,5.09,15000,5.09
2016-07-13,5.11,5.15,5.01,5.15,3100,5.15
2016-07-12,5.16,5.16,5.10,5.10,3200,5.10
2016-07-11,5.17,5.17,5.15,5.15,2000,5.15
2016-07-08,5.15,5.15,5.15,5.15,9000,5.15
2016-07-07,5.19,5.19,5.15,5.18,24600,5.18
2016-07-06,5.12,5.17,5.12,5.16,2000,5.16
2016-07-05,5.18,5.19,5.18,5.19,100,5.19
2016-07-04,5.15,5.19,5.12,5.19,26200,5.19
2016-07-01,5.09,5.135,5.08,5.135,9100,5.135
2016-06-30,5.05,5.08,5.05,5.08,25100,5.08
2016-06-29,5.15,5.15,5.05,5.05,600,5.05
2016-06-28,5.15,5.15,5.15,5.15,3600,5.15
2016-06-27,5.01,5.15,5.00,5.15,5000,5.15
2016-06-24,5.05,5.06,5.05,5.05,2300,5.05
2016-06-23,5.09,5.09,5.09,5.09,2900,5.09
2016-06-22,5.05,5.12,5.05,5.11,16100,5.11
2016-06-21,5.05,5.10,5.05,5.09,13700,5.09
2016-06-20,5.05,5.10,5.045,5.10,29300,5.10
2016-06-17,5.03,5.08,5.02,5.05,47400,5.05
2016-06-16,5.05,5.05,5.03,5.03,34100,5.03
2016-06-15,5.05,5.05,5.01,5.01,6000,5.01
2016-06-14,5.05,5.06,5.01,5.01,6700,5.01
2016-06-13,5.05,5.05,5.05,5.05,000,5.05
2016-06-10,5.08,5.08,5.05,5.05,33500,5.05
2016-06-09,5.07,5.09,5.06,5.09,12100,5.09
2016-06-08,5.10,5.10,5.07,5.08,20900,5.08
2016-06-07,5.09,5.10,5.07,5.10,29700,5.10
2016-06-06,5.07,5.08,5.07,5.08,2500,5.08
2016-06-03,5.08,5.10,5.07,5.10,22100,5.10
2016-06-02,5.07,5.10,5.07,5.08,9600,5.08
2016-06-01,5.09,5.12,5.07,5.07,11600,5.07
2016-05-31,5.07,5.07,5.07,5.07,5200,5.07
2016-05-30,5.00,5.08,5.00,5.07,8600,5.07
2016-05-27,5.08,5.10,5.00,5.08,69200,5.08
2016-05-26,5.08,5.08,5.00,5.07,8000,5.07
2016-05-25,5.03,5.08,5.00,5.08,13700,5.08
2016-05-24,5.02,5.05,5.02,5.05,2100,5.05
2016-05-23,5.00,5.02,5.00,5.02,3400,5.02
2016-05-20,5.11,5.11,5.00,5.08,7100,5.08
2016-05-19,5.01,5.05,4.97,5.00,45500,5.00
2016-05-18,5.06,5.06,5.06,5.06,4200,5.06
2016-05-17,5.01,5.01,5.01,5.01,200,5.01
2016-05-16,5.06,5.12,5.00,5.12,10400,5.12
2016-05-13,5.06,5.06,5.06,5.06,7200,5.06
2016-05-12,4.98,5.06,4.98,5.06,7700,5.06
2016-05-11,5.00,5.06,4.97,5.06,41100,5.06
2016-05-10,5.06,5.06,4.97,4.97,3300,4.97
2016-05-09,5.06,5.06,5.06,5.06,4000,5.06
2016-05-06,5.02,5.02,5.00,5.00,11100,5.00
2016-05-05,5.07,5.07,5.02,5.02,18400,5.02
2016-05-04,5.14,5.14,5.07,5.07,2400,5.07
2016-05-03,5.14,5.14,5.14,5.14,2000,5.14
2016-05-02,5.09,5.15,5.09,5.15,5000,5.15
2016-04-29,5.07,5.15,5.07,5.15,13000,5.15
2016-04-28,5.16,5.16,5.16,5.16,200,5.16
2016-04-27,5.12,5.12,5.10,5.10,1900,5.10
2016-04-26,5.15,5.16,5.12,5.12,22100,5.12
2016-04-25,5.15,5.15,5.15,5.15,000,5.15
2016-04-22,5.14,5.17,5.14,5.15,11000,5.15
2016-04-21,5.14,5.17,5.13,5.17,18800,5.17
2016-04-20,5.13,5.15,5.13,5.15,11600,5.15
2016-04-19,5.19,5.19,5.13,5.13,13600,5.13
2016-04-18,5.13,5.19,5.13,5.19,3000,5.19
2016-04-15,5.14,5.14,5.13,5.14,14700,5.14
2016-04-14,5.15,5.15,5.14,5.14,4900,5.14
2016-04-13,5.13,5.17,5.12,5.14,40900,5.14
2016-04-12,5.15,5.20,5.13,5.13,3200,5.13
2016-04-11,5.20,5.20,5.15,5.20,5400,5.20
2016-04-08,5.14,5.14,5.13,5.13,6600,5.13
2016-04-07,5.20,5.20,5.20,5.20,000,5.20
2016-04-06,5.05,5.13,5.05,5.13,14300,5.13
2016-04-05,5.07,5.07,5.05,5.05,20200,5.05
2016-04-04,5.12,5.12,5.06,5.06,2300,5.06
2016-04-01,5.06,5.06,5.06,5.06,4300,5.06
2016-03-31,5.10,5.10,5.06,5.06,10500,5.06
