Date,Open,High,Low,Close,Volume,Adj Close
2016-07-15,5.80,5.84,5.77,5.81,1222400,5.81
2016-07-14,5.77,5.84,5.76,5.79,1087900,5.79
2016-07-13,5.79,5.815,5.75,5.80,966200,5.80
2016-07-12,5.84,5.86,5.76,5.78,1979500,5.78
2016-07-11,5.74,5.82,5.74,5.78,1018500,5.78
2016-07-08,5.67,5.72,5.655,5.71,1091800,5.71
2016-07-07,5.69,5.73,5.63,5.69,1260100,5.69
2016-07-06,5.50,5.67,5.50,5.67,1188100,5.67
2016-07-05,5.58,5.59,5.50,5.53,1187500,5.53
2016-07-04,5.61,5.63,5.54,5.58,1099700,5.58
2016-07-01,5.58,5.66,5.57,5.60,1210500,5.60
2016-06-30,5.49,5.57,5.46,5.57,1931200,5.57
2016-06-29,5.28,5.42,5.24,5.41,2721000,5.41
2016-06-28,5.21,5.24,5.095,5.19,2361100,5.19
2016-06-27,5.22,5.32,5.21,5.30,1428800,5.30
2016-06-24,5.42,5.45,5.24,5.31,2164100,5.31
2016-06-23,5.44,5.45,5.38,5.44,1076700,5.44
2016-06-22,5.48,5.48,5.41,5.44,1325800,5.44
2016-06-21,5.37,5.47,5.35,5.46,2068200,5.46
2016-06-20,5.30,5.40,5.30,5.40,1098700,5.40
2016-06-17,5.35,5.365,5.29,5.29,2334700,5.29
2016-06-16,5.35,5.38,5.31,5.33,1582400,5.33
2016-06-15,5.30,5.39,5.30,5.32,1651000,5.32
2016-06-14,5.38,5.42,5.31,5.38,1045800,5.38
2016-06-13,5.43,5.43,5.43,5.43,000,5.43
2016-06-10,5.46,5.49,5.395,5.43,850300,5.43
2016-06-09,5.50,5.55,5.45,5.48,1209000,5.48
2016-06-08,5.42,5.52,5.42,5.52,1222900,5.52
2016-06-07,5.53,5.55,5.44,5.45,1295600,5.45
2016-06-06,5.47,5.535,5.44,5.51,915800,5.51
2016-06-03,5.47,5.49,5.39,5.49,1179200,5.49
2016-06-02,5.51,5.54,5.42,5.44,1070700,5.44
2016-06-01,5.61,5.62,5.50,5.51,1833600,5.51
2016-05-31,5.65,5.71,5.57,5.68,2223600,5.68
2016-05-30,5.65,5.67,5.60,5.63,1033200,5.63
2016-05-27,5.66,5.69,5.59,5.62,1519900,5.62
2016-05-26,5.64,5.64,5.51,5.62,1691900,5.62
2016-05-25,5.49,5.65,5.41,5.65,2117400,5.65
2016-05-24,5.44,5.44,5.36,5.42,1008400,5.42
2016-05-23,5.39,5.44,5.355,5.38,847900,5.38
2016-05-20,5.32,5.39,5.295,5.36,1574300,5.36
2016-05-19,5.41,5.43,5.34,5.37,954300,5.37
2016-05-18,5.36,5.41,5.34,5.38,1390500,5.38
2016-05-17,5.40,5.43,5.38,5.41,1408300,5.41
2016-05-16,5.40,5.45,5.355,5.40,1212600,5.40
2016-05-13,5.44,5.45,5.40,5.42,1214300,5.42
2016-05-12,5.47,5.485,5.36,5.41,1979800,5.41
2016-05-11,5.46,5.58,5.42,5.45,1616300,5.45
2016-05-10,5.39,5.46,5.38,5.45,1176000,5.45
2016-05-09,5.36,5.40,5.315,5.39,1433200,5.39
2016-05-06,5.25,5.38,5.20,5.38,1424300,5.38
2016-05-05,5.32,5.33,5.23,5.29,1453600,5.29
2016-05-04,5.31,5.39,5.29,5.29,1312200,5.29
2016-05-03,5.11,5.35,5.11,5.33,1177900,5.33
2016-05-02,5.15,5.22,5.13,5.20,1542100,5.20
2016-04-29,5.16,5.26,5.14,5.17,1398200,5.17
2016-04-28,5.05,5.19,5.035,5.16,2217700,5.16
2016-04-27,5.01,5.07,4.97,4.99,1711200,4.99
2016-04-26,5.05,5.09,5.00,5.00,1455100,5.00
2016-04-25,5.05,5.05,5.05,5.05,000,5.05
2016-04-22,5.16,5.16,5.05,5.05,1293200,5.05
2016-04-21,5.16,5.17,5.10,5.17,2146300,5.17
2016-04-20,5.10,5.14,5.05,5.10,1223100,5.10
2016-04-19,5.12,5.19,5.085,5.11,2293100,5.11
2016-04-18,5.03,5.13,5.03,5.08,1320700,5.08
2016-04-15,5.09,5.15,5.06,5.10,1374600,5.10
2016-04-14,5.14,5.145,5.06,5.09,1671400,5.09
2016-04-13,5.15,5.19,5.13,5.15,1235100,5.15
2016-04-12,5.07,5.14,5.02,5.12,1295200,5.12
2016-04-11,5.17,5.17,5.09,5.10,733600,5.10
2016-04-08,5.06,5.16,5.06,5.16,877400,5.16
2016-04-07,5.12,5.165,5.10,5.13,854300,5.13
2016-04-06,5.03,5.16,5.01,5.12,1424900,5.12
2016-04-05,5.05,5.09,5.01,5.02,1225900,5.02
2016-04-04,5.06,5.10,5.04,5.05,815500,5.05
2016-04-01,5.04,5.06,4.975,5.03,2277500,5.03
2016-03-31,5.14,5.16,5.05,5.07,2259800,5.07
2016-03-30,5.10,5.11,5.05,5.08,2814400,5.08
2016-03-29,5.12,5.17,5.04,5.07,3436500,5.07
2016-03-28,5.10,5.10,5.10,5.10,000,5.10
2016-03-25,5.10,5.10,5.10,5.10,000,5.10
2016-03-24,5.12,5.13,5.05,5.10,1849200,5.10
2016-03-23,5.02,5.15,4.98,5.13,2325300,5.13
2016-03-22,5.00,5.04,4.97,5.01,967100,5.01
2016-03-21,4.99,5.01,4.96,4.99,1142700,4.99
2016-03-18,4.95,4.98,4.91,4.96,3186600,4.96
2016-03-17,4.92,5.03,4.91,4.94,4261200,4.94
2016-03-16,4.81,4.87,4.785,4.87,1123600,4.87
2016-03-15,4.85,4.87,4.79,4.81,1160900,4.81
2016-03-14,4.98,4.99,4.84,4.85,889400,4.85
2016-03-11,4.97,5.00,4.88,4.98,1778700,4.98
2016-03-10,4.98,4.98,4.86,4.93,1746000,4.93
2016-03-09,5.05,5.14,5.00,5.14,1276900,4.9829
2016-03-08,5.04,5.10,5.04,5.06,1556700,4.90535
2016-03-07,5.02,5.07,5.01,5.04,1704000,4.88596
2016-03-04,5.02,5.03,4.97,5.00,1283600,4.84718
