Date,Open,High,Low,Close,Volume,Adj Close
2016-07-15,3.15,3.15,3.11,3.11,238300,3.11
2016-07-14,3.17,3.17,3.125,3.15,281900,3.15
2016-07-13,3.18,3.18,3.11,3.11,347100,3.11
2016-07-12,3.18,3.18,3.12,3.12,482800,3.12
2016-07-11,3.08,3.15,3.05,3.15,697300,3.15
2016-07-08,3.11,3.11,3.05,3.05,345100,3.05
2016-07-07,3.09,3.11,3.02,3.08,797800,3.08
2016-07-06,3.08,3.095,3.01,3.05,683000,3.05
2016-07-05,3.24,3.25,3.15,3.16,516000,3.075
2016-07-04,3.19,3.27,3.19,3.23,904300,3.14312
2016-07-01,3.17,3.24,3.16,3.19,859700,3.10419
2016-06-30,3.17,3.19,3.15,3.15,1340500,3.06527
2016-06-29,3.18,3.20,3.13,3.16,931400,3.075
2016-06-28,3.11,3.18,3.11,3.15,977200,3.06527
2016-06-27,3.05,3.17,3.04,3.14,586900,3.05554
2016-06-24,3.23,3.23,3.05,3.11,1230900,3.02634
2016-06-23,3.21,3.225,3.18,3.18,359700,3.09446
2016-06-22,3.22,3.225,3.19,3.20,411800,3.11392
2016-06-21,3.18,3.22,3.15,3.21,1080500,3.12366
2016-06-20,3.21,3.23,3.18,3.20,841400,3.11392
2016-06-17,3.23,3.25,3.19,3.19,1772400,3.10419
2016-06-16,3.25,3.25,3.20,3.22,1004000,3.13339
2016-06-15,3.22,3.25,3.21,3.22,398800,3.13339
2016-06-14,3.22,3.27,3.21,3.22,726600,3.13339
2016-06-13,3.28,3.28,3.28,3.28,000,3.19177
2016-06-10,3.27,3.29,3.26,3.28,403000,3.19177
2016-06-09,3.26,3.29,3.26,3.28,1518000,3.19177
2016-06-08,3.29,3.30,3.26,3.26,766300,3.17231
2016-06-07,3.29,3.315,3.26,3.30,433700,3.21123
2016-06-06,3.26,3.30,3.25,3.29,349500,3.2015
2016-06-03,3.27,3.29,3.24,3.27,354200,3.18204
2016-06-02,3.22,3.295,3.21,3.23,439200,3.14312
2016-06-01,3.26,3.275,3.22,3.25,503000,3.16258
2016-05-31,3.33,3.33,3.26,3.28,679900,3.19177
2016-05-30,3.31,3.33,3.29,3.33,340400,3.24043
2016-05-27,3.29,3.33,3.27,3.31,785700,3.22097
2016-05-26,3.30,3.31,3.22,3.31,895400,3.22097
2016-05-25,3.24,3.28,3.225,3.28,568300,3.19177
2016-05-24,3.24,3.24,3.20,3.22,331600,3.13339
2016-05-23,3.22,3.26,3.20,3.24,339200,3.15285
2016-05-20,3.24,3.25,3.22,3.23,483100,3.14312
2016-05-19,3.27,3.28,3.20,3.23,582200,3.14312
2016-05-18,3.27,3.28,3.24,3.24,508600,3.15285
2016-05-17,3.29,3.325,3.255,3.27,744500,3.18204
2016-05-16,3.29,3.31,3.26,3.28,324000,3.19177
2016-05-13,3.30,3.31,3.26,3.29,536500,3.2015
2016-05-12,3.29,3.29,3.22,3.26,556800,3.17231
2016-05-11,3.38,3.38,3.255,3.28,838100,3.19177
2016-05-10,3.26,3.35,3.24,3.34,1460500,3.25016
2016-05-09,3.26,3.26,3.215,3.25,441700,3.16258
2016-05-06,3.19,3.26,3.15,3.26,982900,3.17231
2016-05-05,3.21,3.24,3.15,3.22,367900,3.13339
2016-05-04,3.23,3.27,3.20,3.21,622600,3.12366
2016-05-03,3.20,3.25,3.17,3.23,774300,3.14312
2016-05-02,3.16,3.195,3.16,3.16,451000,3.075
2016-04-29,3.17,3.20,3.13,3.17,839400,3.08473
2016-04-28,3.13,3.17,3.11,3.16,639700,3.075
2016-04-27,3.15,3.18,3.085,3.11,868300,3.02634
