Date,Open,High,Low,Close,Volume,Adj Close
2016-07-15,0.085,0.087,0.085,0.087,44700,0.087
2016-07-14,0.083,0.087,0.083,0.086,139000,0.086
2016-07-13,0.085,0.087,0.082,0.082,412600,0.082
2016-07-12,0.092,0.093,0.087,0.087,336500,0.087
2016-07-11,0.091,0.094,0.09,0.092,399400,0.092
2016-07-08,0.096,0.099,0.086,0.086,1180900,0.086
2016-07-07,0.089,0.105,0.089,0.10,2343200,0.10
2016-07-06,0.082,0.091,0.082,0.088,1096700,0.088
2016-07-05,0.08,0.081,0.079,0.08,682000,0.08
2016-07-04,0.07,0.078,0.07,0.078,1143000,0.078
2016-07-01,0.067,0.067,0.067,0.067,242800,0.067
2016-06-30,0.062,0.065,0.062,0.065,71300,0.065
2016-06-29,0.063,0.065,0.063,0.065,221400,0.065
2016-06-28,0.067,0.067,0.063,0.065,151000,0.065
2016-06-27,0.065,0.068,0.062,0.067,731600,0.067
2016-06-24,0.064,0.066,0.06,0.061,583100,0.061
2016-06-23,0.07,0.07,0.064,0.064,171300,0.064
2016-06-22,0.067,0.067,0.066,0.066,2400,0.066
2016-06-21,0.072,0.072,0.065,0.066,304400,0.066
2016-06-20,0.07,0.07,0.066,0.067,220000,0.067
2016-06-17,0.07,0.07,0.066,0.07,227300,0.07
2016-06-16,0.07,0.072,0.064,0.072,418900,0.072
2016-06-15,0.072,0.075,0.067,0.07,675000,0.07
2016-06-14,0.064,0.071,0.064,0.07,1252900,0.07
2016-06-13,0.067,0.067,0.067,0.067,000,0.067
2016-06-10,0.066,0.067,0.066,0.067,220900,0.067
2016-06-09,0.065,0.065,0.062,0.065,115500,0.065
2016-06-08,0.065,0.066,0.06,0.062,829500,0.062
2016-06-07,0.068,0.071,0.065,0.065,596900,0.065
2016-06-06,0.064,0.067,0.064,0.065,1326900,0.065
2016-06-03,0.062,0.063,0.062,0.063,559800,0.063
2016-06-02,0.058,0.065,0.058,0.063,1671800,0.063
2016-06-01,0.056,0.058,0.056,0.058,12600,0.058
2016-05-31,0.058,0.06,0.057,0.059,546000,0.059
