Date,Open,High,Low,Close,Volume,Adj Close
2016-07-15,0.01,0.01,0.01,0.01,299900,0.01
2016-07-14,0.01,0.011,0.01,0.011,5557200,0.011
2016-07-13,0.01,0.01,0.01,0.01,000,0.01
2016-07-12,0.009,0.01,0.009,0.01,560000,0.01
2016-07-11,0.009,0.009,0.009,0.009,000,0.009
2016-07-08,0.008,0.009,0.008,0.009,260000,0.009
2016-07-07,0.008,0.008,0.008,0.008,300000,0.008
2016-07-06,0.01,0.01,0.009,0.009,437800,0.009
2016-07-05,0.011,0.011,0.01,0.01,415700,0.01
2016-07-04,0.009,0.011,0.009,0.011,910200,0.011
2016-07-01,0.007,0.007,0.007,0.007,000,0.007
2016-06-30,0.007,0.007,0.007,0.007,95000,0.007
2016-06-29,0.007,0.007,0.007,0.007,000,0.007
2016-06-28,0.007,0.007,0.007,0.007,000,0.007
2016-06-27,0.007,0.007,0.007,0.007,9600,0.007
2016-06-24,0.008,0.008,0.008,0.008,000,0.008
2016-06-23,0.008,0.008,0.008,0.008,000,0.008
2016-06-22,0.008,0.008,0.008,0.008,000,0.008
2016-06-21,0.008,0.008,0.008,0.008,000,0.008
2016-06-20,0.008,0.008,0.008,0.008,2500000,0.008
2016-06-17,0.008,0.008,0.008,0.008,000,0.008
2016-06-16,0.008,0.008,0.008,0.008,000,0.008
2016-06-15,0.008,0.008,0.008,0.008,000,0.008
2016-06-14,0.008,0.008,0.008,0.008,000,0.008
2016-06-13,0.008,0.008,0.008,0.008,000,0.008
2016-06-10,0.008,0.008,0.008,0.008,158100,0.008
2016-06-09,0.007,0.007,0.007,0.007,10000,0.007
2016-06-08,0.008,0.008,0.008,0.008,450600,0.008
2016-06-07,0.008,0.008,0.008,0.008,000,0.008
2016-06-06,0.008,0.008,0.008,0.008,185000,0.008
2016-06-03,0.009,0.009,0.009,0.009,000,0.009
2016-06-02,0.009,0.009,0.009,0.009,000,0.009
2016-06-01,0.009,0.009,0.009,0.009,000,0.009
2016-05-31,0.008,0.009,0.008,0.009,237000,0.009
2016-05-30,0.009,0.009,0.009,0.009,000,0.009
2016-05-27,0.009,0.009,0.009,0.009,000,0.009
2016-05-26,0.009,0.009,0.009,0.009,233800,0.009
2016-05-25,0.009,0.009,0.008,0.009,3041300,0.009
2016-05-24,0.009,0.009,0.009,0.009,728900,0.009
2016-05-23,0.009,0.009,0.009,0.009,900000,0.009
2016-05-20,0.01,0.01,0.01,0.01,1000000,0.01
2016-05-19,0.01,0.01,0.01,0.01,000,0.01
2016-05-18,0.01,0.01,0.01,0.01,50000,0.01
2016-05-17,0.009,0.009,0.009,0.009,1100000,0.009
2016-05-16,0.01,0.01,0.01,0.01,1080300,0.01
2016-05-13,0.009,0.01,0.009,0.01,4757000,0.01
2016-05-12,0.009,0.009,0.009,0.009,1786200,0.009
2016-05-11,0.009,0.009,0.009,0.009,1022300,0.009
2016-05-10,0.01,0.011,0.009,0.009,3415500,0.009
2016-05-09,0.008,0.01,0.008,0.01,5607500,0.01
2016-05-06,0.008,0.008,0.008,0.008,000,0.008
2016-05-05,0.008,0.008,0.008,0.008,1000000,0.008
2016-05-04,0.008,0.008,0.008,0.008,225000,0.008
2016-05-03,0.008,0.008,0.008,0.008,200000,0.008
2016-05-02,0.007,0.007,0.007,0.007,4740900,0.007
2016-04-29,0.007,0.007,0.007,0.007,000,0.007
2016-04-28,0.007,0.007,0.007,0.007,000,0.007
2016-04-27,0.007,0.007,0.007,0.007,1275100,0.007
2016-04-26,0.007,0.007,0.007,0.007,719800,0.007
2016-04-25,0.007,0.007,0.007,0.007,000,0.007
2016-04-22,0.007,0.007,0.007,0.007,000,0.007
2016-04-21,0.007,0.007,0.007,0.007,000,0.007
2016-04-20,0.007,0.007,0.007,0.007,13657500,0.007
2016-04-19,0.008,0.008,0.007,0.007,470400,0.007
2016-04-18,0.007,0.007,0.007,0.007,40700,0.007
2016-04-15,0.008,0.008,0.008,0.008,000,0.008
2016-04-14,0.008,0.008,0.008,0.008,000,0.008
2016-04-13,0.008,0.008,0.008,0.008,000,0.008
2016-04-12,0.008,0.008,0.008,0.008,14100,0.008
2016-04-11,0.007,0.007,0.007,0.007,000,0.007
2016-04-08,0.007,0.007,0.007,0.007,000,0.007
2016-04-07,0.007,0.007,0.007,0.007,200000,0.007
2016-04-06,0.007,0.007,0.007,0.007,514100,0.007
2016-04-05,0.007,0.007,0.007,0.007,000,0.007
2016-04-04,0.007,0.007,0.007,0.007,000,0.007
2016-04-01,0.007,0.007,0.007,0.007,000,0.007
2016-03-31,0.007,0.007,0.007,0.007,000,0.007
2016-03-30,0.007,0.007,0.007,0.007,000,0.007
2016-03-29,0.007,0.007,0.007,0.007,000,0.007
2016-03-28,0.007,0.007,0.007,0.007,000,0.007
2016-03-25,0.007,0.007,0.007,0.007,000,0.007
2016-03-24,0.007,0.007,0.007,0.007,000,0.007
2016-03-23,0.007,0.007,0.007,0.007,000,0.007
2016-03-22,0.007,0.007,0.007,0.007,000,0.007
2016-03-21,0.007,0.007,0.007,0.007,000,0.007
2016-03-18,0.007,0.007,0.007,0.007,000,0.007
2016-03-17,0.007,0.007,0.007,0.007,450000,0.007
2016-03-16,0.007,0.007,0.007,0.007,000,0.007
2016-03-15,0.007,0.007,0.007,0.007,000,0.007
2016-03-14,0.007,0.007,0.007,0.007,000,0.007
2016-03-11,0.007,0.007,0.007,0.007,000,0.007
2016-03-10,0.007,0.007,0.007,0.007,000,0.007
2016-03-09,0.007,0.007,0.007,0.007,000,0.007
2016-03-08,0.007,0.007,0.007,0.007,000,0.007
2016-03-07,0.007,0.007,0.007,0.007,2163100,0.007
2016-03-04,0.007,0.007,0.007,0.007,000,0.007
2016-03-03,0.007,0.007,0.007,0.007,000,0.007
2016-03-02,0.007,0.007,0.007,0.007,3000000,0.007
2016-03-01,0.008,0.008,0.008,0.008,000,0.008
2016-02-29,0.008,0.008,0.008,0.008,000,0.008
2016-02-26,0.008,0.008,0.008,0.008,000,0.008
2016-02-25,0.008,0.008,0.008,0.008,000,0.008
2016-02-24,0.008,0.008,0.008,0.008,000,0.008
2016-02-23,0.008,0.008,0.008,0.008,179100,0.008
2016-02-22,0.007,0.007,0.007,0.007,150000,0.007
2016-02-19,0.007,0.007,0.007,0.007,11655600,0.007
2016-02-18,0.007,0.007,0.007,0.007,826400,0.007
2016-02-17,0.007,0.007,0.007,0.007,000,0.007
2016-02-16,0.007,0.007,0.007,0.007,000,0.007
2016-02-15,0.007,0.007,0.007,0.007,4817600,0.007
2016-02-12,0.007,0.007,0.007,0.007,000,0.007
2016-02-11,0.007,0.007,0.007,0.007,187000,0.007
2016-02-10,0.007,0.007,0.007,0.007,6250000,0.007
2016-02-09,0.007,0.007,0.007,0.007,119200,0.007
2016-02-08,0.007,0.007,0.007,0.007,000,0.007
2016-02-05,0.007,0.007,0.007,0.007,000,0.007
2016-02-04,0.007,0.007,0.007,0.007,1116200,0.007
2016-02-03,0.007,0.007,0.007,0.007,000,0.007
2016-02-02,0.007,0.007,0.007,0.007,000,0.007
2016-02-01,0.007,0.007,0.007,0.007,1237100,0.007
2016-01-29,0.007,0.007,0.007,0.007,1195900,0.007
