Date,Open,High,Low,Close,Volume,Adj Close
2016-07-15,0.39,0.39,0.38,0.38,12000,0.38
2016-07-14,0.385,0.385,0.385,0.385,000,0.385
2016-07-13,0.385,0.385,0.385,0.385,000,0.385
2016-07-12,0.415,0.42,0.38,0.385,16700,0.385
2016-07-11,0.41,0.41,0.41,0.41,10800,0.41
2016-07-08,0.37,0.41,0.365,0.41,41800,0.41
2016-07-07,0.375,0.375,0.375,0.375,000,0.375
2016-07-06,0.39,0.39,0.375,0.375,5000,0.375
2016-07-05,0.40,0.40,0.365,0.365,68500,0.365
2016-07-04,0.38,0.41,0.365,0.41,429300,0.41
2016-07-01,0.35,0.35,0.35,0.35,000,0.35
2016-06-30,0.37,0.37,0.35,0.35,663400,0.35
2016-06-29,0.365,0.37,0.365,0.37,128100,0.37
2016-06-28,0.365,0.38,0.365,0.365,410700,0.365
2016-06-27,0.365,0.365,0.365,0.365,4500,0.365
2016-06-24,0.36,0.385,0.36,0.385,666200,0.385
2016-06-23,0.365,0.37,0.36,0.365,36600,0.365
2016-06-22,0.365,0.365,0.357,0.3575,21500,0.3575
2016-06-21,0.36,0.37,0.345,0.37,116600,0.37
2016-06-20,0.36,0.365,0.36,0.365,182000,0.365
2016-06-17,0.36,0.36,0.355,0.355,9000,0.355
2016-06-16,0.35,0.35,0.34,0.35,478800,0.35
2016-06-15,0.33,0.345,0.33,0.34,285500,0.34
2016-06-14,0.33,0.345,0.33,0.345,330500,0.345
2016-06-13,0.33,0.33,0.33,0.33,000,0.33
2016-06-10,0.32,0.33,0.32,0.33,158000,0.33
2016-06-09,0.325,0.33,0.325,0.33,25000,0.33
2016-06-08,0.32,0.32,0.32,0.32,000,0.32
2016-06-07,0.32,0.32,0.32,0.32,17700,0.32
2016-06-06,0.295,0.325,0.295,0.32,125700,0.32
2016-06-03,0.295,0.295,0.295,0.295,9900,0.295
2016-06-02,0.295,0.295,0.295,0.295,40000,0.295
2016-06-01,0.295,0.295,0.295,0.295,000,0.295
2016-05-31,0.295,0.295,0.295,0.295,50000,0.295
2016-05-30,0.295,0.295,0.295,0.295,000,0.295
2016-05-27,0.30,0.30,0.29,0.295,63800,0.295
2016-05-26,0.295,0.295,0.295,0.295,000,0.295
2016-05-25,0.31,0.31,0.295,0.295,10500,0.295
2016-05-24,0.31,0.31,0.31,0.31,8000,0.31
2016-05-23,0.32,0.32,0.32,0.32,46300,0.32
2016-05-20,0.32,0.335,0.32,0.33,95100,0.33
2016-05-19,0.325,0.335,0.32,0.335,122600,0.335
2016-05-18,0.32,0.34,0.32,0.34,755000,0.34
2016-05-17,0.31,0.335,0.31,0.315,1038400,0.315
2016-05-16,0.315,0.315,0.31,0.31,17500,0.31
2016-05-13,0.32,0.32,0.32,0.32,3500,0.32
2016-05-12,0.32,0.32,0.315,0.32,383000,0.32
2016-05-11,0.32,0.32,0.31,0.32,191900,0.32
2016-05-10,0.33,0.33,0.32,0.32,6300,0.32
2016-05-09,0.315,0.33,0.305,0.33,833900,0.33
2016-05-06,0.295,0.315,0.295,0.30,814000,0.30
2016-05-05,0.29,0.295,0.29,0.29,52700,0.29
2016-05-04,0.305,0.305,0.295,0.30,50900,0.30
2016-05-03,0.30,0.305,0.30,0.305,131200,0.305
2016-05-02,0.30,0.305,0.30,0.30,467100,0.30
2016-04-29,0.29,0.295,0.29,0.295,210500,0.295
2016-04-28,0.29,0.29,0.29,0.29,000,0.29
2016-04-27,0.295,0.305,0.29,0.29,481600,0.29
2016-04-26,0.285,0.30,0.285,0.295,820800,0.295
2016-04-25,0.25,0.25,0.25,0.25,000,0.25
2016-04-22,0.25,0.25,0.25,0.25,000,0.25
2016-04-21,0.25,0.25,0.25,0.25,000,0.25
2016-04-20,0.215,0.25,0.215,0.25,439000,0.25
2016-04-19,0.21,0.215,0.21,0.215,95600,0.215
2016-04-18,0.205,0.205,0.205,0.205,2500,0.205
2016-04-15,0.20,0.20,0.20,0.20,000,0.20
2016-04-14,0.20,0.20,0.20,0.20,000,0.20
2016-04-13,0.215,0.22,0.20,0.20,85900,0.20
2016-04-12,0.205,0.21,0.20,0.20,197100,0.20
2016-04-11,0.195,0.195,0.195,0.195,7500,0.195
2016-04-08,0.195,0.205,0.195,0.205,55500,0.205
2016-04-07,0.195,0.195,0.19,0.19,33700,0.19
2016-04-06,0.185,0.185,0.185,0.185,000,0.185
2016-04-05,0.185,0.185,0.185,0.185,000,0.185
2016-04-04,0.20,0.205,0.185,0.185,127200,0.185
2016-04-01,0.205,0.205,0.205,0.205,000,0.205
2016-03-31,0.205,0.205,0.205,0.205,000,0.205
2016-03-30,0.205,0.205,0.205,0.205,000,0.205
2016-03-29,0.185,0.205,0.185,0.205,74100,0.205
2016-03-28,0.195,0.195,0.195,0.195,000,0.195
2016-03-25,0.195,0.195,0.195,0.195,000,0.195
2016-03-24,0.195,0.195,0.19,0.195,58300,0.195
2016-03-23,0.205,0.21,0.20,0.20,72300,0.20
2016-03-22,0.20,0.215,0.20,0.21,140200,0.21
2016-03-21,0.18,0.18,0.18,0.18,000,0.18
2016-03-18,0.18,0.18,0.18,0.18,60000,0.18
2016-03-17,0.195,0.195,0.18,0.18,1800,0.18
2016-03-16,0.195,0.195,0.195,0.195,000,0.195
2016-03-15,0.195,0.195,0.195,0.195,41600,0.195
2016-03-14,0.20,0.20,0.20,0.20,000,0.20
2016-03-11,0.20,0.20,0.20,0.20,000,0.20
