Date,Open,High,Low,Close,Volume,Adj Close
2016-07-15,0.14,0.14,0.14,0.14,91200,0.14
2016-07-14,0.14,0.14,0.135,0.135,194000,0.135
2016-07-13,0.14,0.14,0.14,0.14,177500,0.14
2016-07-12,0.13,0.14,0.13,0.135,113200,0.135
2016-07-11,0.13,0.13,0.125,0.125,89600,0.125
2016-07-08,0.13,0.13,0.13,0.13,125000,0.13
2016-07-07,0.14,0.14,0.135,0.135,135000,0.135
2016-07-06,0.135,0.135,0.135,0.135,000,0.135
2016-07-05,0.13,0.135,0.13,0.135,116000,0.135
2016-07-04,0.13,0.13,0.13,0.13,60000,0.13
2016-07-01,0.125,0.125,0.12,0.125,80000,0.125
2016-06-30,0.12,0.125,0.12,0.125,18000,0.125
2016-06-29,0.125,0.125,0.12,0.12,17400,0.12
2016-06-28,0.12,0.12,0.115,0.115,86600,0.115
2016-06-27,0.12,0.125,0.12,0.12,290400,0.12
2016-06-24,0.13,0.13,0.12,0.13,183100,0.13
2016-06-23,0.14,0.14,0.135,0.135,24300,0.135
2016-06-22,0.135,0.14,0.135,0.14,77000,0.14
2016-06-21,0.12,0.135,0.12,0.135,133000,0.135
2016-06-20,0.12,0.12,0.115,0.12,251300,0.12
2016-06-17,0.13,0.13,0.11,0.115,704000,0.115
2016-06-16,0.135,0.135,0.125,0.13,511800,0.13
2016-06-15,0.14,0.14,0.135,0.135,74200,0.135
2016-06-14,0.14,0.14,0.135,0.14,628800,0.14
2016-06-13,0.14,0.14,0.14,0.14,000,0.14
2016-06-10,0.145,0.145,0.14,0.14,179100,0.14
2016-06-09,0.14,0.14,0.14,0.14,57600,0.14
2016-06-08,0.14,0.14,0.14,0.14,1900,0.14
2016-06-07,0.14,0.14,0.14,0.14,108700,0.14
2016-06-06,0.135,0.14,0.135,0.14,289500,0.14
2016-06-03,0.14,0.14,0.135,0.14,91700,0.14
2016-06-02,0.135,0.14,0.135,0.14,41000,0.14
2016-06-01,0.135,0.135,0.135,0.135,98700,0.135
2016-05-31,0.135,0.135,0.12,0.13,421100,0.13
2016-05-30,0.14,0.14,0.14,0.14,26800,0.14
2016-05-27,0.14,0.145,0.14,0.14,103200,0.14
2016-05-26,0.14,0.14,0.14,0.14,100000,0.14
2016-05-25,0.145,0.145,0.14,0.14,217200,0.14
2016-05-24,0.15,0.15,0.14,0.14,14200,0.14
2016-05-23,0.155,0.155,0.14,0.14,228300,0.14
2016-05-20,0.155,0.155,0.145,0.15,305100,0.15
2016-05-19,0.16,0.16,0.16,0.16,000,0.16
2016-05-18,0.155,0.16,0.155,0.16,30200,0.16
2016-05-17,0.15,0.15,0.15,0.15,125300,0.15
2016-05-16,0.155,0.155,0.15,0.15,237600,0.15
2016-05-13,0.16,0.16,0.155,0.155,54700,0.155
2016-05-12,0.16,0.16,0.16,0.16,000,0.16
2016-05-11,0.16,0.16,0.16,0.16,98400,0.16
2016-05-10,0.16,0.16,0.15,0.155,170000,0.155
2016-05-09,0.16,0.165,0.16,0.16,53000,0.16
2016-05-06,0.165,0.165,0.165,0.165,24000,0.165
2016-05-05,0.165,0.165,0.165,0.165,23800,0.165
2016-05-04,0.175,0.175,0.175,0.175,000,0.175
2016-05-03,0.17,0.175,0.17,0.175,70000,0.175
2016-05-02,0.165,0.165,0.16,0.165,87700,0.165
2016-04-29,0.16,0.165,0.16,0.165,30800,0.165
2016-04-28,0.16,0.16,0.16,0.16,000,0.16
2016-04-27,0.16,0.16,0.16,0.16,47200,0.16
2016-04-26,0.16,0.16,0.16,0.16,28500,0.16
2016-04-25,0.17,0.17,0.17,0.17,000,0.17
2016-04-22,0.17,0.17,0.17,0.17,9800,0.17
2016-04-21,0.17,0.17,0.17,0.17,000,0.17
2016-04-20,0.17,0.17,0.17,0.17,44000,0.17
2016-04-19,0.17,0.17,0.17,0.17,12000,0.17
2016-04-18,0.18,0.18,0.16,0.17,283400,0.17
2016-04-15,0.165,0.165,0.16,0.16,16500,0.16
2016-04-14,0.165,0.17,0.165,0.17,42900,0.17
2016-04-13,0.175,0.175,0.165,0.165,43000,0.165
2016-04-12,0.165,0.165,0.165,0.165,116200,0.165
2016-04-11,0.175,0.18,0.17,0.18,5100,0.18
2016-04-08,0.18,0.185,0.175,0.175,79100,0.175
2016-04-07,0.18,0.18,0.18,0.18,39800,0.18
2016-04-06,0.18,0.18,0.18,0.18,3000,0.18
2016-04-05,0.18,0.18,0.18,0.18,75100,0.18
2016-04-04,0.18,0.18,0.18,0.18,000,0.18
2016-04-01,0.18,0.18,0.18,0.18,151500,0.18
2016-03-31,0.165,0.175,0.165,0.175,36100,0.175
2016-03-30,0.17,0.175,0.165,0.165,53900,0.165
2016-03-29,0.16,0.16,0.16,0.16,40000,0.16
2016-03-28,0.16,0.16,0.16,0.16,000,0.16
2016-03-25,0.16,0.16,0.16,0.16,000,0.16
2016-03-24,0.18,0.18,0.16,0.16,217900,0.16
2016-03-23,0.175,0.18,0.175,0.18,140400,0.18
2016-03-22,0.175,0.175,0.175,0.175,36600,0.175
2016-03-21,0.18,0.18,0.175,0.175,241700,0.175
2016-03-18,0.18,0.18,0.18,0.18,000,0.18
2016-03-17,0.18,0.18,0.175,0.18,127700,0.18
2016-03-16,0.185,0.185,0.18,0.18,82500,0.18
2016-03-15,0.18,0.18,0.18,0.18,139200,0.18
2016-03-14,0.18,0.19,0.18,0.18,312700,0.18
2016-03-11,0.175,0.175,0.175,0.175,000,0.175
2016-03-10,0.175,0.175,0.17,0.175,54500,0.175
2016-03-09,0.175,0.18,0.155,0.175,350500,0.175
2016-03-08,0.175,0.175,0.175,0.175,151200,0.175
2016-03-07,0.16,0.175,0.15,0.175,337900,0.175
2016-03-04,0.165,0.165,0.15,0.165,156800,0.165
2016-03-03,0.185,0.19,0.15,0.16,713700,0.16
2016-03-02,0.15,0.16,0.145,0.155,181200,0.155
2016-03-01,0.15,0.15,0.14,0.14,406800,0.14
2016-02-29,0.145,0.165,0.14,0.16,335200,0.16
2016-02-26,0.14,0.15,0.14,0.15,60700,0.15
