Date,Open,High,Low,Close,Volume,Adj Close
2016-07-15,0.46,0.48,0.46,0.48,44500,0.48
2016-07-14,0.46,0.46,0.46,0.46,000,0.46
2016-07-13,0.46,0.46,0.46,0.46,000,0.46
2016-07-12,0.46,0.46,0.46,0.46,000,0.46
2016-07-11,0.46,0.46,0.46,0.46,000,0.46
2016-07-08,0.46,0.46,0.46,0.46,000,0.46
2016-07-07,0.46,0.46,0.46,0.46,000,0.46
2016-07-06,0.46,0.46,0.46,0.46,8000,0.46
2016-07-05,0.46,0.46,0.46,0.46,000,0.46
2016-07-04,0.46,0.46,0.46,0.46,90000,0.46
2016-07-01,0.46,0.46,0.46,0.46,000,0.46
2016-06-30,0.46,0.46,0.46,0.46,000,0.46
2016-06-29,0.46,0.46,0.46,0.46,000,0.46
2016-06-28,0.46,0.46,0.46,0.46,000,0.46
2016-06-27,0.46,0.46,0.46,0.46,000,0.46
2016-06-24,0.46,0.46,0.46,0.46,000,0.46
2016-06-23,0.46,0.46,0.46,0.46,000,0.46
2016-06-22,0.46,0.46,0.46,0.46,1900,0.46
2016-06-21,0.445,0.445,0.445,0.445,000,0.445
2016-06-20,0.445,0.445,0.445,0.445,000,0.445
2016-06-17,0.445,0.445,0.445,0.445,000,0.445
2016-06-16,0.445,0.445,0.445,0.445,000,0.445
2016-06-15,0.45,0.45,0.445,0.445,29900,0.445
2016-06-14,0.45,0.45,0.45,0.45,5600,0.45
2016-06-13,0.50,0.50,0.50,0.50,000,0.50
2016-06-10,0.50,0.50,0.50,0.50,000,0.50
2016-06-09,0.50,0.50,0.50,0.50,000,0.50
2016-06-08,0.50,0.50,0.50,0.50,000,0.50
2016-06-07,0.50,0.50,0.50,0.50,000,0.50
2016-06-06,0.50,0.50,0.50,0.50,000,0.50
2016-06-03,0.50,0.50,0.50,0.50,10300,0.50
2016-06-02,0.485,0.485,0.485,0.485,000,0.485
2016-06-01,0.485,0.485,0.485,0.485,000,0.485
2016-05-31,0.485,0.485,0.485,0.485,000,0.485
2016-05-30,0.485,0.485,0.485,0.485,000,0.485
2016-05-27,0.44,0.485,0.44,0.485,104700,0.485
2016-05-26,0.42,0.42,0.42,0.42,000,0.42
2016-05-25,0.42,0.42,0.42,0.42,000,0.42
2016-05-24,0.42,0.42,0.42,0.42,000,0.42
2016-05-23,0.42,0.42,0.42,0.42,10000,0.42
2016-05-20,0.42,0.42,0.42,0.42,000,0.42
2016-05-19,0.42,0.42,0.42,0.42,000,0.42
2016-05-18,0.42,0.42,0.42,0.42,20000,0.42
2016-05-17,0.42,0.42,0.42,0.42,5200,0.42
2016-05-16,0.45,0.45,0.45,0.45,000,0.45
2016-05-13,0.45,0.45,0.45,0.45,000,0.45
2016-05-12,0.445,0.45,0.445,0.45,23500,0.45
2016-05-11,0.425,0.425,0.425,0.425,000,0.425
2016-05-10,0.425,0.425,0.425,0.425,000,0.425
2016-05-09,0.425,0.425,0.425,0.425,000,0.425
2016-05-06,0.425,0.425,0.425,0.425,25000,0.425
2016-05-05,0.415,0.415,0.415,0.415,000,0.415
2016-05-04,0.41,0.415,0.41,0.415,4027600,0.415
2016-05-03,0.39,0.39,0.39,0.39,000,0.39
2016-05-02,0.39,0.39,0.39,0.39,000,0.39
2016-04-29,0.39,0.39,0.39,0.39,000,0.39
2016-04-28,0.39,0.39,0.39,0.39,000,0.39
2016-04-27,0.39,0.39,0.39,0.39,000,0.39
2016-04-26,0.39,0.39,0.39,0.39,000,0.39
2016-04-25,0.39,0.39,0.39,0.39,000,0.39
2016-04-22,0.39,0.39,0.39,0.39,000,0.39
2016-04-21,0.39,0.39,0.39,0.39,000,0.39
2016-04-20,0.39,0.39,0.39,0.39,000,0.39
2016-04-19,0.39,0.39,0.39,0.39,600,0.39
2016-04-18,0.40,0.40,0.40,0.40,000,0.40
2016-04-15,0.40,0.40,0.40,0.40,000,0.40
2016-04-14,0.40,0.40,0.40,0.40,2200,0.40
2016-04-13,0.40,0.40,0.40,0.40,000,0.40
2016-04-12,0.40,0.40,0.40,0.40,000,0.40
2016-04-11,0.40,0.40,0.40,0.40,2800,0.40
2016-04-08,0.40,0.40,0.40,0.40,000,0.40
