Date,Open,High,Low,Close,Volume,Adj Close
2016-07-15,0.01,0.01,0.01,0.01,000,0.01
2016-07-14,0.01,0.01,0.01,0.01,000,0.01
2016-07-13,0.01,0.01,0.01,0.01,800000,0.01
2016-07-12,0.008,0.008,0.008,0.008,17000,0.008
2016-07-11,0.01,0.01,0.01,0.01,100000,0.01
2016-07-08,0.01,0.01,0.01,0.01,65000,0.01
2016-07-07,0.009,0.009,0.009,0.009,000,0.009
2016-07-06,0.009,0.009,0.009,0.009,312900,0.009
2016-07-05,0.008,0.008,0.008,0.008,13000,0.008
2016-07-04,0.008,0.008,0.008,0.008,110500,0.008
2016-07-01,0.009,0.009,0.009,0.009,330000,0.009
2016-06-30,0.008,0.008,0.008,0.008,1285800,0.008
2016-06-29,0.008,0.008,0.008,0.008,69500,0.008
2016-06-28,0.008,0.008,0.008,0.008,344500,0.008
2016-06-27,0.008,0.008,0.008,0.008,000,0.008
2016-06-24,0.008,0.008,0.008,0.008,143200,0.008
2016-06-23,0.008,0.008,0.008,0.008,154200,0.008
2016-06-22,0.01,0.01,0.009,0.009,268100,0.009
2016-06-21,0.009,0.009,0.009,0.009,641000,0.009
2016-06-20,0.01,0.01,0.01,0.01,000,0.01
2016-06-17,0.01,0.01,0.01,0.01,94400,0.01
2016-06-16,0.01,0.01,0.01,0.01,189000,0.01
2016-06-15,0.008,0.008,0.008,0.008,000,0.008
2016-06-14,0.01,0.01,0.007,0.008,6190600,0.008
2016-06-13,0.01,0.01,0.01,0.01,000,0.01
2016-06-10,0.01,0.012,0.01,0.01,118900,0.01
2016-06-09,0.01,0.01,0.01,0.01,000,0.01
2016-06-08,0.01,0.01,0.01,0.01,10000,0.01
2016-06-07,0.01,0.01,0.01,0.01,000,0.01
2016-06-06,0.01,0.01,0.01,0.01,10000,0.01
2016-06-03,0.01,0.01,0.01,0.01,100,0.01
2016-06-02,0.011,0.011,0.011,0.011,000,0.011
2016-06-01,0.011,0.011,0.011,0.011,291200,0.011
2016-05-31,0.011,0.011,0.011,0.011,9800,0.011
2016-05-30,0.011,0.011,0.011,0.011,39600,0.011
2016-05-27,0.011,0.011,0.011,0.011,000,0.011
2016-05-26,0.011,0.011,0.011,0.011,22300,0.011
2016-05-25,0.011,0.011,0.011,0.011,307700,0.011
2016-05-24,0.011,0.011,0.011,0.011,160000,0.011
2016-05-23,0.011,0.011,0.011,0.011,139200,0.011
2016-05-20,0.011,0.011,0.011,0.011,206200,0.011
2016-05-19,0.011,0.011,0.01,0.01,108800,0.01
2016-05-18,0.011,0.011,0.011,0.011,4300,0.011
2016-05-17,0.011,0.011,0.011,0.011,23100,0.011
2016-05-16,0.011,0.012,0.011,0.012,11000,0.012
2016-05-13,0.012,0.012,0.011,0.011,196700,0.011
2016-05-12,0.012,0.012,0.011,0.011,167000,0.011
2016-05-11,0.012,0.013,0.012,0.013,200000,0.013
2016-05-10,0.012,0.012,0.012,0.012,13300,0.012
2016-05-09,0.012,0.012,0.012,0.012,1033900,0.012
2016-05-06,0.01,0.011,0.01,0.011,43900,0.011
2016-05-05,0.01,0.011,0.01,0.01,411800,0.01
2016-05-04,0.01,0.01,0.01,0.01,491900,0.01
2016-05-03,0.01,0.0105,0.01,0.01,82300,0.01
2016-05-02,0.01,0.01,0.01,0.01,4000,0.01
2016-04-29,0.01,0.01,0.01,0.01,70800,0.01
2016-04-28,0.01,0.01,0.01,0.01,79100,0.01
2016-04-27,0.01,0.01,0.01,0.01,000,0.01
2016-04-26,0.01,0.01,0.01,0.01,599200,0.01
2016-04-25,0.01,0.01,0.01,0.01,000,0.01
2016-04-22,0.01,0.01,0.01,0.01,544200,0.01
2016-04-21,0.011,0.011,0.011,0.011,2406500,0.011
2016-04-20,0.013,0.013,0.011,0.011,2448800,0.011
2016-04-19,0.013,0.013,0.012,0.013,1088300,0.013
2016-04-18,0.013,0.013,0.013,0.013,55000,0.013
2016-04-15,0.013,0.013,0.013,0.013,207000,0.013
2016-04-14,0.013,0.013,0.013,0.013,1700,0.013
2016-04-13,0.014,0.014,0.013,0.014,158600,0.014
2016-04-12,0.013,0.013,0.013,0.013,000,0.013
2016-04-11,0.014,0.014,0.013,0.013,237900,0.013
2016-04-08,0.016,0.016,0.014,0.014,573000,0.014
2016-04-07,0.015,0.016,0.015,0.016,439100,0.016
2016-04-06,0.015,0.015,0.015,0.015,587500,0.015
2016-04-05,0.015,0.015,0.014,0.014,57200,0.014
2016-04-04,0.015,0.016,0.015,0.015,590200,0.015
2016-04-01,0.014,0.014,0.014,0.014,9000,0.014
2016-03-31,0.015,0.015,0.015,0.015,345600,0.015
2016-03-30,0.014,0.014,0.014,0.014,000,0.014
2016-03-29,0.014,0.014,0.014,0.014,178600,0.014
2016-03-28,0.015,0.015,0.015,0.015,000,0.015
2016-03-25,0.015,0.015,0.015,0.015,000,0.015
2016-03-24,0.015,0.015,0.015,0.015,143500,0.015
2016-03-23,0.014,0.015,0.014,0.015,155000,0.015
2016-03-22,0.014,0.014,0.014,0.014,6000,0.014
2016-03-21,0.014,0.015,0.014,0.015,723600,0.015
2016-03-18,0.014,0.014,0.014,0.014,146000,0.014
2016-03-17,0.015,0.015,0.014,0.014,368400,0.014
2016-03-16,0.016,0.016,0.015,0.015,2558800,0.015
2016-03-15,0.015,0.016,0.015,0.016,5510300,0.016
2016-03-14,0.014,0.015,0.013,0.015,2558900,0.015
2016-03-11,0.013,0.014,0.013,0.014,2229100,0.014
2016-03-10,0.012,0.013,0.011,0.012,1711100,0.012
2016-03-09,0.012,0.014,0.011,0.012,3081000,0.012
2016-03-08,0.008,0.012,0.007,0.01,24150600,0.01
2016-03-07,0.008,0.008,0.008,0.008,000,0.008
2016-03-04,0.008,0.008,0.008,0.008,477600,0.008
2016-03-03,0.009,0.009,0.007,0.008,1269400,0.008
2016-03-02,0.008,0.008,0.008,0.008,9939100,0.008
2016-03-01,0.009,0.009,0.008,0.008,2827400,0.008
2016-02-29,0.007,0.008,0.007,0.008,78782300,0.008
2016-02-26,0.006,0.007,0.006,0.007,2512000,0.007
2016-02-25,0.007,0.007,0.006,0.006,2351500,0.006
2016-02-24,0.008,0.008,0.006,0.007,2281100,0.007
2016-02-23,0.007,0.007,0.007,0.007,000,0.007
2016-02-22,0.007,0.007,0.007,0.007,000,0.007
2016-02-19,0.007,0.007,0.007,0.007,000,0.007
2016-02-18,0.007,0.007,0.006,0.007,10010200,0.007
2016-02-17,0.008,0.008,0.008,0.008,000,0.008
2016-02-16,0.008,0.008,0.008,0.008,000,0.008
2016-02-15,0.008,0.008,0.008,0.008,63000,0.008
2016-02-12,0.007,0.007,0.007,0.007,269100,0.007
2016-02-11,0.008,0.008,0.008,0.008,000,0.008
2016-02-10,0.008,0.0085,0.008,0.008,2514700,0.008
2016-02-09,0.008,0.0085,0.008,0.008,1263800,0.008
2016-02-08,0.008,0.008,0.008,0.008,98500,0.008
