Date,Open,High,Low,Close,Volume,Adj Close
2016-07-15,0.73,0.7475,0.725,0.735,105200,0.735
2016-07-14,0.75,0.75,0.73,0.735,64600,0.735
2016-07-13,0.73,0.74,0.725,0.74,156700,0.74
2016-07-12,0.74,0.745,0.725,0.725,111800,0.725
2016-07-11,0.755,0.76,0.73,0.74,264000,0.74
2016-07-08,0.76,0.765,0.745,0.755,75200,0.755
2016-07-07,0.752,0.77,0.747,0.75,166900,0.75
2016-07-06,0.75,0.755,0.735,0.755,108300,0.755
2016-07-05,0.735,0.75,0.735,0.735,239500,0.735
2016-07-04,0.71,0.735,0.705,0.735,98600,0.735
2016-07-01,0.72,0.73,0.70,0.705,171300,0.705
2016-06-30,0.705,0.727,0.70,0.72,259900,0.72
2016-06-29,0.71,0.715,0.70,0.71,62000,0.71
2016-06-28,0.71,0.71,0.685,0.71,271000,0.71
2016-06-27,0.70,0.71,0.69,0.71,246700,0.71
2016-06-24,0.737,0.7375,0.70,0.705,294700,0.705
2016-06-23,0.725,0.75,0.722,0.735,138900,0.735
2016-06-22,0.745,0.75,0.725,0.725,230900,0.725
2016-06-21,0.74,0.755,0.74,0.755,226600,0.755
2016-06-20,0.755,0.76,0.725,0.74,120100,0.74
2016-06-17,0.73,0.755,0.72,0.755,221000,0.755
2016-06-16,0.70,0.745,0.70,0.74,169600,0.74
2016-06-15,0.75,0.76,0.69,0.695,534900,0.695
2016-06-14,0.78,0.785,0.72,0.735,498300,0.735
2016-06-13,0.78,0.78,0.78,0.78,000,0.78
2016-06-10,0.765,0.785,0.765,0.78,142900,0.78
2016-06-09,0.765,0.785,0.765,0.765,219200,0.765
2016-06-08,0.775,0.775,0.76,0.77,170400,0.77
2016-06-07,0.757,0.79,0.757,0.78,551300,0.78
2016-06-06,0.735,0.76,0.735,0.755,228300,0.755
2016-06-03,0.79,0.79,0.74,0.74,365500,0.74
2016-06-02,0.77,0.795,0.76,0.785,465800,0.785
2016-06-01,0.72,0.765,0.71,0.755,651800,0.755
2016-05-31,0.70,0.72,0.70,0.72,276300,0.72
2016-05-30,0.69,0.71,0.69,0.705,239700,0.705
2016-05-27,0.715,0.715,0.68,0.685,320600,0.685
2016-05-26,0.715,0.725,0.705,0.71,448000,0.71
2016-05-25,0.685,0.71,0.675,0.71,571500,0.71
2016-05-24,0.69,0.695,0.66,0.68,299000,0.68
2016-05-23,0.67,0.69,0.66,0.69,300900,0.69
2016-05-20,0.675,0.675,0.655,0.66,129900,0.66
2016-05-19,0.68,0.695,0.655,0.66,1173200,0.66
2016-05-18,0.655,0.68,0.645,0.675,657600,0.675
2016-05-17,0.66,0.66,0.645,0.65,165700,0.65
2016-05-16,0.65,0.66,0.64,0.66,414300,0.66
2016-05-13,0.63,0.64,0.63,0.64,63900,0.64
2016-05-12,0.63,0.635,0.625,0.625,105700,0.625
2016-05-11,0.635,0.64,0.625,0.625,205500,0.625
2016-05-10,0.63,0.645,0.63,0.635,149400,0.635
2016-05-09,0.635,0.64,0.63,0.64,349900,0.64
2016-05-06,0.63,0.64,0.625,0.63,102800,0.63
2016-05-05,0.62,0.64,0.62,0.63,166400,0.63
2016-05-04,0.625,0.64,0.62,0.635,317800,0.635
2016-05-03,0.625,0.645,0.625,0.625,162600,0.625
2016-05-02,0.615,0.64,0.61,0.625,346700,0.625
2016-04-29,0.63,0.635,0.615,0.615,234200,0.615
2016-04-28,0.64,0.67,0.635,0.635,184600,0.635
2016-04-27,0.64,0.68,0.63,0.64,835300,0.64
2016-04-26,0.65,0.655,0.64,0.64,86900,0.64
2016-04-25,0.655,0.655,0.655,0.655,000,0.655
2016-04-22,0.66,0.66,0.645,0.655,142000,0.655
2016-04-21,0.65,0.66,0.635,0.66,253000,0.66
2016-04-20,0.63,0.65,0.63,0.65,184400,0.65
2016-04-19,0.625,0.64,0.625,0.63,80800,0.63
2016-04-18,0.632,0.645,0.63,0.64,162600,0.64
2016-04-15,0.63,0.64,0.62,0.64,251000,0.64
2016-04-14,0.61,0.632,0.60,0.625,268200,0.625
2016-04-13,0.615,0.62,0.60,0.60,260100,0.60
2016-04-12,0.605,0.615,0.595,0.615,219700,0.615
2016-04-11,0.595,0.61,0.59,0.605,170400,0.605
2016-04-08,0.61,0.61,0.59,0.59,101500,0.59
2016-04-07,0.605,0.61,0.60,0.61,88700,0.61
2016-04-06,0.61,0.61,0.595,0.60,44600,0.60
2016-04-05,0.602,0.6075,0.595,0.595,123000,0.595
2016-04-04,0.59,0.61,0.585,0.60,87600,0.60
2016-04-01,0.61,0.61,0.585,0.585,190500,0.585
2016-03-31,0.59,0.61,0.585,0.605,174900,0.605
2016-03-30,0.585,0.595,0.58,0.58,298400,0.58
2016-03-29,0.60,0.625,0.58,0.58,823800,0.58
2016-03-28,0.59,0.59,0.59,0.59,000,0.59
2016-03-25,0.59,0.59,0.59,0.59,000,0.59
2016-03-24,0.625,0.635,0.59,0.59,611200,0.59
2016-03-23,0.64,0.65,0.605,0.605,878300,0.605
2016-03-22,0.645,0.645,0.62,0.62,553500,0.62
2016-03-21,0.645,0.66,0.64,0.64,510800,0.64
2016-03-18,0.67,0.67,0.64,0.64,2648700,0.64
2016-03-17,0.665,0.665,0.655,0.655,295800,0.655
2016-03-16,0.655,0.67,0.655,0.665,251800,0.665
2016-03-15,0.66,0.67,0.655,0.655,184200,0.655
2016-03-14,0.65,0.675,0.65,0.675,150800,0.675
2016-03-11,0.66,0.67,0.645,0.645,541900,0.645
2016-03-10,0.675,0.685,0.655,0.66,368700,0.66
2016-03-09,0.655,0.675,0.655,0.67,238000,0.67
2016-03-08,0.66,0.665,0.65,0.655,449100,0.655
2016-03-07,0.665,0.665,0.65,0.66,326300,0.66
2016-03-04,0.665,0.67,0.655,0.655,282800,0.655
2016-03-03,0.67,0.68,0.66,0.665,123500,0.665
2016-03-02,0.655,0.68,0.655,0.66,153700,0.66
2016-03-01,0.66,0.68,0.655,0.655,135300,0.655
2016-02-29,0.675,0.675,0.66,0.66,225000,0.66
2016-02-26,0.68,0.685,0.67,0.67,140200,0.67
2016-02-25,0.69,0.71,0.67,0.67,497000,0.67
2016-02-24,0.66,0.68,0.655,0.655,143400,0.655
2016-02-23,0.69,0.69,0.657,0.66,159200,0.66
2016-02-22,0.66,0.70,0.655,0.69,271500,0.69
2016-02-19,0.64,0.655,0.635,0.655,201200,0.655
2016-02-18,0.63,0.64,0.625,0.64,216700,0.64
2016-02-17,0.63,0.635,0.625,0.625,100700,0.625
2016-02-16,0.625,0.63,0.62,0.63,60500,0.63
2016-02-15,0.63,0.63,0.62,0.62,198000,0.62
2016-02-12,0.62,0.635,0.62,0.62,261400,0.62
2016-02-11,0.61,0.625,0.605,0.625,222100,0.625
2016-02-10,0.62,0.625,0.60,0.61,392700,0.61
2016-02-09,0.63,0.63,0.60,0.61,423300,0.61
2016-02-08,0.645,0.65,0.63,0.63,231600,0.63
2016-02-05,0.655,0.67,0.65,0.65,187300,0.65
2016-02-04,0.67,0.70,0.655,0.655,219500,0.655
2016-02-03,0.66,0.677,0.66,0.67,117000,0.67
2016-02-02,0.71,0.71,0.66,0.66,76600,0.66
2016-02-01,0.715,0.715,0.665,0.665,328900,0.665
2016-01-29,0.725,0.73,0.705,0.705,117000,0.705
2016-01-28,0.70,0.74,0.70,0.72,205400,0.72
2016-01-27,0.675,0.695,0.67,0.68,70500,0.68
2016-01-26,0.675,0.675,0.675,0.675,000,0.675
2016-01-25,0.655,0.68,0.645,0.675,142500,0.675
2016-01-22,0.63,0.655,0.625,0.64,117300,0.64
2016-01-21,0.655,0.655,0.62,0.62,191900,0.62
2016-01-20,0.675,0.675,0.645,0.645,169900,0.645
2016-01-19,0.675,0.675,0.66,0.66,160600,0.66
2016-01-18,0.68,0.695,0.665,0.67,196700,0.67
2016-01-15,0.685,0.70,0.68,0.68,103400,0.68
2016-01-14,0.695,0.695,0.685,0.685,113900,0.685
2016-01-13,0.69,0.69,0.675,0.685,249200,0.685
2016-01-12,0.71,0.715,0.68,0.685,286300,0.685
2016-01-11,0.72,0.725,0.71,0.71,198500,0.71
2016-01-08,0.73,0.75,0.71,0.72,240500,0.72
2016-01-07,0.755,0.77,0.73,0.755,146700,0.755
2016-01-06,0.78,0.785,0.75,0.755,218000,0.755
2016-01-05,0.77,0.79,0.76,0.775,290000,0.775
2016-01-04,0.75,0.765,0.74,0.765,172800,0.765
2016-01-01,0.75,0.75,0.75,0.75,000,0.75
2015-12-31,0.72,0.75,0.72,0.75,135200,0.75
2015-12-30,0.72,0.735,0.72,0.735,115000,0.735
2015-12-29,0.735,0.745,0.725,0.73,170700,0.73
2015-12-28,0.745,0.745,0.745,0.745,000,0.745
2015-12-25,0.745,0.745,0.745,0.745,000,0.745
2015-12-24,0.75,0.75,0.74,0.745,46600,0.745
2015-12-23,0.74,0.75,0.735,0.75,133900,0.75
2015-12-22,0.72,0.74,0.715,0.715,100900,0.715
2015-12-21,0.71,0.74,0.71,0.74,104400,0.74
2015-12-18,0.71,0.715,0.705,0.71,53800,0.71
2015-12-17,0.70,0.72,0.70,0.715,341600,0.715
2015-12-16,0.69,0.72,0.685,0.70,124900,0.70
2015-12-15,0.69,0.695,0.68,0.685,85300,0.685
2015-12-14,0.68,0.695,0.68,0.685,177800,0.685
2015-12-11,0.695,0.695,0.675,0.675,78300,0.675
2015-12-10,0.68,0.70,0.68,0.68,92100,0.68
2015-12-09,0.69,0.695,0.675,0.675,123600,0.675
2015-12-08,0.685,0.70,0.68,0.69,92900,0.69
2015-12-07,0.685,0.695,0.685,0.685,66400,0.685
2015-12-04,0.69,0.73,0.685,0.685,112400,0.685
2015-12-03,0.685,0.69,0.675,0.675,197200,0.675
2015-12-02,0.70,0.70,0.68,0.68,359200,0.68
2015-12-01,0.715,0.715,0.685,0.70,348200,0.70
2015-11-30,0.75,0.75,0.72,0.72,213800,0.72
2015-11-27,0.73,0.735,0.72,0.72,97900,0.72
2015-11-26,0.76,0.76,0.72,0.72,454200,0.72
2015-11-25,0.78,0.78,0.75,0.75,291900,0.75
2015-11-24,0.76,0.78,0.76,0.78,119200,0.78
2015-11-23,0.785,0.785,0.76,0.76,196800,0.76
2015-11-20,0.775,0.785,0.765,0.765,126000,0.765
2015-11-19,0.75,0.78,0.75,0.78,207600,0.78
2015-11-18,0.76,0.78,0.74,0.74,223900,0.74
2015-11-17,0.75,0.78,0.745,0.755,222900,0.755
2015-11-16,0.77,0.77,0.75,0.77,149200,0.77
2015-11-13,0.765,0.775,0.76,0.775,134200,0.775
2015-11-12,0.79,0.79,0.76,0.77,330900,0.77
2015-11-11,0.80,0.80,0.77,0.775,208900,0.775
2015-11-10,0.77,0.805,0.77,0.80,512400,0.80
2015-11-09,0.77,0.79,0.76,0.77,259300,0.77
2015-11-06,0.76,0.765,0.75,0.765,126300,0.765
2015-11-05,0.75,0.76,0.73,0.76,206000,0.76
2015-11-04,0.74,0.75,0.72,0.73,168100,0.73
2015-11-03,0.745,0.745,0.72,0.735,351800,0.735
2015-11-02,0.735,0.76,0.735,0.745,76400,0.745
2015-10-30,0.75,0.765,0.735,0.735,166700,0.735
2015-10-29,0.74,0.785,0.74,0.75,211500,0.75
2015-10-28,0.755,0.755,0.72,0.73,317800,0.73
2015-10-27,0.78,0.78,0.75,0.75,343800,0.75
2015-10-26,0.80,0.81,0.775,0.78,658400,0.78
2015-10-23,0.74,0.795,0.74,0.785,1868900,0.785
2015-10-22,0.70,0.70,0.675,0.675,222800,0.675
2015-10-21,0.68,0.695,0.68,0.685,80500,0.685
2015-10-20,0.705,0.71,0.675,0.675,225600,0.675
2015-10-19,0.68,0.695,0.68,0.69,186000,0.69
2015-10-16,0.695,0.715,0.675,0.675,341700,0.675
2015-10-15,0.725,0.725,0.695,0.695,217000,0.695
2015-10-14,0.735,0.745,0.725,0.725,318900,0.725
2015-10-13,0.68,0.74,0.675,0.70,368500,0.70
2015-10-12,0.68,0.69,0.665,0.665,367700,0.665
2015-10-09,0.66,0.69,0.66,0.675,256700,0.675
2015-10-08,0.635,0.665,0.63,0.65,559300,0.65
2015-10-07,0.585,0.63,0.585,0.625,506000,0.625
2015-10-06,0.59,0.59,0.58,0.58,184900,0.58
2015-10-05,0.58,0.59,0.58,0.59,46300,0.59
2015-10-02,0.585,0.59,0.58,0.58,212500,0.58
2015-10-01,0.57,0.59,0.565,0.58,324800,0.58
2015-09-30,0.595,0.60,0.565,0.57,839500,0.57
2015-09-29,0.595,0.60,0.59,0.59,110500,0.59
2015-09-28,0.595,0.60,0.59,0.595,190900,0.595
2015-09-25,0.59,0.60,0.59,0.59,235400,0.59
2015-09-24,0.595,0.60,0.58,0.58,266700,0.58
2015-09-23,0.60,0.60,0.59,0.59,165600,0.59
2015-09-22,0.60,0.61,0.60,0.60,128900,0.60
2015-09-21,0.61,0.61,0.58,0.585,564700,0.585
2015-09-18,0.60,0.625,0.60,0.605,298100,0.605
2015-09-17,0.615,0.625,0.60,0.60,287500,0.60
2015-09-16,0.61,0.625,0.61,0.61,167700,0.61
2015-09-15,0.61,0.62,0.61,0.61,75900,0.61
2015-09-14,0.61,0.63,0.605,0.605,438800,0.605
2015-09-11,0.61,0.62,0.605,0.605,436000,0.605
2015-09-10,0.62,0.62,0.605,0.61,246100,0.61
2015-09-09,0.605,0.625,0.60,0.62,349500,0.62
2015-09-08,0.60,0.64,0.585,0.59,815300,0.59
2015-09-07,0.585,0.59,0.575,0.58,227600,0.58
2015-09-04,0.615,0.615,0.575,0.585,1157700,0.585
2015-09-03,0.615,0.62,0.61,0.615,233900,0.615
2015-09-02,0.615,0.62,0.61,0.615,334600,0.615
2015-09-01,0.63,0.635,0.62,0.62,266400,0.62
2015-08-31,0.63,0.635,0.62,0.63,100100,0.63
2015-08-28,0.625,0.63,0.62,0.62,188300,0.62
2015-08-27,0.65,0.655,0.625,0.625,410700,0.625
2015-08-26,0.655,0.66,0.64,0.65,52400,0.65
2015-08-25,0.63,0.67,0.61,0.655,629900,0.655
2015-08-24,0.68,0.68,0.63,0.645,653400,0.645
2015-08-21,0.685,0.70,0.67,0.695,445600,0.695
2015-08-20,0.662,0.69,0.655,0.675,366100,0.675
2015-08-19,0.675,0.68,0.66,0.66,175300,0.66
2015-08-18,0.65,0.675,0.635,0.66,670600,0.66
2015-08-17,0.75,0.76,0.71,0.71,848000,0.6243
2015-08-14,0.745,0.76,0.72,0.74,856600,0.6507
2015-08-13,0.705,0.755,0.70,0.73,2696200,0.6419
2015-08-12,0.665,0.67,0.645,0.67,387900,0.5891
2015-08-11,0.64,0.67,0.63,0.64,2505300,0.5627
2015-08-10,0.65,0.67,0.625,0.65,716500,0.5715
2015-08-07,0.66,0.68,0.65,0.665,816400,0.5847
2015-08-06,0.66,0.68,0.66,0.66,1728300,0.5803
2015-08-05,0.68,0.69,0.65,0.655,1107200,0.5759
2015-08-04,0.685,0.695,0.67,0.675,1402700,0.5935
2015-08-03,0.69,0.705,0.68,0.68,1410100,0.5979
2015-07-31,0.695,0.70,0.68,0.68,437600,0.5979
2015-07-30,0.70,0.705,0.685,0.685,889000,0.6023
2015-07-29,0.72,0.72,0.685,0.695,2161900,0.6111
2015-07-28,0.78,0.80,0.72,0.72,6171000,0.6331
2015-07-27,0.84,0.84,0.78,0.785,1833000,0.6902
2015-07-24,1.00,1.02,0.84,0.86,1262200,0.7562
2015-07-23,0.94,1.00,0.94,0.99,763700,0.8705
2015-07-22,0.885,0.935,0.88,0.935,1350500,0.8221
2015-07-21,0.885,0.90,0.88,0.885,162800,0.7782
2015-07-20,0.895,0.895,0.875,0.895,251300,0.787
2015-07-17,0.87,0.895,0.86,0.88,485600,0.7738
2015-07-16,0.865,0.87,0.855,0.86,82000,0.7562
2015-07-15,0.85,0.865,0.85,0.865,122400,0.7606
2015-07-14,0.86,0.87,0.84,0.85,302500,0.7474
2015-07-13,0.86,0.87,0.85,0.855,134300,0.7518
2015-07-10,0.86,0.86,0.845,0.86,134400,0.7562
2015-07-09,0.86,0.86,0.84,0.86,124300,0.7562
2015-07-08,0.84,0.87,0.84,0.86,158100,0.7562
2015-07-07,0.855,0.875,0.837,0.855,353800,0.7518
2015-07-06,0.84,0.855,0.83,0.855,68600,0.7518
2015-07-03,0.855,0.86,0.84,0.855,75700,0.7518
2015-07-02,0.845,0.875,0.83,0.865,220900,0.7606
2015-07-01,0.855,0.855,0.835,0.845,57800,0.743
2015-06-30,0.80,0.865,0.80,0.85,348500,0.7474
2015-06-29,0.825,0.825,0.80,0.805,240600,0.7078
2015-06-26,0.85,0.855,0.825,0.825,124700,0.7254
2015-06-25,0.85,0.86,0.84,0.86,106500,0.7562
2015-06-24,0.82,0.85,0.82,0.85,279900,0.7474
2015-06-23,0.83,0.84,0.82,0.83,110600,0.7298
2015-06-22,0.83,0.86,0.81,0.835,397100,0.7342
2015-06-19,0.86,0.865,0.82,0.82,879400,0.721
2015-06-18,0.845,0.865,0.845,0.86,223000,0.7562
2015-06-17,0.85,0.86,0.835,0.84,319600,0.7386
2015-06-16,0.86,0.865,0.85,0.86,96600,0.7562
2015-06-15,0.865,0.865,0.845,0.85,293200,0.7474
2015-06-12,0.86,0.87,0.85,0.87,89900,0.765
2015-06-11,0.865,0.865,0.845,0.86,118900,0.7562
2015-06-10,0.85,0.87,0.84,0.865,109400,0.7606
2015-06-09,0.895,0.895,0.84,0.85,357300,0.7474
2015-06-08,0.895,0.895,0.895,0.895,000,0.787
2015-06-05,0.875,0.90,0.87,0.895,182800,0.787
2015-06-04,0.90,0.91,0.86,0.875,270800,0.7694
2015-06-03,0.915,0.915,0.89,0.90,130200,0.7913
2015-06-02,0.90,0.915,0.895,0.91,90100,0.8001
2015-06-01,0.90,0.91,0.885,0.91,186200,0.8001
2015-05-29,0.895,0.91,0.89,0.89,119600,0.7826
2015-05-28,0.89,0.90,0.885,0.89,81600,0.7826
2015-05-27,0.91,0.91,0.88,0.885,251100,0.7782
2015-05-26,0.91,0.92,0.89,0.91,93600,0.8001
2015-05-25,0.91,0.925,0.905,0.91,91900,0.8001
2015-05-22,0.91,0.925,0.905,0.92,136500,0.8089
2015-05-21,0.925,0.93,0.905,0.91,121500,0.8001
2015-05-20,0.94,0.94,0.90,0.92,328800,0.8089
2015-05-19,0.88,0.945,0.875,0.92,661100,0.8089
2015-05-18,0.89,0.89,0.87,0.875,180900,0.7694
2015-05-15,0.875,0.91,0.87,0.89,602700,0.7826
2015-05-14,0.885,0.885,0.855,0.875,277200,0.7694
2015-05-13,0.88,0.885,0.865,0.885,114900,0.7782
2015-05-12,0.88,0.88,0.87,0.88,146700,0.7738
2015-05-11,0.875,0.885,0.845,0.86,308000,0.7562
2015-05-08,0.88,0.885,0.865,0.865,157000,0.7606
2015-05-07,0.89,0.89,0.855,0.88,175500,0.7738
2015-05-06,0.91,0.91,0.875,0.89,208700,0.7826
2015-05-05,0.88,0.92,0.875,0.915,244100,0.8045
2015-05-04,0.87,0.88,0.84,0.875,434300,0.7694
2015-05-01,0.89,0.89,0.86,0.865,345600,0.7606
2015-04-30,0.91,0.92,0.88,0.89,119300,0.7826
2015-04-29,0.92,0.92,0.86,0.905,470600,0.7957
2015-04-28,0.93,0.945,0.895,0.92,419200,0.8089
2015-04-27,0.96,0.98,0.93,0.935,639200,0.8221
2015-04-24,0.865,0.97,0.86,0.95,1394100,0.8353
2015-04-23,0.85,0.86,0.835,0.845,189400,0.743
2015-04-22,0.855,0.865,0.835,0.85,274800,0.7474
2015-04-21,0.86,0.865,0.845,0.855,203700,0.7518
2015-04-20,0.86,0.865,0.85,0.86,448300,0.7562
2015-04-17,0.82,0.865,0.815,0.865,727200,0.7606
2015-04-16,0.84,0.845,0.815,0.815,251800,0.7166
2015-04-15,0.825,0.845,0.825,0.83,186300,0.7298
2015-04-14,0.83,0.845,0.82,0.82,186900,0.721
2015-04-13,0.835,0.852,0.82,0.83,380600,0.7298
2015-04-10,0.83,0.84,0.815,0.835,157800,0.7342
2015-04-09,0.835,0.835,0.805,0.815,306500,0.7166
2015-04-08,0.83,0.84,0.82,0.82,157500,0.721
2015-04-07,0.835,0.86,0.82,0.82,475500,0.721
2015-04-06,0.84,0.84,0.84,0.84,000,0.7386
2015-04-03,0.84,0.84,0.84,0.84,000,0.7386
2015-04-02,0.86,0.875,0.835,0.84,377200,0.7386
2015-04-01,0.86,0.88,0.85,0.87,327500,0.765
2015-03-31,0.85,0.89,0.84,0.86,738000,0.7562
2015-03-30,0.885,0.89,0.825,0.83,779800,0.7298
2015-03-27,0.83,0.875,0.82,0.87,999600,0.765
2015-03-26,0.82,0.83,0.815,0.82,348500,0.721
2015-03-25,0.825,0.84,0.81,0.815,495000,0.7166
2015-03-24,0.80,0.84,0.80,0.805,694300,0.7078
2015-03-23,0.79,0.805,0.785,0.79,583100,0.6946
2015-03-20,0.765,0.81,0.765,0.785,866900,0.6902
2015-03-19,0.77,0.79,0.765,0.765,853200,0.6726
2015-03-18,0.775,0.785,0.76,0.77,444800,0.677
2015-03-17,0.79,0.79,0.765,0.765,692000,0.6726
2015-03-16,0.805,0.815,0.77,0.79,1096700,0.6946
2015-03-13,0.815,0.85,0.805,0.815,796200,0.7166
2015-03-12,0.78,0.815,0.76,0.805,928100,0.7078
2015-03-11,0.80,0.81,0.755,0.755,1987900,0.6639
2015-03-10,0.84,0.85,0.805,0.815,802500,0.7166
2015-03-09,0.86,0.86,0.815,0.84,992200,0.7386
2015-03-06,0.805,0.87,0.805,0.85,1248500,0.7474
2015-03-05,0.875,0.88,0.79,0.815,3248900,0.7166
2015-03-04,1.04,1.08,0.89,0.90,3228900,0.7913
2015-03-03,0.98,1.03,0.975,1.02,836200,0.8969
2015-03-02,1.055,1.055,0.965,0.98,1880100,0.8617
2015-02-27,1.13,1.13,1.045,1.06,1244800,0.932
2015-02-26,1.30,1.30,0.995,1.115,2324700,0.9804
2015-02-25,1.32,1.39,1.31,1.37,246300,1.2046
2015-02-24,1.32,1.35,1.28,1.32,549300,1.1606
2015-02-23,1.345,1.345,1.32,1.32,392200,1.1606
2015-02-20,1.335,1.335,1.315,1.32,182800,1.1606
2015-02-19,1.33,1.35,1.32,1.335,237500,1.1738
2015-02-18,1.30,1.39,1.27,1.33,1349100,1.1694
2015-02-17,1.34,1.35,1.30,1.31,746400,1.1519
2015-02-16,1.38,1.39,1.33,1.345,721200,1.1826
2015-02-13,1.34,1.42,1.34,1.38,622800,1.2134
2015-02-12,1.42,1.42,1.34,1.34,1044200,1.1782
2015-02-11,1.45,1.47,1.41,1.42,603400,1.2486
