Date,Open,High,Low,Close,Volume,Adj Close
2016-07-15,0.073,0.073,0.073,0.073,226800,0.073
2016-07-14,0.071,0.074,0.071,0.074,86200,0.074
2016-07-13,0.072,0.072,0.071,0.071,14300,0.071
2016-07-12,0.071,0.073,0.069,0.07,290800,0.07
2016-07-11,0.076,0.076,0.071,0.072,440300,0.072
2016-07-08,0.074,0.078,0.074,0.078,792200,0.078
2016-07-07,0.069,0.071,0.069,0.071,266500,0.071
2016-07-06,0.069,0.07,0.069,0.069,260000,0.069
2016-07-05,0.07,0.07,0.069,0.069,599300,0.069
2016-07-04,0.07,0.07,0.069,0.07,801200,0.07
2016-07-01,0.073,0.076,0.07,0.07,590800,0.07
2016-06-30,0.075,0.075,0.071,0.072,833800,0.072
2016-06-29,0.069,0.076,0.069,0.075,913000,0.075
2016-06-28,0.069,0.069,0.069,0.069,28500,0.069
2016-06-27,0.066,0.069,0.062,0.069,876600,0.069
2016-06-24,0.074,0.074,0.069,0.071,2307900,0.071
2016-06-23,0.075,0.075,0.073,0.074,373200,0.074
2016-06-22,0.076,0.078,0.075,0.075,75500,0.075
2016-06-21,0.08,0.08,0.077,0.08,70000,0.08
2016-06-20,0.079,0.079,0.075,0.076,1130500,0.076
2016-06-17,0.082,0.082,0.08,0.082,73800,0.082
2016-06-16,0.081,0.083,0.081,0.082,843000,0.082
2016-06-15,0.08,0.083,0.079,0.081,903800,0.081
2016-06-14,0.083,0.083,0.078,0.08,1127900,0.08
2016-06-13,0.084,0.084,0.084,0.084,000,0.084
2016-06-10,0.087,0.087,0.084,0.084,1798300,0.084
2016-06-09,0.09,0.092,0.086,0.087,921900,0.087
2016-06-08,0.09,0.092,0.089,0.09,2496600,0.09
2016-06-07,0.086,0.089,0.086,0.086,320200,0.086
2016-06-06,0.088,0.088,0.084,0.085,1014600,0.085
2016-06-03,0.087,0.087,0.084,0.086,150300,0.086
2016-06-02,0.084,0.087,0.084,0.087,227100,0.087
2016-06-01,0.089,0.089,0.084,0.084,622600,0.084
2016-05-31,0.091,0.091,0.089,0.091,516800,0.091
2016-05-30,0.091,0.092,0.089,0.091,1551800,0.091
2016-05-27,0.089,0.091,0.088,0.09,1669400,0.09
2016-05-26,0.085,0.088,0.085,0.088,822400,0.088
2016-05-25,0.085,0.085,0.082,0.085,315200,0.085
2016-05-24,0.082,0.086,0.082,0.086,745100,0.086
2016-05-23,0.083,0.085,0.082,0.082,545300,0.082
2016-05-20,0.087,0.087,0.083,0.083,952200,0.083
2016-05-19,0.09,0.09,0.085,0.085,1476000,0.085
2016-05-18,0.09,0.09,0.088,0.09,741700,0.09
2016-05-17,0.095,0.095,0.087,0.089,3203900,0.089
2016-05-16,0.095,0.096,0.094,0.096,526900,0.096
2016-05-13,0.093,0.094,0.091,0.094,849700,0.094
2016-05-12,0.089,0.094,0.089,0.094,693000,0.094
2016-05-11,0.09,0.09,0.087,0.088,1059000,0.088
2016-05-10,0.10,0.10,0.09,0.09,5952600,0.09
2016-05-09,0.095,0.10,0.095,0.098,4804300,0.098
2016-05-06,0.093,0.097,0.093,0.095,2844600,0.095
2016-05-05,0.09,0.093,0.09,0.093,1652700,0.093
2016-05-04,0.089,0.092,0.089,0.089,897600,0.089
2016-05-03,0.093,0.093,0.089,0.089,1834400,0.089
2016-05-02,0.085,0.092,0.085,0.092,1361900,0.092
2016-04-29,0.09,0.091,0.085,0.085,1944900,0.085
2016-04-28,0.089,0.094,0.089,0.089,2639500,0.089
2016-04-27,0.092,0.092,0.086,0.087,2477600,0.087
2016-04-26,0.096,0.10,0.091,0.091,12301200,0.091
2016-04-25,0.094,0.094,0.094,0.094,000,0.094
2016-04-22,0.092,0.097,0.092,0.094,3357500,0.094
2016-04-21,0.097,0.098,0.09,0.092,4457200,0.092
2016-04-20,0.085,0.098,0.085,0.094,9708900,0.094
2016-04-19,0.082,0.084,0.08,0.084,770600,0.084
2016-04-18,0.084,0.085,0.082,0.082,1866200,0.082
2016-04-15,0.082,0.085,0.082,0.084,1432300,0.084
2016-04-14,0.078,0.082,0.078,0.082,1380500,0.082
2016-04-13,0.071,0.079,0.071,0.079,2968500,0.079
2016-04-12,0.069,0.071,0.069,0.07,451200,0.07
2016-04-11,0.072,0.072,0.07,0.07,477700,0.07
2016-04-08,0.072,0.072,0.071,0.072,449000,0.072
2016-04-07,0.07,0.072,0.07,0.072,927200,0.072
2016-04-06,0.07,0.07,0.07,0.07,160000,0.07
2016-04-05,0.07,0.07,0.07,0.07,176000,0.07
2016-04-04,0.073,0.073,0.069,0.069,254900,0.069
2016-04-01,0.073,0.073,0.073,0.073,75000,0.073
2016-03-31,0.071,0.073,0.07,0.073,792700,0.073
2016-03-30,0.071,0.071,0.071,0.071,72700,0.071
2016-03-29,0.073,0.073,0.07,0.073,43200,0.073
2016-03-28,0.072,0.072,0.072,0.072,000,0.072
2016-03-25,0.072,0.072,0.072,0.072,000,0.072
2016-03-24,0.074,0.076,0.071,0.072,326300,0.072
2016-03-23,0.074,0.074,0.072,0.073,615800,0.073
2016-03-22,0.082,0.082,0.075,0.075,1936900,0.075
2016-03-21,0.079,0.084,0.078,0.078,2861700,0.078
2016-03-18,0.078,0.081,0.078,0.078,1734700,0.078
2016-03-17,0.075,0.077,0.075,0.076,302100,0.076
2016-03-16,0.075,0.077,0.073,0.075,1897700,0.075
2016-03-15,0.078,0.078,0.071,0.075,2095400,0.075
2016-03-14,0.08,0.08,0.077,0.078,1113300,0.078
2016-03-11,0.07,0.082,0.069,0.082,5079800,0.082
2016-03-10,0.061,0.071,0.061,0.071,3342700,0.071
2016-03-09,0.056,0.06,0.056,0.06,744200,0.06
2016-03-08,0.056,0.058,0.056,0.058,200000,0.058
2016-03-07,0.056,0.056,0.056,0.056,200000,0.056
2016-03-04,0.057,0.057,0.055,0.055,689200,0.055
2016-03-03,0.057,0.057,0.057,0.057,000,0.057
2016-03-02,0.057,0.057,0.057,0.057,000,0.057
2016-03-01,0.059,0.059,0.057,0.057,350000,0.057
2016-02-29,0.057,0.057,0.057,0.057,51800,0.057
2016-02-26,0.06,0.06,0.058,0.058,271700,0.058
2016-02-25,0.057,0.063,0.057,0.06,525500,0.06
2016-02-24,0.059,0.059,0.059,0.059,000,0.059
2016-02-23,0.06,0.061,0.059,0.059,620000,0.059
2016-02-22,0.06,0.061,0.06,0.061,502200,0.061
2016-02-19,0.06,0.061,0.058,0.061,287000,0.061
2016-02-18,0.056,0.063,0.056,0.06,2224400,0.06
2016-02-17,0.055,0.055,0.054,0.055,365000,0.055
2016-02-16,0.058,0.058,0.055,0.055,358300,0.055
2016-02-15,0.052,0.057,0.05,0.057,1475100,0.057
2016-02-12,0.051,0.052,0.05,0.05,1431100,0.05
2016-02-11,0.053,0.053,0.053,0.053,000,0.053
2016-02-10,0.053,0.053,0.053,0.053,106500,0.053
2016-02-09,0.054,0.054,0.051,0.054,538000,0.054
2016-02-08,0.055,0.055,0.055,0.055,215500,0.055
2016-02-05,0.053,0.055,0.053,0.055,481300,0.055
2016-02-04,0.053,0.053,0.051,0.051,284500,0.051
2016-02-03,0.057,0.057,0.05,0.054,415500,0.054
2016-02-02,0.054,0.055,0.054,0.055,170000,0.055
2016-02-01,0.051,0.051,0.051,0.051,000,0.051
2016-01-29,0.053,0.053,0.051,0.051,250000,0.051
2016-01-28,0.055,0.055,0.053,0.053,907300,0.053
2016-01-27,0.051,0.051,0.051,0.051,000,0.051
2016-01-26,0.051,0.051,0.051,0.051,000,0.051
2016-01-25,0.054,0.055,0.05,0.051,1502400,0.051
2016-01-22,0.054,0.054,0.054,0.054,320000,0.054
2016-01-21,0.05,0.05,0.05,0.05,200000,0.05
2016-01-20,0.053,0.053,0.05,0.052,827500,0.052
2016-01-19,0.054,0.054,0.051,0.053,478500,0.053
2016-01-18,0.054,0.055,0.051,0.053,389900,0.053
2016-01-15,0.055,0.055,0.055,0.055,130100,0.055
2016-01-14,0.056,0.057,0.053,0.055,1501100,0.055
