Date,Open,High,Low,Close,Volume,Adj Close
2016-07-15,8.17,8.17,8.01,8.09,416700,8.09
2016-07-14,8.13,8.20,8.00,8.14,679900,8.14
2016-07-13,8.20,8.20,7.99,8.08,481500,8.08
2016-07-12,7.96,8.18,7.92,8.13,533800,8.13
2016-07-11,7.96,8.06,7.84,7.92,394800,7.92
2016-07-08,7.91,8.00,7.87,7.89,395300,7.89
2016-07-07,7.99,8.025,7.91,7.95,358400,7.95
2016-07-06,8.00,8.02,7.85,7.94,730700,7.94
2016-07-05,7.94,8.14,7.79,8.07,1285100,8.07
2016-07-04,7.80,8.00,7.57,7.90,990800,7.90
2016-07-01,7.05,7.94,7.05,7.55,2255100,7.55
2016-06-30,7.10,7.20,6.92,7.01,772300,7.01
2016-06-29,6.80,7.005,6.76,6.91,793900,6.91
2016-06-28,6.80,6.81,6.48,6.60,1514600,6.60
2016-06-27,6.98,6.98,6.84,6.90,928200,6.90
2016-06-24,7.40,7.50,6.91,7.03,993500,7.03
2016-06-23,7.43,7.53,7.24,7.39,752800,7.39
2016-06-22,7.45,7.63,7.38,7.44,1545900,7.44
2016-06-21,7.05,7.36,7.02,7.34,1322800,7.34
2016-06-20,7.11,7.12,6.92,7.05,672500,7.05
2016-06-17,6.73,7.17,6.71,7.00,1637300,7.00
2016-06-16,6.46,6.49,6.36,6.41,462600,6.41
2016-06-15,6.33,6.49,6.23,6.41,510500,6.41
2016-06-14,6.50,6.60,6.33,6.33,560600,6.33
2016-06-13,6.74,6.74,6.74,6.74,000,6.74
2016-06-10,6.65,6.79,6.57,6.74,601100,6.74
2016-06-09,6.52,6.74,6.51,6.70,833800,6.70
2016-06-08,6.48,6.60,6.42,6.51,402600,6.51
2016-06-07,6.37,6.51,6.32,6.45,516900,6.45
2016-06-06,6.34,6.38,6.30,6.34,161900,6.34
2016-06-03,6.39,6.45,6.34,6.41,435800,6.41
2016-06-02,6.48,6.53,6.325,6.36,536800,6.36
2016-06-01,6.45,6.54,6.32,6.47,382100,6.47
2016-05-31,6.50,6.58,6.45,6.48,652600,6.48
2016-05-30,6.53,6.53,6.42,6.48,448700,6.48
