Date,Open,High,Low,Close,Volume,Adj Close
2016-07-15,3.285,3.30,3.25,3.30,110300,3.30
2016-07-14,3.21,3.26,3.15,3.24,135200,3.24
2016-07-13,3.28,3.30,3.13,3.13,277600,3.13
2016-07-12,3.40,3.42,3.26,3.28,263800,3.28
2016-07-11,3.34,3.43,3.33,3.40,227700,3.40
2016-07-08,3.26,3.38,3.25,3.29,323300,3.29
2016-07-07,3.13,3.23,3.13,3.23,197400,3.23
2016-07-06,3.01,3.14,3.00,3.13,1183100,3.13
2016-07-05,3.01,3.07,2.98,3.01,107100,3.01
2016-07-04,3.01,3.02,2.96,3.01,90700,3.01
2016-07-01,3.03,3.06,2.96,3.04,192100,3.04
2016-06-30,2.92,3.05,2.92,3.02,248800,3.02
2016-06-29,2.80,2.93,2.80,2.90,89700,2.90
2016-06-28,2.78,2.86,2.74,2.75,45900,2.75
2016-06-27,2.69,2.80,2.62,2.77,111700,2.77
2016-06-24,2.86,2.91,2.68,2.73,284300,2.73
2016-06-23,2.85,2.94,2.85,2.86,153900,2.86
2016-06-22,2.76,2.92,2.76,2.84,355600,2.84
2016-06-21,2.75,2.80,2.73,2.75,113800,2.75
2016-06-20,2.75,2.75,2.68,2.74,51200,2.74
2016-06-17,2.65,2.76,2.65,2.76,106200,2.76
2016-06-16,2.73,2.79,2.65,2.65,94800,2.65
2016-06-15,2.57,2.71,2.57,2.71,109300,2.71
2016-06-14,2.75,2.755,2.57,2.61,159200,2.61
2016-06-13,2.75,2.75,2.75,2.75,000,2.75
2016-06-10,2.83,2.93,2.75,2.75,233200,2.75
2016-06-09,2.70,2.88,2.69,2.83,168300,2.83
2016-06-08,2.66,2.73,2.58,2.69,249100,2.69
2016-06-07,2.58,2.64,2.54,2.62,231600,2.62
2016-06-06,2.59,2.60,2.53,2.55,132800,2.55
2016-06-03,2.52,2.615,2.51,2.60,165700,2.60
2016-06-02,2.59,2.65,2.47,2.51,270600,2.51
2016-06-01,2.59,2.66,2.58,2.60,239900,2.60
2016-05-31,2.60,2.60,2.56,2.60,166300,2.60
2016-05-30,2.65,2.69,2.59,2.60,286900,2.60
2016-05-27,2.60,2.70,2.55,2.60,448900,2.60
2016-05-26,2.65,2.77,2.47,2.55,535700,2.55
2016-05-25,2.40,2.60,2.39,2.55,506800,2.55
2016-05-24,2.39,2.39,2.34,2.37,11300,2.37
2016-05-23,2.38,2.40,2.36,2.38,655300,2.38
2016-05-20,2.30,2.38,2.30,2.38,113200,2.38
2016-05-19,2.38,2.38,2.26,2.26,41400,2.26
2016-05-18,2.38,2.40,2.34,2.38,91300,2.38
2016-05-17,2.33,2.39,2.31,2.38,74400,2.38
2016-05-16,2.31,2.33,2.29,2.29,17900,2.29
2016-05-13,2.32,2.32,2.29,2.32,117000,2.32
2016-05-12,2.30,2.33,2.24,2.32,101000,2.32
2016-05-11,2.33,2.34,2.27,2.27,76300,2.27
2016-05-10,2.32,2.35,2.31,2.31,30500,2.31
2016-05-09,2.38,2.38,2.31,2.32,31500,2.32
2016-05-06,2.34,2.40,2.34,2.38,33200,2.38
