Date,Open,High,Low,Close,Volume,Adj Close
2016-07-15,2.42,2.42,2.40,2.42,67600,2.42
2016-07-14,2.40,2.47,2.39,2.42,431700,2.42
2016-07-13,2.42,2.42,2.38,2.40,211100,2.40
2016-07-12,2.41,2.44,2.39,2.42,1674000,2.42
2016-07-11,2.47,2.47,2.40,2.43,48000,2.43
2016-07-08,2.45,2.47,2.41,2.45,1533000,2.45
2016-07-07,2.42,2.48,2.41,2.46,33200,2.46
2016-07-06,2.46,2.50,2.38,2.42,124800,2.42
2016-07-05,2.43,2.49,2.43,2.46,61300,2.46
2016-07-04,2.45,2.47,2.36,2.43,22200,2.43
2016-07-01,2.46,2.49,2.435,2.49,26600,2.49
2016-06-30,2.43,2.48,2.42,2.47,46100,2.47
2016-06-29,2.44,2.44,2.36,2.41,1548000,2.41
2016-06-28,2.42,2.44,2.40,2.41,1065700,2.41
2016-06-27,2.45,2.465,2.42,2.44,33900,2.44
2016-06-24,2.50,2.50,2.42,2.45,19300,2.45
2016-06-23,2.46,2.55,2.445,2.50,49700,2.50
2016-06-22,2.52,2.535,2.46,2.52,89500,2.52
2016-06-21,2.53,2.53,2.47,2.50,12400,2.50
2016-06-20,2.48,2.51,2.45,2.50,62200,2.50
2016-06-17,2.42,2.50,2.42,2.49,340100,2.49
2016-06-16,2.46,2.49,2.45,2.49,256100,2.49
2016-06-15,2.45,2.49,2.45,2.46,23700,2.46
2016-06-14,2.46,2.47,2.435,2.45,861500,2.45
2016-06-13,2.45,2.45,2.45,2.45,000,2.45
2016-06-10,2.47,2.47,2.42,2.45,56100,2.45
2016-06-09,2.44,2.47,2.42,2.45,533200,2.45
2016-06-08,2.45,2.49,2.435,2.47,40100,2.47
2016-06-07,2.49,2.49,2.41,2.45,53100,2.45
2016-06-06,2.42,2.50,2.42,2.50,248400,2.50
2016-06-03,2.39,2.44,2.39,2.44,555600,2.44
2016-06-02,2.41,2.42,2.35,2.42,110300,2.42
2016-06-01,2.40,2.44,2.40,2.42,21400,2.42
2016-05-31,2.40,2.45,2.40,2.45,40800,2.45
2016-05-30,2.41,2.45,2.26,2.45,218700,2.45
2016-05-27,2.43,2.43,2.325,2.39,71400,2.39
2016-05-26,2.42,2.45,2.40,2.41,146700,2.41
2016-05-25,2.44,2.46,2.40,2.41,187500,2.41
2016-05-24,2.43,2.47,2.41,2.45,708600,2.45
2016-05-23,2.42,2.44,2.41,2.44,40200,2.44
2016-05-20,2.44,2.44,2.41,2.41,9300,2.41
2016-05-19,2.42,2.48,2.33,2.40,555400,2.40
2016-05-18,2.50,2.50,2.38,2.45,1931000,2.45
2016-05-17,2.50,2.565,2.48,2.50,42200,2.50
2016-05-16,2.53,2.56,2.46,2.51,45800,2.51
2016-05-13,2.53,2.58,2.47,2.53,87100,2.53
2016-05-12,2.59,2.65,2.53,2.56,48800,2.56
2016-05-11,2.49,2.59,2.49,2.59,244000,2.59
2016-05-10,2.47,2.58,2.47,2.49,110600,2.49
2016-05-09,2.54,2.54,2.44,2.47,41600,2.47
2016-05-06,2.50,2.59,2.50,2.55,151300,2.55
2016-05-05,2.45,2.52,2.43,2.50,249000,2.50
2016-05-04,2.44,2.44,2.37,2.41,514800,2.41
2016-05-03,2.41,2.44,2.40,2.42,97400,2.42
2016-05-02,2.41,2.43,2.39,2.41,59800,2.41
2016-04-29,2.44,2.56,2.43,2.45,133600,2.45
2016-04-28,2.41,2.46,2.40,2.44,53600,2.44
2016-04-27,2.40,2.42,2.39,2.40,109000,2.40
2016-04-26,2.41,2.42,2.39,2.40,108000,2.40
2016-04-25,2.40,2.40,2.40,2.40,000,2.40
2016-04-22,2.40,2.43,2.39,2.40,52900,2.40
2016-04-21,2.43,2.44,2.36,2.40,389900,2.40
2016-04-20,2.40,2.43,2.40,2.40,946400,2.40
2016-04-19,2.44,2.45,2.39,2.40,212500,2.40
2016-04-18,2.43,2.43,2.37,2.40,1234700,2.40
2016-04-15,2.43,2.45,2.42,2.43,73500,2.43
2016-04-14,2.43,2.44,2.42,2.43,370500,2.43
2016-04-13,2.43,2.43,2.41,2.42,708700,2.42
2016-04-12,2.42,2.43,2.42,2.42,84300,2.42
2016-04-11,2.47,2.47,2.415,2.42,44900,2.42
2016-04-08,2.43,2.47,2.41,2.47,95400,2.47
2016-04-07,2.44,2.46,2.42,2.43,57600,2.43
2016-04-06,2.40,2.43,2.40,2.42,38400,2.42
2016-04-05,2.36,2.43,2.36,2.40,175100,2.40
2016-04-04,2.38,2.40,2.35,2.40,40400,2.40
2016-04-01,2.33,2.40,2.33,2.38,124400,2.38
2016-03-31,2.37,2.37,2.26,2.34,13200,2.34
2016-03-30,2.26,2.40,2.25,2.37,20900,2.37
2016-03-29,2.28,2.295,2.25,2.25,18100,2.25
2016-03-28,2.27,2.27,2.27,2.27,000,2.27
2016-03-25,2.27,2.27,2.27,2.27,000,2.27
2016-03-24,2.31,2.40,2.27,2.27,70000,2.27
2016-03-23,2.30,2.39,2.28,2.30,62700,2.30
2016-03-22,2.29,2.37,2.29,2.37,50800,2.37
2016-03-21,2.36,2.36,2.28,2.30,73100,2.30
2016-03-18,2.32,2.35,2.30,2.35,42500,2.35
2016-03-17,2.38,2.38,2.29,2.31,59900,2.31
2016-03-16,2.25,2.47,2.25,2.37,225500,2.37
2016-03-15,2.29,2.34,2.24,2.27,95100,2.27
2016-03-14,2.44,2.44,2.32,2.36,45200,2.289
2016-03-11,2.50,2.50,2.40,2.42,43500,2.347
2016-03-10,2.47,2.50,2.40,2.40,35300,2.327
2016-03-09,2.35,2.57,2.32,2.44,99700,2.366
2016-03-08,2.40,2.405,2.22,2.28,132200,2.211
2016-03-07,2.43,2.45,2.40,2.40,45500,2.327
2016-03-04,2.40,2.43,2.35,2.40,509700,2.327
2016-03-03,2.50,2.50,2.36,2.40,85400,2.327
2016-03-02,2.63,2.63,2.41,2.48,227400,2.405
2016-03-01,2.52,2.54,2.50,2.50,48500,2.424
2016-02-29,2.61,2.63,2.50,2.52,163800,2.444
2016-02-26,2.64,2.68,2.47,2.60,768300,2.521
2016-02-25,2.64,2.68,2.63,2.64,525400,2.56
2016-02-24,2.66,2.67,2.62,2.64,529600,2.56
2016-02-23,2.62,2.66,2.62,2.65,269600,2.57
2016-02-22,2.62,2.64,2.61,2.62,109400,2.541
2016-02-19,2.58,2.66,2.57,2.61,25800,2.531
2016-02-18,2.55,2.63,2.55,2.60,66700,2.521
2016-02-17,2.53,2.58,2.50,2.55,160800,2.473
2016-02-16,2.51,2.54,2.47,2.52,106600,2.444
2016-02-15,2.47,2.52,2.47,2.48,34100,2.405
2016-02-12,2.53,2.53,2.46,2.46,39700,2.386
2016-02-11,2.52,2.54,2.48,2.51,61600,2.434
2016-02-10,2.58,2.58,2.50,2.55,75700,2.473
2016-02-09,2.57,2.57,2.50,2.55,247000,2.473
2016-02-08,2.59,2.59,2.55,2.57,45400,2.492
2016-02-05,2.56,2.59,2.53,2.57,77400,2.492
2016-02-04,2.56,2.57,2.53,2.56,67800,2.483
2016-02-03,2.52,2.57,2.52,2.56,343400,2.483
2016-02-02,2.51,2.59,2.50,2.55,284700,2.473
2016-02-01,2.59,2.59,2.46,2.51,76100,2.434
2016-01-29,2.59,2.62,2.51,2.52,207600,2.444
2016-01-28,2.65,2.70,2.60,2.60,389300,2.521
2016-01-27,2.67,2.72,2.65,2.66,98800,2.58
2016-01-26,2.67,2.67,2.67,2.67,000,2.589
2016-01-25,2.65,2.69,2.65,2.67,52800,2.589
2016-01-22,2.66,2.67,2.635,2.65,75000,2.57
2016-01-21,2.65,2.66,2.56,2.66,62600,2.58
2016-01-20,2.62,2.65,2.55,2.65,265200,2.57
2016-01-19,2.58,2.65,2.58,2.65,345800,2.57
2016-01-18,2.45,2.65,2.445,2.60,579500,2.521
2016-01-15,2.44,2.52,2.44,2.51,79000,2.434
2016-01-14,2.52,2.52,2.44,2.46,46300,2.386
2016-01-13,2.53,2.64,2.53,2.53,8200,2.453
2016-01-12,2.46,2.58,2.46,2.52,7200,2.444
2016-01-11,2.55,2.55,2.45,2.46,7000,2.386
2016-01-08,2.57,2.60,2.46,2.59,28100,2.512
2016-01-07,2.61,2.63,2.55,2.59,225500,2.512
2016-01-06,2.62,2.62,2.52,2.61,44200,2.531
2016-01-05,2.46,2.62,2.46,2.62,228300,2.541
2016-01-04,2.54,2.62,2.45,2.47,96800,2.395
2016-01-01,2.55,2.55,2.55,2.55,000,2.473
2015-12-31,2.55,2.57,2.45,2.55,81500,2.473
2015-12-30,2.54,2.59,2.52,2.55,33900,2.473
2015-12-29,2.53,2.59,2.50,2.54,39400,2.463
2015-12-28,2.49,2.49,2.49,2.49,000,2.415
2015-12-25,2.49,2.49,2.49,2.49,000,2.415
2015-12-24,2.53,2.57,2.49,2.49,35900,2.415
