Date,Open,High,Low,Close,Volume,Adj Close
2016-07-15,0.024,0.024,0.024,0.024,000,0.024
2016-07-14,0.024,0.024,0.024,0.024,000,0.024
2016-07-13,0.024,0.024,0.024,0.024,411100,0.024
2016-07-12,0.024,0.024,0.024,0.024,823000,0.024
2016-07-11,0.022,0.022,0.021,0.021,210500,0.021
2016-07-08,0.022,0.022,0.022,0.022,25900,0.022
2016-07-07,0.022,0.022,0.022,0.022,324500,0.022
2016-07-06,0.022,0.023,0.022,0.023,215000,0.023
2016-07-05,0.023,0.024,0.022,0.023,726300,0.023
2016-07-04,0.022,0.022,0.022,0.022,1486800,0.022
2016-07-01,0.021,0.022,0.02,0.022,245500,0.022
2016-06-30,0.019,0.021,0.019,0.021,376400,0.021
2016-06-29,0.019,0.022,0.019,0.019,1017400,0.019
2016-06-28,0.018,0.019,0.018,0.018,224900,0.018
2016-06-27,0.019,0.019,0.018,0.018,35500,0.018
2016-06-24,0.019,0.019,0.018,0.018,617200,0.018
2016-06-23,0.019,0.019,0.019,0.019,118300,0.019
2016-06-22,0.02,0.02,0.019,0.019,246100,0.019
2016-06-21,0.02,0.02,0.02,0.02,302500,0.02
2016-06-20,0.021,0.021,0.02,0.02,367700,0.02
2016-06-17,0.021,0.021,0.021,0.021,125000,0.021
2016-06-16,0.022,0.022,0.02,0.02,547900,0.02
2016-06-15,0.02,0.021,0.02,0.021,794000,0.021
2016-06-14,0.023,0.023,0.02,0.02,3157100,0.02
2016-06-13,0.022,0.022,0.022,0.022,000,0.022
2016-06-10,0.023,0.023,0.022,0.022,817200,0.022
2016-06-09,0.024,0.025,0.022,0.022,4046700,0.022
2016-06-08,0.023,0.027,0.023,0.023,11831200,0.023
2016-06-07,0.021,0.021,0.02,0.02,272500,0.02
2016-06-06,0.02,0.022,0.02,0.021,904700,0.021
2016-06-03,0.019,0.019,0.018,0.019,500000,0.019
2016-06-02,0.019,0.019,0.019,0.019,1000,0.019
2016-06-01,0.019,0.019,0.019,0.019,619700,0.019
2016-05-31,0.02,0.02,0.019,0.02,1181100,0.02
2016-05-30,0.019,0.02,0.019,0.019,475300,0.019
2016-05-27,0.019,0.019,0.018,0.018,892200,0.018
2016-05-26,0.019,0.019,0.019,0.019,233200,0.019
2016-05-25,0.019,0.019,0.018,0.018,35000,0.018
2016-05-24,0.019,0.019,0.018,0.019,445300,0.019
2016-05-23,0.019,0.019,0.019,0.019,260000,0.019
2016-05-20,0.019,0.019,0.019,0.019,71800,0.019
2016-05-19,0.021,0.021,0.019,0.019,1179600,0.019
2016-05-18,0.02,0.021,0.019,0.02,1020000,0.02
2016-05-17,0.02,0.02,0.019,0.019,1321800,0.019
2016-05-16,0.018,0.02,0.018,0.02,661200,0.02
2016-05-13,0.017,0.017,0.017,0.017,100000,0.017
2016-05-12,0.017,0.017,0.017,0.017,788900,0.017
2016-05-11,0.017,0.017,0.017,0.017,406600,0.017
2016-05-10,0.019,0.019,0.017,0.017,475000,0.017
2016-05-09,0.02,0.021,0.018,0.018,1570000,0.018
2016-05-06,0.018,0.019,0.017,0.017,640300,0.017
2016-05-05,0.016,0.016,0.016,0.016,85000,0.016
2016-05-04,0.016,0.016,0.016,0.016,495000,0.016
2016-05-03,0.018,0.018,0.017,0.017,925200,0.017
2016-05-02,0.017,0.018,0.017,0.018,946300,0.018
2016-04-29,0.016,0.016,0.016,0.016,000,0.016
2016-04-28,0.016,0.017,0.016,0.016,1711600,0.016
2016-04-27,0.017,0.018,0.016,0.016,2433400,0.016
2016-04-26,0.016,0.017,0.015,0.016,255800,0.016
2016-04-25,0.015,0.015,0.015,0.015,000,0.015
2016-04-22,0.016,0.016,0.015,0.015,1115000,0.015
2016-04-21,0.016,0.019,0.016,0.017,3209600,0.017
2016-04-20,0.015,0.016,0.015,0.016,870400,0.016
2016-04-19,0.012,0.016,0.012,0.015,2753100,0.015
2016-04-18,0.011,0.011,0.011,0.011,64100,0.011
