Date,Open,High,Low,Close,Volume,Adj Close
2016-07-15,0.04,0.042,0.04,0.041,1523800,0.041
2016-07-14,0.042,0.042,0.039,0.04,822400,0.04
2016-07-13,0.04,0.042,0.04,0.04,974500,0.04
2016-07-12,0.04,0.04,0.037,0.04,923700,0.04
2016-07-11,0.038,0.04,0.037,0.04,1508000,0.04
2016-07-08,0.041,0.041,0.038,0.038,2167900,0.038
2016-07-07,0.04,0.04,0.039,0.04,1457300,0.04
2016-07-06,0.04,0.04,0.04,0.04,479000,0.04
2016-07-05,0.041,0.041,0.04,0.0405,369000,0.0405
2016-07-04,0.04,0.042,0.04,0.04,2811300,0.04
2016-07-01,0.041,0.041,0.04,0.04,330900,0.04
2016-06-30,0.044,0.044,0.04,0.04,1031800,0.04
2016-06-29,0.041,0.042,0.041,0.041,825600,0.041
2016-06-28,0.04,0.04,0.04,0.04,764600,0.04
2016-06-27,0.039,0.041,0.039,0.04,1282600,0.04
2016-06-24,0.044,0.044,0.04,0.04,3711100,0.04
2016-06-23,0.044,0.044,0.044,0.044,369000,0.044
2016-06-22,0.045,0.045,0.044,0.045,413400,0.045
2016-06-21,0.044,0.046,0.044,0.045,1450700,0.045
2016-06-20,0.045,0.045,0.044,0.044,480700,0.044
2016-06-17,0.045,0.046,0.045,0.045,204400,0.045
2016-06-16,0.045,0.0475,0.045,0.045,3089000,0.045
2016-06-15,0.043,0.047,0.042,0.045,2270000,0.045
2016-06-14,0.043,0.043,0.043,0.043,672900,0.043
2016-06-13,0.043,0.043,0.043,0.043,000,0.043
2016-06-10,0.044,0.044,0.043,0.043,801200,0.043
2016-06-09,0.043,0.043,0.042,0.043,299100,0.043
2016-06-08,0.044,0.044,0.043,0.043,1221400,0.043
2016-06-07,0.044,0.046,0.044,0.044,1525400,0.044
2016-06-06,0.046,0.047,0.044,0.044,2280000,0.044
2016-06-03,0.045,0.046,0.044,0.045,849500,0.045
2016-06-02,0.046,0.046,0.044,0.044,308300,0.044
