Date,Open,High,Low,Close,Volume,Adj Close
2016-07-15,0.50,0.50,0.50,0.50,000,0.50
2016-07-14,0.50,0.50,0.50,0.50,000,0.50
2016-07-13,0.50,0.50,0.50,0.50,4900,0.50
2016-07-12,0.50,0.50,0.50,0.50,000,0.50
2016-07-11,0.50,0.50,0.50,0.50,10000,0.50
2016-07-08,0.50,0.50,0.50,0.50,000,0.50
2016-07-07,0.50,0.50,0.50,0.50,000,0.50
2016-07-06,0.50,0.50,0.50,0.50,000,0.50
2016-07-05,0.50,0.50,0.50,0.50,000,0.50
2016-07-04,0.50,0.50,0.50,0.50,2000,0.50
2016-07-01,0.50,0.50,0.50,0.50,000,0.50
2016-06-30,0.48,0.50,0.48,0.50,121800,0.50
2016-06-29,0.49,0.49,0.49,0.49,000,0.49
2016-06-28,0.49,0.49,0.49,0.49,000,0.49
2016-06-27,0.49,0.49,0.49,0.49,000,0.49
2016-06-24,0.49,0.49,0.49,0.49,000,0.49
2016-06-23,0.49,0.49,0.49,0.49,9600,0.49
2016-06-22,0.47,0.49,0.47,0.49,20500,0.49
2016-06-21,0.51,0.51,0.49,0.49,25800,0.49
2016-06-20,0.48,0.51,0.48,0.51,406500,0.51
2016-06-17,0.50,0.50,0.50,0.50,10000,0.50
2016-06-16,0.48,0.50,0.48,0.50,103400,0.50
2016-06-15,0.49,0.51,0.48,0.51,42500,0.51
2016-06-14,0.515,0.52,0.51,0.515,75000,0.515
2016-06-13,0.51,0.51,0.51,0.51,000,0.51
2016-06-10,0.495,0.51,0.495,0.51,196100,0.51
2016-06-09,0.495,0.495,0.495,0.495,10000,0.495
2016-06-08,0.485,0.485,0.48,0.48,20000,0.48
2016-06-07,0.49,0.50,0.49,0.50,50800,0.50
2016-06-06,0.49,0.49,0.49,0.49,5000,0.49
2016-06-03,0.49,0.49,0.49,0.49,20000,0.49
2016-06-02,0.49,0.49,0.49,0.49,38000,0.49
2016-06-01,0.495,0.495,0.495,0.495,000,0.495
2016-05-31,0.51,0.51,0.495,0.495,58700,0.495
2016-05-30,0.50,0.51,0.50,0.51,62400,0.51
2016-05-27,0.495,0.50,0.495,0.50,38000,0.50
2016-05-26,0.495,0.495,0.495,0.495,52000,0.495
2016-05-25,0.485,0.50,0.485,0.50,95000,0.50
2016-05-24,0.485,0.485,0.485,0.485,27300,0.485
