Date,Open,High,Low,Close,Volume,Adj Close
2016-07-15,0.026,0.028,0.025,0.027,3975200,0.027
2016-07-14,0.027,0.027,0.025,0.026,5601100,0.026
2016-07-13,0.027,0.027,0.026,0.026,5915300,0.026
2016-07-12,0.027,0.028,0.026,0.026,3775900,0.026
2016-07-11,0.028,0.029,0.027,0.027,3533500,0.027
2016-07-08,0.027,0.027,0.026,0.027,1870000,0.027
2016-07-07,0.026,0.027,0.026,0.026,3335300,0.026
2016-07-06,0.027,0.027,0.025,0.025,5838600,0.025
2016-07-05,0.027,0.0275,0.026,0.027,6661400,0.027
2016-07-04,0.027,0.028,0.027,0.027,3714900,0.027
2016-07-01,0.028,0.029,0.027,0.027,2548000,0.027
2016-06-30,0.027,0.028,0.026,0.027,4812800,0.027
2016-06-29,0.027,0.028,0.027,0.027,6706000,0.027
2016-06-28,0.029,0.029,0.026,0.026,4133400,0.026
2016-06-27,0.025,0.03,0.025,0.027,18062600,0.027
2016-06-24,0.027,0.028,0.023,0.024,23439500,0.024
2016-06-23,0.032,0.0325,0.026,0.028,50713000,0.028
2016-06-22,0.038,0.042,0.033,0.033,52752900,0.033
2016-06-21,0.037,0.039,0.036,0.037,13471200,0.037
2016-06-20,0.039,0.039,0.036,0.036,10214600,0.036
2016-06-17,0.041,0.041,0.038,0.038,10506100,0.038
2016-06-16,0.041,0.0415,0.04,0.041,5107400,0.041
2016-06-15,0.042,0.042,0.04,0.04,2384300,0.04
2016-06-14,0.042,0.043,0.041,0.042,7740600,0.042
2016-06-13,0.041,0.041,0.041,0.041,000,0.041
2016-06-10,0.037,0.041,0.036,0.041,17108800,0.041
2016-06-09,0.038,0.038,0.038,0.038,000,0.038
2016-06-08,0.038,0.038,0.038,0.038,000,0.038
2016-06-07,0.037,0.038,0.036,0.038,3379900,0.038
2016-06-06,0.037,0.037,0.034,0.035,6939700,0.035
2016-06-03,0.038,0.038,0.036,0.036,5105500,0.036
2016-06-02,0.035,0.037,0.034,0.035,5929100,0.035
2016-06-01,0.037,0.037,0.035,0.035,12309000,0.035
2016-05-31,0.039,0.039,0.037,0.037,6272800,0.037
2016-05-30,0.039,0.04,0.039,0.039,7885000,0.039
2016-05-27,0.04,0.04,0.038,0.04,3512400,0.04
2016-05-26,0.039,0.04,0.038,0.04,6450500,0.04
2016-05-25,0.04,0.043,0.038,0.039,23647400,0.039
2016-05-24,0.042,0.042,0.039,0.039,5429300,0.039
2016-05-23,0.042,0.044,0.041,0.042,5442500,0.042
2016-05-20,0.041,0.042,0.04,0.042,4053400,0.042
2016-05-19,0.039,0.041,0.038,0.041,9777100,0.041
2016-05-18,0.04,0.04,0.038,0.038,6199400,0.038
2016-05-17,0.041,0.043,0.039,0.04,12652800,0.04
2016-05-16,0.045,0.047,0.041,0.041,12511000,0.041
2016-05-13,0.044,0.045,0.042,0.043,15910800,0.043
2016-05-12,0.041,0.049,0.041,0.043,39191300,0.043
2016-05-11,0.042,0.0425,0.041,0.041,7004400,0.041
2016-05-10,0.043,0.045,0.04,0.041,16423900,0.041
2016-05-09,0.043,0.046,0.043,0.043,18751300,0.043
2016-05-06,0.046,0.047,0.042,0.043,32703100,0.043
2016-05-05,0.046,0.053,0.043,0.045,148191300,0.045
2016-05-04,0.036,0.038,0.035,0.037,7161600,0.037
2016-05-03,0.036,0.036,0.034,0.035,6557400,0.035
2016-05-02,0.038,0.039,0.035,0.036,9282600,0.036
2016-04-29,0.036,0.038,0.034,0.037,16175400,0.037
2016-04-28,0.036,0.04,0.034,0.036,19437500,0.036
2016-04-27,0.042,0.044,0.033,0.035,43980300,0.035
2016-04-26,0.046,0.046,0.041,0.041,5277700,0.041
2016-04-25,0.045,0.045,0.045,0.045,000,0.045
2016-04-22,0.048,0.049,0.043,0.045,9237500,0.045
2016-04-21,0.047,0.05,0.047,0.047,12976700,0.047
2016-04-20,0.049,0.052,0.046,0.047,32043700,0.047
2016-04-19,0.042,0.05,0.042,0.049,41243600,0.049
2016-04-18,0.045,0.045,0.037,0.039,54634600,0.039
2016-04-15,0.041,0.045,0.041,0.045,21825100,0.045
2016-04-14,0.039,0.042,0.039,0.04,9050100,0.04
2016-04-13,0.042,0.044,0.038,0.038,15513300,0.038
2016-04-12,0.038,0.041,0.037,0.041,25639200,0.041
2016-04-11,0.035,0.038,0.034,0.036,22449400,0.036
2016-04-08,0.03,0.034,0.03,0.034,19935900,0.034
2016-04-07,0.031,0.031,0.029,0.029,8088100,0.029
2016-04-06,0.031,0.032,0.03,0.031,5322000,0.031
2016-04-05,0.029,0.031,0.029,0.03,5548700,0.03
2016-04-04,0.029,0.0305,0.029,0.03,5745000,0.03
2016-04-01,0.03,0.0305,0.029,0.029,1899100,0.029
2016-03-31,0.03,0.031,0.029,0.029,6119800,0.029
2016-03-30,0.028,0.031,0.028,0.03,4801900,0.03
2016-03-29,0.03,0.03,0.028,0.028,3914100,0.028
2016-03-28,0.029,0.029,0.029,0.029,000,0.029
2016-03-25,0.029,0.029,0.029,0.029,000,0.029
2016-03-24,0.03,0.031,0.029,0.029,7927900,0.029
2016-03-23,0.03,0.034,0.03,0.03,11885100,0.03
2016-03-22,0.029,0.029,0.029,0.029,000,0.029
2016-03-21,0.029,0.029,0.029,0.029,000,0.029
2016-03-18,0.03,0.03,0.029,0.029,3389900,0.029
2016-03-17,0.029,0.0315,0.029,0.029,4359500,0.029
2016-03-16,0.033,0.033,0.029,0.029,8373000,0.029
2016-03-15,0.035,0.035,0.033,0.033,5412900,0.033
2016-03-14,0.035,0.036,0.034,0.034,2475800,0.034
2016-03-11,0.035,0.035,0.034,0.035,3904300,0.035
2016-03-10,0.034,0.036,0.034,0.035,13565600,0.035
2016-03-09,0.035,0.035,0.033,0.033,15710700,0.033
2016-03-08,0.033,0.037,0.033,0.035,18337300,0.035
2016-03-07,0.03,0.033,0.03,0.033,24568700,0.033
2016-03-04,0.029,0.03,0.028,0.029,3575100,0.029
2016-03-03,0.031,0.031,0.028,0.028,4670400,0.028
2016-03-02,0.031,0.031,0.029,0.03,15946200,0.03
2016-03-01,0.027,0.029,0.027,0.029,4068800,0.029
2016-02-29,0.028,0.03,0.027,0.027,5439000,0.027
2016-02-26,0.028,0.028,0.027,0.027,3097800,0.027
2016-02-25,0.029,0.029,0.026,0.026,13642400,0.026
2016-02-24,0.029,0.03,0.028,0.028,2917100,0.028
2016-02-23,0.03,0.03,0.028,0.028,18563800,0.028
2016-02-22,0.029,0.029,0.028,0.028,8918400,0.028
2016-02-19,0.026,0.029,0.026,0.028,7788500,0.028
2016-02-18,0.028,0.028,0.025,0.025,15938500,0.025
2016-02-17,0.026,0.03,0.026,0.027,47566100,0.027
