Date,Open,High,Low,Close,Volume,Adj Close
2016-07-15,0.006,0.006,0.006,0.006,220000,0.006
2016-07-14,0.006,0.006,0.006,0.006,8700,0.006
2016-07-13,0.007,0.007,0.007,0.007,1100000,0.007
2016-07-12,0.007,0.007,0.007,0.007,000,0.007
2016-07-11,0.007,0.007,0.007,0.007,000,0.007
2016-07-08,0.007,0.007,0.007,0.007,490000,0.007
2016-07-07,0.006,0.006,0.006,0.006,000,0.006
2016-07-06,0.006,0.006,0.006,0.006,1111100,0.006
2016-07-05,0.007,0.007,0.007,0.007,000,0.007
2016-07-04,0.007,0.007,0.007,0.007,6238300,0.007
2016-07-01,0.007,0.007,0.007,0.007,1825000,0.007
2016-06-30,0.007,0.007,0.006,0.007,504300,0.007
2016-06-29,0.007,0.007,0.007,0.007,278500,0.007
2016-06-28,0.006,0.006,0.006,0.006,000,0.006
2016-06-27,0.006,0.006,0.006,0.006,000,0.006
2016-06-24,0.007,0.007,0.006,0.006,14309800,0.006
2016-06-23,0.007,0.007,0.006,0.006,2135800,0.006
2016-06-22,0.005,0.007,0.005,0.007,3966100,0.007
2016-06-21,0.005,0.005,0.005,0.005,000,0.005
2016-06-20,0.005,0.005,0.005,0.005,000,0.005
2016-06-17,0.006,0.006,0.005,0.005,2005000,0.005
2016-06-16,0.006,0.006,0.006,0.006,613500,0.006
2016-06-15,0.006,0.006,0.006,0.006,000,0.006
2016-06-14,0.006,0.006,0.006,0.006,75000,0.006
2016-06-13,0.006,0.006,0.006,0.006,000,0.006
2016-06-10,0.006,0.006,0.006,0.006,4500,0.006
2016-06-09,0.006,0.006,0.006,0.006,000,0.006
2016-06-08,0.006,0.006,0.006,0.006,000,0.006
2016-06-07,0.006,0.006,0.006,0.006,50000,0.006
2016-06-06,0.007,0.007,0.007,0.007,000,0.007
2016-06-03,0.007,0.007,0.007,0.007,200000,0.007
2016-06-02,0.008,0.008,0.007,0.007,1930000,0.007
2016-06-01,0.007,0.007,0.007,0.007,000,0.007
2016-05-31,0.007,0.007,0.007,0.007,1921400,0.007
2016-05-30,0.007,0.007,0.007,0.007,1550000,0.007
2016-05-27,0.007,0.008,0.007,0.007,1122400,0.007
2016-05-26,0.007,0.007,0.007,0.007,000,0.007
2016-05-25,0.007,0.007,0.007,0.007,975000,0.007
2016-05-24,0.007,0.007,0.007,0.007,900,0.007
2016-05-23,0.007,0.007,0.007,0.007,1166700,0.007
2016-05-20,0.006,0.006,0.006,0.006,101300,0.006
2016-05-19,0.007,0.007,0.007,0.007,3329900,0.007
2016-05-18,0.007,0.007,0.007,0.007,2518500,0.007
2016-05-17,0.008,0.008,0.008,0.008,2400000,0.008
2016-05-16,0.009,0.009,0.008,0.008,111000,0.008
2016-05-13,0.008,0.008,0.008,0.008,000,0.008
2016-05-12,0.008,0.008,0.008,0.008,450000,0.008
2016-05-11,0.008,0.008,0.008,0.008,2639500,0.008
2016-05-10,0.007,0.007,0.006,0.007,4030600,0.007
2016-05-09,0.007,0.007,0.007,0.007,1138400,0.007
2016-05-06,0.007,0.007,0.007,0.007,1656000,0.007
2016-05-05,0.007,0.007,0.007,0.007,299500,0.007
2016-05-04,0.007,0.007,0.007,0.007,164500,0.007
2016-05-03,0.007,0.008,0.007,0.007,2236700,0.007
2016-05-02,0.008,0.008,0.007,0.007,2815700,0.007
2016-04-29,0.007,0.007,0.007,0.007,000,0.007
2016-04-28,0.007,0.007,0.007,0.007,000,0.007
2016-04-27,0.008,0.008,0.007,0.007,79300,0.007
2016-04-26,0.009,0.009,0.008,0.008,2852400,0.008
2016-04-25,0.008,0.008,0.008,0.008,000,0.008
2016-04-22,0.007,0.008,0.007,0.008,2771700,0.008
2016-04-21,0.007,0.007,0.007,0.007,217600,0.007
2016-04-20,0.007,0.007,0.007,0.007,22000,0.007
2016-04-19,0.007,0.007,0.007,0.007,1210300,0.007
2016-04-18,0.007,0.007,0.007,0.007,000,0.007
2016-04-15,0.007,0.007,0.007,0.007,000,0.007
2016-04-14,0.007,0.007,0.007,0.007,703800,0.007
2016-04-13,0.007,0.007,0.007,0.007,346100,0.007
2016-04-12,0.007,0.007,0.007,0.007,300000,0.007
2016-04-11,0.006,0.006,0.006,0.006,100000,0.006
2016-04-08,0.008,0.008,0.007,0.008,1579800,0.008
2016-04-07,0.008,0.009,0.008,0.008,1082500,0.008
2016-04-06,0.01,0.01,0.008,0.008,402800,0.008
2016-04-05,0.009,0.009,0.009,0.009,2129300,0.009
2016-04-04,0.008,0.008,0.008,0.008,39000,0.008
2016-04-01,0.009,0.009,0.008,0.009,174000,0.009
2016-03-31,0.009,0.009,0.009,0.009,2400000,0.009
2016-03-30,0.008,0.008,0.008,0.008,125900,0.008
2016-03-29,0.009,0.009,0.008,0.009,1386000,0.009
2016-03-28,0.009,0.009,0.009,0.009,000,0.009
2016-03-25,0.009,0.009,0.009,0.009,000,0.009
2016-03-24,0.009,0.009,0.009,0.009,1300000,0.009
2016-03-23,0.01,0.01,0.009,0.009,509000,0.009
2016-03-22,0.01,0.01,0.01,0.01,1216100,0.01
2016-03-21,0.009,0.009,0.009,0.009,000,0.009
2016-03-18,0.01,0.01,0.009,0.009,568800,0.009
2016-03-17,0.007,0.011,0.007,0.011,6631300,0.011
2016-03-16,0.007,0.007,0.007,0.007,1000000,0.007
