Date,Open,High,Low,Close,Volume,Adj Close
2016-07-15,0.02,0.021,0.018,0.018,1982700,0.018
2016-07-14,0.018,0.018,0.018,0.018,456700,0.018
2016-07-13,0.018,0.018,0.018,0.018,100000,0.018
2016-07-12,0.017,0.017,0.017,0.017,100000,0.017
2016-07-11,0.018,0.018,0.017,0.017,685600,0.017
2016-07-08,0.018,0.018,0.016,0.016,1623800,0.016
2016-07-07,0.018,0.018,0.017,0.017,565200,0.017
2016-07-06,0.019,0.019,0.018,0.018,1233800,0.018
2016-07-05,0.02,0.02,0.018,0.018,3664500,0.018
2016-07-04,0.019,0.031,0.019,0.019,13338100,0.019
2016-07-01,0.018,0.018,0.018,0.018,100000,0.018
2016-06-30,0.018,0.018,0.015,0.016,2261600,0.016
2016-06-29,0.017,0.017,0.017,0.017,367200,0.017
2016-06-28,0.018,0.018,0.017,0.017,909200,0.017
2016-06-27,0.018,0.021,0.017,0.018,10066700,0.018
2016-06-24,0.015,0.015,0.014,0.014,650000,0.014
2016-06-23,0.015,0.015,0.014,0.014,841500,0.014
2016-06-22,0.015,0.015,0.015,0.015,000,0.015
2016-06-21,0.015,0.015,0.015,0.015,000,0.015
2016-06-20,0.015,0.015,0.014,0.015,246800,0.015
2016-06-17,0.015,0.015,0.015,0.015,518400,0.015
2016-06-16,0.016,0.016,0.016,0.016,000,0.016
2016-06-15,0.017,0.017,0.016,0.016,793500,0.016
2016-06-14,0.017,0.017,0.017,0.017,95700,0.017
2016-06-13,0.016,0.016,0.016,0.016,000,0.016
2016-06-10,0.015,0.016,0.015,0.016,3093300,0.016
2016-06-09,0.014,0.015,0.014,0.015,200000,0.015
2016-06-08,0.014,0.014,0.013,0.014,663700,0.014
2016-06-07,0.015,0.015,0.014,0.014,113500,0.014
2016-06-06,0.014,0.014,0.014,0.014,1316600,0.014
2016-06-03,0.015,0.015,0.015,0.015,000,0.015
2016-06-02,0.015,0.015,0.015,0.015,79000,0.015
2016-06-01,0.015,0.015,0.015,0.015,100000,0.015
2016-05-31,0.014,0.014,0.014,0.014,395600,0.014
2016-05-30,0.015,0.015,0.014,0.014,551000,0.014
2016-05-27,0.014,0.014,0.014,0.014,10000,0.014
2016-05-26,0.014,0.015,0.013,0.015,713100,0.015
2016-05-25,0.014,0.014,0.014,0.014,154600,0.014
2016-05-24,0.014,0.014,0.014,0.014,425000,0.014
2016-05-23,0.015,0.015,0.014,0.015,1874600,0.015
2016-05-20,0.015,0.015,0.015,0.015,10000,0.015
2016-05-19,0.015,0.015,0.015,0.015,82500,0.015
2016-05-18,0.015,0.015,0.015,0.015,29100,0.015
2016-05-17,0.015,0.015,0.015,0.015,400000,0.015
2016-05-16,0.016,0.016,0.016,0.016,64600,0.016
2016-05-13,0.015,0.016,0.015,0.016,115700,0.016
2016-05-12,0.015,0.015,0.015,0.015,000,0.015
2016-05-11,0.016,0.016,0.015,0.015,348900,0.015
2016-05-10,0.015,0.016,0.015,0.016,436100,0.016
2016-05-09,0.016,0.016,0.016,0.016,68000,0.016
2016-05-06,0.015,0.015,0.015,0.015,50000,0.015
2016-05-05,0.015,0.015,0.015,0.015,75000,0.015
2016-05-04,0.017,0.017,0.015,0.016,319600,0.016
2016-05-03,0.016,0.017,0.016,0.017,1300000,0.017
2016-05-02,0.016,0.016,0.015,0.015,110000,0.015
2016-04-29,0.015,0.015,0.015,0.015,825000,0.015
2016-04-28,0.016,0.016,0.015,0.015,226500,0.015
2016-04-27,0.015,0.015,0.014,0.014,910000,0.014
