Date,Open,High,Low,Close,Volume,Adj Close
2016-07-15,0.40,0.41,0.40,0.41,21600,0.41
2016-07-14,0.43,0.43,0.43,0.43,000,0.43
2016-07-13,0.43,0.43,0.43,0.43,000,0.43
2016-07-12,0.43,0.43,0.43,0.43,000,0.43
2016-07-11,0.43,0.43,0.43,0.43,000,0.43
2016-07-08,0.43,0.43,0.43,0.43,000,0.43
2016-07-07,0.43,0.43,0.43,0.43,10000,0.43
2016-07-06,0.42,0.44,0.42,0.44,28700,0.44
2016-07-05,0.415,0.415,0.415,0.415,165000,0.415
2016-07-04,0.415,0.415,0.40,0.40,201200,0.40
2016-07-01,0.44,0.44,0.44,0.44,000,0.44
2016-06-30,0.44,0.45,0.44,0.44,22000,0.44
2016-06-29,0.44,0.44,0.44,0.44,000,0.44
2016-06-28,0.44,0.44,0.44,0.44,000,0.44
2016-06-27,0.44,0.44,0.44,0.44,35200,0.44
2016-06-24,0.43,0.43,0.43,0.43,147400,0.43
2016-06-23,0.43,0.43,0.43,0.43,000,0.43
2016-06-22,0.43,0.43,0.43,0.43,20000,0.43
2016-06-21,0.42,0.42,0.42,0.42,29700,0.42
2016-06-20,0.405,0.425,0.405,0.42,14900,0.42
2016-06-17,0.425,0.425,0.42,0.42,124200,0.42
2016-06-16,0.435,0.435,0.435,0.435,44700,0.435
2016-06-15,0.42,0.44,0.42,0.44,81500,0.44
2016-06-14,0.425,0.425,0.42,0.42,74500,0.42
2016-06-13,0.425,0.425,0.425,0.425,000,0.425
2016-06-10,0.425,0.425,0.425,0.425,000,0.425
2016-06-09,0.425,0.425,0.425,0.425,000,0.425
2016-06-08,0.425,0.425,0.425,0.425,000,0.425
2016-06-07,0.425,0.425,0.425,0.425,000,0.425
2016-06-06,0.425,0.425,0.425,0.425,99400,0.425
2016-06-03,0.43,0.43,0.425,0.425,67100,0.425
2016-06-02,0.44,0.44,0.44,0.44,10000,0.44
2016-06-01,0.44,0.44,0.44,0.44,000,0.44
2016-05-31,0.44,0.44,0.44,0.44,000,0.44
2016-05-30,0.44,0.44,0.44,0.44,000,0.44
2016-05-27,0.435,0.44,0.435,0.44,40000,0.44
2016-05-26,0.44,0.44,0.44,0.44,30500,0.44
2016-05-25,0.44,0.44,0.44,0.44,79400,0.44
2016-05-24,0.42,0.42,0.42,0.42,30000,0.42
2016-05-23,0.42,0.42,0.42,0.42,89000,0.42
2016-05-20,0.415,0.42,0.415,0.42,22100,0.42
2016-05-19,0.415,0.415,0.415,0.415,10000,0.415
2016-05-18,0.42,0.42,0.42,0.42,25800,0.42
2016-05-17,0.42,0.42,0.42,0.42,2000,0.42
2016-05-16,0.415,0.415,0.415,0.415,000,0.415
2016-05-13,0.415,0.415,0.415,0.415,000,0.415
2016-05-12,0.415,0.415,0.415,0.415,000,0.415
2016-05-11,0.415,0.415,0.415,0.415,000,0.415
2016-05-10,0.44,0.44,0.415,0.415,19900,0.415
2016-05-09,0.44,0.44,0.44,0.44,000,0.44
2016-05-06,0.44,0.44,0.44,0.44,000,0.44
2016-05-05,0.44,0.44,0.44,0.44,53700,0.44
2016-05-04,0.44,0.44,0.44,0.44,4000,0.44
2016-05-03,0.445,0.445,0.445,0.445,000,0.445
2016-05-02,0.445,0.445,0.445,0.445,41000,0.445
2016-04-29,0.445,0.445,0.44,0.44,19000,0.44
2016-04-28,0.45,0.45,0.45,0.45,22000,0.45
2016-04-27,0.46,0.46,0.45,0.45,20000,0.45
2016-04-26,0.44,0.46,0.44,0.46,290000,0.46
2016-04-25,0.44,0.44,0.44,0.44,000,0.44
2016-04-22,0.44,0.44,0.44,0.44,32300,0.44
2016-04-21,0.44,0.44,0.44,0.44,89500,0.44
2016-04-20,0.445,0.45,0.42,0.42,24000,0.42
2016-04-19,0.43,0.44,0.43,0.44,66300,0.44
2016-04-18,0.44,0.44,0.43,0.43,135200,0.43
2016-04-15,0.435,0.44,0.435,0.44,189300,0.44
2016-04-14,0.46,0.46,0.46,0.46,577300,0.46
2016-04-13,0.45,0.455,0.45,0.455,43500,0.455
2016-04-12,0.445,0.445,0.445,0.445,000,0.445
2016-04-11,0.445,0.445,0.445,0.445,66800,0.445
2016-04-08,0.435,0.455,0.435,0.455,97900,0.455
2016-04-07,0.45,0.45,0.45,0.45,000,0.45
2016-04-06,0.45,0.45,0.45,0.45,27400,0.45
2016-04-05,0.435,0.435,0.425,0.425,15000,0.425
2016-04-04,0.45,0.45,0.45,0.45,000,0.45
2016-04-01,0.45,0.45,0.45,0.45,100000,0.45
