Date,Open,High,Low,Close,Volume,Adj Close
2016-07-15,8.00,8.00,8.00,8.00,000,8.00
2016-07-14,8.00,8.00,8.00,8.00,000,8.00
2016-07-13,8.00,8.00,8.00,8.00,000,8.00
2016-07-12,8.00,8.00,8.00,8.00,000,8.00
2016-07-11,8.00,8.00,8.00,8.00,000,8.00
2016-07-08,8.00,8.00,8.00,8.00,000,8.00
2016-07-07,8.00,8.00,8.00,8.00,000,8.00
2016-07-06,8.00,8.00,8.00,8.00,000,8.00
2016-07-05,8.00,8.00,8.00,8.00,000,8.00
2016-07-04,8.00,8.00,8.00,8.00,000,8.00
2016-07-01,8.00,8.00,8.00,8.00,000,8.00
2016-06-30,8.00,8.00,8.00,8.00,000,8.00
2016-06-29,8.00,8.00,8.00,8.00,000,8.00
2016-06-28,8.00,8.00,8.00,8.00,000,8.00
2016-06-27,8.00,8.00,8.00,8.00,000,8.00
2016-06-24,8.00,8.00,8.00,8.00,000,8.00
2016-06-23,8.00,8.00,8.00,8.00,000,8.00
2016-06-22,8.00,8.00,8.00,8.00,000,8.00
2016-06-21,8.00,8.00,8.00,8.00,000,8.00
2016-06-20,8.00,8.00,8.00,8.00,000,8.00
2016-06-17,8.00,8.00,8.00,8.00,000,8.00
2016-06-16,8.00,8.00,8.00,8.00,000,8.00
2016-06-15,8.00,8.00,8.00,8.00,000,8.00
2016-06-14,8.00,8.00,8.00,8.00,000,8.00
2016-06-13,8.00,8.00,8.00,8.00,000,8.00
2016-06-10,8.00,8.00,8.00,8.00,000,8.00
2016-06-09,8.00,8.00,8.00,8.00,000,8.00
2016-06-08,8.00,8.00,8.00,8.00,000,8.00
2016-06-07,8.00,8.00,8.00,8.00,000,8.00
2016-06-06,8.00,8.00,8.00,8.00,000,8.00
2016-06-03,8.00,8.00,8.00,8.00,000,8.00
2016-06-02,8.00,8.00,8.00,8.00,000,8.00
2016-06-01,8.00,8.00,8.00,8.00,000,8.00
2016-05-31,8.00,8.00,8.00,8.00,000,8.00
2016-05-30,8.00,8.00,8.00,8.00,000,8.00
2016-05-27,8.00,8.00,8.00,8.00,000,8.00
2016-05-26,8.00,8.00,8.00,8.00,000,8.00
2016-05-25,8.00,8.00,8.00,8.00,000,8.00
2016-05-24,8.00,8.00,8.00,8.00,000,8.00
2016-05-23,8.00,8.00,8.00,8.00,000,8.00
2016-05-20,8.00,8.00,8.00,8.00,000,8.00
2016-05-19,8.00,8.00,8.00,8.00,000,8.00
2016-05-18,8.00,8.00,8.00,8.00,000,8.00
2016-05-17,8.00,8.00,8.00,8.00,000,8.00
2016-05-16,8.00,8.00,8.00,8.00,000,8.00
2016-05-13,8.00,8.00,8.00,8.00,000,8.00
2016-05-12,8.00,8.00,8.00,8.00,000,8.00
2016-05-11,8.00,8.00,8.00,8.00,000,8.00
2016-05-10,8.00,8.00,8.00,8.00,000,8.00
2016-05-09,8.00,8.00,8.00,8.00,000,8.00
2016-05-06,8.00,8.00,8.00,8.00,000,8.00
2016-05-05,8.00,8.00,8.00,8.00,000,8.00
2016-05-04,8.00,8.00,8.00,8.00,000,8.00
2016-05-03,8.00,8.00,8.00,8.00,000,8.00
2016-05-02,8.00,8.00,8.00,8.00,000,8.00
2016-04-29,8.00,8.00,8.00,8.00,000,8.00
2016-04-28,8.00,8.00,8.00,8.00,000,8.00
2016-04-27,8.00,8.00,8.00,8.00,000,8.00
2016-04-26,8.00,8.00,8.00,8.00,000,8.00
2016-04-25,8.00,8.00,8.00,8.00,000,8.00
2016-04-22,8.00,8.00,8.00,8.00,000,8.00
2016-04-21,8.00,8.00,8.00,8.00,000,8.00
2016-04-20,8.00,8.00,8.00,8.00,000,8.00
