Date,Open,High,Low,Close,Volume,Adj Close
2015-11-11,0.06,0.06,0.06,0.06,000,0.06
2015-11-10,0.06,0.06,0.06,0.06,000,0.06
2015-11-09,0.06,0.06,0.06,0.06,000,0.06
2015-11-06,0.06,0.06,0.06,0.06,000,0.06
2015-11-05,0.06,0.06,0.06,0.06,000,0.06
2015-11-04,0.06,0.06,0.06,0.06,000,0.06
2015-11-03,0.06,0.06,0.06,0.06,000,0.06
2015-11-02,0.06,0.06,0.06,0.06,000,0.06
2015-10-30,0.06,0.06,0.06,0.06,000,0.06
2015-10-29,0.06,0.06,0.06,0.06,000,0.06
2015-10-28,0.06,0.06,0.06,0.06,000,0.06
2015-10-27,0.06,0.06,0.06,0.06,000,0.06
2015-10-26,0.06,0.06,0.06,0.06,000,0.06
2015-10-23,0.058,0.06,0.057,0.06,1560700,0.06
2015-10-22,0.055,0.06,0.055,0.056,266800,0.056
2015-10-21,0.058,0.058,0.056,0.057,689000,0.057
2015-10-20,0.058,0.058,0.058,0.058,000,0.058
2015-10-19,0.057,0.058,0.055,0.058,380000,0.058
2015-10-16,0.059,0.059,0.056,0.058,356100,0.058
2015-10-15,0.056,0.06,0.056,0.06,375000,0.06
2015-10-14,0.06,0.06,0.06,0.06,40000,0.06
2015-10-13,0.062,0.062,0.062,0.062,000,0.062
2015-10-12,0.059,0.065,0.059,0.062,1342300,0.062
2015-10-09,0.055,0.06,0.055,0.06,196300,0.06
2015-10-08,0.056,0.057,0.056,0.057,426000,0.057
2015-10-07,0.059,0.059,0.059,0.059,15000,0.059
2015-10-06,0.055,0.058,0.055,0.056,258400,0.056
2015-10-05,0.052,0.055,0.052,0.055,42700,0.055
2015-10-02,0.06,0.06,0.06,0.06,000,0.06
2015-10-01,0.06,0.06,0.06,0.06,000,0.06
2015-09-30,0.058,0.06,0.058,0.06,66100,0.06
2015-09-29,0.06,0.06,0.06,0.06,000,0.06
2015-09-28,0.06,0.06,0.06,0.06,000,0.06
2015-09-25,0.06,0.06,0.06,0.06,000,0.06
2015-09-24,0.06,0.06,0.06,0.06,10000,0.06
2015-09-23,0.053,0.06,0.053,0.06,7700,0.06
2015-09-22,0.053,0.06,0.053,0.06,15000,0.06
2015-09-21,0.06,0.062,0.055,0.06,649700,0.06
2015-09-18,0.056,0.06,0.056,0.058,132000,0.058
2015-09-17,0.055,0.056,0.055,0.056,155000,0.056
2015-09-16,0.052,0.052,0.052,0.052,30000,0.052
2015-09-15,0.054,0.054,0.054,0.054,55000,0.054
2015-09-14,0.054,0.054,0.053,0.054,76500,0.054
2015-09-11,0.054,0.054,0.054,0.054,170600,0.054
2015-09-10,0.057,0.06,0.057,0.06,150200,0.06
2015-09-09,0.064,0.064,0.06,0.06,49000,0.06
2015-09-08,0.065,0.065,0.065,0.065,219200,0.065
2015-09-07,0.06,0.065,0.06,0.065,59700,0.065
2015-09-04,0.06,0.065,0.06,0.065,75000,0.065
2015-09-03,0.063,0.063,0.063,0.063,000,0.063
2015-09-02,0.063,0.063,0.063,0.063,000,0.063
2015-09-01,0.062,0.063,0.062,0.063,10000,0.063
2015-08-31,0.062,0.062,0.062,0.062,25000,0.062
2015-08-28,0.06,0.062,0.06,0.06,262300,0.06
2015-08-27,0.059,0.059,0.059,0.059,43100,0.059
2015-08-26,0.059,0.059,0.059,0.059,84700,0.059
2015-08-25,0.059,0.059,0.059,0.059,000,0.059
2015-08-24,0.06,0.06,0.059,0.059,42400,0.059
2015-08-21,0.06,0.06,0.06,0.06,000,0.06
2015-08-20,0.06,0.06,0.06,0.06,115000,0.06
2015-08-19,0.064,0.064,0.062,0.062,78600,0.062
2015-08-18,0.065,0.065,0.065,0.065,456800,0.065
2015-08-17,0.07,0.07,0.07,0.07,14200,0.07
2015-08-14,0.07,0.07,0.069,0.069,93700,0.069
2015-08-13,0.065,0.065,0.065,0.065,000,0.065
2015-08-12,0.065,0.065,0.065,0.065,50000,0.065
2015-08-11,0.061,0.061,0.061,0.061,20000,0.061
2015-08-10,0.061,0.061,0.061,0.061,73600,0.061
2015-08-07,0.06,0.06,0.06,0.06,210000,0.06
2015-08-06,0.064,0.064,0.061,0.064,177500,0.064
2015-08-05,0.065,0.065,0.065,0.065,406300,0.065
2015-08-04,0.067,0.067,0.066,0.066,200000,0.066
