Date,Open,High,Low,Close,Volume,Adj Close
2016-07-15,0.205,0.205,0.205,0.205,23500,0.205
2016-07-14,0.205,0.21,0.205,0.21,26300,0.21
2016-07-13,0.21,0.21,0.20,0.20,191300,0.20
2016-07-12,0.20,0.20,0.20,0.20,65100,0.20
2016-07-11,0.21,0.21,0.20,0.20,214500,0.20
2016-07-08,0.205,0.205,0.205,0.205,000,0.205
2016-07-07,0.21,0.21,0.205,0.205,130900,0.205
2016-07-06,0.205,0.21,0.205,0.21,125900,0.21
2016-07-05,0.195,0.20,0.195,0.195,17800,0.195
2016-07-04,0.20,0.20,0.195,0.195,137600,0.195
2016-07-01,0.195,0.20,0.195,0.195,45100,0.195
2016-06-30,0.195,0.195,0.19,0.19,75200,0.19
2016-06-29,0.21,0.21,0.185,0.19,199900,0.19
2016-06-28,0.20,0.20,0.20,0.20,40000,0.20
2016-06-27,0.21,0.22,0.185,0.185,120400,0.185
2016-06-24,0.20,0.20,0.19,0.19,225900,0.19
2016-06-23,0.185,0.20,0.185,0.20,34800,0.20
2016-06-22,0.175,0.175,0.175,0.175,000,0.175
2016-06-21,0.17,0.175,0.17,0.175,326300,0.175
2016-06-20,0.18,0.18,0.17,0.17,89800,0.17
2016-06-17,0.195,0.195,0.18,0.18,241900,0.18
2016-06-16,0.20,0.21,0.16,0.18,509500,0.18
2016-06-15,0.205,0.205,0.20,0.20,142900,0.20
2016-06-14,0.215,0.215,0.205,0.21,507700,0.21
2016-06-13,0.215,0.215,0.215,0.215,000,0.215
2016-06-10,0.215,0.215,0.215,0.215,23300,0.215
2016-06-09,0.225,0.225,0.215,0.215,100100,0.215
2016-06-08,0.225,0.225,0.22,0.225,187100,0.225
2016-06-07,0.225,0.225,0.225,0.225,7500,0.225
2016-06-06,0.23,0.23,0.22,0.225,187400,0.225
2016-06-03,0.22,0.23,0.22,0.23,183800,0.23
2016-06-02,0.22,0.225,0.215,0.22,240100,0.22
2016-06-01,0.215,0.215,0.215,0.215,151100,0.215
2016-05-31,0.215,0.22,0.215,0.215,30500,0.215
2016-05-30,0.22,0.22,0.215,0.215,101000,0.215
2016-05-27,0.215,0.22,0.215,0.22,27500,0.22
2016-05-26,0.215,0.22,0.215,0.215,135600,0.215
2016-05-25,0.22,0.22,0.22,0.22,183600,0.22
2016-05-24,0.21,0.215,0.21,0.215,300600,0.215
2016-05-23,0.21,0.21,0.21,0.21,43000,0.21
2016-05-20,0.21,0.22,0.21,0.22,11800,0.22
2016-05-19,0.21,0.22,0.205,0.22,135100,0.22
2016-05-18,0.215,0.22,0.215,0.215,87500,0.215
2016-05-17,0.22,0.22,0.22,0.22,14900,0.22
2016-05-16,0.23,0.235,0.22,0.23,275400,0.23
2016-05-13,0.22,0.23,0.22,0.23,457500,0.23
2016-05-12,0.215,0.215,0.21,0.21,71400,0.21
2016-05-11,0.215,0.215,0.20,0.215,888800,0.215
2016-05-10,0.215,0.22,0.215,0.22,349900,0.22
2016-05-09,0.20,0.21,0.20,0.21,393000,0.21
2016-05-06,0.20,0.21,0.20,0.21,157600,0.21
2016-05-05,0.20,0.20,0.20,0.20,223200,0.20
2016-05-04,0.20,0.205,0.20,0.205,415100,0.205
2016-05-03,0.22,0.22,0.20,0.20,145900,0.20
2016-05-02,0.22,0.22,0.205,0.22,281800,0.22
2016-04-29,0.22,0.225,0.22,0.22,543000,0.22
2016-04-28,0.23,0.23,0.215,0.215,139500,0.215
2016-04-27,0.23,0.23,0.22,0.23,630100,0.23
2016-04-26,0.23,0.23,0.22,0.225,334000,0.225
2016-04-25,0.23,0.23,0.23,0.23,000,0.23
2016-04-22,0.225,0.23,0.225,0.23,927400,0.23
2016-04-21,0.22,0.225,0.22,0.225,267600,0.225
2016-04-20,0.225,0.225,0.22,0.225,212400,0.225
2016-04-19,0.23,0.23,0.215,0.22,248300,0.22
2016-04-18,0.22,0.225,0.22,0.225,110300,0.225
2016-04-15,0.215,0.22,0.205,0.22,423700,0.22
2016-04-14,0.205,0.215,0.20,0.215,227900,0.215
2016-04-13,0.20,0.205,0.20,0.20,1764400,0.20
2016-04-12,0.19,0.21,0.19,0.20,1000000,0.20
2016-04-11,0.185,0.19,0.18,0.19,269700,0.19
2016-04-08,0.18,0.185,0.18,0.185,222800,0.185
2016-04-07,0.175,0.185,0.175,0.185,88300,0.185
2016-04-06,0.185,0.19,0.18,0.18,330800,0.18
2016-04-05,0.185,0.19,0.185,0.185,245800,0.185
2016-04-04,0.17,0.18,0.165,0.18,292600,0.18
2016-04-01,0.175,0.175,0.165,0.165,145000,0.165
2016-03-31,0.17,0.17,0.17,0.17,102100,0.17
2016-03-30,0.165,0.17,0.16,0.16,373000,0.16
2016-03-29,0.165,0.165,0.16,0.16,36500,0.16
2016-03-28,0.165,0.165,0.165,0.165,000,0.165
2016-03-25,0.165,0.165,0.165,0.165,000,0.165
2016-03-24,0.155,0.165,0.155,0.165,97400,0.165
2016-03-23,0.165,0.165,0.155,0.16,344100,0.16
2016-03-22,0.16,0.165,0.16,0.165,343200,0.165
2016-03-21,0.155,0.16,0.155,0.16,205800,0.16
2016-03-18,0.15,0.155,0.15,0.155,15700,0.155
2016-03-17,0.15,0.16,0.15,0.16,72000,0.16
2016-03-16,0.145,0.145,0.145,0.145,15000,0.145
2016-03-15,0.15,0.15,0.145,0.145,76900,0.145
2016-03-14,0.165,0.165,0.15,0.16,378600,0.16
2016-03-11,0.17,0.17,0.155,0.155,477900,0.155
2016-03-10,0.135,0.165,0.135,0.165,1159500,0.165
2016-03-09,0.135,0.135,0.13,0.13,89300,0.13
2016-03-08,0.14,0.14,0.135,0.14,100000,0.14
2016-03-07,0.135,0.14,0.135,0.135,184000,0.135
2016-03-04,0.135,0.135,0.135,0.135,100000,0.135
