Date,Open,High,Low,Close,Volume,Adj Close
2016-07-15,0.25,0.25,0.25,0.25,11100,0.25
2016-07-14,0.25,0.25,0.25,0.25,2500,0.25
2016-07-13,0.25,0.25,0.25,0.25,000,0.25
2016-07-12,0.25,0.25,0.25,0.25,000,0.25
2016-07-11,0.25,0.25,0.25,0.25,5500,0.25
2016-07-08,0.295,0.295,0.295,0.295,000,0.295
2016-07-07,0.295,0.295,0.295,0.295,000,0.295
2016-07-06,0.295,0.295,0.295,0.295,000,0.295
2016-07-05,0.295,0.295,0.295,0.295,000,0.295
2016-07-04,0.295,0.295,0.295,0.295,000,0.295
2016-07-01,0.295,0.295,0.295,0.295,000,0.295
2016-06-30,0.295,0.295,0.295,0.295,000,0.295
2016-06-29,0.295,0.295,0.295,0.295,000,0.295
2016-06-28,0.295,0.295,0.295,0.295,000,0.295
2016-06-27,0.295,0.295,0.295,0.295,000,0.295
2016-06-24,0.295,0.295,0.295,0.295,000,0.295
2016-06-23,0.295,0.295,0.295,0.295,000,0.295
2016-06-22,0.295,0.295,0.295,0.295,000,0.295
2016-06-21,0.295,0.295,0.295,0.295,000,0.295
2016-06-20,0.295,0.295,0.295,0.295,000,0.295
2016-06-17,0.295,0.295,0.295,0.295,000,0.295
2016-06-16,0.295,0.295,0.295,0.295,000,0.295
2016-06-15,0.295,0.295,0.295,0.295,000,0.295
2016-06-14,0.295,0.295,0.295,0.295,000,0.295
2016-06-13,0.295,0.295,0.295,0.295,000,0.295
2016-06-10,0.295,0.295,0.295,0.295,1200,0.295
2016-06-09,0.30,0.30,0.30,0.30,000,0.30
2016-06-08,0.30,0.30,0.30,0.30,000,0.30
2016-06-07,0.30,0.30,0.30,0.30,000,0.30
2016-06-06,0.30,0.30,0.30,0.30,000,0.30
2016-06-03,0.30,0.30,0.30,0.30,000,0.30
2016-06-02,0.30,0.30,0.30,0.30,000,0.30
2016-06-01,0.30,0.30,0.30,0.30,000,0.30
2016-05-31,0.30,0.30,0.30,0.30,000,0.30
2016-05-30,0.30,0.30,0.30,0.30,000,0.30
2016-05-27,0.30,0.30,0.30,0.30,000,0.30
2016-05-26,0.29,0.30,0.29,0.30,91900,0.30
2016-05-25,0.29,0.29,0.29,0.29,11900,0.29
2016-05-24,0.29,0.29,0.29,0.29,000,0.29
2016-05-23,0.29,0.29,0.29,0.29,000,0.29
2016-05-20,0.29,0.29,0.29,0.29,000,0.29
2016-05-19,0.29,0.29,0.29,0.29,000,0.29
2016-05-18,0.29,0.29,0.29,0.29,000,0.29
2016-05-17,0.29,0.29,0.29,0.29,000,0.29
2016-05-16,0.29,0.29,0.29,0.29,000,0.29
2016-05-13,0.29,0.29,0.29,0.29,000,0.29
2016-05-12,0.29,0.29,0.29,0.29,000,0.29
2016-05-11,0.29,0.29,0.29,0.29,000,0.29
2016-05-10,0.29,0.29,0.29,0.29,000,0.29
2016-05-09,0.29,0.29,0.29,0.29,28200,0.29
2016-05-06,0.27,0.30,0.27,0.30,151800,0.30
2016-05-05,0.29,0.29,0.29,0.29,000,0.29
2016-05-04,0.29,0.29,0.29,0.29,000,0.29
2016-05-03,0.29,0.29,0.29,0.29,000,0.29
2016-05-02,0.29,0.29,0.29,0.29,000,0.29
2016-04-29,0.30,0.30,0.29,0.29,27500,0.29
2016-04-28,0.30,0.30,0.30,0.30,20000,0.30
2016-04-27,0.29,0.29,0.29,0.29,2500,0.29
2016-04-26,0.29,0.29,0.29,0.29,000,0.29
2016-04-25,0.29,0.29,0.29,0.29,000,0.29
2016-04-22,0.24,0.29,0.20,0.29,122500,0.29
2016-04-21,0.28,0.28,0.28,0.28,27100,0.28
2016-04-20,0.29,0.29,0.29,0.29,000,0.29
2016-04-19,0.26,0.29,0.26,0.29,100300,0.29
2016-04-18,0.28,0.31,0.28,0.28,121900,0.28
2016-04-15,0.30,0.30,0.30,0.30,20000,0.30
2016-04-14,0.29,0.30,0.29,0.30,10000,0.30
2016-04-13,0.31,0.31,0.31,0.31,10000,0.31
2016-04-12,0.31,0.31,0.31,0.31,10000,0.31
2016-04-11,0.29,0.31,0.29,0.31,48400,0.31
2016-04-08,0.305,0.305,0.305,0.305,10000,0.305
2016-04-07,0.30,0.30,0.30,0.30,000,0.30
2016-04-06,0.275,0.30,0.275,0.30,56600,0.30
