Date,Open,High,Low,Close,Volume,Adj Close
2016-07-15,0.98,0.98,0.96,0.96,47400,0.96
2016-07-14,1.00,1.00,0.96,0.96,40100,0.96
2016-07-13,1.00,1.00,1.00,1.00,000,1.00
2016-07-12,1.00,1.01,1.00,1.00,17200,1.00
2016-07-11,1.00,1.02,0.98,1.02,289100,1.02
2016-07-08,0.975,0.98,0.97,0.975,84500,0.975
2016-07-07,0.975,0.975,0.975,0.975,000,0.975
2016-07-06,0.975,0.975,0.975,0.975,000,0.975
2016-07-05,0.975,0.975,0.975,0.975,8200,0.975
2016-07-04,0.975,0.975,0.975,0.975,10100,0.975
2016-07-01,0.97,1.00,0.97,1.00,40200,1.00
2016-06-30,0.98,1.00,0.98,0.99,38300,0.99
2016-06-29,0.955,0.955,0.955,0.955,15800,0.955
2016-06-28,0.955,0.955,0.95,0.95,20200,0.95
2016-06-27,0.98,0.98,0.975,0.975,4800,0.975
2016-06-24,1.00,1.00,0.95,0.95,32300,0.95
2016-06-23,0.99,0.99,0.99,0.99,000,0.99
2016-06-22,1.00,1.00,0.99,0.99,57400,0.99
2016-06-21,1.01,1.01,0.99,1.00,85300,1.00
2016-06-20,1.00,1.01,0.99,1.01,211800,1.01
2016-06-17,1.00,1.00,1.00,1.00,87400,1.00
2016-06-16,1.02,1.02,0.99,1.00,180900,1.00
2016-06-15,1.02,1.02,1.01,1.01,900,1.01
2016-06-14,1.03,1.03,1.025,1.03,8500,1.03
2016-06-13,1.03,1.03,1.03,1.03,000,1.03
2016-06-10,1.03,1.03,1.03,1.03,20000,1.03
2016-06-09,1.02,1.03,0.99,1.03,22000,1.03
2016-06-08,1.04,1.04,1.04,1.04,000,1.04
2016-06-07,1.03,1.04,1.02,1.04,24000,1.04
2016-06-06,1.03,1.05,1.03,1.03,52200,1.03
2016-06-03,1.03,1.03,1.03,1.03,12600,1.03
2016-06-02,1.03,1.035,1.02,1.03,92800,1.03
2016-06-01,1.03,1.03,1.02,1.02,31900,1.02
2016-05-31,1.02,1.025,1.02,1.02,81100,1.02
2016-05-30,1.02,1.02,1.02,1.02,30000,1.02
2016-05-27,1.02,1.05,1.02,1.02,88900,1.02
2016-05-26,1.05,1.05,1.05,1.05,000,1.05
2016-05-25,1.02,1.05,1.015,1.05,25500,1.05
2016-05-24,1.07,1.07,1.05,1.05,11900,1.05
2016-05-23,1.09,1.09,1.052,1.09,15400,1.09
2016-05-20,1.10,1.12,1.055,1.055,35100,1.055
2016-05-19,1.10,1.12,1.10,1.10,1900,1.10
