Date,Open,High,Low,Close,Volume,Adj Close
2016-07-15,5.73,5.74,5.69,5.71,261200,5.71
2016-07-14,5.72,5.76,5.70,5.71,212500,5.71
2016-07-13,5.73,5.74,5.70,5.72,252000,5.72
2016-07-12,5.69,5.72,5.68,5.71,246800,5.71
2016-07-11,5.65,5.70,5.64,5.68,248000,5.68
2016-07-08,5.63,5.64,5.60,5.60,273900,5.60
2016-07-07,5.66,5.68,5.61,5.61,208100,5.61
2016-07-06,5.64,5.67,5.62,5.64,259500,5.64
2016-07-05,5.64,5.68,5.62,5.64,280500,5.64
2016-07-04,5.63,5.67,5.59,5.63,239600,5.63
2016-07-01,5.63,5.64,5.56,5.64,440100,5.64
2016-06-30,5.63,5.68,5.61,5.61,252000,5.61
2016-06-29,5.57,5.67,5.57,5.63,337400,5.63
2016-06-28,5.51,5.60,5.50,5.54,324700,5.54
2016-06-27,5.51,5.58,5.48,5.56,404300,5.56
2016-06-24,5.55,5.56,5.50,5.50,530500,5.50
2016-06-23,5.55,5.55,5.53,5.53,314100,5.53
2016-06-22,5.55,5.55,5.53,5.53,425100,5.53
2016-06-21,5.59,5.61,5.53,5.53,440400,5.53
2016-06-20,5.55,5.59,5.53,5.59,330400,5.59
2016-06-17,5.54,5.56,5.52,5.52,259700,5.52
2016-06-16,5.54,5.56,5.52,5.53,350300,5.53
2016-06-15,5.52,5.61,5.50,5.52,433800,5.52
2016-06-14,5.61,5.61,5.48,5.50,686200,5.50
2016-06-10,5.64,5.66,5.62,5.63,440000,5.63
2016-06-09,5.64,5.67,5.62,5.63,292400,5.63
2016-06-08,5.63,5.67,5.62,5.62,376500,5.62
2016-06-07,5.64,5.66,5.63,5.64,243800,5.64
2016-06-06,5.66,5.67,5.62,5.62,405200,5.62
2016-06-02,5.61,5.62,5.58,5.60,339900,5.60
2016-06-01,5.64,5.66,5.60,5.60,569400,5.60
2016-05-31,5.65,5.67,5.63,5.64,329400,5.64
2016-05-30,5.67,5.68,5.65,5.65,221600,5.65
2016-05-27,5.65,5.68,5.65,5.67,292400,5.67
2016-05-26,5.66,5.68,5.65,5.65,260900,5.65
2016-05-25,5.66,5.67,5.64,5.65,329200,5.65
2016-05-24,5.63,5.67,5.62,5.63,353200,5.63
2016-05-23,5.66,5.67,5.61,5.61,437000,5.61
2016-05-20,5.66,5.69,5.64,5.64,451700,5.64
2016-05-19,5.68,5.69,5.64,5.64,377400,5.64
2016-05-18,5.65,5.68,5.63,5.68,288000,5.68
2016-05-17,5.64,5.67,5.63,5.66,306500,5.66
2016-05-16,5.62,5.65,5.60,5.61,373800,5.61
2016-05-13,5.64,5.69,5.60,5.60,411800,5.60
2016-05-12,5.65,5.68,5.63,5.64,280200,5.64
2016-05-11,5.65,5.67,5.64,5.64,341300,5.64
2016-05-10,5.61,5.65,5.60,5.64,368000,5.64
2016-05-09,5.63,5.65,5.61,5.61,284600,5.61
2016-05-06,5.60,5.63,5.59,5.63,216000,5.63
2016-05-05,5.59,5.64,5.58,5.61,350300,5.61
2016-05-04,5.58,5.61,5.56,5.61,301200,5.61
2016-05-03,5.58,5.59,5.54,5.59,204900,5.59
2016-05-02,5.57,5.59,5.53,5.56,236600,5.56
2016-04-29,5.57,5.59,5.54,5.54,287700,5.54
2016-04-28,5.59,5.60,5.57,5.57,151900,5.57
2016-04-27,5.58,5.60,5.55,5.58,242600,5.58
2016-04-26,5.57,5.60,5.55,5.57,245500,5.57
2016-04-22,5.55,5.59,5.55,5.56,184700,5.56
2016-04-21,5.54,5.59,5.54,5.57,318000,5.57
2016-04-20,5.54,5.58,5.52,5.53,311900,5.53
2016-04-19,5.53,5.59,5.51,5.52,342100,5.52
2016-04-15,5.60,5.65,5.53,5.53,319200,5.53
2016-04-14,5.62,5.66,5.58,5.58,243600,5.58
2016-04-13,5.61,5.65,5.55,5.61,328800,5.61
2016-04-12,5.55,5.61,5.52,5.61,194000,5.61
2016-04-11,5.53,5.55,5.49,5.55,158500,5.55
2016-04-08,5.59,5.59,5.52,5.52,244000,5.52
2016-04-07,5.58,5.62,5.57,5.61,242300,5.61
2016-04-06,5.49,5.58,5.47,5.56,283300,5.56
2016-04-05,5.55,5.55,5.45,5.45,256100,5.45
2016-04-04,5.51,5.57,5.50,5.56,241900,5.56
2016-04-01,5.54,5.57,5.48,5.48,325900,5.48
2016-03-31,5.59,5.59,5.52,5.53,193200,5.53
2016-03-30,5.53,5.55,5.50,5.52,140300,5.52
2016-03-29,5.51,5.54,5.50,5.52,243800,5.52
2016-03-24,5.56,5.58,5.49,5.50,387200,5.50
2016-03-23,5.60,5.60,5.56,5.56,226200,5.56
2016-03-22,5.65,5.66,5.59,5.59,241200,5.59
2016-03-21,5.66,5.67,5.63,5.64,233900,5.64
2016-03-18,5.68,5.70,5.65,5.65,264800,5.65
2016-03-17,5.65,5.69,5.64,5.66,218900,5.66
2016-03-16,5.64,5.68,5.61,5.64,183700,5.64
2016-03-15,5.67,5.67,5.62,5.62,157600,5.62
2016-03-14,5.66,5.69,5.64,5.65,90100,5.65
2016-03-11,5.66,5.68,5.60,5.64,159400,5.64
