Date,Open,High,Low,Close,Volume,Adj Close
2015-12-11,0.915,0.915,0.915,0.915,000,0.915
2015-12-10,0.915,0.915,0.915,0.915,000,0.915
2015-12-09,0.915,0.915,0.915,0.915,000,0.915
2015-12-08,0.915,0.915,0.915,0.915,000,0.915
2015-12-07,0.915,0.915,0.915,0.915,000,0.915
2015-12-04,0.915,0.915,0.915,0.915,000,0.915
2015-12-03,0.915,0.915,0.915,0.915,000,0.915
2015-12-02,0.915,0.915,0.915,0.915,000,0.915
2015-12-01,0.915,0.92,0.915,0.915,236400,0.915
2015-11-30,0.915,0.92,0.915,0.92,850000,0.92
2015-11-27,0.915,0.92,0.915,0.915,21100,0.915
2015-11-26,0.915,0.92,0.915,0.915,27100,0.915
2015-11-25,0.92,0.92,0.915,0.915,66000,0.915
2015-11-24,0.917,0.92,0.915,0.915,74400,0.915
2015-11-23,0.92,0.92,0.915,0.915,155700,0.915
2015-11-20,0.912,0.92,0.91,0.915,989000,0.915
2015-11-19,0.912,0.915,0.91,0.91,103600,0.91
2015-11-18,0.912,0.915,0.91,0.915,653700,0.915
2015-11-17,0.91,0.9125,0.91,0.91,193600,0.91
2015-11-16,0.915,0.915,0.91,0.91,29600,0.91
2015-11-13,0.91,0.915,0.91,0.91,167600,0.91
2015-11-12,0.91,0.915,0.91,0.91,99500,0.91
2015-11-11,0.91,0.915,0.907,0.915,1520500,0.915
2015-11-10,0.91,0.91,0.905,0.907,73200,0.907
2015-11-09,0.905,0.91,0.905,0.907,325800,0.907
2015-11-06,0.905,0.91,0.905,0.905,79700,0.905
2015-11-05,0.907,0.91,0.905,0.91,117100,0.91
2015-11-04,0.91,0.91,0.905,0.91,101400,0.91
2015-11-03,0.91,0.91,0.905,0.91,70700,0.91
2015-11-02,0.905,0.9075,0.905,0.907,137300,0.907
2015-10-30,0.905,0.91,0.905,0.905,26400,0.905
2015-10-29,0.905,0.91,0.905,0.907,42900,0.907
2015-10-28,0.905,0.91,0.905,0.907,58700,0.907
2015-10-27,0.91,0.91,0.905,0.907,209900,0.907
2015-10-26,0.905,0.91,0.905,0.907,61100,0.907
2015-10-23,0.91,0.91,0.905,0.905,40400,0.905
2015-10-22,0.905,0.9075,0.905,0.905,242900,0.905
2015-10-21,0.905,0.91,0.905,0.91,282000,0.91
2015-10-20,0.90,0.905,0.90,0.905,740800,0.905
2015-10-19,0.90,0.9025,0.90,0.90,173100,0.90
2015-10-16,0.90,0.9025,0.90,0.902,52000,0.902
2015-10-15,0.905,0.905,0.90,0.90,184600,0.90
2015-10-14,0.905,0.905,0.90,0.90,116800,0.90
2015-10-13,0.902,0.9025,0.902,0.902,309900,0.902
2015-10-12,0.90,0.905,0.90,0.902,39800,0.902
2015-10-09,0.905,0.9075,0.905,0.907,740700,0.907
2015-10-08,0.905,0.91,0.905,0.91,547400,0.91
2015-10-07,0.902,0.91,0.902,0.905,523500,0.905
2015-10-06,0.90,0.9025,0.90,0.902,39200,0.902
2015-10-05,0.902,0.905,0.902,0.905,92700,0.905
2015-10-02,0.902,0.905,0.90,0.90,392100,0.90
2015-10-01,0.902,0.905,0.90,0.90,758800,0.90
2015-09-30,0.90,0.905,0.90,0.905,2126000,0.905
2015-09-29,0.905,0.905,0.902,0.902,1179400,0.902
2015-09-28,0.902,0.91,0.90,0.91,403500,0.91
2015-09-25,0.905,0.91,0.902,0.902,240900,0.902
2015-09-24,0.90,0.905,0.90,0.905,1400900,0.905
2015-09-23,0.90,0.91,0.90,0.90,736000,0.90
2015-09-22,0.90,0.905,0.90,0.90,655000,0.90
2015-09-21,0.905,0.905,0.90,0.90,3354200,0.90
2015-09-18,0.895,0.8975,0.895,0.895,587200,0.895
2015-09-17,0.895,0.90,0.895,0.895,1333400,0.895
2015-09-16,0.895,0.8975,0.895,0.895,1469900,0.895
2015-09-15,0.90,0.90,0.895,0.895,4156400,0.895
2015-09-14,0.855,0.865,0.855,0.865,226500,0.865
2015-09-11,0.86,0.86,0.855,0.855,208900,0.855
2015-09-10,0.85,0.865,0.85,0.865,1024400,0.865
2015-09-09,0.84,0.86,0.837,0.855,11012100,0.855
2015-09-08,0.855,0.86,0.835,0.84,4192400,0.84
2015-09-07,0.855,0.86,0.85,0.855,742500,0.855
2015-09-04,0.855,0.86,0.855,0.855,1217400,0.855
2015-09-03,0.86,0.86,0.855,0.855,774100,0.855
2015-09-02,0.86,0.865,0.855,0.86,2366700,0.86
2015-09-01,0.86,0.865,0.86,0.86,1191000,0.86
2015-08-31,0.86,0.865,0.86,0.865,1059900,0.865
2015-08-28,0.86,0.865,0.855,0.86,1042100,0.86
2015-08-27,0.855,0.865,0.855,0.86,2279600,0.86
2015-08-26,0.86,0.865,0.855,0.855,1967500,0.855
2015-08-25,0.85,0.855,0.845,0.85,2899500,0.85
2015-08-24,0.855,0.865,0.85,0.855,3854600,0.855
2015-08-21,0.815,0.815,0.81,0.81,2841600,0.81
2015-08-20,0.82,0.825,0.81,0.81,5198100,0.81
2015-08-19,0.82,0.825,0.815,0.815,5311400,0.815
2015-08-18,0.83,0.83,0.82,0.82,882000,0.82
2015-08-17,0.83,0.83,0.82,0.83,2379700,0.83
2015-08-14,0.82,0.825,0.82,0.825,1910400,0.825
2015-08-13,0.82,0.825,0.82,0.82,243800,0.82
2015-08-12,0.825,0.83,0.82,0.82,2516100,0.82
2015-08-11,0.825,0.83,0.825,0.825,654200,0.825
2015-08-10,0.825,0.825,0.82,0.82,1381000,0.82
2015-08-07,0.82,0.83,0.82,0.82,121100,0.82
2015-08-06,0.83,0.83,0.82,0.82,629700,0.82
2015-08-05,0.82,0.825,0.82,0.825,3405300,0.825
2015-08-04,0.83,0.835,0.82,0.82,535500,0.82
2015-08-03,0.815,0.83,0.815,0.825,6043200,0.825
2015-07-31,0.735,0.74,0.725,0.74,157800,0.74
2015-07-30,0.74,0.765,0.725,0.73,250200,0.73
2015-07-29,0.78,0.78,0.745,0.77,208700,0.77
2015-07-28,0.77,0.785,0.73,0.785,521000,0.785
2015-07-27,0.735,0.78,0.73,0.77,2727700,0.77
2015-07-24,0.77,0.78,0.735,0.75,156100,0.75
2015-07-23,0.78,0.78,0.725,0.77,812400,0.77
2015-07-22,0.78,0.79,0.755,0.79,1036000,0.79
2015-07-21,0.78,0.785,0.76,0.78,2936800,0.78
2015-07-20,0.78,0.79,0.77,0.785,333400,0.785
2015-07-17,0.765,0.785,0.76,0.78,1058400,0.78
2015-07-16,0.725,0.765,0.72,0.76,1371600,0.76
2015-07-15,0.71,0.725,0.705,0.71,692700,0.71
2015-07-14,0.71,0.73,0.70,0.70,529900,0.70
2015-07-13,0.69,0.71,0.69,0.70,3313200,0.70
2015-07-10,0.69,0.6975,0.685,0.69,4258500,0.69
2015-07-09,0.655,0.69,0.655,0.68,9604100,0.68
2015-07-08,0.67,0.68,0.66,0.665,1094800,0.665
2015-07-07,0.685,0.69,0.665,0.675,1385200,0.675
2015-07-06,0.71,0.71,0.67,0.68,2930700,0.68
2015-07-03,0.68,0.71,0.66,0.70,19305600,0.70
2015-07-02,0.745,0.745,0.49,0.54,53516200,0.54
2015-07-01,0.815,0.83,0.79,0.82,577000,0.82
2015-06-30,0.78,0.82,0.77,0.81,1156400,0.81
2015-06-29,0.785,0.79,0.765,0.775,1242900,0.775
2015-06-26,0.80,0.80,0.76,0.785,1205100,0.785
2015-06-25,0.815,0.815,0.795,0.81,709400,0.81
2015-06-24,0.825,0.83,0.805,0.82,538100,0.82
2015-06-23,0.835,0.845,0.82,0.825,1027300,0.825
2015-06-22,0.86,0.88,0.83,0.835,302200,0.835
2015-06-19,0.85,0.87,0.825,0.855,1163100,0.855
2015-06-18,0.90,0.90,0.845,0.85,913500,0.85
2015-06-17,0.92,0.92,0.87,0.90,715000,0.90
2015-06-16,0.92,0.92,0.88,0.91,829100,0.91
2015-06-15,0.93,0.94,0.925,0.93,253300,0.93
2015-06-12,0.945,0.95,0.92,0.93,504400,0.93
2015-06-11,0.95,0.97,0.93,0.95,429400,0.95
2015-06-10,0.99,0.99,0.95,0.955,537200,0.955
2015-06-09,0.97,0.995,0.97,0.99,873600,0.99
2015-06-08,0.97,0.97,0.97,0.97,000,0.97
2015-06-05,0.955,0.98,0.955,0.97,742800,0.97
2015-06-04,0.97,0.97,0.95,0.965,1597000,0.965
2015-06-03,0.98,0.98,0.95,0.95,778700,0.95
2015-06-02,1.00,1.005,0.95,0.98,626300,0.98
2015-06-01,1.02,1.035,0.995,0.995,611500,0.995
2015-05-29,1.01,1.03,1.01,1.02,1660100,1.02
2015-05-28,1.02,1.03,1.01,1.01,1771000,1.01
2015-05-27,1.06,1.065,1.01,1.02,1497200,1.02
2015-05-26,1.05,1.065,1.05,1.05,384000,1.05
2015-05-25,1.065,1.075,1.04,1.05,623800,1.05
2015-05-22,1.07,1.08,1.06,1.065,265100,1.065
2015-05-21,1.08,1.08,1.07,1.07,174600,1.07
2015-05-20,1.075,1.085,1.075,1.08,350600,1.08
2015-05-19,1.08,1.085,1.07,1.075,74500,1.075
2015-05-18,1.10,1.105,1.075,1.08,216900,1.08
2015-05-15,1.09,1.11,1.09,1.095,861100,1.095
2015-05-14,1.09,1.105,1.085,1.085,174800,1.085
2015-05-13,1.105,1.11,1.087,1.09,412600,1.09
2015-05-12,1.12,1.12,1.065,1.07,1096600,1.07
2015-05-11,1.12,1.145,1.105,1.105,1713700,1.105
2015-05-08,1.095,1.095,1.065,1.065,446700,1.065
2015-05-07,1.085,1.10,1.07,1.08,174800,1.08
2015-05-06,1.12,1.12,1.09,1.105,168100,1.105
2015-05-05,1.10,1.13,1.09,1.125,1132200,1.125
2015-05-04,1.105,1.105,1.07,1.09,234800,1.09
2015-05-01,1.065,1.105,1.065,1.09,1423100,1.09
2015-04-30,1.10,1.10,1.075,1.08,344700,1.08
2015-04-29,1.115,1.115,1.09,1.105,395000,1.105
2015-04-28,1.12,1.13,1.085,1.10,866200,1.10
2015-04-27,1.12,1.15,1.095,1.13,308800,1.13
2015-04-24,1.11,1.13,1.09,1.115,310700,1.115
2015-04-23,1.10,1.115,1.092,1.105,330500,1.105
2015-04-22,1.105,1.11,1.09,1.095,353300,1.095
2015-04-21,1.115,1.115,1.085,1.095,462800,1.095
2015-04-20,1.12,1.13,1.10,1.10,557900,1.10
2015-04-17,1.07,1.13,1.062,1.11,2720700,1.11
2015-04-16,1.065,1.07,1.05,1.05,1135200,1.05
2015-04-15,1.06,1.065,1.055,1.06,482100,1.06
2015-04-14,1.06,1.07,1.05,1.05,404200,1.05
2015-04-13,1.07,1.08,1.06,1.06,762000,1.06
2015-04-10,1.055,1.075,1.05,1.06,826000,1.06
2015-04-09,1.07,1.09,1.065,1.065,2690600,1.065
2015-04-08,1.065,1.07,1.055,1.06,806900,1.06
2015-04-07,1.09,1.09,1.055,1.065,683100,1.065
2015-04-06,1.07,1.07,1.07,1.07,000,1.07
2015-04-03,1.07,1.07,1.07,1.07,000,1.07
2015-04-02,1.08,1.095,1.07,1.07,708500,1.07
2015-04-01,1.105,1.115,1.075,1.08,870800,1.08
2015-03-31,1.13,1.14,1.105,1.105,1092500,1.105
2015-03-30,1.13,1.135,1.115,1.12,726100,1.12
2015-03-27,1.11,1.135,1.105,1.12,1883500,1.12
2015-03-26,1.10,1.14,1.092,1.105,1525900,1.105
2015-03-25,1.12,1.12,1.07,1.085,2996800,1.085
2015-03-24,1.13,1.14,1.10,1.12,1503700,1.12
2015-03-23,1.155,1.155,1.125,1.13,1501200,1.13
2015-03-20,1.165,1.165,1.13,1.13,1714800,1.13
2015-03-19,1.15,1.185,1.14,1.15,3031400,1.15
2015-03-18,1.165,1.18,1.13,1.17,3483500,1.17
2015-03-17,1.23,1.23,1.15,1.16,2319500,1.16
2015-03-16,1.30672,1.30672,1.30672,1.30672,000,1.30672
2015-03-13,1.30672,1.30672,1.30672,1.30672,000,1.30672
2015-03-12,1.30672,1.30672,1.30672,1.30672,000,1.30672
2015-03-11,1.30672,1.30672,1.30672,1.30672,000,1.30672
2015-03-10,1.3019,1.33083,1.29708,1.30672,143800,1.30672
2015-03-09,1.3019,1.32119,1.28262,1.31155,210500,1.31155
2015-03-06,1.28744,1.33566,1.28744,1.33566,728500,1.33566
2015-03-05,1.21511,1.25851,1.20547,1.25851,593400,1.25851
2015-03-04,1.21511,1.24404,1.18618,1.21511,5134100,1.21511
2015-03-03,1.2344,1.25368,1.20547,1.21511,1607700,1.21511
2015-03-02,1.21029,1.25851,1.21029,1.24404,548200,1.24404
2015-02-27,1.33083,1.33083,1.21993,1.23922,2799500,1.23922
2015-02-26,1.34048,1.35012,1.31155,1.33566,318000,1.33566
2015-02-25,1.35012,1.35976,1.32601,1.3453,563000,1.3453
2015-02-24,1.35012,1.35012,1.33083,1.35012,123200,1.35012
2015-02-23,1.33083,1.36459,1.33083,1.35012,237400,1.35012
2015-02-20,1.36941,1.37423,1.29226,1.34048,826000,1.34048
2015-02-19,1.35494,1.37905,1.35494,1.36459,1984300,1.36459
2015-02-18,1.3887,1.3887,1.35494,1.36941,311300,1.36941
2015-02-17,1.39352,1.39352,1.26815,1.37423,556000,1.37423
2015-02-16,1.39352,1.41281,1.37905,1.39834,614400,1.39834
2015-02-13,1.39834,1.40798,1.3887,1.39834,479500,1.39834
2015-02-12,1.40798,1.40798,1.3887,1.39834,1193800,1.39834
2015-02-11,1.42727,1.44656,1.39834,1.40798,433300,1.40798
2015-02-10,1.43691,1.44656,1.39834,1.41281,312000,1.41281
2015-02-09,1.4562,1.47549,1.41763,1.42727,508600,1.42727
2015-02-06,1.37905,1.42727,1.37423,1.41281,643200,1.41281
2015-02-05,1.36459,1.37905,1.35494,1.36941,1125500,1.36941
2015-02-04,1.35012,1.36941,1.34048,1.36459,491400,1.36459
2015-02-03,1.31637,1.39834,1.31637,1.34048,1218100,1.34048
2015-02-02,1.27779,1.35012,1.26815,1.33083,718500,1.33083
2015-01-30,1.25368,1.28262,1.25368,1.26333,199600,1.26333
2015-01-29,1.24886,1.27297,1.24404,1.25368,88200,1.25368
2015-01-28,1.25368,1.25368,1.24404,1.24886,61700,1.24886
2015-01-27,1.24404,1.24886,1.2344,1.24404,414900,1.24404
2015-01-26,1.22957,1.22957,1.22957,1.22957,000,1.22957
2015-01-23,1.22475,1.24404,1.22475,1.22957,362100,1.22957
2015-01-22,1.21511,1.22957,1.21029,1.22957,126600,1.22957
2015-01-21,1.20547,1.21511,1.20064,1.20064,209800,1.20064
2015-01-20,1.21511,1.22475,1.20064,1.20064,149700,1.20064
2015-01-19,1.22475,1.24404,1.21511,1.21993,258000,1.21993
2015-01-16,1.20547,1.2344,1.20547,1.22475,293300,1.22475
2015-01-15,1.17364,1.21029,1.17171,1.19582,230200,1.19582
2015-01-14,1.17364,1.191,1.16689,1.17171,360900,1.17171
2015-01-13,1.19582,1.19582,1.16689,1.17171,61900,1.17171
2015-01-12,1.18618,1.20064,1.18618,1.20064,17800,1.20064
2015-01-09,1.20064,1.20064,1.191,1.191,51600,1.191
2015-01-08,1.17653,1.19582,1.17653,1.19582,286400,1.19582
2015-01-07,1.17653,1.19582,1.16207,1.16689,50800,1.16689
2015-01-06,1.16207,1.17653,1.15725,1.17653,90300,1.17653
2015-01-05,1.16689,1.20064,1.16207,1.17171,79600,1.17171
2015-01-02,1.15725,1.19582,1.15725,1.16689,80200,1.16689
2015-01-01,1.17653,1.17653,1.17653,1.17653,000,1.17653
2014-12-31,1.15725,1.17653,1.15725,1.17653,9900,1.17653
2014-12-30,1.18618,1.18618,1.14278,1.15725,32800,1.15725
2014-12-29,1.15242,1.19582,1.1476,1.18618,75800,1.18618
2014-12-26,1.15242,1.15242,1.15242,1.15242,000,1.15242
