Date,Open,High,Low,Close,Volume,Adj Close
2015-03-05,0.27,0.27,0.27,0.27,000,0.27
2015-03-04,0.27,0.27,0.27,0.27,000,0.27
2015-03-03,0.27,0.27,0.27,0.27,000,0.27
2015-03-02,0.27,0.27,0.27,0.27,000,0.27
2015-02-27,0.23,0.27,0.225,0.27,63200,0.27
2015-02-26,0.25,0.25,0.20,0.20,27200,0.20
2015-02-25,0.215,0.25,0.215,0.25,26000,0.25
2015-02-24,0.225,0.225,0.225,0.225,000,0.225
2015-02-23,0.24,0.24,0.225,0.225,44700,0.225
2015-02-20,0.24,0.25,0.23,0.25,42500,0.25
2015-02-19,0.22,0.24,0.22,0.24,89000,0.24
2015-02-18,0.225,0.24,0.225,0.24,11300,0.24
2015-02-17,0.225,0.225,0.225,0.225,20300,0.225
2015-02-16,0.225,0.225,0.225,0.225,11800,0.225
2015-02-13,0.225,0.25,0.225,0.225,19700,0.225
2015-02-12,0.24,0.25,0.24,0.25,15000,0.25
2015-02-11,0.22,0.22,0.22,0.22,24300,0.22
2015-02-10,0.25,0.255,0.22,0.22,95900,0.22
2015-02-09,0.25,0.25,0.245,0.25,87100,0.25
2015-02-06,0.25,0.25,0.25,0.25,6800,0.25
2015-02-05,0.25,0.25,0.25,0.25,000,0.25
2015-02-04,0.245,0.255,0.245,0.25,47100,0.25
2015-02-03,0.24,0.24,0.24,0.24,19200,0.24
2015-02-02,0.25,0.25,0.24,0.24,44000,0.24
2015-01-30,0.25,0.25,0.25,0.25,94500,0.25
2015-01-29,0.25,0.25,0.245,0.245,54700,0.245
2015-01-28,0.25,0.25,0.25,0.25,000,0.25
2015-01-27,0.25,0.25,0.245,0.25,65900,0.25
2015-01-26,0.25,0.25,0.25,0.25,000,0.25
2015-01-23,0.24,0.25,0.24,0.25,37900,0.25
2015-01-22,0.255,0.255,0.25,0.25,72300,0.25
2015-01-21,0.255,0.255,0.255,0.255,10200,0.255
2015-01-20,0.25,0.25,0.22,0.25,80100,0.25
2015-01-19,0.265,0.265,0.25,0.25,57700,0.25
2015-01-16,0.25,0.265,0.24,0.265,21800,0.265
2015-01-15,0.25,0.25,0.25,0.25,18000,0.25
2015-01-14,0.25,0.25,0.25,0.25,6600,0.25
2015-01-13,0.25,0.25,0.25,0.25,19700,0.25
2015-01-12,0.25,0.25,0.25,0.25,7000,0.25
2015-01-09,0.25,0.25,0.25,0.25,3000,0.25
2015-01-08,0.25,0.25,0.25,0.25,14400,0.25
2015-01-07,0.25,0.25,0.25,0.25,000,0.25
2015-01-06,0.255,0.255,0.245,0.25,43500,0.25
2015-01-05,0.25,0.25,0.25,0.25,18200,0.25
2015-01-02,0.255,0.255,0.25,0.25,13300,0.25
2015-01-01,0.25,0.25,0.25,0.25,000,0.25
2014-12-31,0.25,0.25,0.25,0.25,000,0.25
2014-12-30,0.25,0.25,0.25,0.25,000,0.25
2014-12-29,0.25,0.25,0.25,0.25,000,0.25
2014-12-26,0.25,0.25,0.25,0.25,000,0.25
2014-12-25,0.25,0.25,0.25,0.25,000,0.25
2014-12-24,0.25,0.25,0.25,0.25,000,0.25
2014-12-23,0.215,0.25,0.215,0.25,55100,0.25
2014-12-22,0.20,0.23,0.20,0.23,58000,0.23
2014-12-19,0.15,0.20,0.15,0.20,30200,0.20
2014-12-18,0.20,0.20,0.19,0.20,61400,0.20
2014-12-17,0.18,0.19,0.18,0.19,154200,0.19
2014-12-16,0.17,0.20,0.17,0.20,123600,0.20
2014-12-15,0.17,0.17,0.14,0.15,109200,0.15
2014-12-12,0.21,0.22,0.17,0.22,90700,0.22
2014-12-11,0.25,0.25,0.25,0.25,000,0.25
2014-12-10,0.20,0.25,0.20,0.25,104000,0.25
2014-12-09,0.225,0.225,0.225,0.225,23500,0.225
2014-12-08,0.22,0.22,0.22,0.22,000,0.22
2014-12-05,0.22,0.22,0.22,0.22,000,0.22
2014-12-04,0.22,0.22,0.22,0.22,800,0.22
2014-12-03,0.22,0.22,0.22,0.22,1000,0.22
2014-12-02,0.22,0.24,0.22,0.24,66400,0.24
