Date,Open,High,Low,Close,Volume,Adj Close
2016-07-15,0.016,0.016,0.016,0.016,000,0.016
2016-07-14,0.016,0.016,0.016,0.016,000,0.016
2016-07-13,0.016,0.016,0.016,0.016,000,0.016
2016-07-12,0.016,0.016,0.016,0.016,89100,0.016
2016-07-11,0.016,0.016,0.016,0.016,000,0.016
2016-07-08,0.014,0.016,0.014,0.016,254000,0.016
2016-07-07,0.013,0.013,0.013,0.013,000,0.013
2016-07-06,0.013,0.013,0.013,0.013,000,0.013
2016-07-05,0.013,0.013,0.013,0.013,000,0.013
2016-07-04,0.013,0.013,0.013,0.013,36200,0.013
2016-07-01,0.014,0.014,0.014,0.014,000,0.014
2016-06-30,0.014,0.014,0.014,0.014,23800,0.014
2016-06-29,0.014,0.014,0.014,0.014,86200,0.014
2016-06-28,0.016,0.016,0.016,0.016,000,0.016
2016-06-27,0.016,0.016,0.016,0.016,226800,0.016
2016-06-24,0.013,0.014,0.013,0.014,388600,0.014
2016-06-23,0.013,0.013,0.013,0.013,223600,0.013
2016-06-22,0.012,0.012,0.012,0.012,000,0.012
2016-06-21,0.012,0.012,0.012,0.012,300000,0.012
2016-06-20,0.012,0.012,0.012,0.012,95000,0.012
2016-06-17,0.012,0.012,0.012,0.012,170000,0.012
2016-06-16,0.013,0.013,0.012,0.012,931700,0.012
2016-06-15,0.012,0.013,0.012,0.013,400000,0.013
2016-06-14,0.012,0.012,0.012,0.012,000,0.012
2016-06-13,0.012,0.012,0.012,0.012,000,0.012
2016-06-10,0.012,0.012,0.012,0.012,000,0.012
2016-06-09,0.012,0.012,0.012,0.012,000,0.012
2016-06-08,0.012,0.012,0.012,0.012,000,0.012
2016-06-07,0.012,0.012,0.012,0.012,000,0.012
2016-06-06,0.012,0.012,0.012,0.012,000,0.012
2016-06-03,0.012,0.012,0.011,0.012,1000000,0.012
2016-06-02,0.012,0.012,0.012,0.012,115000,0.012
2016-06-01,0.013,0.013,0.013,0.013,000,0.013
2016-05-31,0.012,0.013,0.012,0.013,800000,0.013
2016-05-30,0.015,0.015,0.015,0.015,000,0.015
2016-05-27,0.015,0.015,0.015,0.015,000,0.015
2016-05-26,0.014,0.015,0.014,0.015,200000,0.015
2016-05-25,0.012,0.012,0.012,0.012,000,0.012
2016-05-24,0.012,0.012,0.012,0.012,000,0.012
2016-05-23,0.012,0.012,0.012,0.012,000,0.012
2016-05-20,0.012,0.012,0.012,0.012,000,0.012
2016-05-19,0.012,0.012,0.012,0.012,000,0.012
2016-05-18,0.012,0.012,0.012,0.012,000,0.012
2016-05-17,0.012,0.012,0.012,0.012,14700,0.012
2016-05-16,0.012,0.012,0.012,0.012,000,0.012
2016-05-13,0.012,0.012,0.012,0.012,500000,0.012
2016-05-12,0.013,0.013,0.012,0.012,528100,0.012
2016-05-11,0.013,0.013,0.013,0.013,75000,0.013
2016-05-10,0.012,0.012,0.012,0.012,000,0.012
2016-05-09,0.012,0.012,0.012,0.012,000,0.012
2016-05-06,0.012,0.012,0.012,0.012,000,0.012
2016-05-05,0.012,0.012,0.012,0.012,000,0.012
2016-05-04,0.012,0.012,0.012,0.012,500000,0.012
2016-05-03,0.012,0.012,0.012,0.012,000,0.012
2016-05-02,0.012,0.012,0.012,0.012,406900,0.012
2016-04-29,0.013,0.013,0.013,0.013,000,0.013
2016-04-28,0.013,0.013,0.013,0.013,000,0.013
2016-04-27,0.013,0.013,0.013,0.013,000,0.013
2016-04-26,0.013,0.013,0.013,0.013,000,0.013
2016-04-25,0.013,0.013,0.013,0.013,000,0.013
2016-04-22,0.013,0.013,0.013,0.013,000,0.013
2016-04-21,0.013,0.013,0.013,0.013,7000,0.013
2016-04-20,0.013,0.013,0.013,0.013,288500,0.013
2016-04-19,0.013,0.013,0.013,0.013,000,0.013
2016-04-18,0.013,0.013,0.013,0.013,57500,0.013
2016-04-15,0.013,0.013,0.013,0.013,000,0.013
2016-04-14,0.013,0.013,0.013,0.013,000,0.013
2016-04-13,0.013,0.013,0.013,0.013,96700,0.013
2016-04-12,0.012,0.012,0.012,0.012,71400,0.012
2016-04-11,0.013,0.013,0.013,0.013,000,0.013
2016-04-08,0.013,0.013,0.013,0.013,932700,0.013
2016-04-07,0.013,0.013,0.013,0.013,13000,0.013
2016-04-06,0.013,0.013,0.013,0.013,000,0.013
2016-04-05,0.013,0.013,0.013,0.013,000,0.013
2016-04-04,0.013,0.013,0.013,0.013,000,0.013
2016-04-01,0.013,0.013,0.013,0.013,000,0.013
2016-03-31,0.013,0.013,0.013,0.013,000,0.013
2016-03-30,0.013,0.013,0.013,0.013,138800,0.013
2016-03-29,0.012,0.012,0.012,0.012,500000,0.012
2016-03-28,0.013,0.013,0.013,0.013,000,0.013
2016-03-25,0.013,0.013,0.013,0.013,000,0.013
2016-03-24,0.013,0.013,0.013,0.013,000,0.013
2016-03-23,0.012,0.013,0.012,0.013,1080000,0.013
2016-03-22,0.014,0.014,0.013,0.013,344900,0.013
2016-03-21,0.017,0.017,0.014,0.014,346500,0.014
2016-03-18,0.015,0.015,0.015,0.015,000,0.015
2016-03-17,0.015,0.015,0.015,0.015,000,0.015
2016-03-16,0.015,0.015,0.015,0.015,000,0.015
2016-03-15,0.015,0.015,0.015,0.015,000,0.015
2016-03-14,0.015,0.015,0.015,0.015,000,0.015
2016-03-11,0.015,0.015,0.015,0.015,000,0.015
2016-03-10,0.014,0.015,0.014,0.015,147000,0.015
2016-03-09,0.014,0.014,0.014,0.014,000,0.014
2016-03-08,0.015,0.015,0.014,0.014,355000,0.014
2016-03-07,0.015,0.015,0.015,0.015,000,0.015
2016-03-04,0.018,0.018,0.015,0.015,289000,0.015
2016-03-03,0.01,0.01,0.01,0.01,000,0.01
2016-03-02,0.01,0.01,0.01,0.01,000,0.01
2016-03-01,0.01,0.01,0.01,0.01,000,0.01
2016-02-29,0.01,0.01,0.01,0.01,000,0.01
2016-02-26,0.01,0.01,0.01,0.01,000,0.01
2016-02-25,0.01,0.01,0.01,0.01,000,0.01
2016-02-24,0.01,0.01,0.01,0.01,000,0.01
2016-02-23,0.011,0.011,0.01,0.01,165000,0.01
2016-02-22,0.011,0.011,0.011,0.011,000,0.011
2016-02-19,0.011,0.011,0.011,0.011,000,0.011
2016-02-18,0.011,0.011,0.011,0.011,000,0.011
2016-02-17,0.011,0.011,0.011,0.011,000,0.011
2016-02-16,0.011,0.011,0.011,0.011,000,0.011
2016-02-15,0.011,0.011,0.011,0.011,000,0.011
2016-02-12,0.011,0.011,0.011,0.011,000,0.011
2016-02-11,0.011,0.011,0.011,0.011,000,0.011
2016-02-10,0.011,0.011,0.011,0.011,000,0.011
2016-02-09,0.011,0.011,0.011,0.011,000,0.011
2016-02-08,0.011,0.011,0.011,0.011,000,0.011
2016-02-05,0.011,0.011,0.011,0.011,000,0.011
2016-02-04,0.011,0.011,0.011,0.011,000,0.011
2016-02-03,0.011,0.011,0.011,0.011,10000,0.011
2016-02-02,0.011,0.011,0.011,0.011,19000,0.011
2016-02-01,0.011,0.011,0.011,0.011,315000,0.011
2016-01-29,0.012,0.013,0.012,0.013,250000,0.013
2016-01-28,0.013,0.013,0.012,0.012,145000,0.012
2016-01-27,0.016,0.016,0.013,0.013,355000,0.013
2016-01-26,0.015,0.015,0.015,0.015,000,0.015
2016-01-25,0.015,0.015,0.015,0.015,000,0.015
2016-01-22,0.015,0.015,0.015,0.015,000,0.015
2016-01-21,0.015,0.015,0.015,0.015,000,0.015
2016-01-20,0.015,0.015,0.015,0.015,000,0.015
2016-01-19,0.015,0.015,0.015,0.015,000,0.015
2016-01-18,0.015,0.015,0.015,0.015,000,0.015
2016-01-15,0.015,0.015,0.015,0.015,000,0.015
2016-01-14,0.015,0.015,0.015,0.015,000,0.015
2016-01-13,0.015,0.015,0.015,0.015,000,0.015
2016-01-12,0.015,0.015,0.015,0.015,000,0.015
2016-01-11,0.015,0.015,0.015,0.015,000,0.015
2016-01-08,0.015,0.015,0.015,0.015,000,0.015
2016-01-07,0.016,0.016,0.015,0.015,56000,0.015
2016-01-06,0.018,0.018,0.016,0.016,853500,0.016
2016-01-05,0.021,0.021,0.021,0.021,000,0.021
2016-01-04,0.021,0.021,0.021,0.021,000,0.021
2016-01-01,0.021,0.021,0.021,0.021,000,0.021
2015-12-31,0.021,0.021,0.021,0.021,000,0.021
2015-12-30,0.021,0.021,0.021,0.021,000,0.021
2015-12-29,0.021,0.021,0.021,0.021,000,0.021
2015-12-28,0.021,0.021,0.021,0.021,000,0.021
2015-12-25,0.021,0.021,0.021,0.021,000,0.021
2015-12-24,0.021,0.021,0.021,0.021,000,0.021
2015-12-23,0.021,0.021,0.021,0.021,000,0.021
2015-12-22,0.023,0.024,0.021,0.021,612900,0.021
2015-12-21,0.016,0.016,0.016,0.016,000,0.016
2015-12-18,0.018,0.018,0.016,0.016,681000,0.016
2015-12-17,0.018,0.018,0.018,0.018,000,0.018
2015-12-16,0.018,0.018,0.018,0.018,70000,0.018
2015-12-15,0.025,0.025,0.025,0.025,000,0.025
2015-12-14,0.024,0.025,0.024,0.025,785300,0.025
2015-12-11,0.021,0.021,0.021,0.021,000,0.021
2015-12-10,0.022,0.022,0.021,0.021,256600,0.021
2015-12-09,0.022,0.022,0.022,0.022,000,0.022
2015-12-08,0.023,0.023,0.022,0.022,163900,0.022
2015-12-07,0.023,0.023,0.023,0.023,000,0.023
2015-12-04,0.023,0.023,0.023,0.023,55400,0.023
2015-12-03,0.023,0.023,0.023,0.023,000,0.023
2015-12-02,0.023,0.023,0.023,0.023,000,0.023
2015-12-01,0.023,0.023,0.023,0.023,000,0.023
2015-11-30,0.023,0.023,0.023,0.023,000,0.023
2015-11-27,0.023,0.023,0.023,0.023,44400,0.023
2015-11-26,0.023,0.023,0.023,0.023,336100,0.023
2015-11-25,0.024,0.024,0.024,0.024,000,0.024
2015-11-24,0.024,0.024,0.024,0.024,000,0.024
2015-11-23,0.024,0.024,0.024,0.024,200000,0.024
2015-11-20,0.026,0.026,0.026,0.026,000,0.026
2015-11-19,0.026,0.026,0.026,0.026,5700,0.026
2015-11-18,0.028,0.028,0.028,0.028,000,0.028
2015-11-17,0.025,0.028,0.025,0.028,46600,0.028
2015-11-16,0.027,0.027,0.025,0.025,300000,0.025
2015-11-13,0.027,0.027,0.027,0.027,188100,0.027
2015-11-12,0.028,0.028,0.028,0.028,116800,0.028
2015-11-11,0.03,0.03,0.028,0.028,77400,0.028
2015-11-10,0.036,0.036,0.03,0.03,746900,0.03
2015-11-09,0.036,0.036,0.036,0.036,70000,0.036
2015-11-06,0.04,0.04,0.04,0.04,000,0.04
2015-11-05,0.04,0.04,0.04,0.04,000,0.04
2015-11-04,0.04,0.04,0.04,0.04,000,0.04
2015-11-03,0.04,0.04,0.04,0.04,000,0.04
2015-11-02,0.04,0.04,0.04,0.04,000,0.04
2015-10-30,0.04,0.04,0.04,0.04,000,0.04
2015-10-29,0.04,0.04,0.04,0.04,000,0.04
2015-10-28,0.04,0.04,0.04,0.04,000,0.04
2015-10-27,0.04,0.04,0.04,0.04,000,0.04
2015-10-26,0.04,0.04,0.04,0.04,000,0.04
2015-10-23,0.04,0.04,0.04,0.04,000,0.04
2015-10-22,0.04,0.04,0.04,0.04,000,0.04
2015-10-21,0.038,0.04,0.038,0.04,800000,0.04
