Date,Open,High,Low,Close,Volume,Adj Close
2016-07-15,0.89,0.895,0.885,0.885,304700,0.885
2016-07-14,0.89,0.895,0.885,0.89,264300,0.89
2016-07-13,0.89,0.89,0.875,0.89,285500,0.89
2016-07-12,0.88,0.895,0.88,0.89,372300,0.89
2016-07-11,0.875,0.885,0.87,0.885,462600,0.885
2016-07-08,0.89,0.905,0.88,0.88,469500,0.88
2016-07-07,0.885,0.905,0.885,0.895,479400,0.895
2016-07-06,0.895,0.90,0.882,0.895,2914500,0.895
2016-07-05,1.03,1.03,1.03,1.03,000,1.03
2016-07-04,0.88,0.895,0.875,0.895,930000,0.895
2016-07-01,0.895,0.90,0.875,0.875,331600,0.875
2016-06-30,0.87,0.885,0.865,0.885,375700,0.885
2016-06-29,1.03,1.03,1.03,1.03,000,1.03
2016-06-28,1.03,1.03,1.03,1.03,000,1.03
2016-06-27,1.03,1.03,1.03,1.03,000,1.03
2016-06-24,1.03,1.03,1.03,1.03,000,1.03
2016-06-23,1.03,1.03,1.03,1.03,000,1.03
2016-06-22,0.84,0.845,0.83,0.83,359700,0.83
2016-06-21,0.825,0.84,0.825,0.83,450200,0.83
2016-06-20,0.82,0.825,0.81,0.82,567300,0.82
2016-06-17,0.81,0.825,0.81,0.82,197800,0.82
2016-06-16,0.81,0.8125,0.81,0.81,84700,0.81
2016-06-15,1.03,1.03,1.03,1.03,000,1.03
2016-06-14,1.03,1.03,1.03,1.03,000,1.03
2016-06-13,1.03,1.03,1.03,1.03,000,1.03
2016-06-10,0.82,0.82,0.81,0.81,268700,0.81
2016-06-09,0.99,0.99,0.99,0.99,000,0.99
2016-06-08,0.99,0.99,0.99,0.99,000,0.99
2016-06-07,0.99,0.99,0.99,0.99,000,0.99
2016-06-06,0.99,0.99,0.99,0.99,000,0.99
2016-06-03,0.99,0.99,0.99,0.99,000,0.99
2016-06-02,0.83,0.832,0.827,0.83,133700,0.83
2016-06-01,0.84,0.84,0.83,0.83,1332700,0.83
2016-05-31,0.825,0.835,0.82,0.835,360000,0.835
2016-05-30,0.825,0.83,0.825,0.825,81300,0.825
2016-05-27,0.825,0.83,0.82,0.825,310200,0.825
2016-05-26,0.815,0.825,0.81,0.825,342700,0.825
2016-05-25,0.82,0.825,0.815,0.815,524900,0.815
2016-05-24,0.81,0.82,0.81,0.815,106900,0.815
2016-05-23,0.81,0.815,0.81,0.81,81600,0.81
2016-05-20,0.81,0.81,0.805,0.805,72400,0.805
2016-05-19,0.805,0.81,0.805,0.81,784600,0.81
2016-05-18,0.805,0.82,0.80,0.80,221900,0.80
2016-05-17,0.81,0.815,0.81,0.815,123400,0.815
2016-05-16,0.805,0.815,0.805,0.815,410700,0.815
2016-05-13,0.81,0.81,0.805,0.805,135500,0.805
2016-05-12,0.81,0.81,0.80,0.805,307500,0.805
2016-05-11,0.805,0.81,0.805,0.81,573800,0.81
2016-05-10,0.81,0.815,0.805,0.805,967700,0.805
2016-05-09,0.82,0.825,0.815,0.815,419000,0.815
2016-05-06,0.815,0.825,0.815,0.82,298700,0.82
2016-05-05,0.815,0.815,0.81,0.815,108000,0.815
2016-05-04,0.81,0.815,0.81,0.81,196600,0.81
2016-05-03,0.81,0.815,0.805,0.815,150200,0.815
2016-05-02,0.815,0.815,0.805,0.81,127200,0.81
2016-04-29,0.82,0.82,0.82,0.82,140700,0.82
2016-04-28,0.815,0.825,0.815,0.82,241300,0.82
2016-04-27,0.81,0.815,0.81,0.81,162100,0.81
2016-04-26,0.815,0.82,0.81,0.81,221700,0.81
2016-04-25,1.0726,1.0726,1.0726,1.0726,000,1.0726
2016-04-22,0.815,0.82,0.81,0.815,187800,0.815
2016-04-21,0.805,0.82,0.805,0.82,295400,0.82
2016-04-20,0.815,0.825,0.805,0.805,456800,0.805
2016-04-19,0.815,0.825,0.81,0.81,306400,0.81
2016-04-18,1.0726,1.0726,1.0726,1.0726,000,1.0726
2016-04-15,0.82,0.832,0.82,0.825,3947300,0.825
2016-04-14,0.81,0.825,0.81,0.815,663500,0.815
2016-04-13,0.80,0.805,0.795,0.805,346500,0.805
2016-04-12,0.80,0.802,0.79,0.79,273500,0.79
2016-04-11,0.785,0.80,0.78,0.80,202400,0.80
2016-04-08,0.80,0.805,0.785,0.785,1632000,0.785
2016-04-07,0.82,0.835,0.805,0.81,760300,0.81
2016-04-06,0.81,0.82,0.81,0.82,128300,0.82
2016-04-05,0.815,0.82,0.80,0.82,476500,0.82
2016-04-04,0.84,0.84,0.815,0.815,545100,0.815
