Date,Open,High,Low,Close,Volume,Adj Close
2016-07-15,5.38,5.38,5.30,5.30,24600,5.30
2016-07-14,5.45,5.55,5.45,5.50,5000,5.50
2016-07-13,5.59,5.59,5.43,5.43,9300,5.43
2016-07-12,5.51,5.55,5.51,5.55,2000,5.55
2016-07-11,5.50,5.59,5.50,5.58,7600,5.58
2016-07-08,5.49,5.50,5.40,5.50,1600,5.50
2016-07-07,5.30,5.50,5.30,5.50,11500,5.50
2016-07-06,5.00,5.20,5.00,5.20,22800,5.20
2016-07-05,5.01,5.06,5.00,5.00,2800,5.00
2016-07-04,4.80,5.45,4.80,5.00,6800,5.00
2016-07-01,4.68,4.68,4.68,4.68,000,4.68
2016-06-30,4.70,4.70,4.68,4.68,600,4.68
2016-06-29,4.66,4.66,4.65,4.66,1300,4.66
2016-06-28,4.57,4.75,4.57,4.69,4800,4.69
2016-06-27,4.25,4.25,4.25,4.25,000,4.25
2016-06-24,4.25,4.25,4.25,4.25,000,4.25
2016-06-23,4.25,4.25,4.25,4.25,100,4.25
2016-06-22,4.20,4.21,4.20,4.21,200,4.21
2016-06-21,4.20,4.20,4.17,4.17,800,4.17
2016-06-20,4.69,4.69,4.18,4.18,4800,4.18
2016-06-17,4.42,4.42,4.35,4.35,2400,4.35
2016-06-16,4.47,4.80,4.47,4.80,2000,4.80
2016-06-15,4.50,4.50,4.38,4.38,5600,4.38
2016-06-14,4.50,4.50,4.42,4.42,10400,4.42
2016-06-13,4.50,4.50,4.50,4.50,000,4.50
2016-06-10,4.40,4.56,4.40,4.50,16800,4.50
2016-06-09,4.32,4.44,4.32,4.38,27200,4.38
2016-06-08,4.32,4.34,4.21,4.21,17800,4.21
2016-06-07,4.20,4.25,4.20,4.25,2400,4.25
2016-06-06,4.10,4.39,4.10,4.30,12200,4.30
2016-06-03,3.80,3.80,3.80,3.80,400,3.80
2016-06-02,3.80,3.80,3.70,3.70,3100,3.70
2016-06-01,3.70,3.70,3.70,3.70,000,3.70
2016-05-31,3.70,3.70,3.70,3.70,000,3.70
2016-05-30,3.70,3.70,3.60,3.70,5500,3.70
2016-05-27,3.88,3.96,3.72,3.74,1700,3.74
2016-05-26,3.79,3.92,3.78,3.92,16900,3.92
2016-05-25,3.70,3.71,3.53,3.69,8600,3.69
2016-05-24,4.05,4.05,3.97,3.97,700,3.97
2016-05-23,4.05,4.05,3.97,3.97,2100,3.97
2016-05-20,3.85,4.07,3.85,4.07,2600,4.07
2016-05-19,4.19,4.19,3.84,3.84,2500,3.84
2016-05-18,4.07,4.16,4.07,4.16,3800,4.16
2016-05-17,4.12,4.13,4.09,4.09,8100,4.09
2016-05-16,4.12,4.12,4.12,4.12,2000,4.12
2016-05-13,4.03,4.04,4.01,4.01,3600,4.01
2016-05-12,4.03,4.29,4.03,4.07,9200,4.07
2016-05-11,4.00,4.00,3.92,3.95,12600,3.95
2016-05-10,4.40,4.40,3.82,4.00,10800,4.00
2016-05-09,4.35,4.51,4.35,4.46,10000,4.46
2016-05-06,4.20,4.22,4.20,4.22,5300,4.22
2016-05-05,4.20,4.20,4.20,4.20,000,4.20
2016-05-04,4.20,4.20,4.20,4.20,1200,4.20
2016-05-03,4.34,4.34,4.25,4.25,10100,4.25
2016-05-02,4.00,4.35,4.00,4.30,13400,4.30
2016-04-29,3.90,4.15,3.90,4.15,8200,4.15
2016-04-28,3.76,3.76,3.76,3.76,000,3.76
2016-04-27,3.79,3.80,3.76,3.76,4500,3.76
2016-04-26,3.75,3.82,3.75,3.82,1500,3.82
2016-04-25,3.92,3.92,3.92,3.92,000,3.92
2016-04-22,3.90,3.92,3.90,3.92,4500,3.92
2016-04-21,3.90,3.90,3.90,3.90,500,3.90
2016-04-20,3.90,3.90,3.90,3.90,1800,3.90
2016-04-19,3.68,3.80,3.68,3.70,11500,3.70
2016-04-18,4.00,4.00,4.00,4.00,100,4.00
2016-04-15,3.96,3.96,3.96,3.96,000,3.96
2016-04-14,3.96,3.96,3.96,3.96,200,3.96
2016-04-13,4.07,4.10,4.07,4.07,5700,4.07
2016-04-12,3.91,4.07,3.91,4.07,44600,4.07
2016-04-11,3.74,3.80,3.74,3.80,3800,3.80
2016-04-08,3.60,3.70,3.60,3.67,6300,3.67
2016-04-07,3.54,3.54,3.53,3.53,1500,3.53
2016-04-06,3.50,3.60,3.50,3.51,1900,3.51
2016-04-05,3.40,3.40,3.39,3.40,600,3.40
2016-04-04,3.40,3.50,3.40,3.50,10000,3.50
2016-04-01,3.44,3.51,3.44,3.47,8000,3.47
2016-03-31,3.60,3.60,3.60,3.60,000,3.60
2016-03-30,3.60,3.60,3.60,3.60,5000,3.60
2016-03-29,3.45,3.45,3.45,3.45,1000,3.45
2016-03-28,3.47,3.47,3.47,3.47,000,3.47
2016-03-25,3.47,3.47,3.47,3.47,000,3.47
2016-03-24,3.50,3.50,3.45,3.47,3200,3.47
2016-03-23,3.57,3.57,3.50,3.57,2800,3.57
2016-03-22,3.70,3.70,3.70,3.70,000,3.70
2016-03-21,3.67,3.70,3.67,3.70,600,3.70
2016-03-18,3.70,3.70,3.70,3.70,12100,3.70
2016-03-17,3.50,3.65,3.50,3.65,6100,3.65
2016-03-16,4.00,4.00,4.00,4.00,100,4.00
2016-03-15,3.79,4.30,3.55,4.00,10900,4.00
2016-03-14,3.56,3.56,3.45,3.45,2000,3.45
2016-03-11,3.70,3.70,3.59,3.59,800,3.59
2016-03-10,3.52,3.70,3.52,3.70,200,3.70
2016-03-09,3.45,3.45,3.40,3.40,200,3.40
2016-03-08,3.60,3.60,3.40,3.40,3900,3.40
2016-03-07,3.60,3.60,3.60,3.60,000,3.60
2016-03-04,3.60,3.70,3.60,3.60,7200,3.60
2016-03-03,3.45,3.45,3.45,3.45,000,3.45
2016-03-02,3.48,3.48,3.40,3.45,4800,3.45
2016-03-01,3.56,3.60,3.56,3.60,25700,3.60
2016-02-29,3.45,3.47,3.35,3.35,4100,3.35
2016-02-26,3.35,3.47,3.35,3.35,15000,3.35
2016-02-25,3.30,3.35,3.30,3.33,1900,3.33
2016-02-24,3.06,3.31,3.06,3.30,14600,3.30
2016-02-23,3.00,3.05,3.00,3.02,16900,3.02
2016-02-22,2.95,3.00,2.95,3.00,1200,3.00
2016-02-19,2.92,2.92,2.92,2.92,000,2.92
2016-02-18,2.86,2.93,2.86,2.92,2900,2.92
2016-02-17,2.90,2.90,2.85,2.85,1400,2.85
2016-02-16,3.10,3.10,3.00,3.00,9500,3.00
2016-02-15,3.18,3.34,3.10,3.34,7900,3.34
2016-02-12,3.12,3.20,3.12,3.18,12200,3.18
2016-02-11,2.99,3.00,2.99,3.00,300,3.00
2016-02-10,2.95,2.99,2.90,2.99,10100,2.99
2016-02-09,2.95,2.95,2.95,2.95,000,2.95
2016-02-08,2.85,2.95,2.85,2.95,1800,2.95
2016-02-05,2.70,2.80,2.70,2.80,2000,2.80
2016-02-04,2.70,2.70,2.70,2.70,100,2.70
2016-02-03,2.45,2.45,2.45,2.45,200,2.45
2016-02-02,2.50,2.50,2.50,2.50,000,2.50
2016-02-01,2.50,2.50,2.50,2.50,000,2.50
2016-01-29,2.50,2.50,2.39,2.50,14900,2.50
2016-01-28,2.50,2.54,2.40,2.40,7600,2.40
2016-01-27,2.35,2.50,2.35,2.50,4500,2.50
2016-01-26,2.35,2.35,2.35,2.35,000,2.35
2016-01-25,2.37,2.37,2.31,2.35,3900,2.35
2016-01-22,2.35,2.36,2.33,2.36,2400,2.36
2016-01-21,2.20,2.29,2.20,2.29,1100,2.29
2016-01-20,2.18,2.18,2.18,2.18,900,2.18
2016-01-19,2.18,2.18,2.18,2.18,500,2.18
2016-01-18,2.17,2.21,2.17,2.21,1900,2.21
2016-01-15,2.28,2.28,2.28,2.28,000,2.28
2016-01-14,2.28,2.28,2.28,2.28,6500,2.28
2016-01-13,2.25,2.28,2.25,2.28,1700,2.28
2016-01-12,2.24,2.25,2.20,2.25,3800,2.25
2016-01-11,2.25,2.28,2.16,2.28,8900,2.28
2016-01-08,2.18,2.25,2.15,2.25,9100,2.25
2016-01-07,2.15,2.15,2.11,2.11,200,2.11
2016-01-06,2.05,2.05,2.05,2.05,000,2.05
2016-01-05,1.96,2.05,1.95,2.05,500,2.05
2016-01-04,1.91,1.91,1.875,1.895,100,1.895
2016-01-01,1.865,1.865,1.865,1.865,000,1.865
2015-12-31,1.865,1.865,1.865,1.865,000,1.865
2015-12-30,1.865,1.865,1.865,1.865,000,1.865
2015-12-29,1.885,1.885,1.885,1.885,000,1.885
2015-12-28,1.885,1.885,1.885,1.885,000,1.885
2015-12-25,1.885,1.885,1.885,1.885,000,1.885
2015-12-24,1.885,1.885,1.885,1.885,000,1.885
2015-12-23,1.885,1.885,1.885,1.885,000,1.885
2015-12-22,1.885,1.885,1.885,1.885,000,1.885
2015-12-21,1.885,1.885,1.885,1.885,000,1.885
2015-12-18,1.885,1.885,1.885,1.885,000,1.885
2015-12-17,1.885,1.885,1.885,1.885,000,1.885
2015-12-16,1.885,1.885,1.885,1.885,000,1.885
2015-12-15,2.02,2.02,2.02,2.02,000,2.02
2015-12-14,1.925,2.03,1.92,2.02,1500,2.02
2015-12-11,1.86,1.92,1.86,1.92,200,1.92
2015-12-10,1.80,1.80,1.80,1.80,000,1.80
2015-12-09,1.80,1.80,1.80,1.80,000,1.80
2015-12-08,1.80,1.80,1.80,1.80,1200,1.80
2015-12-07,1.865,1.865,1.865,1.865,2000,1.865
2015-12-04,1.70,1.80,1.70,1.80,4400,1.80
2015-12-03,1.95,1.95,1.95,1.95,000,1.95
2015-12-02,1.95,1.95,1.95,1.95,000,1.95
2015-12-01,1.95,1.95,1.95,1.95,000,1.95
2015-11-30,1.95,1.95,1.95,1.95,000,1.95
2015-11-27,1.95,1.95,1.95,1.95,000,1.95
2015-11-26,1.95,1.95,1.95,1.95,000,1.95
2015-11-25,1.87,1.95,1.87,1.95,400,1.95
2015-11-24,1.79,1.88,1.78,1.88,6700,1.88
2015-11-23,1.84,1.84,1.80,1.80,2600,1.80
2015-11-20,1.96,1.96,1.96,1.96,000,1.96
2015-11-19,1.96,1.96,1.96,1.96,2700,1.96
2015-11-18,2.02,2.02,2.02,2.02,000,2.02
2015-11-17,2.02,2.02,2.02,2.02,000,2.02
2015-11-16,1.85,2.02,1.85,2.02,12600,2.02
