Date,Open,High,Low,Close,Volume,Adj Close
2016-07-15,2.15,2.19,2.09,2.10,1065700,2.10
2016-07-14,2.11,2.145,2.08,2.13,1012800,2.13
2016-07-13,2.10,2.12,2.08,2.08,268100,2.08
2016-07-12,2.12,2.14,2.08,2.09,959000,2.09
2016-07-11,2.08,2.13,2.07,2.11,485700,2.11
2016-07-08,2.02,2.09,2.02,2.05,555700,2.05
2016-07-07,2.02,2.05,1.99,1.99,934100,1.99
2016-07-06,2.08,2.10,1.985,2.02,918200,2.02
2016-07-05,2.13,2.19,2.06,2.08,717700,2.08
2016-07-04,2.16,2.18,2.12,2.13,561100,2.13
2016-07-01,2.21,2.24,2.17,2.17,719500,2.17
2016-06-30,2.28,2.285,2.13,2.16,1185700,2.16
2016-06-29,2.32,2.32,2.26,2.26,301300,2.26
2016-06-28,2.40,2.40,2.29,2.31,247100,2.31
2016-06-27,2.34,2.42,2.34,2.35,209800,2.35
2016-06-24,2.44,2.49,2.38,2.39,348600,2.39
2016-06-23,2.31,2.44,2.31,2.44,139700,2.44
2016-06-22,2.35,2.35,2.315,2.34,67800,2.34
2016-06-21,2.36,2.37,2.32,2.32,319000,2.32
2016-06-20,2.40,2.40,2.34,2.34,252300,2.34
2016-06-17,2.35,2.40,2.32,2.40,1111300,2.40
2016-06-16,2.39,2.39,2.33,2.37,182100,2.37
2016-06-15,2.37,2.39,2.34,2.37,291100,2.37
2016-06-14,2.37,2.38,2.31,2.37,270400,2.37
2016-06-13,2.37,2.37,2.37,2.37,000,2.37
2016-06-10,2.39,2.40,2.36,2.37,71600,2.37
2016-06-09,2.40,2.41,2.37,2.39,119000,2.39
2016-06-08,2.385,2.40,2.37,2.40,155400,2.40
2016-06-07,2.40,2.45,2.37,2.38,269400,2.38
2016-06-06,2.35,2.40,2.33,2.40,259900,2.40
2016-06-03,2.42,2.42,2.33,2.35,298100,2.35
2016-06-02,2.39,2.40,2.38,2.38,138400,2.38
2016-06-01,2.39,2.40,2.37,2.39,137800,2.39
2016-05-31,2.42,2.42,2.365,2.40,564600,2.40
2016-05-30,2.37,2.41,2.37,2.41,319400,2.41
2016-05-27,2.40,2.445,2.35,2.38,431100,2.38
2016-05-26,2.37,2.40,2.36,2.36,221300,2.36
2016-05-25,2.36,2.43,2.36,2.37,386500,2.37
2016-05-24,2.38,2.39,2.35,2.36,1343300,2.36
2016-05-23,2.40,2.42,2.37,2.39,306600,2.39
2016-05-20,2.42,2.42,2.37,2.40,236800,2.40
2016-05-19,2.46,2.48,2.40,2.40,421500,2.40
