Date,Open,High,Low,Close,Volume,Adj Close
2016-07-15,19.91,20.03,19.69,19.99,1904500,19.99
2016-07-14,19.75,20.00,19.70,20.00,1805800,20.00
2016-07-13,19.72,19.86,19.545,19.85,2109500,19.85
2016-07-12,20.02,20.13,19.73,19.75,2245700,19.75
2016-07-11,20.00,20.09,19.745,19.98,1983400,19.98
2016-07-08,19.87,20.015,19.62,19.90,2798100,19.90
2016-07-07,19.30,20.04,19.03,19.90,5408300,19.90
2016-07-06,20.00,20.46,19.975,20.32,4600300,20.32
2016-07-05,19.88,19.95,19.605,19.91,3258300,19.91
2016-07-04,19.53,19.80,19.45,19.80,1148700,19.80
2016-07-01,19.18,19.57,19.13,19.52,2088700,19.52
2016-06-30,19.04,19.29,19.01,19.29,2945100,19.29
2016-06-29,18.92,19.06,18.79,18.96,1490100,18.96
2016-06-28,18.74,19.00,18.71,18.90,2543400,18.90
2016-06-27,18.30,18.96,18.21,18.89,5146800,18.89
2016-06-24,18.80,18.83,18.13,18.39,3177700,18.39
2016-06-23,18.72,18.78,18.68,18.70,1262900,18.70
2016-06-22,18.75,18.78,18.60,18.70,1079100,18.70
2016-06-21,18.56,18.84,18.54,18.74,1919400,18.74
2016-06-20,18.70,18.75,18.525,18.70,2231600,18.70
2016-06-17,18.84,18.84,18.64,18.77,1841300,18.77
2016-06-16,18.71,18.82,18.58,18.77,1713500,18.77
2016-06-15,18.90,18.90,18.595,18.63,2231000,18.63
2016-06-14,18.80,18.96,18.80,18.83,2007900,18.83
2016-06-13,19.07,19.07,19.07,19.07,000,19.07
2016-06-10,18.81,19.11,18.80,19.07,1941800,19.07
2016-06-09,18.92,19.00,18.79,18.93,776200,18.93
2016-06-08,18.85,18.95,18.79,18.89,1391100,18.89
2016-06-07,18.94,19.05,18.79,18.86,1506700,18.86
2016-06-06,18.70,19.00,18.50,18.92,2297900,18.92
2016-06-03,18.42,18.58,18.30,18.57,1463600,18.57
2016-06-02,18.41,18.50,18.40,18.40,1457000,18.40
2016-06-01,18.56,18.59,18.405,18.46,1933000,18.46
2016-05-31,18.64,18.64,18.41,18.59,2943400,18.59
2016-05-30,18.67,18.70,18.46,18.56,1482800,18.56
2016-05-27,18.62,18.74,18.57,18.66,1640000,18.66
2016-05-26,18.87,18.88,18.24,18.51,2312800,18.51
2016-05-25,18.95,18.95,18.65,18.77,1593700,18.77
2016-05-24,18.76,18.85,18.57,18.76,1905100,18.76
2016-05-23,18.78,18.845,18.53,18.53,1508500,18.53
2016-05-20,18.46,18.73,18.46,18.69,1945600,18.69
2016-05-19,18.61,18.61,18.42,18.45,2280000,18.45
2016-05-18,18.60,18.74,18.42,18.51,3174600,18.51
2016-05-17,18.80,18.935,18.61,18.71,2458100,18.71
2016-05-16,18.74,18.955,18.73,18.79,2181000,18.79
2016-05-13,18.77,19.21,18.69,18.87,2807800,18.87
2016-05-12,18.89,18.98,18.55,18.62,2559300,18.62
2016-05-11,18.84,19.04,18.79,18.90,2172100,18.90
2016-05-10,18.95,19.12,18.68,18.84,2852800,18.84
2016-05-09,18.81,19.01,18.76,19.01,1318000,19.01
2016-05-06,18.50,18.93,18.42,18.93,2108700,18.93
2016-05-05,18.94,18.97,18.595,18.72,1632800,18.72
2016-05-04,18.88,19.005,18.71,18.91,1501400,18.91
2016-05-03,18.45,18.925,18.40,18.85,1903700,18.85
2016-05-02,18.20,18.50,18.20,18.48,1039300,18.48
2016-04-29,18.28,18.40,18.19,18.29,1159300,18.29
2016-04-28,18.21,18.325,18.04,18.20,1509400,18.20
2016-04-27,18.30,18.48,18.16,18.20,1551300,18.20
2016-04-26,18.11,18.34,18.10,18.15,1285300,18.15
2016-04-25,18.27,18.27,18.27,18.27,000,18.27
2016-04-22,18.35,18.45,18.17,18.27,1326000,18.27
2016-04-21,18.60,18.63,18.37,18.52,1339600,18.52
2016-04-20,18.56,18.58,18.36,18.42,1195500,18.42
2016-04-19,18.46,18.63,18.25,18.44,1361700,18.44
2016-04-18,18.19,18.38,18.16,18.28,1145300,18.28
2016-04-15,18.04,18.30,18.00,18.24,1517000,18.24
2016-04-14,18.27,18.29,17.99,18.03,2251700,18.03
2016-04-13,18.35,18.435,18.20,18.32,825300,18.32
2016-04-12,18.15,18.27,18.10,18.27,660000,18.27
2016-04-11,18.34,18.37,18.20,18.24,874000,18.24
2016-04-08,18.21,18.43,18.21,18.36,929400,18.36
2016-04-07,18.12,18.50,18.09,18.43,1845000,18.43
2016-04-06,18.02,18.16,17.92,18.14,1341300,18.14
2016-04-05,18.15,18.16,17.95,18.02,1435000,18.02
2016-04-04,18.11,18.42,18.09,18.17,938600,18.17
2016-04-01,18.31,18.35,18.04,18.11,1888200,18.11
2016-03-31,18.33,18.42,18.16,18.40,1847400,18.40
2016-03-30,18.39,18.39,18.15,18.15,1743000,18.15
2016-03-29,18.45,18.54,18.08,18.23,1536900,18.23
2016-03-28,18.43,18.43,18.43,18.43,000,18.43
2016-03-25,18.43,18.43,18.43,18.43,000,18.43
2016-03-24,18.10,18.45,18.09,18.43,2230800,18.43
2016-03-23,18.12,18.19,18.08,18.12,1670400,18.12
2016-03-22,18.12,18.35,18.09,18.25,1400700,18.25
2016-03-21,18.33,18.40,18.15,18.26,1109400,18.26
2016-03-18,18.31,18.35,18.19,18.28,3036300,18.28
2016-03-17,18.20,18.26,18.06,18.23,2683600,18.23
2016-03-16,18.09,18.16,18.03,18.05,1603400,18.05
2016-03-15,18.10,18.21,18.01,18.14,1531600,18.14
2016-03-14,18.35,18.38,18.07,18.15,1146100,18.15
2016-03-11,18.24,18.37,18.16,18.32,1131100,18.32
2016-03-10,18.27,18.33,18.12,18.22,2024900,18.22
2016-03-09,18.20,18.26,18.07,18.25,1565700,18.25
2016-03-08,18.20,18.49,17.98,18.03,1859200,18.03
2016-03-07,18.28,18.28,17.98,18.08,1432900,18.08
2016-03-04,18.49,18.49,18.07,18.15,1807000,18.15
2016-03-03,18.38,18.67,18.36,18.45,2013700,18.45
2016-03-02,18.43,18.44,18.17,18.35,1759200,18.35
2016-03-01,18.30,18.40,18.08,18.22,1704400,18.22
