Date,Open,High,Low,Close,Volume,Adj Close
2016-07-15,0.13,0.135,0.13,0.13,1348700,0.13
2016-07-14,0.135,0.135,0.135,0.135,000,0.135
2016-07-13,0.135,0.135,0.135,0.135,000,0.135
2016-07-12,0.14,0.145,0.12,0.135,2662600,0.135
2016-07-11,0.11,0.12,0.11,0.12,143100,0.12
2016-07-08,0.11,0.115,0.10,0.10,660000,0.10
2016-07-07,0.115,0.115,0.11,0.115,121900,0.115
2016-07-06,0.12,0.12,0.115,0.115,123500,0.115
2016-07-05,0.12,0.125,0.12,0.12,280000,0.12
2016-07-04,0.11,0.12,0.11,0.12,34500,0.12
2016-07-01,0.12,0.12,0.12,0.12,48200,0.12
2016-06-30,0.11,0.12,0.11,0.12,246700,0.12
2016-06-29,0.105,0.11,0.105,0.11,20000,0.11
2016-06-28,0.105,0.105,0.10,0.10,230000,0.10
2016-06-27,0.105,0.105,0.10,0.105,264300,0.105
2016-06-24,0.11,0.11,0.105,0.105,765000,0.105
2016-06-23,0.11,0.11,0.11,0.11,444800,0.11
2016-06-22,0.105,0.11,0.105,0.11,608300,0.11
2016-06-21,0.11,0.115,0.105,0.11,509800,0.11
2016-06-20,0.115,0.115,0.115,0.115,000,0.115
2016-06-17,0.115,0.1175,0.115,0.115,994900,0.115
2016-06-16,0.125,0.125,0.12,0.12,1317400,0.12
2016-06-15,0.13,0.13,0.13,0.13,223000,0.13
2016-06-14,0.13,0.135,0.13,0.135,670000,0.135
2016-06-13,0.135,0.135,0.135,0.135,000,0.135
2016-06-10,0.135,0.135,0.13,0.135,1260000,0.135
2016-06-09,0.115,0.14,0.115,0.14,1843800,0.14
2016-06-08,0.125,0.125,0.115,0.115,232700,0.115
2016-06-07,0.125,0.13,0.12,0.125,381900,0.125
2016-06-06,0.105,0.13,0.105,0.125,1336000,0.125
2016-06-03,0.105,0.115,0.105,0.11,225000,0.11
2016-06-02,0.105,0.105,0.105,0.105,10000,0.105
2016-06-01,0.095,0.11,0.095,0.11,176700,0.11
2016-05-31,0.097,0.097,0.094,0.094,100000,0.094
2016-05-30,0.095,0.098,0.095,0.098,151000,0.098
2016-05-27,0.097,0.097,0.095,0.095,105300,0.095
2016-05-26,0.105,0.105,0.105,0.105,000,0.105
2016-05-25,0.105,0.105,0.105,0.105,000,0.105
2016-05-24,0.105,0.105,0.105,0.105,60000,0.105
2016-05-23,0.115,0.115,0.115,0.115,000,0.115
2016-05-20,0.115,0.115,0.115,0.115,4000,0.115
2016-05-19,0.11,0.11,0.11,0.11,000,0.11
2016-05-18,0.10,0.12,0.10,0.11,385000,0.11
2016-05-17,0.10,0.11,0.10,0.11,83400,0.11
2016-05-16,0.11,0.12,0.10,0.11,569200,0.11
2016-05-13,0.095,0.115,0.095,0.115,515800,0.115
2016-05-12,0.096,0.11,0.095,0.105,330600,0.105
2016-05-11,0.10,0.10,0.10,0.10,99300,0.10
2016-05-10,0.115,0.115,0.115,0.115,000,0.115
2016-05-09,0.115,0.115,0.115,0.115,000,0.115
2016-05-06,0.115,0.115,0.115,0.115,15000,0.115
2016-05-05,0.115,0.115,0.115,0.115,12500,0.115
2016-05-04,0.115,0.115,0.115,0.115,5600,0.115
2016-05-03,0.10,0.125,0.094,0.125,1458400,0.125
2016-05-02,0.095,0.105,0.095,0.105,169600,0.105
2016-04-29,0.105,0.105,0.10,0.105,270600,0.105
2016-04-28,0.105,0.105,0.10,0.10,260000,0.10
2016-04-27,0.12,0.12,0.105,0.12,605500,0.12
2016-04-26,0.12,0.125,0.12,0.125,57800,0.125
2016-04-25,0.13,0.13,0.13,0.13,000,0.13
2016-04-22,0.13,0.13,0.13,0.13,250000,0.13
2016-04-21,0.125,0.13,0.105,0.13,568200,0.13
2016-04-20,0.095,0.125,0.095,0.125,1124000,0.125
2016-04-19,0.098,0.098,0.094,0.094,670100,0.094
2016-04-18,0.099,0.10,0.091,0.099,2120000,0.099
2016-04-15,0.09,0.098,0.09,0.098,58000,0.098
2016-04-14,0.09,0.098,0.09,0.098,100400,0.098
2016-04-13,0.096,0.096,0.096,0.096,20000,0.096
2016-04-12,0.094,0.098,0.09,0.098,428000,0.098
