Date,Open,High,Low,Close,Volume,Adj Close
2016-07-15,0.042,0.042,0.041,0.041,405000,0.041
2016-07-14,0.041,0.042,0.041,0.042,712300,0.042
2016-07-13,0.041,0.041,0.04,0.041,4393800,0.041
2016-07-12,0.042,0.042,0.041,0.042,1526400,0.042
2016-07-11,0.042,0.043,0.042,0.042,541800,0.042
2016-07-08,0.042,0.042,0.042,0.042,853000,0.042
2016-07-07,0.042,0.042,0.042,0.042,768600,0.042
2016-07-06,0.043,0.043,0.04,0.043,767800,0.043
2016-07-05,0.044,0.044,0.043,0.043,545600,0.043
2016-07-04,0.041,0.044,0.041,0.044,354100,0.044
2016-07-01,0.042,0.042,0.041,0.042,1678700,0.042
2016-06-30,0.04,0.04,0.036,0.04,2846300,0.04
2016-06-29,0.04,0.041,0.04,0.04,177500,0.04
2016-06-28,0.04,0.04,0.04,0.04,950900,0.04
2016-06-27,0.04,0.041,0.04,0.04,69500,0.04
2016-06-24,0.041,0.041,0.039,0.041,1989500,0.041
2016-06-23,0.041,0.041,0.041,0.041,187300,0.041
2016-06-22,0.041,0.042,0.041,0.0415,108900,0.0415
2016-06-21,0.04,0.041,0.04,0.041,827800,0.041
2016-06-20,0.039,0.039,0.039,0.039,81100,0.039
2016-06-17,0.038,0.039,0.038,0.039,291600,0.039
2016-06-16,0.038,0.039,0.038,0.039,20500,0.039
2016-06-15,0.038,0.038,0.038,0.038,211500,0.038
2016-06-14,0.039,0.039,0.038,0.038,773800,0.038
2016-06-13,0.039,0.039,0.039,0.039,000,0.039
2016-06-10,0.039,0.04,0.038,0.039,1191800,0.039
2016-06-09,0.038,0.039,0.038,0.039,273400,0.039
2016-06-08,0.042,0.042,0.038,0.038,1662800,0.038
2016-06-07,0.041,0.043,0.04,0.042,1441100,0.042
2016-06-06,0.04,0.041,0.04,0.04,522000,0.04
2016-06-03,0.038,0.039,0.038,0.039,994000,0.039
2016-06-02,0.036,0.038,0.036,0.038,1292500,0.038
2016-06-01,0.037,0.037,0.036,0.036,113300,0.036
2016-05-31,0.035,0.035,0.035,0.035,000,0.035
2016-05-30,0.036,0.037,0.035,0.035,231000,0.035
2016-05-27,0.037,0.037,0.035,0.037,901400,0.037
2016-05-26,0.036,0.036,0.035,0.035,65000,0.035
2016-05-25,0.036,0.036,0.036,0.036,182900,0.036
2016-05-24,0.036,0.036,0.035,0.035,330100,0.035
2016-05-23,0.036,0.036,0.036,0.036,25000,0.036
2016-05-20,0.036,0.036,0.035,0.035,123200,0.035
2016-05-19,0.035,0.036,0.035,0.036,22300,0.036
2016-05-18,0.035,0.035,0.035,0.035,26300,0.035
2016-05-17,0.035,0.035,0.035,0.035,51100,0.035
2016-05-16,0.036,0.036,0.035,0.035,889400,0.035
2016-05-13,0.035,0.036,0.035,0.036,88900,0.036
2016-05-12,0.036,0.036,0.036,0.036,000,0.036
2016-05-11,0.036,0.036,0.036,0.036,384100,0.036
2016-05-10,0.036,0.036,0.036,0.036,000,0.036
2016-05-09,0.038,0.038,0.035,0.036,1812400,0.036
