Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,16.02,16.21,15.72,15.80,66600,15.80
2015-12-18,15.55,16.01,15.39,16.01,130800,16.01
2015-12-17,15.64,15.76,15.42,15.67,41600,15.67
2015-12-16,14.80,15.41,14.74,15.38,76400,15.38
2015-12-15,15.16,15.27,14.40,14.55,105300,14.55
2015-12-14,15.16,15.23,15.09,15.16,43500,15.16
2015-12-11,15.30,15.30,15.13,15.18,113100,15.18
2015-12-10,15.37,15.42,15.05,15.23,78200,15.23
2015-12-09,15.31,15.60,15.29,15.48,55200,15.48
2015-12-08,15.41,15.46,15.25,15.26,26300,15.26
2015-12-07,15.35,15.56,15.345,15.40,54500,15.40
2015-12-04,15.56,15.56,15.16,15.31,85300,15.31
2015-12-03,15.00,15.30,15.00,15.17,103300,15.17
2015-12-02,14.90,15.04,14.88,15.00,46400,15.00
2015-12-01,15.10,15.24,14.65,14.85,53100,14.85
2015-11-30,14.84,15.06,14.62,15.06,74800,15.06
2015-11-27,14.90,14.95,14.67,14.78,74900,14.78
2015-11-26,14.70,14.90,14.61,14.90,34000,14.90
2015-11-25,14.88,14.88,14.62,14.82,30200,14.82
2015-11-24,14.65,14.90,14.61,14.90,35900,14.90
2015-11-23,14.73,14.885,14.64,14.80,94200,14.80
2015-11-20,14.85,14.85,14.62,14.73,20700,14.73
2015-11-19,14.80,14.92,14.71,14.85,92300,14.85
2015-11-18,14.66,14.83,14.60,14.80,133000,14.80
2015-11-17,14.60,14.89,14.52,14.64,132600,14.64
2015-11-16,14.00,14.62,14.00,14.52,86000,14.52
2015-11-13,13.99,14.44,13.88,14.44,356800,14.44
2015-11-12,13.97,14.05,13.93,13.99,6800,13.99
2015-11-11,13.80,14.09,13.80,14.05,22100,14.05
2015-11-10,13.86,13.99,13.73,13.80,407700,13.80
2015-11-09,13.97,14.00,13.71,14.00,16300,14.00
2015-11-06,13.89,14.00,13.66,13.97,24200,13.97
2015-11-05,13.97,14.10,13.76,14.00,22400,14.00
2015-11-04,13.95,14.17,13.75,13.97,10900,13.97
2015-11-03,14.08,14.11,13.83,13.99,16100,13.99
2015-11-02,14.00,14.08,13.81,13.97,18100,13.97
2015-10-30,14.00,14.10,13.97,14.00,18000,14.00
2015-10-29,13.96,14.09,13.90,14.05,26700,14.05
2015-10-28,14.18,14.18,13.90,13.96,43300,13.96
2015-10-27,14.28,14.31,13.60,13.95,31500,13.95
2015-10-26,14.25,14.45,14.05,14.15,40300,14.15
2015-10-23,13.77,14.30,13.77,14.18,95800,14.18
2015-10-22,13.52,13.77,13.42,13.51,31000,13.51
2015-10-21,13.60,13.76,13.505,13.63,37500,13.63
2015-10-20,13.72,13.72,13.43,13.60,11000,13.60
2015-10-19,13.65,13.77,13.51,13.63,24500,13.63
2015-10-16,13.73,13.73,13.56,13.63,31500,13.63
2015-10-15,13.90,13.90,13.41,13.46,21000,13.46
2015-10-14,14.00,14.00,13.61,13.63,15000,13.63
2015-10-13,14.00,14.00,13.66,13.70,97000,13.70
2015-10-12,13.83,14.15,13.83,13.97,42400,13.97
2015-10-09,13.85,13.96,13.80,13.80,39600,13.80
2015-10-08,13.38,13.85,13.34,13.81,70300,13.81
2015-10-07,13.39,13.48,13.34,13.36,44700,13.36
2015-10-06,13.30,13.39,13.30,13.38,39100,13.38
2015-10-05,13.12,13.29,12.96,13.23,42500,13.23
2015-10-02,13.12,13.12,12.81,13.00,30400,13.00
2015-10-01,12.93,13.12,12.91,13.12,321200,13.12
2015-09-30,12.69,12.91,12.61,12.90,51000,12.90
2015-09-29,13.09,13.09,12.80,12.85,14600,12.85
2015-09-28,12.99,13.05,12.97,13.05,24300,13.05
2015-09-25,13.00,13.05,12.76,12.96,44200,12.96
2015-09-24,12.94,13.09,12.80,12.96,48200,12.96
2015-09-23,13.40,13.40,12.77,12.94,27600,12.94
2015-09-22,12.69,13.20,12.62,12.69,28300,12.69
2015-09-21,13.20,13.20,12.60,12.67,60000,12.67
2015-09-18,12.80,13.31,12.72,13.25,86600,13.25
2015-09-17,12.80,12.80,12.65,12.80,32900,12.80
2015-09-16,12.60,12.80,12.58,12.80,1656200,12.80
2015-09-15,12.55,12.64,12.48,12.57,181800,12.57
2015-09-14,12.35,12.66,12.33,12.60,62400,12.60
2015-09-11,12.61,12.65,12.33,12.61,8200,12.61
2015-09-10,12.61,12.68,12.49,12.61,303400,12.61
2015-09-09,12.69,12.77,12.52,12.65,40200,12.65
2015-09-08,12.66,12.79,12.32,12.65,25500,12.65
2015-09-07,12.28,12.79,12.28,12.70,60100,12.70
2015-09-04,12.40,12.40,12.21,12.35,42900,12.35
2015-09-03,12.83,12.89,12.31,12.40,28900,12.40
2015-09-02,12.49,12.80,12.30,12.42,62700,12.42
2015-09-01,12.80,12.80,12.31,12.54,45900,12.54
2015-08-31,12.89,12.89,12.71,12.71,41100,12.29571
2015-08-28,13.10,13.15,12.70,12.90,209600,12.47952
2015-08-27,13.02,13.15,12.66,12.70,99700,12.28604
2015-08-26,12.94,13.00,12.82,13.00,49700,12.57626
2015-08-25,12.71,12.97,12.50,12.94,51000,12.51822
2015-08-24,13.00,13.15,12.75,12.99,95300,12.56659
2015-08-21,13.15,13.20,13.09,13.15,68400,12.72137
2015-08-20,12.35,13.39,12.35,13.14,276500,12.7117
2015-08-19,12.22,12.45,12.15,12.23,34000,11.83136
2015-08-18,12.15,12.45,12.15,12.25,95200,11.85071
2015-08-17,12.35,12.45,12.10,12.10,24700,11.7056
2015-08-14,12.40,12.45,12.35,12.40,15100,11.99582
2015-08-13,12.58,12.59,12.32,12.47,31400,12.06354
2015-08-12,12.50,12.59,12.50,12.50,13100,12.09256
2015-08-11,12.55,12.63,12.51,12.60,21200,12.1893
2015-08-10,12.60,12.65,12.51,12.64,39300,12.228
2015-08-07,12.50,12.65,12.50,12.64,11200,12.228
2015-08-06,12.61,12.65,12.52,12.57,11400,12.16028
2015-08-05,12.69,12.69,12.52,12.65,26600,12.23767
2015-08-04,12.50,12.65,12.49,12.64,20000,12.228
2015-08-03,12.60,12.65,12.50,12.56,26600,12.1506
2015-07-31,12.60,12.63,12.60,12.60,18100,12.1893
2015-07-30,12.64,12.66,12.60,12.60,9600,12.1893
2015-07-29,12.55,12.65,12.55,12.57,63300,12.16028
2015-07-28,12.65,12.65,12.51,12.55,61600,12.14093
2015-07-27,12.61,12.65,12.55,12.65,18400,12.23767
2015-07-24,12.69,12.69,12.61,12.61,26400,12.19897
2015-07-23,12.60,12.70,12.56,12.69,21600,12.27637
