Date,Open,High,Low,Close,Volume,Adj Close
2016-07-15,4.23,4.33,4.20,4.29,1283700,4.29
2016-07-14,4.20,4.30,4.195,4.26,1593100,4.26
2016-07-13,4.19,4.23,4.18,4.20,2067000,4.20
2016-07-12,4.03,4.20,4.03,4.13,5961500,4.13
2016-07-11,3.90,4.01,3.86,3.99,2069300,3.99
2016-07-08,3.83,3.92,3.81,3.86,1108300,3.86
2016-07-07,3.83,3.92,3.81,3.84,1476900,3.84
2016-07-06,3.79,3.83,3.76,3.80,830200,3.80
2016-07-05,3.90,3.90,3.78,3.80,695300,3.80
2016-07-04,3.83,3.915,3.78,3.89,1412300,3.89
2016-07-01,3.85,3.94,3.82,3.83,2606400,3.83
2016-06-30,3.76,3.80,3.73,3.76,1446500,3.76
2016-06-29,3.74,3.78,3.72,3.73,764900,3.73
2016-06-28,3.70,3.71,3.64,3.71,1608300,3.71
2016-06-27,3.69,3.755,3.66,3.75,859700,3.75
2016-06-24,3.84,3.84,3.69,3.70,1399600,3.70
2016-06-23,3.82,3.83,3.78,3.80,826800,3.80
2016-06-22,3.80,3.835,3.76,3.81,1601600,3.81
2016-06-21,3.74,3.82,3.74,3.79,968200,3.79
2016-06-20,3.75,3.80,3.75,3.79,938800,3.79
2016-06-17,3.73,3.75,3.705,3.74,1647900,3.74
2016-06-16,3.69,3.72,3.685,3.71,1061200,3.71
2016-06-15,3.68,3.70,3.65,3.67,1036700,3.67
2016-06-14,3.68,3.70,3.64,3.68,1184400,3.68
2016-06-13,3.73,3.73,3.73,3.73,000,3.73
2016-06-10,3.77,3.77,3.71,3.73,1529400,3.73
2016-06-09,3.78,3.81,3.76,3.79,1388600,3.79
2016-06-08,3.75,3.79,3.71,3.77,1273700,3.77
2016-06-07,3.83,3.86,3.76,3.78,704000,3.78
2016-06-06,3.83,3.85,3.80,3.82,552000,3.82
2016-06-03,3.89,3.905,3.84,3.86,937700,3.86
2016-06-02,3.86,3.89,3.80,3.85,1128700,3.85
2016-06-01,3.85,3.905,3.85,3.88,675000,3.88
2016-05-31,3.89,3.93,3.875,3.90,909600,3.90
2016-05-30,3.86,3.91,3.86,3.90,539100,3.90
2016-05-27,3.92,3.93,3.88,3.90,418700,3.90
2016-05-26,3.88,3.90,3.82,3.89,646400,3.89
2016-05-25,3.82,3.89,3.80,3.87,1287700,3.87
2016-05-24,3.86,3.86,3.76,3.77,1076300,3.77
2016-05-23,3.85,3.87,3.825,3.86,871200,3.86
2016-05-20,3.88,3.90,3.85,3.85,927300,3.85
2016-05-19,3.89,3.90,3.835,3.87,715800,3.87
2016-05-18,3.90,3.92,3.83,3.88,1191800,3.88
2016-05-17,4.00,4.02,3.90,3.94,1160700,3.94
2016-05-16,3.98,4.02,3.965,3.97,435200,3.97
2016-05-13,4.02,4.08,3.98,3.98,477800,3.98
2016-05-12,4.01,4.03,3.985,4.02,423700,4.02
2016-05-11,4.02,4.06,3.99,4.01,942100,4.01
2016-05-10,4.03,4.05,3.99,4.02,613700,4.02
2016-05-09,3.96,4.02,3.94,4.02,622200,4.02
2016-05-06,3.95,3.995,3.93,3.98,641900,3.98
2016-05-05,3.91,3.99,3.91,3.99,811100,3.99
2016-05-04,3.99,3.99,3.92,3.92,746400,3.92
2016-05-03,3.91,4.00,3.90,3.98,858500,3.98
2016-05-02,3.90,3.92,3.86,3.90,561500,3.90
2016-04-29,3.95,3.97,3.91,3.92,1107500,3.92
2016-04-28,3.94,3.97,3.92,3.96,885500,3.96
2016-04-27,3.85,3.97,3.84,3.92,848900,3.92
2016-04-26,3.88,3.89,3.80,3.85,914600,3.85
2016-04-25,3.90,3.90,3.90,3.90,000,3.90
2016-04-22,3.92,3.92,3.88,3.90,712900,3.90
2016-04-21,3.90,3.93,3.85,3.91,1288200,3.91
2016-04-20,3.82,3.85,3.81,3.84,584500,3.84
2016-04-19,3.87,3.87,3.79,3.82,945200,3.82
2016-04-18,3.85,3.88,3.81,3.83,1020100,3.83
2016-04-15,3.88,3.89,3.81,3.85,863700,3.85
2016-04-14,3.86,3.88,3.83,3.85,785700,3.85
2016-04-13,3.83,3.87,3.81,3.83,705200,3.83
2016-04-12,3.77,3.84,3.75,3.81,644300,3.81
2016-04-11,3.88,3.89,3.78,3.80,950600,3.80
2016-04-08,3.91,3.91,3.86,3.87,666300,3.87
2016-04-07,3.92,3.95,3.91,3.93,419800,3.93
2016-04-06,3.88,3.94,3.88,3.91,1143500,3.91
2016-04-05,4.00,4.01,3.87,3.90,1061000,3.90
2016-04-04,4.04,4.07,4.00,4.00,297900,4.00
2016-04-01,4.06,4.07,3.99,4.02,682100,4.02
2016-03-31,4.06,4.11,4.05,4.09,663500,4.09
2016-03-30,4.05,4.08,4.03,4.04,511700,4.04
2016-03-29,4.12,4.13,4.04,4.06,540500,4.06
2016-03-28,4.12,4.12,4.12,4.12,000,4.12
2016-03-25,4.12,4.12,4.12,4.12,000,4.12
2016-03-24,4.09,4.15,4.07,4.12,883200,4.12
2016-03-23,4.05,4.11,4.03,4.10,1688400,4.10
2016-03-22,4.05,4.09,4.05,4.07,398600,4.07
2016-03-21,4.06,4.06,4.015,4.04,1654900,4.04
2016-03-18,4.01,4.07,4.01,4.05,2562000,4.05
2016-03-17,4.00,4.07,3.98,4.02,2049900,4.02
2016-03-16,4.10,4.18,4.10,4.10,1492100,3.964
2016-03-15,4.12,4.16,4.09,4.10,1205400,3.964
2016-03-14,4.19,4.20,4.11,4.13,765400,3.993
2016-03-11,4.21,4.24,4.16,4.16,712200,4.022
2016-03-10,4.26,4.27,4.20,4.23,596100,4.09
2016-03-09,4.15,4.25,4.13,4.24,1196000,4.10
2016-03-08,4.16,4.18,4.10,4.12,781500,3.984
2016-03-07,4.12,4.16,4.08,4.11,722800,3.974
2016-03-04,4.16,4.17,4.10,4.10,899000,3.964
2016-03-03,4.11,4.17,4.09,4.16,605800,4.022
2016-03-02,4.12,4.14,4.08,4.09,1017800,3.955
2016-03-01,4.07,4.12,4.06,4.10,882900,3.964
2016-02-29,4.09,4.10,4.05,4.06,948100,3.926
2016-02-26,4.10,4.10,4.06,4.08,651000,3.945
2016-02-25,4.06,4.12,4.03,4.06,1533200,3.926
2016-02-24,4.08,4.09,3.99,4.05,3573200,3.916
