Date,Open,High,Low,Close,Volume,Adj Close
2016-07-15,0.155,0.155,0.155,0.155,25000,0.155
2016-07-14,0.17,0.17,0.17,0.17,000,0.17
2016-07-13,0.17,0.17,0.17,0.17,000,0.17
2016-07-12,0.17,0.17,0.17,0.17,000,0.17
2016-07-11,0.17,0.17,0.17,0.17,13300,0.17
2016-07-08,0.145,0.145,0.145,0.145,10000,0.145
2016-07-07,0.14,0.14,0.14,0.14,24700,0.14
2016-07-06,0.12,0.12,0.12,0.12,9100,0.12
2016-07-05,0.14,0.14,0.14,0.14,200,0.14
2016-07-04,0.14,0.14,0.14,0.14,000,0.14
2016-07-01,0.14,0.14,0.14,0.14,000,0.14
2016-06-30,0.14,0.14,0.14,0.14,000,0.14
2016-06-29,0.14,0.14,0.14,0.14,000,0.14
2016-06-28,0.14,0.14,0.14,0.14,000,0.14
2016-06-27,0.13,0.14,0.13,0.14,25000,0.14
2016-06-24,0.13,0.13,0.13,0.13,000,0.13
2016-06-23,0.13,0.13,0.13,0.13,000,0.13
2016-06-22,0.13,0.13,0.13,0.13,000,0.13
2016-06-21,0.13,0.13,0.13,0.13,000,0.13
2016-06-20,0.15,0.15,0.13,0.13,20000,0.13
2016-06-17,0.17,0.17,0.17,0.17,000,0.17
2016-06-16,0.17,0.17,0.17,0.17,10000,0.17
2016-06-15,0.15,0.15,0.15,0.15,50000,0.15
2016-06-14,0.13,0.14,0.13,0.14,17000,0.14
2016-06-13,0.13,0.13,0.13,0.13,000,0.13
2016-06-10,0.13,0.13,0.13,0.13,000,0.13
2016-06-09,0.13,0.13,0.13,0.13,000,0.13
2016-06-08,0.13,0.13,0.13,0.13,000,0.13
2016-06-07,0.13,0.13,0.13,0.13,000,0.13
2016-06-06,0.13,0.13,0.13,0.13,000,0.13
2016-06-03,0.13,0.13,0.13,0.13,000,0.13
2016-06-02,0.13,0.13,0.13,0.13,000,0.13
2016-06-01,0.13,0.13,0.13,0.13,000,0.13
2016-05-31,0.13,0.13,0.13,0.13,000,0.13
2016-05-30,0.13,0.13,0.13,0.13,000,0.13
2016-05-27,0.13,0.13,0.13,0.13,000,0.13
2016-05-26,0.13,0.13,0.13,0.13,000,0.13
2016-05-25,0.13,0.13,0.13,0.13,18700,0.13
2016-05-24,0.13,0.13,0.13,0.13,000,0.13
2016-05-23,0.13,0.13,0.13,0.13,000,0.13
2016-05-20,0.13,0.13,0.13,0.13,000,0.13
2016-05-19,0.13,0.13,0.13,0.13,000,0.13
2016-05-18,0.13,0.13,0.13,0.13,000,0.13
2016-05-17,0.13,0.13,0.13,0.13,000,0.13
2016-05-16,0.13,0.13,0.13,0.13,000,0.13
2016-05-13,0.13,0.13,0.13,0.13,000,0.13
2016-05-12,0.15,0.15,0.13,0.13,38400,0.13
2016-05-11,0.15,0.15,0.15,0.15,000,0.15
2016-05-10,0.15,0.15,0.15,0.15,000,0.15
2016-05-09,0.15,0.15,0.15,0.15,10000,0.15
2016-05-06,0.15,0.15,0.15,0.15,79200,0.15
2016-05-05,0.15,0.15,0.15,0.15,50000,0.15
2016-05-04,0.13,0.15,0.13,0.15,8700,0.15
2016-05-03,0.11,0.11,0.11,0.11,000,0.11
2016-05-02,0.11,0.11,0.11,0.11,000,0.11
2016-04-29,0.11,0.11,0.11,0.11,000,0.11
2016-04-28,0.11,0.11,0.11,0.11,000,0.11
2016-04-27,0.11,0.11,0.11,0.11,000,0.11
2016-04-26,0.11,0.11,0.11,0.11,000,0.11
2016-04-25,0.11,0.11,0.11,0.11,000,0.11
2016-04-22,0.11,0.11,0.11,0.11,000,0.11
2016-04-21,0.11,0.11,0.11,0.11,30000,0.11
2016-04-20,0.10,0.10,0.10,0.10,000,0.10
2016-04-19,0.10,0.10,0.10,0.10,000,0.10
2016-04-18,0.10,0.10,0.10,0.10,000,0.10
2016-04-15,0.10,0.10,0.10,0.10,000,0.10
2016-04-14,0.10,0.10,0.10,0.10,000,0.10
2016-04-13,0.10,0.10,0.10,0.10,000,0.10
2016-04-12,0.10,0.10,0.10,0.10,000,0.10
2016-04-11,0.10,0.10,0.10,0.10,000,0.10
2016-04-08,0.10,0.10,0.10,0.10,000,0.10
2016-04-07,0.10,0.10,0.10,0.10,000,0.10
2016-04-06,0.10,0.10,0.10,0.10,000,0.10
2016-04-05,0.10,0.10,0.10,0.10,50000,0.10
2016-04-04,0.10,0.10,0.10,0.10,000,0.10
2016-04-01,0.10,0.10,0.10,0.10,000,0.10
2016-03-31,0.10,0.10,0.10,0.10,000,0.10
2016-03-30,0.10,0.10,0.10,0.10,000,0.10
2016-03-29,0.10,0.10,0.10,0.10,18900,0.10
2016-03-28,0.10,0.10,0.10,0.10,000,0.10
2016-03-25,0.10,0.10,0.10,0.10,000,0.10
2016-03-24,0.10,0.10,0.10,0.10,000,0.10
2016-03-23,0.10,0.10,0.10,0.10,10000,0.10
2016-03-22,0.09,0.09,0.09,0.09,000,0.09
2016-03-21,0.09,0.09,0.09,0.09,000,0.09
2016-03-18,0.11,0.11,0.09,0.09,7400,0.09
2016-03-17,0.12,0.12,0.11,0.11,50000,0.11
2016-03-16,0.11,0.11,0.11,0.11,000,0.11
2016-03-15,0.11,0.11,0.11,0.11,000,0.11
2016-03-14,0.11,0.11,0.11,0.11,000,0.11
2016-03-11,0.11,0.11,0.11,0.11,37200,0.11
2016-03-10,0.11,0.11,0.11,0.11,000,0.11
2016-03-09,0.11,0.11,0.11,0.11,000,0.11
2016-03-08,0.11,0.11,0.11,0.11,000,0.11
2016-03-07,0.11,0.11,0.11,0.11,000,0.11
2016-03-04,0.11,0.11,0.11,0.11,000,0.11
2016-03-03,0.11,0.11,0.11,0.11,000,0.11
2016-03-02,0.11,0.11,0.11,0.11,000,0.11
2016-03-01,0.11,0.11,0.11,0.11,000,0.11
2016-02-29,0.11,0.11,0.11,0.11,000,0.11
2016-02-26,0.11,0.11,0.11,0.11,000,0.11
2016-02-25,0.11,0.11,0.11,0.11,000,0.11
2016-02-24,0.11,0.11,0.11,0.11,000,0.11
2016-02-23,0.11,0.11,0.11,0.11,000,0.11
2016-02-22,0.11,0.11,0.11,0.11,000,0.11
2016-02-19,0.11,0.11,0.11,0.11,000,0.11
2016-02-18,0.11,0.11,0.11,0.11,000,0.11
2016-02-17,0.11,0.11,0.11,0.11,000,0.11
2016-02-16,0.11,0.11,0.11,0.11,27000,0.11
2016-02-15,0.10,0.10,0.10,0.10,000,0.10
2016-02-12,0.10,0.10,0.10,0.10,22800,0.10
2016-02-11,0.09,0.09,0.09,0.09,67500,0.09
2016-02-10,0.08,0.08,0.08,0.08,19500,0.08
2016-02-09,0.073,0.073,0.073,0.073,000,0.073
2016-02-08,0.073,0.073,0.073,0.073,000,0.073
2016-02-05,0.073,0.073,0.073,0.073,14800,0.073
2016-02-04,0.075,0.075,0.075,0.075,000,0.075
