Date,Open,High,Low,Close,Volume,Adj Close
2016-07-15,6.46,6.46,6.32,6.34,117200,6.34
2016-07-14,6.65,6.65,6.465,6.48,97700,6.48
2016-07-13,6.66,6.67,6.585,6.60,58900,6.60
2016-07-12,6.68,6.70,6.62,6.65,84700,6.65
2016-07-11,6.74,6.76,6.68,6.71,1355100,6.71
2016-07-08,6.78,6.78,6.71,6.76,2811000,6.76
2016-07-07,6.58,6.67,6.52,6.62,3279800,6.62
2016-07-06,6.60,6.70,6.55,6.61,434500,6.61
2016-07-05,6.51,6.59,6.50,6.57,45800,6.57
2016-07-04,6.46,6.63,6.42,6.47,112800,6.47
2016-07-01,6.25,6.45,6.22,6.39,67800,6.39
2016-06-30,6.11,6.23,6.08,6.20,40100,6.20
2016-06-29,6.06,6.14,6.05,6.12,127200,6.12
2016-06-28,5.96,6.13,5.96,6.06,98800,6.06
2016-06-27,5.89,6.02,5.89,5.99,128800,5.99
2016-06-24,6.08,6.18,5.85,5.90,100600,5.90
2016-06-23,6.04,6.10,6.04,6.08,33200,6.08
2016-06-22,6.14,6.14,5.97,6.01,46400,6.01
2016-06-21,6.17,6.20,6.10,6.16,53800,6.16
2016-06-20,6.21,6.25,6.07,6.17,86400,6.17
2016-06-17,6.22,6.40,6.20,6.34,128600,6.34
2016-06-16,6.13,6.21,6.13,6.19,67900,6.19
2016-06-15,6.01,6.05,5.91,5.91,60200,5.91
2016-06-14,6.12,6.13,6.03,6.06,97300,6.06
2016-06-13,6.14,6.14,6.14,6.14,000,6.14
2016-06-10,6.15,6.19,6.12,6.14,58700,6.14
2016-06-09,6.02,6.15,6.02,6.12,180600,6.12
2016-06-08,6.01,6.02,5.98,5.99,59900,5.99
2016-06-07,5.91,6.03,5.89,6.01,114800,6.01
2016-06-06,5.91,5.97,5.85,5.94,59100,5.94
2016-06-03,5.93,5.98,5.90,5.90,64900,5.90
2016-06-02,5.89,5.91,5.85,5.90,27700,5.90
2016-06-01,5.85,5.88,5.78,5.84,204000,5.84
2016-05-31,6.01,6.01,5.75,5.86,399100,5.86
2016-05-30,5.95,6.04,5.88,6.02,483500,6.02
2016-05-27,6.04,6.08,5.98,6.00,87700,6.00
2016-05-26,6.00,6.04,5.99,6.02,83200,6.02
2016-05-25,5.93,6.02,5.93,5.97,75400,5.97
2016-05-24,5.80,5.83,5.75,5.82,116900,5.82
2016-05-23,5.85,5.85,5.75,5.82,109100,5.82
2016-05-20,6.00,6.06,5.85,5.85,81700,5.85
2016-05-19,6.13,6.13,5.93,6.00,39900,6.00
2016-05-18,6.05,6.19,6.03,6.18,51500,6.18
2016-05-17,6.11,6.14,6.00,6.01,108900,6.01
2016-05-16,6.04,6.07,6.01,6.04,78900,6.04
2016-05-13,6.10,6.15,6.05,6.15,27100,6.15
2016-05-12,6.13,6.19,6.13,6.18,36000,6.18
2016-05-11,6.10,6.20,6.08,6.15,80600,6.15
2016-05-10,6.06,6.10,6.03,6.08,60900,6.08
2016-05-09,6.05,6.09,6.015,6.07,40200,6.07
2016-05-06,5.94,6.08,5.94,6.06,119600,6.06
2016-05-05,5.77,5.94,5.77,5.94,116900,5.94
