Date,Open,High,Low,Close,Volume,Adj Close
2016-07-15,0.033,0.033,0.033,0.033,14300,0.033
2016-07-14,0.037,0.037,0.035,0.035,35600,0.035
2016-07-13,0.037,0.037,0.037,0.037,18000,0.037
2016-07-12,0.04,0.04,0.037,0.037,203400,0.037
2016-07-11,0.045,0.045,0.045,0.045,000,0.045
2016-07-08,0.045,0.045,0.045,0.045,000,0.045
2016-07-07,0.045,0.045,0.045,0.045,000,0.045
2016-07-06,0.045,0.045,0.045,0.045,000,0.045
2016-07-05,0.045,0.045,0.045,0.045,000,0.045
2016-07-04,0.04,0.04,0.04,0.04,73000,0.04
2016-07-01,0.04,0.04,0.04,0.04,51900,0.04
2016-06-30,0.037,0.04,0.037,0.04,25000,0.04
2016-06-29,0.042,0.042,0.04,0.04,30000,0.04
2016-06-28,0.042,0.042,0.042,0.042,400000,0.042
2016-06-27,0.04,0.042,0.04,0.042,110000,0.042
2016-06-24,0.043,0.043,0.035,0.04,329100,0.04
2016-06-23,0.049,0.049,0.049,0.049,000,0.049
2016-06-22,0.049,0.049,0.049,0.049,100000,0.049
2016-06-21,0.061,0.061,0.058,0.058,127200,0.058
2016-06-20,0.054,0.06,0.054,0.06,124000,0.06
2016-06-17,0.04,0.04,0.04,0.04,125000,0.04
2016-06-16,0.03,0.03,0.03,0.03,000,0.03
2016-06-15,0.03,0.03,0.03,0.03,000,0.03
2016-06-14,0.03,0.03,0.03,0.03,15000,0.03
2016-06-13,0.03,0.03,0.03,0.03,000,0.03
2016-06-10,0.03,0.03,0.03,0.03,000,0.03
2016-06-09,0.03,0.03,0.03,0.03,000,0.03
2016-06-08,0.03,0.03,0.03,0.03,000,0.03
2016-06-07,0.03,0.03,0.03,0.03,95500,0.03
2016-06-06,0.03,0.03,0.03,0.03,50000,0.03
2016-06-03,0.03,0.03,0.03,0.03,30000,0.03
2016-06-02,0.025,0.025,0.025,0.025,000,0.025
2016-06-01,0.025,0.025,0.025,0.025,10000,0.025
2016-05-31,0.023,0.023,0.023,0.023,10000,0.023
2016-05-30,0.022,0.022,0.022,0.022,18200,0.022
2016-05-27,0.013,0.013,0.013,0.013,000,0.013
2016-05-26,0.013,0.013,0.013,0.013,000,0.013
2016-05-25,0.013,0.013,0.013,0.013,000,0.013
2016-05-24,0.013,0.013,0.013,0.013,000,0.013
2016-05-23,0.013,0.013,0.013,0.013,000,0.013
2016-05-20,0.013,0.013,0.013,0.013,000,0.013
2016-05-19,0.013,0.013,0.013,0.013,000,0.013
2016-05-18,0.013,0.013,0.013,0.013,20000,0.013
2016-05-17,0.013,0.013,0.013,0.013,000,0.013
2016-05-16,0.013,0.013,0.013,0.013,000,0.013
2016-05-13,0.013,0.013,0.013,0.013,000,0.013
2016-05-12,0.013,0.013,0.013,0.013,701500,0.013
2016-05-11,0.013,0.013,0.013,0.013,000,0.013
2016-05-10,0.013,0.013,0.013,0.013,245000,0.013
2016-05-09,0.01,0.01,0.01,0.01,000,0.01
2016-05-06,0.01,0.01,0.01,0.01,000,0.01
2016-05-05,0.01,0.01,0.01,0.01,000,0.01
2016-05-04,0.01,0.01,0.01,0.01,000,0.01
2016-05-03,0.01,0.01,0.01,0.01,000,0.01
2016-05-02,0.01,0.01,0.01,0.01,000,0.01
2016-04-29,0.01,0.01,0.01,0.01,000,0.01
2016-04-28,0.01,0.01,0.01,0.01,000,0.01
2016-04-27,0.01,0.01,0.01,0.01,000,0.01
2016-04-26,0.01,0.01,0.01,0.01,000,0.01
2016-04-25,0.01,0.01,0.01,0.01,000,0.01
2016-04-22,0.01,0.01,0.01,0.01,000,0.01
2016-04-21,0.01,0.01,0.01,0.01,000,0.01
2016-04-20,0.01,0.01,0.01,0.01,47600,0.01
2016-04-19,0.009,0.009,0.009,0.009,000,0.009
2016-04-18,0.009,0.009,0.009,0.009,000,0.009
2016-04-15,0.009,0.009,0.009,0.009,12900,0.009
2016-04-14,0.01,0.01,0.01,0.01,000,0.01
2016-04-13,0.009,0.01,0.009,0.01,513000,0.01
2016-04-12,0.008,0.008,0.008,0.008,110400,0.008
2016-04-11,0.01,0.01,0.01,0.01,000,0.01
2016-04-08,0.01,0.01,0.01,0.01,000,0.01
2016-04-07,0.01,0.01,0.01,0.01,000,0.01
2016-04-06,0.01,0.01,0.01,0.01,000,0.01
2016-04-05,0.01,0.01,0.01,0.01,000,0.01
2016-04-04,0.01,0.01,0.01,0.01,000,0.01
2016-04-01,0.01,0.01,0.01,0.01,000,0.01
2016-03-31,0.01,0.01,0.01,0.01,000,0.01
2016-03-30,0.01,0.01,0.01,0.01,000,0.01
2016-03-29,0.01,0.01,0.01,0.01,000,0.01
