Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,2.00,2.02,2.00,2.02,52100,2.02
2016-06-30,2.01,2.01,1.98,1.99,85000,1.99
2016-06-29,2.01,2.02,1.975,2.00,32900,2.00
2016-06-28,1.955,1.96,1.94,1.96,13400,1.96
2016-06-27,1.955,1.97,1.935,1.95,59100,1.95
2016-06-24,2.04,2.05,1.955,1.99,145900,1.99
2016-06-23,2.02,2.04,2.02,2.03,65600,2.03
2016-06-22,2.00,2.04,1.985,2.01,44400,2.01
2016-06-21,2.02,2.04,1.995,1.995,77800,1.995
2016-06-20,2.09,2.09,2.00,2.02,132000,2.02
2016-06-17,2.05,2.07,2.01,2.06,109000,2.06
2016-06-16,2.07,2.08,2.05,2.05,71600,2.05
2016-06-15,1.99,2.05,1.99,2.02,110700,2.02
2016-06-14,2.05,2.06,1.99,1.99,379500,1.99
2016-06-13,2.12,2.12,2.12,2.12,000,2.12
2016-06-10,2.10,2.17,2.10,2.12,189300,2.12
2016-06-09,2.09,2.09,2.06,2.06,29700,2.06
2016-06-08,2.01,2.08,2.00,2.07,63100,2.07
2016-06-07,2.10,2.10,2.00,2.02,72200,2.02
2016-06-06,2.12,2.12,2.07,2.10,16100,2.10
2016-06-03,2.09,2.11,2.07,2.11,54500,2.11
2016-06-02,2.10,2.10,2.06,2.08,19800,2.08
2016-06-01,2.12,2.14,2.06,2.10,63100,2.10
2016-05-31,2.13,2.19,2.06,2.06,174100,2.06
2016-05-30,2.06,2.09,2.02,2.08,59800,2.08
2016-05-27,2.01,2.10,1.98,2.05,130500,2.05
2016-05-26,1.93,2.035,1.905,1.99,153400,1.99
2016-05-25,1.955,1.97,1.885,1.93,411700,1.93
2016-05-24,2.01,2.01,1.905,1.955,149900,1.955
2016-05-23,2.03,2.03,1.93,2.00,310700,2.00
2016-05-20,2.10,2.11,2.05,2.07,144600,2.07
2016-05-19,2.14,2.15,2.07,2.10,134100,2.10
2016-05-18,2.14,2.16,2.12,2.13,40500,2.13
2016-05-17,2.14,2.17,2.11,2.13,133500,2.13
2016-05-16,2.14,2.17,2.11,2.13,251900,2.13
2016-05-13,2.11,2.12,2.10,2.10,207800,2.10
2016-05-12,2.17,2.17,2.11,2.13,149900,2.13
2016-05-11,2.19,2.23,2.19,2.21,44100,2.21
2016-05-10,2.14,2.21,2.12,2.19,73400,2.19
2016-05-09,2.21,2.21,2.12,2.15,95200,2.15
2016-05-06,2.25,2.25,2.15,2.21,119300,2.21
2016-05-05,2.29,2.30,2.24,2.24,141800,2.24
2016-05-04,2.38,2.38,2.28,2.30,103300,2.30
2016-05-03,2.38,2.43,2.38,2.41,60400,2.41
2016-05-02,2.35,2.39,2.30,2.30,29900,2.30
2016-04-29,2.35,2.35,2.20,2.26,73700,2.26
2016-04-28,2.40,2.40,2.34,2.34,22100,2.34
2016-04-27,2.48,2.48,2.36,2.40,59800,2.40
2016-04-26,2.48,2.50,2.42,2.50,13600,2.50
2016-04-25,2.47,2.47,2.47,2.47,000,2.47
2016-04-22,2.54,2.54,2.47,2.47,80900,2.47
2016-04-21,2.61,2.64,2.55,2.55,28300,2.55
2016-04-20,2.62,2.67,2.61,2.63,18200,2.63
2016-04-19,2.61,2.62,2.58,2.58,22300,2.58
2016-04-18,2.69,2.70,2.56,2.56,73200,2.56
2016-04-15,2.70,2.72,2.67,2.70,29200,2.70
2016-04-14,2.74,2.75,2.71,2.71,13600,2.71
2016-04-13,2.73,2.74,2.72,2.72,10200,2.72
2016-04-12,2.72,2.73,2.71,2.73,17700,2.73
2016-04-11,2.70,2.75,2.70,2.73,14300,2.73
2016-04-08,2.75,2.75,2.70,2.71,47300,2.71
2016-04-07,2.67,2.73,2.67,2.73,23700,2.73
2016-04-06,2.59,2.67,2.59,2.67,42400,2.67
2016-04-05,2.58,2.64,2.56,2.58,17100,2.58
2016-04-04,2.56,2.58,2.55,2.56,15800,2.56
2016-04-01,2.575,2.575,2.56,2.56,7800,2.56
2016-03-31,2.60,2.60,2.52,2.56,9400,2.56
2016-03-30,2.56,2.64,2.55,2.55,51100,2.55
2016-03-29,2.54,2.57,2.53,2.57,14300,2.57
2016-03-28,2.60,2.60,2.60,2.60,000,2.60
2016-03-25,2.60,2.60,2.60,2.60,000,2.60
2016-03-24,2.58,2.60,2.57,2.60,23800,2.60
2016-03-23,2.57,2.58,2.54,2.58,121900,2.58
2016-03-22,2.55,2.59,2.54,2.59,13400,2.59
2016-03-21,2.52,2.60,2.49,2.57,54600,2.57
2016-03-18,2.48,2.55,2.46,2.54,33600,2.54
2016-03-17,2.47,2.49,2.44,2.45,21800,2.45
2016-03-16,2.46,2.48,2.41,2.48,24200,2.48
2016-03-15,2.47,2.50,2.45,2.46,7000,2.46
2016-03-14,2.51,2.51,2.45,2.47,15400,2.47
2016-03-11,2.53,2.53,2.46,2.50,114200,2.50
2016-03-10,2.55,2.61,2.49,2.55,37300,2.55
2016-03-09,2.64,2.68,2.63,2.63,36400,2.5378
2016-03-08,2.63,2.68,2.63,2.68,31700,2.58605
2016-03-07,2.64,2.68,2.63,2.68,39400,2.58605
2016-03-04,2.70,2.70,2.60,2.60,25300,2.50885
2016-03-03,2.64,2.70,2.62,2.70,17200,2.60535
2016-03-02,2.58,2.68,2.56,2.68,14600,2.58605
2016-03-01,2.55,2.60,2.53,2.60,13400,2.50885
2016-02-29,2.57,2.57,2.50,2.54,32500,2.45096
2016-02-26,2.58,2.60,2.54,2.57,99500,2.4799
2016-02-25,2.68,2.69,2.60,2.60,38600,2.50885
2016-02-24,2.65,2.65,2.61,2.62,11800,2.52815
2016-02-23,2.59,2.70,2.58,2.61,54200,2.5185
2016-02-22,2.56,2.60,2.56,2.57,31800,2.4799
2016-02-19,2.57,2.61,2.55,2.61,11000,2.5185
2016-02-18,2.68,2.68,2.57,2.57,38500,2.4799
2016-02-17,2.57,2.665,2.57,2.58,80700,2.48955
2016-02-16,2.57,2.58,2.55,2.58,6600,2.48955
2016-02-15,2.57,2.58,2.54,2.58,12800,2.48955
2016-02-12,2.66,2.66,2.53,2.53,17100,2.44131
2016-02-11,2.63,2.75,2.63,2.72,5000,2.62464
2016-02-10,2.68,2.70,2.55,2.56,11600,2.47025
2016-02-09,2.71,2.74,2.67,2.67,15900,2.5764
2016-02-08,2.69,2.74,2.68,2.74,3000,2.64394
2016-02-05,2.65,2.75,2.65,2.74,14900,2.64394
2016-02-04,2.61,2.62,2.59,2.61,153600,2.5185
2016-02-03,2.69,2.69,2.59,2.68,44800,2.58605
2016-02-02,2.74,2.74,2.70,2.70,12000,2.60535
2016-02-01,2.75,2.75,2.69,2.69,43000,2.5957
2016-01-29,2.79,2.79,2.69,2.71,31900,2.615
2016-01-28,2.84,2.95,2.77,2.84,20400,2.74044
2016-01-27,3.00,3.02,2.84,2.84,31600,2.74044
