Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,6.88,6.94,6.85,6.88,60400,6.88
2016-06-30,6.73,6.91,6.73,6.87,70500,6.87
2016-06-29,6.95,6.95,6.72,6.78,28000,6.78
2016-06-28,6.93,6.97,6.83,6.97,344100,6.79
2016-06-27,6.85,6.95,6.85,6.93,233000,6.751
2016-06-24,6.92,6.95,6.85,6.89,41600,6.712
2016-06-23,6.87,6.95,6.85,6.90,105400,6.722
2016-06-22,6.86,6.95,6.86,6.87,18600,6.693
2016-06-21,6.83,6.95,6.83,6.85,86600,6.673
2016-06-20,6.85,6.90,6.82,6.85,73300,6.673
2016-06-17,6.88,6.93,6.845,6.86,96400,6.683
2016-06-16,6.89,6.93,6.86,6.88,36800,6.702
2016-06-15,6.85,6.90,6.83,6.85,51900,6.673
2016-06-14,6.85,6.92,6.81,6.89,56500,6.712
2016-06-13,6.87,6.87,6.87,6.87,000,6.693
2016-06-10,6.88,6.93,6.82,6.87,93700,6.693
2016-06-09,6.95,6.95,6.85,6.88,13300,6.702
2016-06-08,6.84,6.93,6.80,6.90,81200,6.722
2016-06-07,6.99,6.995,6.83,6.87,47000,6.693
2016-06-06,6.97,7.04,6.92,7.02,43400,6.839
2016-06-03,6.95,7.02,6.92,7.01,61800,6.829
2016-06-02,6.95,6.98,6.95,6.97,12000,6.79
2016-06-01,7.00,7.01,6.93,6.95,33300,6.771
2016-05-31,6.95,7.01,6.95,7.00,83200,6.819
2016-05-30,6.97,7.00,6.93,6.97,23100,6.79
2016-05-27,6.95,6.985,6.92,6.95,140500,6.771
2016-05-26,6.93,6.98,6.91,6.91,89300,6.732
2016-05-25,6.95,6.96,6.90,6.93,132100,6.751
2016-05-24,6.95,6.95,6.88,6.91,23600,6.732
2016-05-23,6.95,6.96,6.885,6.93,429300,6.751
2016-05-20,6.90,6.95,6.85,6.88,41700,6.702
2016-05-19,6.90,6.91,6.85,6.90,87000,6.722
2016-05-18,6.73,6.96,6.73,6.84,132400,6.663
2016-05-17,6.70,6.80,6.67,6.75,154100,6.576
2016-05-16,6.80,6.81,6.64,6.67,81400,6.498
2016-05-13,6.75,6.86,6.665,6.79,35400,6.615
2016-05-12,6.71,6.88,6.59,6.63,124800,6.459
2016-05-11,6.80,6.80,6.59,6.63,106900,6.459
2016-05-10,6.80,6.92,6.71,6.81,90500,6.634
2016-05-09,6.70,6.98,6.62,6.79,61400,6.615
2016-05-06,6.70,6.80,6.54,6.67,112600,6.498
2016-05-05,6.44,6.79,6.35,6.64,49000,6.469
2016-05-04,6.44,6.52,6.35,6.44,120800,6.274
2016-05-03,6.46,6.49,6.31,6.31,42900,6.147
2016-05-02,6.35,6.42,6.31,6.31,33700,6.147
2016-04-29,6.37,6.40,6.30,6.30,5300,6.137
2016-04-28,6.30,6.40,6.22,6.35,175600,6.186
2016-04-27,6.20,6.30,6.20,6.30,172100,6.137
2016-04-26,6.21,6.275,6.20,6.21,13700,6.05
2016-04-25,6.21,6.21,6.21,6.21,000,6.05
2016-04-22,6.20,6.23,6.20,6.21,101400,6.05
2016-04-21,6.23,6.25,6.17,6.20,82000,6.04
2016-04-20,6.26,6.27,6.205,6.23,52500,6.069
2016-04-19,6.30,6.30,6.14,6.26,59700,6.098
2016-04-18,6.34,6.34,6.28,6.32,43000,6.157
2016-04-15,6.32,6.34,6.28,6.34,35300,6.176
2016-04-14,6.33,6.34,6.25,6.27,69100,6.108
2016-04-13,6.32,6.40,6.31,6.34,104700,6.176
2016-04-12,6.42,6.42,6.25,6.34,93000,6.176
2016-04-11,6.40,6.49,6.39,6.49,48200,6.322
2016-04-08,6.25,6.48,6.17,6.38,91900,6.215
2016-04-07,6.18,6.27,6.18,6.25,16600,6.089
2016-04-06,6.18,6.25,6.18,6.21,30700,6.05
2016-04-05,6.24,6.27,6.15,6.18,43500,6.02
2016-04-04,6.27,6.30,6.18,6.24,130800,6.079
2016-04-01,6.21,6.27,6.15,6.25,64000,6.089
2016-03-31,6.18,6.34,6.13,6.31,64500,6.147
2016-03-30,6.13,6.22,6.13,6.20,151500,6.04
2016-03-29,6.05,6.27,6.05,6.18,41500,6.02
2016-03-28,6.10,6.10,6.10,6.10,000,5.942
2016-03-25,6.10,6.10,6.10,6.10,000,5.942
2016-03-24,6.02,6.10,5.95,6.10,1578400,5.942
2016-03-23,5.97,6.03,5.92,6.00,15300,5.845
2016-03-22,5.90,5.97,5.90,5.96,96500,5.806
2016-03-21,5.90,5.94,5.90,5.90,21600,5.748
2016-03-18,5.90,5.95,5.85,5.87,114200,5.718
2016-03-17,5.85,5.90,5.845,5.89,257000,5.738
2016-03-16,5.85,5.86,5.80,5.85,797800,5.699
2016-03-15,5.90,5.90,5.80,5.85,188600,5.699
2016-03-14,5.82,5.94,5.79,5.86,71500,5.709
2016-03-11,5.80,5.82,5.78,5.79,30200,5.64
2016-03-10,5.70,5.80,5.70,5.75,56000,5.602
2016-03-09,5.80,5.89,5.71,5.89,18600,5.738
2016-03-08,5.70,5.85,5.68,5.70,44900,5.553
2016-03-07,5.80,5.85,5.61,5.79,31500,5.64
2016-03-04,5.85,5.85,5.61,5.70,52700,5.553
2016-03-03,5.85,5.93,5.78,5.79,46100,5.64
2016-03-02,5.83,5.95,5.80,5.85,40500,5.699
2016-03-01,5.87,5.87,5.78,5.81,45700,5.66
2016-02-29,5.81,5.88,5.80,5.84,477400,5.689
2016-02-26,5.75,5.89,5.73,5.78,55400,5.631
2016-02-25,5.98,5.98,5.70,5.73,95400,5.582
2016-02-24,5.40,5.95,5.36,5.95,52500,5.796
2016-02-23,5.39,5.40,5.35,5.40,8300,5.261
2016-02-22,5.32,5.39,5.29,5.35,30700,5.212
2016-02-19,5.32,5.38,5.28,5.32,67200,5.183
2016-02-18,5.37,5.42,5.31,5.31,23500,5.173
2016-02-17,5.44,5.44,5.34,5.43,6500,5.29
2016-02-16,5.44,5.48,5.32,5.43,36200,5.29
2016-02-15,5.31,5.43,5.30,5.43,116400,5.29
2016-02-12,5.25,5.30,5.22,5.25,18600,5.114
2016-02-11,5.25,5.27,5.23,5.25,61100,5.114
2016-02-10,5.25,5.30,5.23,5.25,25200,5.114
2016-02-09,5.35,5.35,5.22,5.25,43600,5.114
2016-02-08,5.22,5.29,5.22,5.25,41100,5.114
2016-02-05,5.25,5.25,5.22,5.22,4200,5.085
2016-02-04,5.37,5.37,5.25,5.26,9400,5.124
2016-02-03,5.32,5.39,5.22,5.25,121900,5.114
2016-02-02,5.40,5.44,5.32,5.44,12100,5.30
2016-02-01,5.35,5.40,5.21,5.40,63400,5.261
2016-01-29,5.24,5.35,5.17,5.33,65400,5.192
2016-01-28,5.16,5.25,5.16,5.25,550600,5.114
2016-01-27,5.13,5.23,5.13,5.17,10900,5.036
2016-01-26,5.13,5.13,5.13,5.13,000,4.998
2016-01-25,5.11,5.23,5.11,5.13,7800,4.998
2016-01-22,5.24,5.24,5.11,5.11,81800,4.978
2016-01-21,5.21,5.22,5.13,5.16,22400,5.027
2016-01-20,5.28,5.29,5.19,5.29,11600,5.153
2016-01-19,5.15,5.29,5.10,5.28,70100,5.144
2016-01-18,5.09,5.14,5.08,5.10,75200,4.968
2016-01-15,5.15,5.15,5.11,5.11,10700,4.978
2016-01-14,5.16,5.18,5.05,5.08,87300,4.949
2016-01-13,5.10,5.25,5.10,5.20,46900,5.066
2016-01-12,5.10,5.13,5.06,5.10,28300,4.968
2016-01-11,5.05,5.13,5.05,5.08,25000,4.949
2016-01-08,5.11,5.14,4.99,5.09,32900,4.959
2016-01-07,5.13,5.14,5.09,5.10,80600,4.968
2016-01-06,5.12,5.12,5.05,5.12,32100,4.988
2016-01-05,5.04,5.09,5.02,5.09,14700,4.959
2016-01-04,5.05,5.06,5.02,5.04,17200,4.91
2016-01-01,5.06,5.06,5.06,5.06,000,4.929
2015-12-31,5.05,5.10,5.05,5.06,9200,4.929
2015-12-30,5.06,5.10,5.05,5.06,24900,4.929
2015-12-29,5.02,5.05,5.02,5.05,18000,4.92
2015-12-28,5.21,5.21,5.21,5.21,000,4.90
2015-12-25,5.21,5.21,5.21,5.21,000,4.90
2015-12-24,5.24,5.25,5.21,5.21,8300,4.90
2015-12-23,5.20,5.25,5.195,5.25,31500,4.938
2015-12-22,5.21,5.25,5.19,5.20,443400,4.891
2015-12-21,5.24,5.24,5.14,5.19,15200,4.881
2015-12-18,5.19,5.25,5.14,5.14,144000,4.834
2015-12-17,5.16,5.19,5.14,5.15,35300,4.844
2015-12-16,5.14,5.16,5.12,5.14,71600,4.834
2015-12-15,5.13,5.16,5.12,5.13,23800,4.825
2015-12-14,5.15,5.16,5.13,5.14,41700,4.834
2015-12-11,5.13,5.15,5.12,5.13,9000,4.825
2015-12-10,5.16,5.16,5.13,5.13,26700,4.825
2015-12-09,5.13,5.17,5.13,5.16,32300,4.853
2015-12-08,5.13,5.16,5.13,5.16,16800,4.853
2015-12-07,5.15,5.19,5.13,5.14,21900,4.834
2015-12-04,5.11,5.16,5.11,5.15,19900,4.844
2015-12-03,5.16,5.19,5.14,5.14,9000,4.834
2015-12-02,5.20,5.20,5.14,5.15,51700,4.844
2015-12-01,5.17,5.19,5.11,5.17,46900,4.862
2015-11-30,5.17,5.20,5.14,5.15,53300,4.844
2015-11-27,5.15,5.20,5.13,5.20,47300,4.891
2015-11-26,5.16,5.30,5.14,5.18,61500,4.872
2015-11-25,5.18,5.19,5.16,5.16,81600,4.853
2015-11-24,5.20,5.22,5.17,5.18,10900,4.872
2015-11-23,5.18,5.27,5.16,5.20,34000,4.891
2015-11-20,5.17,5.20,5.14,5.18,13600,4.872
2015-11-19,5.13,5.20,5.13,5.15,30000,4.844
2015-11-18,5.17,5.17,5.13,5.13,44100,4.825
2015-11-17,5.20,5.20,5.13,5.17,48700,4.862
2015-11-16,5.19,5.22,5.17,5.18,69600,4.872
2015-11-13,5.18,5.22,5.15,5.19,18500,4.881
2015-11-12,5.15,5.21,5.15,5.21,18500,4.90
2015-11-11,5.17,5.21,5.15,5.19,10200,4.881
2015-11-10,5.18,5.19,5.15,5.17,40200,4.862
2015-11-09,5.17,5.20,5.15,5.19,23000,4.881
2015-11-06,5.18,5.20,5.15,5.17,16200,4.862
2015-11-05,5.18,5.21,5.14,5.18,28000,4.872
2015-11-04,5.18,5.25,5.16,5.18,49200,4.872
2015-11-03,5.27,5.27,5.12,5.18,36200,4.872
2015-11-02,5.25,5.28,5.16,5.19,17000,4.881
2015-10-30,5.20,5.28,5.17,5.25,23200,4.938
2015-10-29,5.23,5.29,5.15,5.24,150400,4.928
2015-10-28,5.28,5.28,5.15,5.22,41300,4.91
2015-10-27,5.23,5.25,5.12,5.17,79700,4.862
2015-10-26,5.30,5.30,5.20,5.20,67400,4.891
2015-10-23,5.14,5.31,5.10,5.26,51800,4.947
2015-10-22,5.12,5.14,5.10,5.12,59800,4.815
2015-10-21,5.13,5.15,5.10,5.12,28900,4.815
2015-10-20,5.10,5.16,5.10,5.10,49800,4.797
2015-10-19,5.17,5.17,5.10,5.10,15900,4.797
2015-10-16,5.07,5.16,5.05,5.13,40700,4.825
2015-10-15,5.09,5.12,5.03,5.05,55800,4.75
2015-10-14,5.13,5.18,5.02,5.02,65300,4.721
2015-10-13,5.22,5.22,5.07,5.16,67500,4.853
2015-10-12,5.20,5.20,5.14,5.20,26600,4.891
2015-10-09,5.21,5.21,5.16,5.20,15100,4.891
2015-10-08,5.17,5.25,5.14,5.18,5800,4.872
2015-10-07,5.19,5.20,5.10,5.14,112000,4.834
2015-10-06,5.20,5.32,5.16,5.16,9500,4.853
2015-10-05,5.25,5.55,5.16,5.55,21100,5.22
2015-10-02,5.30,5.31,5.11,5.11,66000,4.806
2015-10-01,5.23,5.30,5.17,5.30,27900,4.985
2015-09-30,5.20,5.25,5.16,5.25,67700,4.938
2015-09-29,5.29,5.30,5.10,5.22,98700,4.91
2015-09-28,5.22,5.30,5.16,5.28,64900,4.966
2015-09-25,5.17,5.23,5.16,5.22,41800,4.91
2015-09-24,5.17,5.19,5.12,5.15,19500,4.844
