Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.002,0.003,0.002,0.003,375000,0.003
2016-06-30,0.002,0.003,0.002,0.003,1000000,0.003
2016-06-29,0.002,0.003,0.002,0.002,2437600,0.002
2016-06-28,0.003,0.003,0.003,0.003,000,0.003
2016-06-27,0.003,0.003,0.003,0.003,000,0.003
2016-06-24,0.003,0.003,0.003,0.003,000,0.003
2016-06-23,0.003,0.003,0.002,0.003,1548000,0.003
2016-06-22,0.003,0.003,0.003,0.003,96300,0.003
2016-06-21,0.002,0.002,0.002,0.0025,146000,0.0025
2016-06-20,0.003,0.003,0.003,0.003,000,0.003
2016-06-17,0.003,0.003,0.003,0.003,250000,0.003
2016-06-16,0.002,0.002,0.002,0.002,000,0.002
2016-06-15,0.002,0.002,0.002,0.002,250000,0.002
2016-06-14,0.002,0.003,0.002,0.003,803400,0.003
2016-06-13,0.003,0.003,0.003,0.003,000,0.003
2016-06-10,0.003,0.003,0.003,0.003,000,0.003
2016-06-09,0.003,0.003,0.003,0.003,2491800,0.003
2016-06-08,0.003,0.003,0.003,0.003,000,0.003
2016-06-07,0.003,0.003,0.003,0.003,2279300,0.003
2016-06-06,0.003,0.003,0.003,0.003,1114000,0.003
2016-06-03,0.003,0.003,0.003,0.003,663000,0.003
2016-06-02,0.003,0.003,0.003,0.003,1000000,0.003
2016-06-01,0.003,0.003,0.003,0.003,1095000,0.003
2016-05-31,0.003,0.003,0.003,0.003,000,0.003
2016-05-30,0.003,0.003,0.003,0.003,000,0.003
2016-05-27,0.003,0.003,0.003,0.003,000,0.003
2016-05-26,0.003,0.003,0.003,0.003,828000,0.003
2016-05-25,0.003,0.003,0.003,0.003,250000,0.003
2016-05-24,0.003,0.003,0.003,0.003,307600,0.003
2016-05-23,0.003,0.0035,0.003,0.0035,6125500,0.0035
2016-05-20,0.003,0.003,0.003,0.003,3009000,0.003
2016-05-19,0.003,0.003,0.003,0.003,000,0.003
2016-05-18,0.003,0.003,0.003,0.003,170000,0.003
2016-05-17,0.003,0.003,0.003,0.003,000,0.003
2016-05-16,0.003,0.003,0.003,0.003,000,0.003
2016-05-13,0.003,0.003,0.003,0.003,000,0.003
2016-05-12,0.003,0.003,0.003,0.003,000,0.003
2016-05-11,0.003,0.003,0.003,0.003,000,0.003
2016-05-10,0.003,0.003,0.003,0.003,000,0.003
2016-05-09,0.003,0.003,0.003,0.003,000,0.003
2016-05-06,0.003,0.003,0.003,0.003,000,0.003
2016-05-05,0.003,0.003,0.003,0.003,272600,0.003
2016-05-04,0.003,0.003,0.003,0.003,000,0.003
2016-05-03,0.003,0.003,0.003,0.003,483500,0.003
2016-05-02,0.003,0.003,0.003,0.003,000,0.003
2016-04-29,0.003,0.003,0.003,0.003,899500,0.003
2016-04-28,0.003,0.003,0.003,0.003,100000,0.003
2016-04-27,0.003,0.003,0.003,0.003,000,0.003
2016-04-26,0.003,0.003,0.003,0.003,1351600,0.003
2016-04-25,0.003,0.003,0.003,0.003,000,0.003
2016-04-22,0.003,0.003,0.003,0.003,000,0.003
2016-04-21,0.003,0.003,0.003,0.003,000,0.003
2016-04-20,0.003,0.003,0.003,0.003,1421600,0.003
2016-04-19,0.003,0.003,0.003,0.003,000,0.003
2016-04-18,0.003,0.003,0.003,0.003,000,0.003
2016-04-15,0.003,0.003,0.003,0.003,000,0.003
2016-04-14,0.003,0.003,0.003,0.003,1600000,0.003
2016-04-13,0.003,0.003,0.003,0.003,000,0.003
2016-04-12,0.003,0.003,0.003,0.003,100000,0.003
2016-04-11,0.003,0.003,0.003,0.003,400000,0.003
2016-04-08,0.003,0.003,0.003,0.003,300000,0.003
2016-04-07,0.003,0.003,0.003,0.003,600000,0.003
2016-04-06,0.003,0.003,0.003,0.003,000,0.003
2016-04-05,0.003,0.003,0.003,0.003,300,0.003
2016-04-04,0.003,0.003,0.003,0.003,000,0.003
2016-04-01,0.003,0.003,0.003,0.003,000,0.003
2016-03-31,0.003,0.003,0.003,0.003,000,0.003
2016-03-30,0.003,0.003,0.003,0.003,32900,0.003
2016-03-29,0.003,0.003,0.003,0.003,000,0.003
2016-03-28,0.003,0.003,0.003,0.003,000,0.003
2016-03-25,0.003,0.003,0.003,0.003,000,0.003
2016-03-24,0.003,0.003,0.003,0.003,000,0.003
2016-03-23,0.003,0.003,0.003,0.003,000,0.003
2016-03-22,0.003,0.003,0.003,0.003,000,0.003
2016-03-21,0.003,0.003,0.003,0.003,000,0.003
2016-03-18,0.003,0.003,0.003,0.003,2876800,0.003
2016-03-17,0.003,0.003,0.003,0.003,20100,0.003
2016-03-16,0.003,0.003,0.003,0.003,000,0.003
2016-03-15,0.003,0.003,0.003,0.003,000,0.003
2016-03-14,0.003,0.003,0.003,0.003,000,0.003
2016-03-11,0.003,0.003,0.003,0.003,000,0.003
2016-03-10,0.003,0.003,0.003,0.003,000,0.003
2016-03-09,0.003,0.003,0.003,0.003,000,0.003
2016-03-08,0.003,0.003,0.003,0.003,000,0.003
2016-03-07,0.003,0.003,0.003,0.003,3050000,0.003
2016-03-04,0.003,0.003,0.003,0.003,250000,0.003
2016-03-03,0.003,0.003,0.003,0.003,000,0.003
2016-03-02,0.003,0.003,0.003,0.003,000,0.003
2016-03-01,0.003,0.003,0.003,0.003,000,0.003
2016-02-29,0.003,0.003,0.003,0.003,000,0.003
2016-02-26,0.003,0.003,0.003,0.003,800000,0.003
2016-02-25,0.003,0.003,0.003,0.003,000,0.003
2016-02-24,0.003,0.003,0.003,0.003,100000,0.003
2016-02-23,0.003,0.003,0.003,0.003,000,0.003
2016-02-22,0.003,0.003,0.003,0.003,000,0.003
2016-02-19,0.003,0.003,0.003,0.003,000,0.003
2016-02-18,0.003,0.003,0.003,0.003,000,0.003
