Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,1.465,1.53,1.465,1.49,99300,1.49
2016-06-30,1.465,1.47,1.445,1.465,76800,1.465
2016-06-29,1.48,1.48,1.465,1.465,12500,1.465
2016-06-28,1.465,1.485,1.465,1.485,149600,1.461
2016-06-27,1.445,1.47,1.44,1.47,59700,1.446
2016-06-24,1.48,1.48,1.45,1.45,91200,1.426
2016-06-23,1.485,1.485,1.46,1.47,156100,1.446
2016-06-22,1.455,1.49,1.45,1.47,121500,1.446
2016-06-21,1.45,1.45,1.44,1.45,136600,1.426
2016-06-20,1.45,1.455,1.425,1.44,151500,1.416
2016-06-17,1.44,1.45,1.435,1.44,48200,1.416
2016-06-16,1.46,1.46,1.43,1.44,6570300,1.416
2016-06-15,1.47,1.47,1.455,1.455,29200,1.431
2016-06-14,1.49,1.49,1.465,1.465,19700,1.441
2016-06-13,1.49,1.49,1.49,1.49,000,1.466
2016-06-10,1.47,1.51,1.47,1.49,164900,1.466
2016-06-09,1.44,1.465,1.44,1.46,14400,1.436
2016-06-08,1.435,1.435,1.435,1.435,000,1.412
2016-06-07,1.42,1.44,1.415,1.435,41800,1.412
2016-06-06,1.42,1.425,1.415,1.415,11300,1.392
2016-06-03,1.42,1.43,1.42,1.42,19500,1.397
2016-06-02,1.435,1.435,1.405,1.405,18900,1.382
2016-06-01,1.41,1.42,1.405,1.42,76100,1.397
2016-05-31,1.42,1.425,1.41,1.41,73500,1.387
2016-05-30,1.41,1.415,1.41,1.41,15800,1.387
2016-05-27,1.40,1.415,1.395,1.405,59000,1.382
2016-05-26,1.41,1.41,1.395,1.40,257100,1.377
2016-05-25,1.41,1.41,1.40,1.40,415800,1.377
2016-05-24,1.40,1.41,1.395,1.40,113100,1.377
2016-05-23,1.41,1.41,1.39,1.40,735300,1.377
2016-05-20,1.41,1.41,1.39,1.40,603500,1.377
2016-05-19,1.40,1.41,1.40,1.40,54500,1.377
2016-05-18,1.405,1.41,1.395,1.395,92200,1.372
2016-05-17,1.405,1.41,1.40,1.40,196700,1.377
2016-05-16,1.42,1.42,1.405,1.405,105800,1.382
2016-05-13,1.40,1.40,1.40,1.40,25900,1.377
2016-05-12,1.41,1.42,1.385,1.40,88500,1.377
2016-05-11,1.43,1.445,1.385,1.42,98200,1.397
2016-05-10,1.42,1.43,1.405,1.415,44400,1.392
2016-05-09,1.41,1.41,1.405,1.41,104600,1.387
2016-05-06,1.40,1.412,1.40,1.41,33500,1.387
2016-05-05,1.41,1.42,1.41,1.41,302300,1.387
2016-05-04,1.40,1.42,1.40,1.40,213000,1.377
2016-05-03,1.41,1.42,1.41,1.41,142400,1.387
2016-05-02,1.40,1.415,1.395,1.415,85700,1.392
2016-04-29,1.40,1.41,1.395,1.405,73400,1.382
2016-04-28,1.385,1.405,1.385,1.395,12700,1.372
2016-04-27,1.39,1.40,1.38,1.385,53900,1.362
2016-04-26,1.41,1.415,1.39,1.405,227700,1.382
2016-04-25,1.415,1.415,1.415,1.415,000,1.392
2016-04-22,1.40,1.415,1.37,1.415,113000,1.392
2016-04-21,1.40,1.41,1.375,1.41,105300,1.387
2016-04-20,1.40,1.405,1.39,1.39,76600,1.367
2016-04-19,1.40,1.405,1.395,1.395,12000,1.372
2016-04-18,1.40,1.405,1.385,1.40,199600,1.377
2016-04-15,1.41,1.41,1.395,1.40,138600,1.377
2016-04-14,1.40,1.405,1.395,1.40,247800,1.377
2016-04-13,1.40,1.41,1.40,1.40,146500,1.377
2016-04-12,1.40,1.41,1.395,1.40,240100,1.377
2016-04-11,1.385,1.40,1.385,1.40,37100,1.377
2016-04-08,1.385,1.40,1.385,1.40,5600,1.377
2016-04-07,1.40,1.40,1.39,1.40,30600,1.377
2016-04-06,1.40,1.41,1.40,1.40,237900,1.377
2016-04-05,1.40,1.405,1.39,1.40,81400,1.377
