Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.18,0.195,0.175,0.19,222500,0.19
2016-06-30,0.17,0.18,0.17,0.18,124600,0.18
2016-06-29,0.17,0.17,0.17,0.17,13300,0.17
2016-06-28,0.17,0.17,0.165,0.165,56700,0.165
2016-06-27,0.18,0.18,0.17,0.17,435000,0.17
2016-06-24,0.18,0.195,0.18,0.18,174100,0.18
2016-06-23,0.18,0.18,0.175,0.18,70000,0.18
2016-06-22,0.165,0.18,0.165,0.18,100000,0.18
2016-06-21,0.18,0.195,0.16,0.16,840900,0.16
2016-06-20,0.175,0.18,0.175,0.18,60000,0.18
2016-06-17,0.145,0.145,0.145,0.145,000,0.145
2016-06-16,0.16,0.18,0.145,0.145,216000,0.145
2016-06-15,0.175,0.175,0.17,0.17,13700,0.17
2016-06-14,0.18,0.18,0.175,0.175,15300,0.175
2016-06-13,0.18,0.18,0.18,0.18,000,0.18
2016-06-10,0.18,0.18,0.18,0.18,6000,0.18
2016-06-09,0.195,0.195,0.18,0.18,86800,0.18
2016-06-08,0.19,0.19,0.19,0.19,156000,0.19
2016-06-07,0.19,0.19,0.19,0.19,20000,0.19
2016-06-06,0.18,0.18,0.18,0.18,53500,0.18
2016-06-03,0.185,0.185,0.18,0.18,47500,0.18
2016-06-02,0.19,0.19,0.19,0.19,100000,0.19
2016-06-01,0.19,0.19,0.185,0.185,129700,0.185
2016-05-31,0.19,0.19,0.185,0.19,70300,0.19
2016-05-30,0.185,0.19,0.185,0.19,2100,0.19
2016-05-27,0.20,0.20,0.185,0.185,14400,0.185
2016-05-26,0.20,0.20,0.20,0.20,52500,0.20
2016-05-25,0.205,0.205,0.19,0.19,548200,0.19
2016-05-24,0.18,0.19,0.18,0.19,529700,0.19
2016-05-23,0.19,0.19,0.185,0.185,150200,0.185
2016-05-20,0.19,0.19,0.19,0.19,115500,0.19
2016-05-19,0.19,0.19,0.18,0.18,15200,0.18
2016-05-18,0.19,0.1925,0.185,0.185,265200,0.185
2016-05-17,0.21,0.21,0.185,0.185,70100,0.185
2016-05-16,0.195,0.21,0.185,0.21,317300,0.21
2016-05-13,0.195,0.195,0.195,0.195,118800,0.195
2016-05-12,0.195,0.195,0.19,0.195,335100,0.195
2016-05-11,0.19,0.20,0.185,0.185,269000,0.185
2016-05-10,0.19,0.19,0.19,0.19,156400,0.19
2016-05-09,0.19,0.19,0.19,0.19,71700,0.19
2016-05-06,0.19,0.19,0.19,0.19,158500,0.19
2016-05-05,0.185,0.185,0.185,0.185,000,0.185
2016-05-04,0.185,0.19,0.185,0.185,8100,0.185
2016-05-03,0.195,0.195,0.19,0.19,55700,0.19
2016-05-02,0.20,0.20,0.20,0.20,50000,0.20
2016-04-29,0.20,0.20,0.20,0.20,200,0.20
2016-04-28,0.21,0.21,0.20,0.20,36400,0.20
2016-04-27,0.21,0.21,0.21,0.21,533500,0.21
2016-04-26,0.21,0.22,0.20,0.20,446100,0.20
2016-04-25,0.20,0.20,0.20,0.20,000,0.20
2016-04-22,0.20,0.20,0.20,0.20,13700,0.20
2016-04-21,0.19,0.20,0.19,0.20,55000,0.20
2016-04-20,0.20,0.20,0.20,0.20,37200,0.20
2016-04-19,0.205,0.205,0.18,0.185,50400,0.185
2016-04-18,0.205,0.205,0.20,0.205,122200,0.205
2016-04-15,0.215,0.215,0.20,0.205,119300,0.205
2016-04-14,0.21,0.215,0.21,0.215,12000,0.215
2016-04-13,0.21,0.21,0.21,0.21,000,0.21
2016-04-12,0.21,0.21,0.21,0.21,160400,0.21
2016-04-11,0.215,0.215,0.215,0.215,4000,0.215
2016-04-08,0.21,0.21,0.21,0.21,61700,0.21
2016-04-07,0.21,0.21,0.21,0.21,40000,0.21
2016-04-06,0.215,0.215,0.21,0.21,44200,0.21
2016-04-05,0.225,0.225,0.215,0.215,155100,0.215
2016-04-04,0.22,0.22,0.215,0.22,67000,0.22
2016-04-01,0.22,0.22,0.22,0.22,70200,0.22
2016-03-31,0.22,0.24,0.22,0.22,346600,0.22
2016-03-30,0.215,0.22,0.215,0.22,47600,0.22
2016-03-29,0.22,0.22,0.215,0.22,152900,0.22
2016-03-28,0.22,0.22,0.22,0.22,000,0.22
2016-03-25,0.22,0.22,0.22,0.22,000,0.22
2016-03-24,0.22,0.22,0.215,0.22,129700,0.22
2016-03-23,0.225,0.225,0.215,0.22,386000,0.22
2016-03-22,0.22,0.22,0.22,0.22,127000,0.22
2016-03-21,0.25,0.25,0.24,0.25,86800,0.25
2016-03-18,0.25,0.25,0.25,0.25,000,0.25
2016-03-17,0.25,0.25,0.25,0.25,000,0.25
2016-03-16,0.25,0.25,0.25,0.25,000,0.25
2016-03-15,0.25,0.25,0.25,0.25,000,0.25
2016-03-14,0.25,0.25,0.25,0.25,000,0.25
2016-03-11,0.235,0.25,0.235,0.25,440000,0.25
2016-03-10,0.24,0.24,0.23,0.23,5200,0.23
