Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.056,0.064,0.056,0.064,144300,0.064
2016-06-30,0.055,0.055,0.055,0.055,5000,0.055
2016-06-29,0.053,0.058,0.052,0.052,207000,0.052
2016-06-28,0.054,0.054,0.052,0.052,330200,0.052
2016-06-27,0.055,0.059,0.054,0.059,141900,0.059
2016-06-24,0.063,0.063,0.057,0.057,183600,0.057
2016-06-23,0.065,0.065,0.061,0.061,81500,0.061
2016-06-22,0.066,0.066,0.061,0.065,88600,0.065
2016-06-21,0.072,0.072,0.072,0.072,000,0.072
2016-06-20,0.07,0.072,0.066,0.072,64300,0.072
2016-06-17,0.069,0.072,0.066,0.069,144100,0.069
2016-06-16,0.061,0.061,0.061,0.061,31900,0.061
2016-06-15,0.07,0.07,0.06,0.066,261300,0.066
2016-06-14,0.071,0.071,0.066,0.066,944500,0.066
2016-06-13,0.07,0.07,0.07,0.07,000,0.07
2016-06-10,0.075,0.075,0.07,0.07,535900,0.07
2016-06-09,0.066,0.075,0.066,0.073,455700,0.073
2016-06-08,0.066,0.068,0.066,0.066,110400,0.066
2016-06-07,0.069,0.069,0.065,0.066,500600,0.066
2016-06-06,0.068,0.07,0.068,0.07,87000,0.07
2016-06-03,0.074,0.074,0.067,0.067,133000,0.067
2016-06-02,0.071,0.074,0.067,0.074,581000,0.074
2016-06-01,0.073,0.073,0.073,0.073,5700,0.073
2016-05-31,0.073,0.073,0.073,0.073,000,0.073
2016-05-30,0.074,0.074,0.073,0.073,24000,0.073
2016-05-27,0.073,0.073,0.073,0.073,000,0.073
2016-05-26,0.073,0.073,0.073,0.073,20000,0.073
2016-05-25,0.078,0.078,0.078,0.078,12800,0.078
2016-05-24,0.078,0.078,0.078,0.078,2500,0.078
2016-05-23,0.077,0.079,0.073,0.073,267700,0.073
2016-05-20,0.079,0.079,0.077,0.077,11000,0.077
2016-05-19,0.079,0.081,0.079,0.08,103000,0.08
2016-05-18,0.085,0.085,0.085,0.085,000,0.085
2016-05-17,0.076,0.09,0.076,0.085,185500,0.085
2016-05-16,0.076,0.078,0.076,0.076,184500,0.076
2016-05-13,0.075,0.079,0.075,0.079,125600,0.079
2016-05-12,0.088,0.088,0.088,0.088,1000,0.088
2016-05-11,0.077,0.08,0.077,0.08,202700,0.08
2016-05-10,0.08,0.08,0.075,0.076,176200,0.076
2016-05-09,0.08,0.08,0.08,0.08,44700,0.08
2016-05-06,0.086,0.09,0.078,0.08,251100,0.08
2016-05-05,0.086,0.087,0.085,0.085,19800,0.085
2016-05-04,0.086,0.089,0.086,0.086,135600,0.086
2016-05-03,0.089,0.11,0.089,0.10,374900,0.10
2016-05-02,0.085,0.086,0.082,0.084,245600,0.084
2016-04-29,0.083,0.105,0.082,0.082,387500,0.082
2016-04-28,0.076,0.076,0.076,0.076,6900,0.076
2016-04-27,0.075,0.076,0.075,0.076,388700,0.076
2016-04-26,0.071,0.071,0.071,0.071,6000,0.071
2016-04-25,0.071,0.071,0.071,0.071,000,0.071
2016-04-22,0.071,0.071,0.071,0.071,128600,0.071
2016-04-21,0.071,0.071,0.071,0.071,36500,0.071
2016-04-20,0.074,0.075,0.074,0.075,53100,0.075
2016-04-19,0.071,0.071,0.071,0.071,97800,0.071
2016-04-18,0.071,0.071,0.071,0.071,000,0.071
2016-04-15,0.07,0.071,0.07,0.071,49400,0.071
2016-04-14,0.07,0.071,0.066,0.071,93200,0.071
2016-04-13,0.075,0.075,0.075,0.075,50000,0.075
2016-04-12,0.07,0.07,0.07,0.07,165300,0.07
2016-04-11,0.073,0.075,0.071,0.075,101000,0.075
2016-04-08,0.074,0.074,0.072,0.073,142400,0.073
2016-04-07,0.076,0.076,0.075,0.075,24900,0.075
2016-04-06,0.075,0.075,0.074,0.075,54500,0.075
2016-04-05,0.075,0.076,0.074,0.075,180800,0.075
2016-04-04,0.08,0.08,0.07,0.075,837700,0.075
2016-04-01,0.084,0.088,0.079,0.079,92800,0.079
2016-03-31,0.081,0.084,0.077,0.084,790800,0.084
2016-03-30,0.084,0.084,0.08,0.08,975300,0.08
2016-03-29,0.087,0.088,0.084,0.084,52100,0.084
2016-03-28,0.088,0.088,0.088,0.088,000,0.088
2016-03-25,0.088,0.088,0.088,0.088,000,0.088
2016-03-24,0.084,0.088,0.084,0.088,55000,0.088
2016-03-23,0.087,0.088,0.083,0.083,45000,0.083
2016-03-22,0.089,0.089,0.085,0.085,227000,0.085
2016-03-21,0.10,0.10,0.09,0.09,13000,0.09
2016-03-18,0.10,0.10,0.10,0.10,000,0.10
2016-03-17,0.105,0.115,0.091,0.10,102400,0.10
2016-03-16,0.089,0.091,0.089,0.091,54400,0.091
2016-03-15,0.09,0.09,0.09,0.09,000,0.09
2016-03-14,0.09,0.09,0.084,0.09,135500,0.09
2016-03-11,0.09,0.095,0.086,0.086,40000,0.086
2016-03-10,0.091,0.091,0.091,0.091,000,0.091
2016-03-09,0.091,0.091,0.091,0.091,000,0.091
2016-03-08,0.089,0.091,0.086,0.091,110700,0.091
2016-03-07,0.091,0.091,0.087,0.09,39100,0.09
2016-03-04,0.085,0.096,0.085,0.089,59500,0.089
2016-03-03,0.092,0.095,0.08,0.092,493200,0.092
2016-03-02,0.099,0.099,0.099,0.099,2500,0.099
2016-03-01,0.098,0.10,0.095,0.10,210900,0.10
2016-02-29,0.10,0.10,0.097,0.097,28900,0.097
2016-02-26,0.097,0.105,0.097,0.105,97300,0.105
2016-02-25,0.098,0.098,0.097,0.098,18700,0.098
2016-02-24,0.098,0.098,0.094,0.095,42600,0.095
2016-02-23,0.093,0.10,0.093,0.096,567200,0.096
2016-02-22,0.086,0.093,0.086,0.09,80000,0.09
2016-02-19,0.095,0.097,0.092,0.093,137800,0.093
2016-02-18,0.086,0.089,0.085,0.085,336700,0.085
2016-02-17,0.084,0.095,0.083,0.095,162000,0.095
2016-02-16,0.097,0.098,0.097,0.098,95200,0.098
2016-02-15,0.081,0.09,0.081,0.09,62000,0.09
2016-02-12,0.09,0.09,0.08,0.08,396000,0.08
2016-02-11,0.098,0.10,0.098,0.10,384700,0.10
2016-02-10,0.10,0.10,0.098,0.10,43300,0.10
2016-02-09,0.105,0.105,0.105,0.105,230300,0.105
2016-02-08,0.10,0.11,0.10,0.11,335900,0.11
2016-02-05,0.11,0.11,0.105,0.105,433800,0.105
2016-02-04,0.11,0.11,0.11,0.11,33800,0.11
2016-02-03,0.12,0.12,0.12,0.12,11600,0.12
2016-02-02,0.12,0.125,0.12,0.125,149900,0.125
2016-02-01,0.105,0.11,0.105,0.11,184800,0.11
2016-01-29,0.105,0.105,0.10,0.105,254000,0.105
2016-01-28,0.105,0.105,0.10,0.105,224000,0.105
2016-01-27,0.105,0.105,0.099,0.105,374400,0.105
2016-01-26,0.11,0.11,0.11,0.11,000,0.11
2016-01-25,0.11,0.11,0.11,0.11,000,0.11
2016-01-22,0.11,0.11,0.11,0.11,27200,0.11
2016-01-21,0.09,0.11,0.09,0.10,649600,0.10
2016-01-20,0.12,0.12,0.091,0.091,125200,0.091
2016-01-19,0.13,0.13,0.12,0.12,72000,0.12
2016-01-18,0.13,0.135,0.13,0.132,146800,0.132
2016-01-15,0.15,0.155,0.15,0.155,176200,0.155
2016-01-14,0.145,0.15,0.13,0.15,43700,0.15
2016-01-13,0.15,0.15,0.145,0.145,109700,0.145
2016-01-12,0.145,0.145,0.145,0.145,20000,0.145
2016-01-11,0.15,0.16,0.15,0.16,122500,0.16
2016-01-08,0.15,0.155,0.145,0.155,64800,0.155
2016-01-07,0.18,0.18,0.15,0.155,849200,0.155
2016-01-06,0.17,0.17,0.17,0.17,120000,0.17
2016-01-05,0.16,0.175,0.16,0.17,90200,0.17
2016-01-04,0.165,0.165,0.165,0.165,38000,0.165
2016-01-01,0.165,0.165,0.165,0.165,000,0.165
2015-12-31,0.17,0.17,0.165,0.165,27400,0.165
2015-12-30,0.155,0.17,0.15,0.17,225800,0.17
2015-12-29,0.145,0.145,0.145,0.145,000,0.145
2015-12-28,0.145,0.145,0.145,0.145,000,0.145
2015-12-25,0.145,0.145,0.145,0.145,000,0.145
2015-12-24,0.145,0.145,0.145,0.145,000,0.145
2015-12-23,0.145,0.145,0.145,0.145,000,0.145
2015-12-22,0.135,0.145,0.135,0.145,195000,0.145
2015-12-21,0.125,0.125,0.125,0.125,9000,0.125
2015-12-18,0.125,0.125,0.125,0.125,56000,0.125
2015-12-17,0.13,0.13,0.13,0.13,185000,0.13
2015-12-16,0.125,0.135,0.12,0.12,225000,0.12
2015-12-15,0.13,0.135,0.13,0.135,50000,0.135
2015-12-14,0.12,0.12,0.12,0.12,5600,0.12
2015-12-11,0.12,0.12,0.12,0.12,300000,0.12
2015-12-10,0.12,0.12,0.12,0.12,000,0.12
2015-12-09,0.135,0.135,0.12,0.12,105500,0.12
2015-12-08,0.135,0.135,0.135,0.135,59300,0.135
2015-12-07,0.135,0.135,0.135,0.135,44000,0.135
2015-12-04,0.14,0.14,0.135,0.135,183900,0.135
2015-12-03,0.135,0.135,0.13,0.13,136700,0.13
2015-12-02,0.135,0.135,0.13,0.13,292100,0.13
2015-12-01,0.13,0.13,0.13,0.13,20000,0.13
2015-11-30,0.13,0.13,0.125,0.13,215000,0.13
2015-11-27,0.14,0.14,0.13,0.13,216300,0.13
2015-11-26,0.14,0.14,0.14,0.14,120900,0.14
2015-11-25,0.125,0.125,0.125,0.125,000,0.125
2015-11-24,0.145,0.145,0.125,0.125,293000,0.125
2015-11-23,0.14,0.14,0.14,0.14,140700,0.14
2015-11-20,0.145,0.145,0.14,0.14,137600,0.14
2015-11-19,0.15,0.15,0.145,0.145,158500,0.145
2015-11-18,0.145,0.15,0.14,0.15,105500,0.15
2015-11-17,0.145,0.16,0.14,0.14,1093400,0.14
2015-11-16,0.14,0.14,0.135,0.135,275000,0.135
2015-11-13,0.14,0.14,0.14,0.14,240500,0.14
2015-11-12,0.145,0.145,0.14,0.14,85100,0.14
2015-11-11,0.145,0.15,0.14,0.145,314300,0.145
2015-11-10,0.14,0.145,0.14,0.145,90700,0.145
2015-11-09,0.145,0.15,0.14,0.145,328100,0.145
2015-11-06,0.14,0.145,0.14,0.145,76800,0.145
2015-11-05,0.135,0.145,0.135,0.14,272800,0.14
2015-11-04,0.15,0.15,0.14,0.145,587900,0.145
2015-11-03,0.155,0.155,0.15,0.15,813500,0.15
2015-11-02,0.165,0.165,0.16,0.16,644200,0.16
2015-10-30,0.185,0.185,0.18,0.18,1061000,0.18
2015-10-29,0.185,0.185,0.18,0.18,284200,0.18
2015-10-28,0.18,0.185,0.18,0.18,620400,0.18
2015-10-27,0.185,0.19,0.18,0.18,1188800,0.18
2015-10-26,0.18,0.185,0.18,0.185,834900,0.185
2015-10-23,0.175,0.175,0.175,0.175,40000,0.175
2015-10-22,0.18,0.18,0.175,0.175,556300,0.175
2015-10-21,0.185,0.185,0.18,0.18,1028100,0.18
2015-10-20,0.19,0.19,0.185,0.185,2491600,0.185
2015-10-19,0.19,0.19,0.185,0.19,706200,0.19
2015-10-16,0.19,0.195,0.187,0.19,2207900,0.19
2015-10-15,0.18,0.18,0.175,0.18,104500,0.18
2015-10-14,0.18,0.18,0.175,0.18,353700,0.18
2015-10-13,0.185,0.19,0.175,0.18,950700,0.18
2015-10-12,0.185,0.19,0.18,0.19,1149500,0.19
2015-10-09,0.175,0.185,0.16,0.185,3688500,0.185
2015-10-08,0.135,0.135,0.13,0.135,708000,0.135
