Date,Open,High,Low,Close,Volume,Adj Close
2016-05-19,0.023,0.023,0.023,0.023,000,0.023
2016-05-18,0.023,0.023,0.023,0.023,000,0.023
2016-05-17,0.023,0.023,0.023,0.023,000,0.023
2016-05-16,0.023,0.023,0.023,0.023,000,0.023
2016-05-13,0.023,0.023,0.023,0.023,000,0.023
2016-05-12,0.023,0.023,0.023,0.023,000,0.023
2016-05-11,0.023,0.023,0.023,0.023,000,0.023
2016-05-10,0.023,0.023,0.023,0.023,000,0.023
2016-05-09,0.023,0.023,0.023,0.023,000,0.023
2016-05-06,0.023,0.023,0.023,0.023,000,0.023
2016-05-05,0.023,0.023,0.023,0.023,000,0.023
2016-05-04,0.023,0.023,0.023,0.023,000,0.023
2016-05-03,0.023,0.023,0.023,0.023,000,0.023
2016-05-02,0.023,0.023,0.023,0.023,000,0.023
2016-04-29,0.023,0.023,0.023,0.023,000,0.023
2016-04-28,0.023,0.023,0.023,0.023,000,0.023
2016-04-27,0.023,0.023,0.023,0.023,000,0.023
2016-04-26,0.023,0.023,0.023,0.023,000,0.023
2016-04-25,0.023,0.023,0.023,0.023,000,0.023
2016-04-22,0.023,0.023,0.023,0.023,000,0.023
2016-04-21,0.023,0.023,0.023,0.023,000,0.023
2016-04-20,0.023,0.023,0.023,0.023,000,0.529
2016-04-19,0.001,0.001,0.001,0.001,000,0.529
2016-04-18,0.001,0.001,0.001,0.001,000,0.529
2016-04-15,0.001,0.001,0.001,0.001,3000000,0.529
2016-04-14,0.001,0.001,0.001,0.001,3750000,0.529
2016-04-13,0.001,0.001,0.001,0.001,000,0.529
2016-04-12,0.001,0.001,0.001,0.001,000,0.529
2016-04-11,0.001,0.001,0.001,0.001,000,0.529
2016-04-08,0.001,0.001,0.001,0.001,000,0.529
2016-04-07,0.001,0.001,0.001,0.001,000,0.529
2016-04-06,0.001,0.001,0.001,0.001,000,0.529
2016-04-05,0.001,0.001,0.001,0.001,000,0.529
2016-04-04,0.001,0.001,0.001,0.001,250000,0.529
2016-04-01,0.001,0.001,0.001,0.001,000,0.529
2016-03-31,0.001,0.001,0.001,0.001,000,0.529
2016-03-30,0.001,0.001,0.001,0.001,000,0.529
2016-03-29,0.001,0.001,0.001,0.001,600000,0.529
2016-03-28,0.001,0.001,0.001,0.001,000,0.529
2016-03-25,0.001,0.001,0.001,0.001,000,0.529
2016-03-24,0.001,0.001,0.001,0.001,000,0.529
2016-03-23,0.001,0.001,0.001,0.001,5950000,0.529
2016-03-22,0.001,0.001,0.001,0.001,11906000,0.529
2016-03-21,0.00004,0.00004,0.00004,0.00004,000,0.023
2016-03-18,0.00004,0.00004,0.00004,0.00004,000,0.023
2016-03-17,0.00,0.00,0.00,0.00,000,0.001
2016-03-16,0.00,0.00,0.00,0.00,000,0.001
2016-03-15,0.00,0.00,0.00,0.00,000,0.001
2016-03-14,0.00,0.00,0.00,0.00,000,0.001
2016-03-11,0.00,0.00,0.00,0.00,000,0.001
2016-03-10,0.00,0.00,0.00,0.00,000,0.001
2016-03-09,0.00,0.00,0.00,0.00,137900,0.001
2016-03-08,0.00,0.00,0.00,0.00,000,0.001
2016-03-07,0.00,0.00,0.00,0.00,000,0.001
2016-03-04,0.00,0.00,0.00,0.00,000,0.001
2016-03-03,0.00,0.00,0.00,0.00,000,0.001
2016-03-02,0.00,0.00,0.00,0.00,000,0.001
2016-03-01,0.00,0.00,0.00,0.00,000,0.001
2016-02-29,0.00,0.00,0.00,0.00,000,0.001
2016-02-26,0.00,0.00,0.00,0.00,000,0.001
2016-02-25,0.00,0.00,0.00,0.00,000,0.001
2016-02-24,0.00,0.00,0.00,0.00,4601000,0.001
2016-02-23,0.00,0.00,0.00,0.00,000,0.001
2016-02-22,0.00,0.00,0.00,0.00,000,0.001
2016-02-19,0.00,0.00,0.00,0.00,500000,0.001
2016-02-18,0.00,0.00,0.00,0.00,000,0.001
2016-02-17,0.00,0.00,0.00,0.00,000,0.001
2016-02-16,0.00,0.00,0.00,0.00,8130000,0.001
2016-02-15,0.00,0.00,0.00,0.00,847600,0.001
2016-02-12,0.00,0.00,0.00,0.00,000,0.001
2016-02-11,0.00,0.00,0.00,0.00,000,0.001
2016-02-10,0.00,0.00,0.00,0.00,000,0.001
2016-02-09,0.00,0.00,0.00,0.00,000,0.001
2016-02-08,0.00,0.00,0.00,0.00,000,0.001
2016-02-05,0.00,0.00,0.00,0.00,000,0.001
2016-02-04,0.00,0.00,0.00,0.00,500000,0.001
2016-02-03,0.00,0.00,0.00,0.00,000,0.001
2016-02-02,0.00,0.00,0.00,0.00,1249000,0.001
2016-02-01,0.00,0.00,0.00,0.00,2500000,0.001
2016-01-29,0.00,0.00,0.00,0.00,000,0.001
2016-01-28,0.00,0.00,0.00,0.00,2303500,0.001
