Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.235,0.235,0.235,0.235,000,0.235
2016-06-30,0.235,0.235,0.235,0.235,4700,0.235
2016-06-29,0.24,0.25,0.24,0.245,39500,0.245
2016-06-28,0.24,0.24,0.24,0.24,52500,0.24
2016-06-27,0.24,0.24,0.24,0.24,000,0.24
2016-06-24,0.24,0.24,0.24,0.24,9500,0.24
2016-06-23,0.24,0.24,0.24,0.24,000,0.24
2016-06-22,0.245,0.245,0.24,0.24,20000,0.24
2016-06-21,0.25,0.25,0.25,0.25,000,0.25
2016-06-20,0.24,0.25,0.24,0.25,7500,0.25
2016-06-17,0.24,0.24,0.24,0.24,23000,0.24
2016-06-16,0.235,0.235,0.235,0.235,6500,0.235
2016-06-15,0.24,0.24,0.24,0.24,42000,0.24
2016-06-14,0.24,0.24,0.24,0.24,1300,0.24
2016-06-13,0.235,0.235,0.235,0.235,000,0.235
2016-06-10,0.235,0.235,0.235,0.235,000,0.235
2016-06-09,0.235,0.235,0.235,0.235,10000,0.235
2016-06-08,0.23,0.235,0.23,0.235,12000,0.235
2016-06-07,0.23,0.23,0.23,0.23,3000,0.23
2016-06-06,0.23,0.23,0.23,0.23,1500,0.23
2016-06-03,0.22,0.22,0.22,0.22,5000,0.22
2016-06-02,0.215,0.215,0.215,0.215,000,0.215
2016-06-01,0.215,0.215,0.215,0.215,2100,0.215
2016-05-31,0.215,0.215,0.215,0.215,000,0.215
2016-05-30,0.215,0.215,0.215,0.215,17700,0.215
2016-05-27,0.23,0.23,0.23,0.23,000,0.23
2016-05-26,0.23,0.23,0.23,0.23,000,0.23
2016-05-25,0.23,0.23,0.23,0.23,000,0.23
2016-05-24,0.23,0.23,0.23,0.23,000,0.23
2016-05-23,0.23,0.23,0.23,0.23,000,0.23
2016-05-20,0.23,0.23,0.23,0.23,000,0.23
2016-05-19,0.25,0.25,0.23,0.23,35500,0.23
2016-05-18,0.22,0.24,0.22,0.24,61000,0.24
2016-05-17,0.22,0.23,0.22,0.23,31400,0.23
2016-05-16,0.205,0.205,0.205,0.205,5000,0.205
2016-05-13,0.19,0.19,0.19,0.19,000,0.19
2016-05-12,0.185,0.19,0.185,0.19,8900,0.19
