Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.007,0.007,0.006,0.006,2573300,0.006
2016-06-30,0.007,0.007,0.006,0.006,7148600,0.006
2016-06-29,0.007,0.007,0.006,0.006,1472800,0.006
2016-06-28,0.007,0.007,0.006,0.006,4412900,0.006
2016-06-27,0.007,0.007,0.006,0.006,1827600,0.006
2016-06-24,0.007,0.007,0.006,0.007,25289000,0.007
2016-06-23,0.007,0.0075,0.007,0.007,7047300,0.007
2016-06-22,0.007,0.0075,0.007,0.007,2696500,0.007
2016-06-21,0.008,0.008,0.007,0.007,745000,0.007
2016-06-20,0.008,0.008,0.007,0.007,3774900,0.007
2016-06-17,0.007,0.0075,0.007,0.007,2783100,0.007
2016-06-16,0.007,0.0075,0.007,0.007,2721100,0.007
2016-06-15,0.007,0.0075,0.007,0.007,2278500,0.007
2016-06-14,0.009,0.009,0.007,0.007,25080100,0.007
2016-06-13,0.008,0.008,0.008,0.008,000,0.008
2016-06-10,0.008,0.0085,0.007,0.008,28259000,0.008
2016-06-09,0.009,0.009,0.009,0.009,000,0.009
2016-06-08,0.009,0.009,0.009,0.009,3791600,0.009
2016-06-07,0.009,0.009,0.008,0.009,9575000,0.009
2016-06-06,0.008,0.0085,0.008,0.008,17025300,0.008
2016-06-03,0.008,0.0085,0.008,0.008,14150200,0.008
2016-06-02,0.008,0.008,0.007,0.007,5897300,0.007
2016-06-01,0.008,0.0085,0.007,0.008,44227900,0.008
2016-05-31,0.009,0.0095,0.008,0.008,53278000,0.008
2016-05-30,0.01,0.011,0.009,0.009,36546400,0.009
2016-05-27,0.011,0.012,0.009,0.01,207534500,0.01
2016-05-26,0.009,0.01,0.007,0.01,309803700,0.01
2016-05-25,0.005,0.005,0.005,0.005,000,0.005
2016-05-24,0.005,0.0055,0.005,0.0055,696000,0.0055
2016-05-23,0.005,0.006,0.005,0.0055,2962400,0.0055
2016-05-20,0.006,0.006,0.005,0.005,2896000,0.005
2016-05-19,0.007,0.007,0.005,0.005,11108400,0.005
2016-05-18,0.007,0.007,0.007,0.007,12851200,0.007
2016-05-17,0.007,0.008,0.007,0.007,5803300,0.007
2016-05-16,0.008,0.008,0.007,0.007,19549800,0.007
2016-05-13,0.008,0.008,0.007,0.007,7288800,0.007
2016-05-12,0.007,0.008,0.007,0.007,12231100,0.007
2016-05-11,0.005,0.008,0.005,0.0065,32275400,0.0065
2016-05-10,0.005,0.005,0.005,0.005,2110000,0.005
2016-05-09,0.005,0.005,0.005,0.005,9739700,0.005
2016-05-06,0.004,0.005,0.004,0.005,1410000,0.005
2016-05-05,0.004,0.004,0.004,0.004,3895000,0.004
2016-05-04,0.005,0.005,0.005,0.005,000,0.005
2016-05-03,0.005,0.005,0.005,0.005,000,0.005
2016-05-02,0.005,0.005,0.005,0.005,6277600,0.005
2016-04-29,0.005,0.005,0.005,0.005,8471900,0.005
2016-04-28,0.005,0.005,0.005,0.005,000,0.005
2016-04-27,0.005,0.006,0.004,0.005,1960000,0.005
2016-04-26,0.005,0.005,0.004,0.0045,2824500,0.0045
2016-04-25,0.005,0.005,0.005,0.005,000,0.005
2016-04-22,0.005,0.005,0.005,0.005,400000,0.005
2016-04-21,0.006,0.006,0.005,0.006,855800,0.006
2016-04-20,0.005,0.005,0.005,0.005,166600,0.005
2016-04-19,0.006,0.006,0.005,0.006,4707200,0.006
2016-04-18,0.006,0.007,0.006,0.007,952300,0.007
2016-04-15,0.006,0.007,0.005,0.005,2246300,0.005
2016-04-14,0.007,0.007,0.005,0.006,1533400,0.006
2016-04-13,0.006,0.006,0.006,0.006,99000,0.006
2016-04-12,0.006,0.006,0.005,0.005,699000,0.005
2016-04-11,0.007,0.007,0.005,0.006,8374200,0.006
2016-04-08,0.008,0.008,0.008,0.008,000,0.008
2016-04-07,0.008,0.008,0.008,0.008,000,0.008
2016-04-06,0.007,0.008,0.007,0.008,3048100,0.008
2016-04-05,0.007,0.007,0.007,0.007,590100,0.007
2016-04-04,0.008,0.008,0.008,0.008,500000,0.008
2016-04-01,0.008,0.008,0.008,0.008,1131300,0.008
2016-03-31,0.008,0.008,0.008,0.008,1272300,0.008
2016-03-30,0.008,0.008,0.008,0.008,892000,0.008
2016-03-29,0.008,0.008,0.008,0.008,1854300,0.008
2016-03-28,0.008,0.008,0.008,0.008,000,0.008
2016-03-25,0.008,0.008,0.008,0.008,000,0.008
2016-03-24,0.009,0.009,0.008,0.008,558500,0.008
2016-03-23,0.009,0.009,0.009,0.009,1124300,0.009
2016-03-22,0.009,0.009,0.009,0.009,670000,0.009
