Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.20,0.23,0.20,0.23,1272900,0.23
2016-06-30,0.20,0.21,0.195,0.20,719400,0.20
2016-06-29,0.20,0.205,0.195,0.20,331000,0.20
2016-06-28,0.205,0.2125,0.20,0.20,1057800,0.20
2016-06-27,0.20,0.205,0.19,0.205,1187600,0.205
2016-06-24,0.195,0.195,0.185,0.19,695200,0.19
2016-06-23,0.20,0.202,0.195,0.195,890900,0.195
2016-06-22,0.205,0.205,0.20,0.20,112100,0.20
2016-06-21,0.205,0.2075,0.20,0.20,236400,0.20
2016-06-20,0.21,0.21,0.20,0.205,341000,0.205
2016-06-17,0.21,0.21,0.205,0.207,425100,0.207
2016-06-16,0.205,0.2075,0.20,0.205,1274200,0.205
2016-06-15,0.21,0.21,0.20,0.205,186000,0.205
2016-06-14,0.205,0.21,0.20,0.20,523300,0.20
2016-06-13,0.205,0.205,0.205,0.205,000,0.205
2016-06-10,0.21,0.21,0.205,0.205,335700,0.205
2016-06-09,0.205,0.21,0.20,0.20,126500,0.20
2016-06-08,0.20,0.205,0.195,0.205,463600,0.205
2016-06-07,0.20,0.20,0.195,0.20,181300,0.20
2016-06-06,0.20,0.2025,0.195,0.195,2541200,0.195
2016-06-03,0.20,0.205,0.195,0.195,1122400,0.195
2016-06-02,0.205,0.205,0.20,0.20,216700,0.20
2016-06-01,0.205,0.21,0.205,0.205,209900,0.205
2016-05-31,0.21,0.21,0.205,0.205,428600,0.205
2016-05-30,0.21,0.215,0.207,0.215,627700,0.215
2016-05-27,0.205,0.21,0.205,0.21,916900,0.21
2016-05-26,0.21,0.21,0.207,0.207,199200,0.207
2016-05-25,0.205,0.21,0.205,0.205,251200,0.205
2016-05-24,0.20,0.21,0.20,0.21,491600,0.21
2016-05-23,0.20,0.205,0.20,0.20,74200,0.20
2016-05-20,0.20,0.205,0.20,0.20,331900,0.20
2016-05-19,0.205,0.205,0.205,0.205,331600,0.205
2016-05-18,0.21,0.215,0.195,0.20,1018400,0.20
2016-05-17,0.21,0.21,0.205,0.21,448500,0.21
2016-05-16,0.205,0.212,0.205,0.21,1601500,0.21
2016-05-13,0.195,0.205,0.195,0.205,601900,0.205
2016-05-12,0.20,0.20,0.197,0.20,355500,0.20
2016-05-11,0.19,0.20,0.19,0.195,1214100,0.195
2016-05-10,0.19,0.195,0.19,0.19,3205600,0.19
2016-05-09,0.195,0.20,0.19,0.195,1283700,0.195
2016-05-06,0.205,0.21,0.19,0.19,2491100,0.19
2016-05-05,0.20,0.20,0.195,0.20,673500,0.20
2016-05-04,0.205,0.205,0.20,0.20,111300,0.20
2016-05-03,0.205,0.205,0.20,0.20,523500,0.20
2016-05-02,0.21,0.21,0.205,0.205,467100,0.205
2016-04-29,0.205,0.21,0.20,0.21,202700,0.21
2016-04-28,0.205,0.205,0.20,0.20,181000,0.20
2016-04-27,0.205,0.21,0.20,0.20,457900,0.20
2016-04-26,0.22,0.225,0.205,0.205,1070800,0.205
2016-04-25,0.217,0.217,0.217,0.217,000,0.217
2016-04-22,0.22,0.22,0.215,0.217,94500,0.217
2016-04-21,0.215,0.22,0.215,0.215,321000,0.215
2016-04-20,0.22,0.22,0.215,0.215,213300,0.215
2016-04-19,0.21,0.217,0.21,0.215,340200,0.215
2016-04-18,0.21,0.215,0.205,0.21,821300,0.21
2016-04-15,0.217,0.217,0.215,0.215,427000,0.215
2016-04-14,0.22,0.22,0.215,0.215,716700,0.215
2016-04-13,0.225,0.225,0.217,0.22,702400,0.22
2016-04-12,0.225,0.225,0.22,0.2225,178800,0.2225
2016-04-11,0.22,0.2225,0.215,0.215,234500,0.215
2016-04-08,0.22,0.225,0.22,0.22,267600,0.22
2016-04-07,0.22,0.225,0.22,0.22,418400,0.22
2016-04-06,0.225,0.225,0.215,0.215,222400,0.215
2016-04-05,0.22,0.225,0.22,0.225,232600,0.225
2016-04-04,0.22,0.225,0.22,0.2225,139800,0.2225
2016-04-01,0.215,0.225,0.215,0.22,134800,0.22
2016-03-31,0.215,0.22,0.21,0.21,200500,0.21
2016-03-30,0.22,0.225,0.215,0.215,182000,0.215
2016-03-29,0.22,0.225,0.215,0.215,314900,0.215
2016-03-28,0.22,0.22,0.22,0.22,000,0.22
2016-03-25,0.22,0.22,0.22,0.22,000,0.22
2016-03-24,0.205,0.22,0.205,0.22,283800,0.22
2016-03-23,0.21,0.212,0.205,0.205,405200,0.205
2016-03-22,0.22,0.23,0.20,0.20,1827300,0.20
2016-03-21,0.205,0.21,0.20,0.21,613000,0.21
2016-03-18,0.225,0.225,0.19,0.19,6562600,0.19
2016-03-17,0.23,0.23,0.21,0.22,801500,0.22
2016-03-16,0.245,0.245,0.21,0.22,1060800,0.22
2016-03-15,0.24,0.245,0.22,0.22,1806200,0.22
2016-03-14,0.23,0.23,0.23,0.23,000,0.23
2016-03-11,0.23,0.235,0.225,0.23,155800,0.23
2016-03-10,0.235,0.235,0.225,0.225,144500,0.225
2016-03-09,0.225,0.23,0.225,0.23,105100,0.23
2016-03-08,0.232,0.232,0.225,0.225,165100,0.225
2016-03-07,0.235,0.24,0.235,0.235,112000,0.235
2016-03-04,0.24,0.24,0.23,0.23,775000,0.23
2016-03-03,0.235,0.235,0.23,0.23,141500,0.23
2016-03-02,0.23,0.235,0.23,0.235,128700,0.235
2016-03-01,0.23,0.235,0.225,0.235,67300,0.235
2016-02-29,0.24,0.24,0.225,0.24,805200,0.24
2016-02-26,0.235,0.24,0.23,0.24,94200,0.24
2016-02-25,0.24,0.245,0.235,0.24,136000,0.24
2016-02-24,0.245,0.25,0.235,0.245,217300,0.245
2016-02-23,0.24,0.245,0.235,0.24,125200,0.24
2016-02-22,0.255,0.255,0.24,0.24,283600,0.24
2016-02-19,0.25,0.25,0.24,0.25,357000,0.25
2016-02-18,0.24,0.25,0.23,0.24,942900,0.24
2016-02-17,0.23,0.24,0.23,0.235,839000,0.235
2016-02-16,0.225,0.23,0.22,0.225,290800,0.225
2016-02-15,0.215,0.235,0.215,0.22,624400,0.22
2016-02-12,0.19,0.215,0.19,0.205,3327400,0.205
2016-02-11,0.19,0.19,0.185,0.185,1018800,0.185
2016-02-10,0.185,0.19,0.18,0.19,728500,0.19
2016-02-09,0.19,0.19,0.18,0.18,755500,0.18
2016-02-08,0.19,0.19,0.18,0.185,519500,0.185
2016-02-05,0.19,0.19,0.18,0.19,730000,0.19
2016-02-04,0.20,0.20,0.18,0.185,802400,0.185
2016-02-03,0.20,0.20,0.185,0.185,506500,0.185
2016-02-02,0.205,0.205,0.19,0.19,717900,0.19
2016-02-01,0.202,0.205,0.20,0.20,431200,0.20
2016-01-29,0.21,0.21,0.20,0.205,385300,0.205
