Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,5.02,5.16,4.97,5.00,1645700,5.00
2016-06-30,4.80,4.95,4.76,4.89,2387800,4.89
2016-06-29,4.84,4.94,4.80,4.83,1578800,4.83
2016-06-28,4.67,4.88,4.54,4.71,2827200,4.71
2016-06-27,4.87,4.98,4.83,4.84,1023200,4.84
2016-06-24,5.19,5.245,4.88,4.91,1763000,4.91
2016-06-23,5.18,5.19,5.05,5.15,1852300,5.15
2016-06-22,5.20,5.20,5.04,5.15,1930400,5.15
2016-06-21,5.20,5.27,5.16,5.26,1640300,5.26
2016-06-20,5.27,5.30,5.17,5.23,1507700,5.23
2016-06-17,5.28,5.31,5.21,5.30,2794900,5.30
2016-06-16,5.24,5.30,5.22,5.27,2848500,5.27
2016-06-15,5.21,5.29,5.16,5.23,1642900,5.23
2016-06-14,5.17,5.245,5.16,5.22,1851900,5.22
2016-06-13,5.26,5.26,5.26,5.26,000,5.26
2016-06-10,5.21,5.31,5.15,5.26,1570900,5.26
2016-06-09,5.20,5.41,5.15,5.26,2439600,5.26
2016-06-08,5.23,5.305,5.06,5.18,3824700,5.18
2016-06-07,5.15,5.31,5.09,5.30,3654500,5.22971
2016-06-06,5.05,5.18,4.90,5.13,3168900,5.06197
2016-06-03,5.05,5.15,4.93,5.03,8837600,4.96329
2016-06-02,5.20,5.375,5.07,5.15,11079800,5.0817
2016-06-01,4.05,4.05,4.05,4.05,000,3.99629
2016-05-31,3.94,4.12,3.80,4.05,7039600,3.99629
2016-05-30,4.52,4.53,3.86,4.17,4702500,4.1147
2016-05-27,4.46,4.52,4.37,4.49,1841900,4.43046
2016-05-26,4.30,4.465,4.18,4.44,1984600,4.38112
2016-05-25,4.26,4.33,4.16,4.27,1986000,4.21337
2016-05-24,4.23,4.24,4.15,4.18,1216100,4.12457
2016-05-23,4.34,4.34,4.09,4.23,2657000,4.1739
2016-05-20,4.22,4.32,4.20,4.23,1477500,4.1739
2016-05-19,4.32,4.35,4.14,4.21,1557600,4.15417
2016-05-18,4.30,4.35,4.21,4.25,1812500,4.19364
2016-05-17,4.22,4.37,4.14,4.35,2950100,4.29231
2016-05-16,4.26,4.31,4.17,4.22,2352600,4.16404
2016-05-13,4.37,4.37,4.23,4.24,1455000,4.18377
2016-05-12,4.42,4.43,4.28,4.34,1831900,4.28245
2016-05-11,4.39,4.445,4.28,4.38,1978700,4.32191
2016-05-10,4.50,4.50,4.23,4.31,2303600,4.25284
2016-05-09,4.54,4.54,4.41,4.49,1472600,4.43046
2016-05-06,4.50,4.55,4.40,4.53,1780900,4.46993
2016-05-05,4.50,4.58,4.39,4.58,3028500,4.51926
2016-05-04,4.92,4.94,4.46,4.48,2882900,4.42059
2016-05-03,4.90,4.97,4.80,4.96,2398200,4.89422
2016-05-02,4.70,4.89,4.62,4.86,1910000,4.79555
2016-04-29,4.59,4.72,4.57,4.68,1820100,4.61794
2016-04-28,4.65,4.65,4.57,4.64,2117100,4.57847
2016-04-27,4.63,4.73,4.60,4.64,2206400,4.57847
2016-04-26,4.68,4.75,4.64,4.69,2811800,4.6278
2016-04-25,4.78,4.78,4.78,4.78,000,4.71661
2016-04-22,5.00,5.00,4.76,4.78,2883500,4.71661
2016-04-21,4.77,5.02,4.72,5.01,3657200,4.94356
2016-04-20,4.64,4.92,4.60,4.69,3462300,4.6278
2016-04-19,4.40,4.58,4.34,4.54,2929400,4.47979
2016-04-18,4.33,4.42,4.25,4.32,1438500,4.26271
2016-04-15,4.27,4.42,4.27,4.38,1841700,4.32191
2016-04-14,4.05,4.25,3.98,4.24,2318700,4.18377
2016-04-13,3.94,4.05,3.94,4.01,1137600,3.95682
2016-04-12,3.88,4.00,3.84,3.93,1415200,3.87788
2016-04-11,3.75,3.91,3.75,3.91,1149100,3.85815
2016-04-08,3.81,3.85,3.77,3.79,1574700,3.73974
2016-04-07,3.87,3.96,3.83,3.87,1520400,3.81868
2016-04-06,3.74,3.88,3.74,3.88,1552400,3.82855
2016-04-05,3.95,3.95,3.72,3.76,1604300,3.71014
2016-04-04,3.99,4.02,3.94,3.96,1109000,3.90748
2016-04-01,3.99,4.05,3.95,3.99,4205500,3.93709
2016-03-31,4.01,4.03,3.945,3.99,1370600,3.93709
2016-03-30,4.00,4.07,3.94,3.97,1520800,3.91735
2016-03-29,4.02,4.06,3.93,3.97,1709000,3.91735
2016-03-28,4.02,4.02,4.02,4.02,000,3.96669
2016-03-25,4.02,4.02,4.02,4.02,000,3.96669
2016-03-24,4.00,4.02,3.95,4.02,2133000,3.96669
2016-03-23,4.10,4.10,3.99,4.03,1088500,3.97656
2016-03-22,4.14,4.15,4.06,4.13,1157000,4.07523
2016-03-21,4.00,4.14,3.96,4.13,1851600,4.07523
2016-03-18,4.30,4.36,4.065,4.11,6487400,4.0555
2016-03-17,4.15,4.31,4.15,4.25,3202800,4.19364
2016-03-16,4.28,4.28,4.18,4.18,1925100,4.12457
2016-03-15,4.15,4.46,4.15,4.33,2262000,4.27258
2016-03-14,4.31,4.36,4.10,4.21,1847500,4.15417
2016-03-11,4.37,4.38,4.15,4.35,2236000,4.29231
2016-03-10,4.40,4.40,4.23,4.38,1996600,4.32191
2016-03-09,4.15,4.33,4.09,4.33,2251600,4.27258
2016-03-08,4.46,4.60,4.20,4.26,4114500,4.20351
2016-03-07,4.34,4.49,4.34,4.44,4363100,4.38112
2016-03-04,4.14,4.39,4.10,4.31,2253800,4.25284
2016-03-03,4.06,4.155,4.015,4.10,2647100,4.04563
2016-03-02,4.08,4.10,3.98,4.07,2782100,4.01603
2016-03-01,3.78,4.32,3.75,3.95,5627600,3.89762
2016-02-29,3.61,3.78,3.38,3.72,1464000,3.67067
2016-02-26,3.76,3.76,3.57,3.61,1628200,3.56213
2016-02-25,3.72,3.81,3.70,3.75,1065500,3.70027
2016-02-24,3.74,3.74,3.57,3.66,1631600,3.61146
2016-02-23,3.66,3.77,3.66,3.75,1580700,3.70027
2016-02-22,3.53,3.68,3.50,3.64,1775400,3.59173
2016-02-19,3.55,3.57,3.48,3.53,1675400,3.48319
2016-02-18,3.54,3.58,3.49,3.57,2823000,3.52266
2016-02-17,3.48,3.51,3.42,3.43,2029200,3.38451
2016-02-16,3.37,3.465,3.34,3.43,2058500,3.38451
2016-02-15,3.25,3.34,3.22,3.32,2604700,3.27597
2016-02-12,3.31,3.33,3.18,3.20,4030000,3.15756
2016-02-11,3.39,3.42,3.31,3.40,1504400,3.35491
2016-02-10,3.43,3.44,3.305,3.39,2930900,3.34504
2016-02-09,3.37,3.45,3.29,3.43,3196900,3.38451
2016-02-08,3.35,3.54,3.35,3.50,3019000,3.45358
2016-02-05,3.39,3.44,3.31,3.40,3377600,3.35491
2016-02-04,3.30,3.44,3.25,3.39,2420600,3.34504
2016-02-03,3.38,3.41,3.17,3.25,3935300,3.2069
2016-02-02,3.35,3.42,3.28,3.39,2504800,3.34504
2016-02-01,3.41,3.43,3.30,3.35,3957700,3.30557
2016-01-29,3.33,3.505,2.93,3.31,13081100,3.2661
2016-01-28,3.66,3.66,3.50,3.51,1386800,3.46345
2016-01-27,3.60,3.75,3.60,3.66,5344100,3.61146
2016-01-26,3.68,3.68,3.68,3.68,000,3.6312
2016-01-25,3.63,3.70,3.55,3.68,2434200,3.6312
2016-01-22,3.49,3.62,3.43,3.50,2213000,3.45358
2016-01-21,3.56,3.56,3.37,3.42,2782200,3.37465
2016-01-20,3.55,3.58,3.40,3.43,1892300,3.38451
2016-01-19,3.59,3.62,3.50,3.55,3663600,3.50292
2016-01-18,3.63,3.64,3.48,3.56,2457100,3.51279
2016-01-15,3.81,3.865,3.68,3.69,7366900,3.64107
2016-01-14,3.67,3.76,3.58,3.71,2006600,3.6608
2016-01-13,3.80,3.84,3.70,3.74,3535900,3.6904
2016-01-12,3.74,3.84,3.72,3.79,2673900,3.73974
2016-01-11,3.55,3.76,3.435,3.75,4100400,3.70027
2016-01-08,3.49,3.72,3.40,3.58,3577600,3.53252
2016-01-07,3.71,3.73,3.38,3.46,3427200,3.41412
2016-01-06,3.70,3.74,3.65,3.71,2016800,3.6608
2016-01-05,3.79,3.83,3.59,3.70,2929200,3.65093
2016-01-04,3.77,3.915,3.77,3.84,2336400,3.78908
2016-01-01,3.77,3.77,3.77,3.77,000,3.72
2015-12-31,3.85,3.90,3.77,3.77,1155100,3.72
2015-12-30,3.94,3.94,3.82,3.86,1460100,3.80881
2015-12-29,3.65,3.86,3.65,3.78,1224200,3.72987
2015-12-28,3.66,3.66,3.66,3.66,000,3.61146
2015-12-25,3.66,3.66,3.66,3.66,000,3.61146
2015-12-24,3.68,3.71,3.62,3.66,1321500,3.61146
2015-12-23,3.63,3.75,3.55,3.64,1821800,3.59173
2015-12-22,3.40,3.57,3.38,3.52,3240000,3.47332
2015-12-21,3.40,3.46,3.35,3.40,4476100,3.35491
2015-12-18,3.51,3.57,3.42,3.43,5153500,3.38451
2015-12-17,3.72,3.72,3.48,3.50,5213900,3.45358
2015-12-16,3.62,3.68,3.57,3.68,4829300,3.6312
2015-12-15,3.63,3.70,3.49,3.51,4207100,3.46345
2015-12-14,3.63,3.77,3.60,3.63,5152200,3.58186
2015-12-11,3.57,3.67,3.56,3.65,8291000,3.6016
2015-12-10,3.58,3.60,3.50,3.52,4983500,3.47332
2015-12-09,3.60,3.66,3.46,3.57,5980700,3.52266
2015-12-08,3.76,3.80,3.57,3.57,4159300,3.52266
2015-12-07,3.90,3.90,3.77,3.80,2263300,3.74961
2015-12-04,3.93,3.96,3.74,3.88,3441500,3.82855
2015-12-03,3.77,4.16,3.73,3.99,5773600,3.93709
2015-12-02,3.75,3.84,3.70,3.78,6614800,3.64797
2015-12-01,3.74,3.75,3.57,3.68,11069400,3.55147
2015-11-30,3.60,3.78,3.53,3.71,8691800,3.58042
2015-11-27,4.52115,4.52115,4.52115,4.52115,000,4.36324
2015-11-26,4.52115,4.52115,4.52115,4.52115,000,4.36324
2015-11-25,4.66244,4.66244,4.42225,4.52115,2566400,4.36324
2015-11-24,4.74721,4.75663,4.59651,4.66244,2926000,4.49959
2015-11-23,4.76605,4.80373,4.70953,4.79431,1021500,4.62685
2015-11-20,4.8885,4.94501,4.76605,4.76605,1593900,4.59958
2015-11-19,4.76605,4.86024,4.68128,4.86024,1280800,4.69048
2015-11-18,4.50232,4.6907,4.47406,4.6907,1133100,4.52686
2015-11-17,4.68128,4.72837,4.41754,4.51173,2066600,4.35414
2015-11-16,4.56825,4.68128,4.56825,4.63418,1051400,4.47232
2015-11-13,4.72837,4.73779,4.56825,4.67186,1840800,4.50868
2015-11-12,4.74721,4.81314,4.68128,4.79431,2067400,4.62685
2015-11-11,4.68128,4.78489,4.6436,4.76605,1555100,4.59958
2015-11-10,4.85082,4.85082,4.65773,4.6907,2882400,4.52686
2015-11-09,5.00153,5.00153,4.81314,4.85082,1643700,4.68139
2015-11-06,4.97327,5.0392,4.89321,5.02036,1131500,4.84501
2015-11-05,5.20875,5.21816,4.9874,5.01094,1328600,4.83592
2015-11-04,5.13339,5.22758,5.07688,5.18049,3138300,4.99955
2015-11-03,4.96385,5.12397,4.96385,5.0863,1160100,4.90865
2015-11-02,4.86966,4.98269,4.86024,4.93559,1123900,4.7632
2015-10-30,4.78489,4.87908,4.77547,4.85082,862800,4.68139
2015-10-29,4.86024,4.93559,4.83198,4.85082,1223500,4.68139
2015-10-28,4.8414,4.86024,4.77547,4.80373,1113300,4.63595
2015-10-27,4.86966,4.89792,4.80373,4.82256,1281200,4.65412
2015-10-26,4.99211,4.99211,4.83198,4.86966,1182900,4.69957
2015-10-23,5.02036,5.06746,4.92617,4.94501,1543500,4.77229
2015-10-22,4.90734,5.02036,4.87908,4.93559,4921200,4.7632
2015-10-21,4.87908,4.98269,4.85082,4.94501,2123600,4.77229
2015-10-20,5.11455,5.16165,4.87908,4.89792,2341700,4.72685
2015-10-19,5.27468,5.29352,5.15223,5.18991,1502500,5.00864
2015-10-16,5.32177,5.4348,5.25584,5.29352,2080900,5.10863
2015-10-15,5.2841,5.33119,5.237,5.32177,1265900,5.13589
2015-10-14,5.26526,5.32177,5.16165,5.26526,3069700,5.08136
2015-10-13,5.39713,5.39713,5.27468,5.32177,3426900,5.13589
2015-10-12,5.18049,5.42538,5.18049,5.40655,3636700,5.21771
2015-10-09,5.16165,5.20875,5.0863,5.16165,1977500,4.98136
2015-10-08,5.10514,5.22758,5.02978,5.0392,2681300,4.86319
2015-10-07,4.71895,5.06746,4.71895,5.04862,2409500,4.87228
2015-10-06,4.71895,4.82256,4.61534,4.62476,1990200,4.46323
2015-10-05,4.58709,4.71895,4.58709,4.68128,718700,4.51777
2015-10-02,4.41754,4.59651,4.40812,4.58709,1767100,4.42687
2015-10-01,4.35161,4.43638,4.34219,4.42696,2181600,4.27234
2015-09-30,4.37045,4.42696,4.28568,4.33277,1491600,4.18144
2015-09-29,4.33277,4.38929,4.23858,4.36103,3425600,4.20871
2015-09-28,4.37045,4.47406,4.33277,4.46464,1661600,4.3087
2015-09-25,4.51173,4.53057,4.38929,4.39871,1474200,4.24507
2015-09-24,4.48348,4.52115,4.46464,4.4929,1095700,4.33597
2015-09-23,4.51173,4.54941,4.43638,4.47406,3536100,4.31779
2015-09-22,4.59651,4.61534,4.4929,4.53999,1736100,4.38142
2015-09-21,4.54941,4.56825,4.4458,4.50232,1231900,4.34506
2015-09-18,4.73779,4.75663,4.65302,4.65302,2310700,4.4905
2015-09-17,4.72837,4.86024,4.6907,4.73779,2745900,4.57231
2015-09-16,4.63418,4.68128,4.57767,4.59651,1594100,4.43596
2015-09-15,4.6907,4.75663,4.59651,4.6436,1940300,4.48141
2015-09-14,4.80373,4.80373,4.67186,4.70953,1024100,4.54504
2015-09-11,4.68128,4.75663,4.64831,4.70953,3199000,4.54504
2015-09-10,4.87908,4.93559,4.66244,4.67186,2214100,4.50868
2015-09-09,5.00153,5.0392,4.95443,5.01094,2638200,4.83592
2015-09-08,4.93559,5.03449,4.89792,4.94501,1295700,4.77229
2015-09-07,4.81314,4.94501,4.81314,4.93559,809300,4.7632
2015-09-04,4.93559,4.98269,4.82256,4.85082,1522800,4.68139
2015-09-03,4.90734,5.02978,4.89321,5.02036,1260700,4.84501
2015-09-02,4.67186,4.90734,4.66244,4.90734,1996600,4.73594
2015-09-01,4.8885,4.94501,4.73779,4.75663,1656800,4.59049
2015-08-31,4.98269,5.05804,4.91675,4.96385,1890500,4.79047
2015-08-28,4.68128,5.11455,4.68128,5.0863,3246600,4.90865
2015-08-27,4.59651,4.65302,4.57767,4.63418,1676100,4.47232
2015-08-26,4.35161,4.57767,4.35161,4.54941,2748300,4.39051
2015-08-25,4.248,4.54941,4.23858,4.4929,3268300,4.33597
2015-08-24,4.37045,4.40812,4.31393,4.33277,2221100,4.18144
2015-08-21,4.43638,4.4929,4.36103,4.4929,3746400,4.33597
2015-08-20,4.47406,4.53057,4.46464,4.50232,2236300,4.34506
2015-08-19,4.48348,4.51173,4.47406,4.51173,1372300,4.35414
2015-08-18,4.50232,4.53999,4.45522,4.47406,2179600,4.31779
2015-08-17,4.61534,4.70012,4.47406,4.48348,1342500,4.32688
2015-08-14,4.70953,4.73779,4.58709,4.59651,2257200,4.43596
2015-08-13,4.67186,4.73779,4.65302,4.70012,2979500,4.53595
2015-08-12,4.76605,4.79431,4.67186,4.70953,4451000,4.54504
2015-08-11,4.81314,4.8414,4.76605,4.79431,2108800,4.62685
