Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.005,0.005,0.005,0.005,000,0.005
2016-06-30,0.006,0.006,0.005,0.005,1031000,0.005
2016-06-29,0.006,0.006,0.006,0.006,166600,0.006
2016-06-28,0.006,0.006,0.006,0.006,122400,0.006
2016-06-27,0.006,0.006,0.006,0.006,1818500,0.006
2016-06-24,0.006,0.006,0.006,0.006,822500,0.006
2016-06-23,0.006,0.006,0.006,0.006,123900,0.006
2016-06-22,0.006,0.006,0.006,0.006,340100,0.006
2016-06-21,0.006,0.006,0.006,0.006,1031100,0.006
2016-06-20,0.007,0.007,0.006,0.006,1880600,0.006
2016-06-17,0.007,0.007,0.006,0.006,1114600,0.006
2016-06-16,0.006,0.007,0.006,0.007,7357600,0.007
2016-06-15,0.007,0.007,0.007,0.007,2267400,0.007
2016-06-14,0.008,0.008,0.008,0.008,772500,0.008
2016-06-13,0.008,0.008,0.008,0.008,000,0.008
2016-06-10,0.009,0.009,0.008,0.008,882500,0.008
2016-06-09,0.008,0.008,0.008,0.008,2277600,0.008
2016-06-08,0.008,0.008,0.008,0.008,200000,0.008
2016-06-07,0.008,0.009,0.008,0.009,1382100,0.009
2016-06-06,0.008,0.009,0.008,0.008,1956000,0.008
2016-06-03,0.008,0.009,0.007,0.009,7271500,0.009
2016-06-02,0.006,0.007,0.006,0.007,1629300,0.007
2016-06-01,0.007,0.007,0.007,0.007,915600,0.007
2016-05-31,0.007,0.007,0.006,0.006,1298700,0.006
2016-05-30,0.006,0.006,0.006,0.006,000,0.006
2016-05-27,0.006,0.006,0.006,0.006,692700,0.006
2016-05-26,0.006,0.006,0.006,0.006,476500,0.006
2016-05-25,0.006,0.006,0.006,0.006,1000,0.006
2016-05-24,0.007,0.007,0.007,0.007,100000,0.007
2016-05-23,0.005,0.007,0.005,0.007,6147400,0.007
2016-05-20,0.006,0.006,0.006,0.006,000,0.006
2016-05-19,0.006,0.006,0.005,0.006,3178500,0.006
2016-05-18,0.006,0.006,0.006,0.006,20900,0.006
2016-05-17,0.006,0.006,0.006,0.006,000,0.006
2016-05-16,0.006,0.006,0.006,0.006,200000,0.006
2016-05-13,0.006,0.006,0.006,0.006,000,0.006
2016-05-12,0.006,0.006,0.006,0.006,764500,0.006
2016-05-11,0.008,0.008,0.007,0.007,2536500,0.007
2016-05-10,0.008,0.008,0.008,0.008,3400000,0.008
2016-05-09,0.008,0.008,0.007,0.008,5959800,0.008
2016-05-06,0.007,0.008,0.007,0.008,13023000,0.008
2016-05-05,0.007,0.007,0.007,0.007,000,0.007
2016-05-04,0.006,0.007,0.006,0.007,200000,0.007
2016-05-03,0.007,0.007,0.006,0.007,6095500,0.007
2016-05-02,0.006,0.008,0.006,0.007,7376100,0.007
2016-04-29,0.006,0.007,0.005,0.007,13442000,0.007
2016-04-28,0.006,0.006,0.006,0.006,1230800,0.006
2016-04-27,0.005,0.006,0.005,0.006,1865100,0.006
2016-04-26,0.006,0.006,0.005,0.006,10287200,0.006
2016-04-25,0.006,0.006,0.006,0.006,000,0.006
2016-04-22,0.004,0.007,0.004,0.006,20972000,0.006
2016-04-21,0.003,0.003,0.003,0.003,5853100,0.003
2016-04-20,0.003,0.003,0.003,0.003,797000,0.003
2016-04-19,0.002,0.002,0.002,0.002,2000,0.002
2016-04-18,0.003,0.003,0.003,0.003,200000,0.003
2016-04-15,0.003,0.003,0.003,0.003,729300,0.003
2016-04-14,0.002,0.002,0.002,0.002,000,0.002
2016-04-13,0.002,0.002,0.002,0.002,20000,0.002
2016-04-12,0.003,0.003,0.003,0.003,000,0.003
2016-04-11,0.003,0.003,0.003,0.003,319600,0.003
2016-04-08,0.003,0.003,0.003,0.003,11495200,0.003
2016-04-07,0.003,0.003,0.003,0.003,617600,0.003
2016-04-06,0.003,0.003,0.003,0.003,000,0.003
2016-04-05,0.003,0.003,0.003,0.003,392100,0.003
2016-04-04,0.003,0.003,0.003,0.003,200000,0.003
2016-04-01,0.003,0.003,0.003,0.003,000,0.003
2016-03-31,0.003,0.003,0.003,0.003,235000,0.003
2016-03-30,0.002,0.002,0.002,0.002,146500,0.002
2016-03-29,0.003,0.003,0.002,0.002,1291300,0.002
2016-03-28,0.002,0.002,0.002,0.002,000,0.002
2016-03-25,0.002,0.002,0.002,0.002,000,0.002
2016-03-24,0.002,0.002,0.002,0.002,000,0.002
2016-03-23,0.002,0.002,0.002,0.002,737500,0.002
2016-03-22,0.003,0.003,0.003,0.003,000,0.003
2016-03-21,0.003,0.003,0.003,0.003,634800,0.003
2016-03-18,0.003,0.003,0.003,0.003,2018600,0.003
2016-03-17,0.003,0.003,0.003,0.003,5165500,0.003
2016-03-16,0.003,0.003,0.003,0.003,143500,0.003
2016-03-15,0.003,0.003,0.003,0.003,000,0.003
2016-03-14,0.003,0.003,0.003,0.003,168500,0.003
2016-03-11,0.004,0.004,0.004,0.004,000,0.004
2016-03-10,0.004,0.004,0.004,0.004,000,0.004
2016-03-09,0.004,0.004,0.004,0.004,000,0.004
2016-03-08,0.004,0.004,0.004,0.004,000,0.004
2016-03-07,0.004,0.004,0.004,0.004,000,0.004
2016-03-04,0.004,0.004,0.004,0.004,189900,0.004
2016-03-03,0.003,0.003,0.003,0.003,000,0.003
2016-03-02,0.003,0.003,0.003,0.003,000,0.003
2016-03-01,0.003,0.003,0.003,0.003,000,0.003
2016-02-29,0.003,0.003,0.003,0.003,10800,0.003
2016-02-26,0.003,0.003,0.003,0.003,000,0.003
2016-02-25,0.003,0.003,0.003,0.003,000,0.003
2016-02-24,0.003,0.003,0.003,0.003,28100,0.003
2016-02-23,0.003,0.003,0.003,0.003,705800,0.003
2016-02-22,0.003,0.004,0.003,0.004,362500,0.004
