Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.024,0.025,0.024,0.025,715200,0.025
2016-06-30,0.025,0.025,0.024,0.024,669400,0.024
2016-06-29,0.027,0.027,0.025,0.025,1331100,0.025
2016-06-28,0.025,0.027,0.024,0.027,1070900,0.027
2016-06-27,0.026,0.026,0.024,0.024,1318400,0.024
2016-06-24,0.026,0.026,0.023,0.025,2830400,0.025
2016-06-23,0.026,0.027,0.025,0.025,729500,0.025
2016-06-22,0.025,0.027,0.025,0.025,824500,0.025
2016-06-21,0.023,0.027,0.023,0.024,1735100,0.024
2016-06-20,0.024,0.027,0.023,0.023,964700,0.023
2016-06-17,0.022,0.026,0.022,0.025,2196000,0.025
2016-06-16,0.022,0.026,0.021,0.021,4585200,0.021
2016-06-15,0.013,0.021,0.013,0.021,18283000,0.021
2016-06-14,0.013,0.014,0.013,0.014,1641900,0.014
2016-06-13,0.013,0.013,0.013,0.013,000,0.013
2016-06-10,0.014,0.014,0.013,0.013,291600,0.013
2016-06-09,0.013,0.013,0.013,0.013,1177500,0.013
2016-06-08,0.014,0.014,0.014,0.014,100000,0.014
2016-06-07,0.014,0.014,0.014,0.014,600000,0.014
2016-06-06,0.014,0.014,0.014,0.014,632700,0.014
2016-06-03,0.013,0.013,0.013,0.013,1261300,0.013
2016-06-02,0.013,0.014,0.013,0.014,82300,0.014
2016-06-01,0.013,0.013,0.013,0.013,25000,0.013
2016-05-31,0.014,0.014,0.014,0.014,400000,0.014
2016-05-30,0.014,0.014,0.014,0.014,126300,0.014
2016-05-27,0.013,0.013,0.013,0.013,217300,0.013
2016-05-26,0.014,0.014,0.013,0.013,785900,0.013
2016-05-25,0.015,0.016,0.015,0.015,655400,0.015
2016-05-24,0.014,0.016,0.014,0.015,3680800,0.015
2016-05-23,0.014,0.014,0.014,0.014,500000,0.014
2016-05-20,0.014,0.015,0.014,0.015,989300,0.015
2016-05-19,0.013,0.013,0.013,0.013,9300,0.013
2016-05-18,0.013,0.014,0.013,0.013,1738500,0.013
2016-05-17,0.012,0.012,0.012,0.012,000,0.012
2016-05-16,0.012,0.012,0.012,0.012,000,0.012
2016-05-13,0.012,0.012,0.012,0.012,000,0.012
2016-05-12,0.012,0.012,0.012,0.012,000,0.012
2016-05-11,0.013,0.013,0.012,0.012,174100,0.012
2016-05-10,0.014,0.014,0.013,0.013,830700,0.013
2016-05-09,0.014,0.014,0.014,0.014,191300,0.014
2016-05-06,0.015,0.015,0.015,0.015,150000,0.015
2016-05-05,0.014,0.014,0.014,0.014,000,0.014
2016-05-04,0.015,0.015,0.014,0.014,163700,0.014
2016-05-03,0.015,0.015,0.015,0.015,50000,0.015
2016-05-02,0.013,0.013,0.013,0.013,000,0.013
2016-04-29,0.013,0.013,0.013,0.013,000,0.013
2016-04-28,0.014,0.014,0.013,0.013,750000,0.013
2016-04-27,0.014,0.014,0.014,0.014,139000,0.014
2016-04-26,0.013,0.013,0.013,0.013,5000,0.013
2016-04-25,0.014,0.014,0.014,0.014,000,0.014
2016-04-22,0.014,0.014,0.014,0.014,397300,0.014
2016-04-21,0.014,0.014,0.014,0.014,000,0.014
2016-04-20,0.014,0.014,0.014,0.014,5700,0.014
2016-04-19,0.014,0.014,0.014,0.014,180000,0.014
2016-04-18,0.014,0.014,0.014,0.014,900,0.014
2016-04-15,0.014,0.014,0.014,0.014,000,0.014
2016-04-14,0.014,0.014,0.014,0.014,20000,0.014
2016-04-13,0.014,0.014,0.014,0.014,136000,0.014
2016-04-12,0.015,0.015,0.014,0.014,512700,0.014
2016-04-11,0.014,0.014,0.014,0.014,600000,0.014
2016-04-08,0.014,0.014,0.014,0.014,344600,0.014
2016-04-07,0.014,0.014,0.014,0.014,000,0.014
2016-04-06,0.014,0.014,0.014,0.014,000,0.014
2016-04-05,0.015,0.015,0.014,0.014,470200,0.014
2016-04-04,0.015,0.015,0.015,0.015,000,0.015
2016-04-01,0.015,0.015,0.015,0.015,481200,0.015
2016-03-31,0.014,0.015,0.014,0.015,352900,0.015
2016-03-30,0.015,0.015,0.015,0.015,351600,0.015
2016-03-29,0.016,0.016,0.016,0.016,111600,0.016
2016-03-28,0.016,0.016,0.016,0.016,000,0.016
2016-03-25,0.016,0.016,0.016,0.016,000,0.016
2016-03-24,0.015,0.016,0.015,0.016,416700,0.016
2016-03-23,0.017,0.017,0.017,0.017,000,0.017
2016-03-22,0.017,0.017,0.017,0.017,000,0.017
2016-03-21,0.017,0.017,0.017,0.017,000,0.017
2016-03-18,0.017,0.017,0.016,0.017,441000,0.017
2016-03-17,0.017,0.017,0.017,0.017,000,0.017
2016-03-16,0.017,0.017,0.017,0.017,000,0.017
2016-03-15,0.017,0.017,0.017,0.017,85300,0.017
2016-03-14,0.018,0.018,0.018,0.018,150000,0.018
2016-03-11,0.017,0.017,0.017,0.017,201100,0.017
2016-03-10,0.017,0.017,0.017,0.017,4900,0.017
2016-03-09,0.018,0.018,0.018,0.018,93400,0.018
2016-03-08,0.019,0.019,0.018,0.018,439400,0.018
2016-03-07,0.019,0.019,0.019,0.019,000,0.019
2016-03-04,0.019,0.019,0.019,0.019,396000,0.019
2016-03-03,0.018,0.018,0.018,0.018,74100,0.018
2016-03-02,0.018,0.018,0.018,0.018,000,0.018
2016-03-01,0.018,0.019,0.017,0.018,1100500,0.018
2016-02-29,0.02,0.02,0.02,0.02,000,0.02
2016-02-26,0.02,0.02,0.02,0.02,000,0.02
2016-02-25,0.02,0.02,0.02,0.02,000,0.02
2016-02-24,0.02,0.02,0.02,0.02,000,0.02
2016-02-23,0.02,0.02,0.02,0.02,000,0.02
2016-02-22,0.02,0.02,0.02,0.02,143000,0.02
2016-02-19,0.02,0.023,0.02,0.023,350000,0.023
2016-02-18,0.024,0.024,0.024,0.024,000,0.024
2016-02-17,0.02,0.024,0.02,0.024,300000,0.024
2016-02-16,0.023,0.023,0.023,0.023,000,0.023
2016-02-15,0.023,0.023,0.023,0.023,128900,0.023
2016-02-12,0.021,0.023,0.021,0.023,15100,0.023
2016-02-11,0.021,0.021,0.021,0.021,100000,0.021
2016-02-10,0.021,0.021,0.021,0.021,150000,0.021
2016-02-09,0.019,0.019,0.019,0.019,48500,0.019
2016-02-08,0.019,0.019,0.019,0.019,000,0.019
2016-02-05,0.019,0.019,0.019,0.019,51400,0.019
2016-02-04,0.022,0.022,0.022,0.022,000,0.022
2016-02-03,0.022,0.022,0.022,0.022,150000,0.022
2016-02-02,0.022,0.022,0.022,0.022,000,0.022
2016-02-01,0.023,0.023,0.022,0.022,95800,0.022
2016-01-29,0.019,0.02,0.016,0.02,533700,0.02
2016-01-28,0.015,0.015,0.015,0.015,000,0.015
2016-01-27,0.015,0.015,0.015,0.015,000,0.015
2016-01-26,0.015,0.015,0.015,0.015,000,0.015
2016-01-25,0.015,0.015,0.015,0.015,000,0.015
2016-01-22,0.015,0.015,0.015,0.015,000,0.015
2016-01-21,0.015,0.015,0.015,0.015,000,0.015
2016-01-20,0.016,0.016,0.015,0.015,133700,0.015
2016-01-19,0.015,0.015,0.015,0.015,000,0.015
2016-01-18,0.015,0.015,0.015,0.015,625000,0.015
2016-01-15,0.016,0.016,0.016,0.016,000,0.016
2016-01-14,0.016,0.016,0.016,0.016,000,0.016
2016-01-13,0.016,0.016,0.016,0.016,000,0.016
2016-01-12,0.016,0.016,0.016,0.016,142200,0.016
2016-01-11,0.014,0.014,0.014,0.014,000,0.014
2016-01-08,0.014,0.014,0.014,0.014,20000,0.014
2016-01-07,0.016,0.016,0.016,0.016,000,0.016
2016-01-06,0.016,0.016,0.016,0.016,000,0.016
2016-01-05,0.016,0.016,0.016,0.016,000,0.016
2016-01-04,0.016,0.016,0.016,0.016,70000,0.016
2016-01-01,0.014,0.014,0.014,0.014,000,0.014
2015-12-31,0.014,0.014,0.014,0.014,000,0.014
2015-12-30,0.014,0.014,0.014,0.014,000,0.014
