Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.96,0.97,0.95,0.96,80800,0.96
2016-06-30,0.93,0.96,0.93,0.96,9800,0.96
2016-06-29,0.96,0.96,0.96,0.96,000,0.96
2016-06-28,0.96,0.96,0.96,0.96,000,0.96
2016-06-27,0.96,0.96,0.96,0.96,000,0.96
2016-06-24,0.96,0.96,0.96,0.96,000,0.96
2016-06-23,0.96,0.96,0.96,0.96,000,0.96
2016-06-22,0.925,0.935,0.92,0.935,124900,0.935
2016-06-21,0.93,0.935,0.93,0.93,110600,0.93
2016-06-20,0.925,0.94,0.925,0.94,145100,0.94
2016-06-17,0.925,0.925,0.925,0.925,800,0.925
2016-06-16,0.93,0.93,0.92,0.92,97100,0.92
2016-06-15,0.96,0.96,0.96,0.96,000,0.96
2016-06-14,0.96,0.96,0.96,0.96,000,0.96
2016-06-13,0.96,0.96,0.96,0.96,000,0.96
2016-06-10,0.94,0.945,0.94,0.945,88400,0.945
2016-06-09,0.96,0.96,0.96,0.96,000,0.96
2016-06-08,0.96,0.96,0.96,0.96,000,0.96
2016-06-07,0.96,0.96,0.96,0.96,000,0.96
2016-06-06,0.96,0.96,0.96,0.96,000,0.96
2016-06-03,0.96,0.96,0.96,0.96,000,0.96
2016-06-02,0.93,0.94,0.93,0.94,326100,0.94
2016-06-01,0.94,0.95,0.94,0.94,67600,0.94
2016-05-31,0.94,0.945,0.935,0.94,210100,0.94
2016-05-30,0.94,0.945,0.94,0.945,36800,0.945
2016-05-27,0.94,0.94,0.93,0.935,33700,0.935
2016-05-26,0.92,0.92,0.92,0.92,000,0.92
2016-05-25,0.925,0.935,0.925,0.935,97300,0.935
2016-05-24,0.93,0.93,0.93,0.93,27900,0.93
2016-05-23,0.93,0.93,0.92,0.925,135000,0.925
2016-05-20,0.93,0.935,0.93,0.93,42900,0.93
2016-05-19,0.935,0.935,0.93,0.93,55200,0.93
2016-05-18,0.925,0.93,0.925,0.93,58100,0.93
2016-05-17,0.92,0.925,0.92,0.925,128200,0.925
2016-05-16,0.925,0.93,0.925,0.925,55000,0.925
2016-05-13,0.925,0.925,0.925,0.925,71500,0.925
2016-05-12,0.925,0.925,0.92,0.92,23800,0.92
2016-05-11,0.92,0.925,0.92,0.92,65800,0.92
2016-05-10,0.91,0.92,0.91,0.92,39200,0.92
2016-05-09,0.915,0.915,0.91,0.91,108800,0.91
2016-05-06,0.905,0.92,0.905,0.92,105900,0.92
2016-05-05,0.92,0.92,0.92,0.92,000,0.92
2016-05-04,0.92,0.92,0.92,0.92,1000,0.92
2016-05-03,0.90,0.915,0.90,0.915,33600,0.915
2016-05-02,0.91,0.91,0.895,0.90,93100,0.90
2016-04-29,0.91,0.91,0.91,0.91,44100,0.91
2016-04-28,0.905,0.92,0.905,0.905,55400,0.905
2016-04-27,0.905,0.905,0.905,0.905,2300,0.905
2016-04-26,0.90,0.90,0.90,0.90,000,0.90
2016-04-25,0.90,0.90,0.90,0.90,000,0.90
2016-04-22,0.91,0.915,0.90,0.915,42200,0.915
2016-04-21,0.905,0.91,0.90,0.91,84200,0.91
2016-04-20,0.91,0.91,0.90,0.905,47000,0.905
2016-04-19,0.915,0.915,0.90,0.90,42400,0.90
2016-04-18,0.90,0.90,0.90,0.90,000,0.90
2016-04-15,0.905,0.91,0.90,0.90,50200,0.90
2016-04-14,0.905,0.905,0.905,0.905,4200,0.905
2016-04-13,0.90,0.905,0.90,0.905,13900,0.905
2016-04-12,0.90,0.90,0.90,0.90,83300,0.90
2016-04-11,0.88,0.90,0.87,0.90,40400,0.90
2016-04-08,0.895,0.895,0.88,0.88,19800,0.88
2016-04-07,0.895,0.895,0.895,0.895,34200,0.895
2016-04-06,0.89,0.895,0.89,0.895,2800,0.895
2016-04-05,0.88,0.89,0.87,0.88,75100,0.88
2016-04-04,0.89,0.89,0.87,0.87,27600,0.87
2016-04-01,0.89,0.89,0.885,0.885,19800,0.885
2016-03-31,0.90,0.90,0.88,0.89,173800,0.89
2016-03-30,0.89,0.905,0.89,0.905,184200,0.905
2016-03-29,0.915,0.915,0.905,0.905,18800,0.905
