Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.135,0.135,0.135,0.135,30000,0.135
2016-06-30,0.135,0.14,0.135,0.135,315000,0.135
2016-06-29,0.13,0.135,0.13,0.13,196300,0.13
2016-06-28,0.12,0.135,0.12,0.13,859000,0.13
2016-06-27,0.13,0.14,0.12,0.12,532000,0.12
2016-06-24,0.12,0.13,0.115,0.13,134700,0.13
2016-06-23,0.12,0.125,0.115,0.115,122000,0.115
2016-06-22,0.125,0.13,0.115,0.115,453900,0.115
2016-06-21,0.12,0.13,0.12,0.125,210900,0.125
2016-06-20,0.125,0.125,0.125,0.125,255300,0.125
2016-06-17,0.125,0.125,0.125,0.125,43600,0.125
2016-06-16,0.12,0.13,0.12,0.13,437600,0.13
2016-06-15,0.135,0.135,0.12,0.12,512900,0.12
2016-06-14,0.14,0.14,0.135,0.135,351900,0.135
2016-06-13,0.145,0.145,0.145,0.145,000,0.145
2016-06-10,0.145,0.145,0.14,0.145,165800,0.145
2016-06-09,0.135,0.145,0.135,0.145,635200,0.145
2016-06-08,0.14,0.145,0.13,0.13,135100,0.13
2016-06-07,0.14,0.145,0.14,0.14,861200,0.14
2016-06-06,0.145,0.15,0.135,0.14,771100,0.14
2016-06-03,0.14,0.14,0.135,0.135,353800,0.135
2016-06-02,0.145,0.145,0.135,0.14,402600,0.14
2016-06-01,0.14,0.145,0.14,0.145,821100,0.145
2016-05-31,0.135,0.14,0.13,0.13,656900,0.13
2016-05-30,0.13,0.13,0.12,0.13,259500,0.13
2016-05-27,0.13,0.14,0.12,0.125,1368500,0.125
2016-05-26,0.115,0.125,0.115,0.125,148400,0.125
2016-05-25,0.11,0.115,0.11,0.11,192100,0.11
2016-05-24,0.115,0.115,0.11,0.115,847100,0.115
2016-05-23,0.12,0.12,0.115,0.115,70000,0.115
2016-05-20,0.115,0.125,0.115,0.125,740300,0.125
2016-05-19,0.125,0.125,0.11,0.115,470500,0.115
2016-05-18,0.135,0.135,0.125,0.125,694200,0.125
2016-05-17,0.135,0.145,0.135,0.14,1127000,0.14
2016-05-16,0.14,0.14,0.13,0.13,539900,0.13
2016-05-13,0.115,0.14,0.115,0.14,2132100,0.14
2016-05-12,0.094,0.12,0.094,0.105,2233000,0.105
2016-05-11,0.09,0.097,0.09,0.095,847000,0.095
2016-05-10,0.095,0.095,0.09,0.09,1290000,0.09
2016-05-09,0.086,0.105,0.086,0.098,4386700,0.098
2016-05-06,0.082,0.085,0.081,0.085,187300,0.085
2016-05-05,0.079,0.081,0.078,0.081,1096600,0.081
2016-05-04,0.079,0.079,0.077,0.077,415500,0.077
2016-05-03,0.08,0.087,0.08,0.081,1765500,0.081
2016-05-02,0.082,0.082,0.079,0.079,460200,0.079
2016-04-29,0.08,0.082,0.079,0.079,464000,0.079
2016-04-28,0.08,0.08,0.08,0.08,000,0.08
2016-04-27,0.08,0.08,0.074,0.08,170300,0.08
2016-04-26,0.077,0.077,0.077,0.077,75000,0.077
2016-04-25,0.079,0.079,0.079,0.079,000,0.079
2016-04-22,0.078,0.079,0.078,0.079,332700,0.079
2016-04-21,0.078,0.079,0.076,0.076,153800,0.076
2016-04-20,0.076,0.079,0.074,0.079,450500,0.079
2016-04-19,0.076,0.077,0.074,0.077,194500,0.077
2016-04-18,0.08,0.08,0.077,0.078,489800,0.078
2016-04-15,0.08,0.08,0.074,0.08,165000,0.08
2016-04-14,0.062,0.076,0.062,0.076,563600,0.076
2016-04-13,0.061,0.067,0.061,0.061,181600,0.061
2016-04-12,0.065,0.066,0.065,0.065,87000,0.065
2016-04-11,0.066,0.066,0.063,0.063,187000,0.063
2016-04-08,0.062,0.066,0.062,0.066,234300,0.066
2016-04-07,0.063,0.064,0.061,0.062,240600,0.062
2016-04-06,0.068,0.068,0.067,0.067,190600,0.067
2016-04-05,0.073,0.073,0.068,0.068,140200,0.068
2016-04-04,0.071,0.078,0.068,0.073,186900,0.073
2016-04-01,0.07,0.071,0.07,0.071,40000,0.071
2016-03-31,0.068,0.068,0.068,0.068,31500,0.068
2016-03-30,0.068,0.071,0.068,0.071,87000,0.071
2016-03-29,0.069,0.071,0.066,0.067,311200,0.067
2016-03-28,0.065,0.065,0.065,0.065,000,0.065
2016-03-25,0.065,0.065,0.065,0.065,000,0.065
2016-03-24,0.065,0.065,0.062,0.065,320200,0.065
2016-03-23,0.068,0.068,0.067,0.067,114900,0.067
2016-03-22,0.068,0.068,0.067,0.067,116500,0.067
2016-03-21,0.071,0.071,0.068,0.069,638400,0.069
2016-03-18,0.082,0.082,0.073,0.073,363200,0.073
2016-03-17,0.08,0.08,0.08,0.08,000,0.08
2016-03-16,0.079,0.082,0.079,0.08,897600,0.08
2016-03-15,0.08,0.082,0.078,0.078,623500,0.078
2016-03-14,0.082,0.082,0.082,0.082,000,0.082
2016-03-11,0.08,0.082,0.08,0.082,652300,0.082
2016-03-10,0.08,0.08,0.077,0.08,1135800,0.08
2016-03-09,0.071,0.08,0.071,0.08,1513900,0.08
2016-03-08,0.068,0.075,0.068,0.071,363600,0.071
2016-03-07,0.065,0.067,0.064,0.067,237500,0.067
2016-03-04,0.062,0.065,0.061,0.065,548600,0.065
2016-03-03,0.059,0.063,0.059,0.063,1000700,0.063
2016-03-02,0.059,0.06,0.057,0.059,205900,0.059
2016-03-01,0.06,0.06,0.057,0.057,40100,0.057
2016-02-29,0.057,0.06,0.057,0.06,24800,0.06
2016-02-26,0.06,0.06,0.06,0.06,000,0.06
2016-02-25,0.059,0.06,0.056,0.06,466800,0.06
2016-02-24,0.061,0.061,0.056,0.057,725900,0.057
2016-02-23,0.062,0.063,0.062,0.062,495000,0.062
2016-02-22,0.06,0.06,0.06,0.06,7500,0.06
2016-02-19,0.068,0.068,0.063,0.068,60000,0.068
2016-02-18,0.07,0.07,0.055,0.063,885500,0.063
2016-02-17,0.064,0.064,0.064,0.064,000,0.064
2016-02-16,0.066,0.067,0.06,0.064,397000,0.064
2016-02-15,0.07,0.073,0.066,0.066,277400,0.066
2016-02-12,0.073,0.074,0.073,0.074,110300,0.074
2016-02-11,0.072,0.076,0.068,0.073,206300,0.073
2016-02-10,0.074,0.076,0.071,0.074,1112000,0.074
2016-02-09,0.073,0.087,0.07,0.074,2562500,0.074
2016-02-08,0.065,0.071,0.065,0.071,1549200,0.071
2016-02-05,0.064,0.065,0.061,0.061,506500,0.061
2016-02-04,0.06,0.065,0.06,0.06,279100,0.06
2016-02-03,0.055,0.065,0.055,0.059,1002700,0.059
2016-02-02,0.056,0.057,0.055,0.055,358300,0.055
2016-02-01,0.052,0.055,0.052,0.055,252000,0.055
2016-01-29,0.05,0.052,0.05,0.052,725800,0.052
2016-01-28,0.05,0.052,0.05,0.052,220700,0.052
2016-01-27,0.049,0.052,0.049,0.049,264000,0.049
2016-01-26,0.052,0.052,0.052,0.052,000,0.052
2016-01-25,0.049,0.052,0.049,0.052,403800,0.052
2016-01-22,0.057,0.059,0.049,0.05,1349600,0.05
2016-01-21,0.043,0.056,0.043,0.055,1779000,0.055
2016-01-20,0.043,0.044,0.043,0.044,64300,0.044
2016-01-19,0.042,0.042,0.042,0.042,000,0.042
2016-01-18,0.044,0.044,0.042,0.042,90300,0.042
2016-01-15,0.045,0.045,0.045,0.045,76500,0.045
2016-01-14,0.046,0.046,0.046,0.046,6700,0.046
2016-01-13,0.046,0.046,0.046,0.046,47800,0.046
2016-01-12,0.046,0.046,0.046,0.046,000,0.046
2016-01-11,0.048,0.048,0.046,0.046,55000,0.046
2016-01-08,0.048,0.05,0.048,0.048,434500,0.048
2016-01-07,0.048,0.048,0.048,0.048,000,0.048
2016-01-06,0.048,0.048,0.048,0.048,000,0.048
2016-01-05,0.048,0.048,0.048,0.048,19800,0.048
2016-01-04,0.048,0.051,0.048,0.048,49800,0.048
2016-01-01,0.047,0.047,0.047,0.047,000,0.047
2015-12-31,0.047,0.047,0.047,0.047,000,0.047
2015-12-30,0.047,0.047,0.047,0.047,45000,0.047
2015-12-29,0.046,0.046,0.046,0.046,000,0.046
2015-12-28,0.046,0.046,0.046,0.046,000,0.046
2015-12-25,0.046,0.046,0.046,0.046,000,0.046
2015-12-24,0.046,0.054,0.046,0.046,518400,0.046
2015-12-23,0.045,0.045,0.044,0.044,155000,0.044
2015-12-22,0.045,0.045,0.044,0.045,37300,0.045
2015-12-21,0.048,0.048,0.048,0.048,000,0.048
2015-12-18,0.05,0.05,0.046,0.048,495600,0.048
2015-12-17,0.046,0.05,0.044,0.05,545100,0.05
2015-12-16,0.041,0.041,0.041,0.041,000,0.041
2015-12-15,0.041,0.041,0.041,0.041,000,0.041
2015-12-14,0.045,0.045,0.041,0.041,496000,0.041
2015-12-11,0.052,0.052,0.048,0.048,340900,0.048
2015-12-10,0.059,0.059,0.052,0.052,85900,0.052
2015-12-09,0.056,0.056,0.051,0.055,281000,0.055
2015-12-08,0.056,0.056,0.056,0.056,180000,0.056
2015-12-07,0.058,0.058,0.058,0.058,000,0.058
2015-12-04,0.067,0.067,0.058,0.058,53500,0.058
2015-12-03,0.069,0.069,0.063,0.063,595600,0.063
2015-12-02,0.06,0.068,0.06,0.068,1714600,0.068
2015-12-01,0.058,0.058,0.052,0.058,1349400,0.058
