Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,5.20,5.24,5.14,5.17,4398000,5.17
2016-06-30,5.11,5.18,5.09,5.16,9072100,5.16
2016-06-29,5.10,5.13,5.02,5.05,11354100,5.05
2016-06-28,5.08,5.095,5.00,5.03,12544500,5.03
2016-06-27,5.14,5.195,5.06,5.15,7343100,5.15
2016-06-24,5.40,5.44,5.11,5.16,12306900,5.16
2016-06-23,5.43,5.43,5.34,5.37,5132700,5.37
2016-06-22,5.43,5.475,5.40,5.44,4771800,5.44
2016-06-21,5.37,5.47,5.365,5.43,8336400,5.43
2016-06-20,5.31,5.40,5.30,5.40,6231000,5.40
2016-06-17,5.24,5.28,5.205,5.25,6070900,5.25
2016-06-16,5.20,5.285,5.19,5.21,10801400,5.21
2016-06-15,5.31,5.31,5.25,5.25,7031600,5.25
2016-06-14,5.35,5.36,5.285,5.30,8444900,5.30
2016-06-13,5.43,5.43,5.43,5.43,000,5.43
2016-06-10,5.43,5.46,5.40,5.43,4937300,5.43
2016-06-09,5.47,5.53,5.44,5.47,6416300,5.47
2016-06-08,5.45,5.50,5.42,5.47,7566700,5.47
2016-06-07,5.49,5.53,5.48,5.49,5670400,5.49
2016-06-06,5.52,5.555,5.49,5.52,5240000,5.52
2016-06-03,5.55,5.58,5.52,5.56,5096700,5.56
2016-06-02,5.66,5.67,5.52,5.54,6419600,5.54
2016-06-01,5.61,5.63,5.515,5.59,6376200,5.59
2016-05-31,5.70,5.70,5.625,5.64,14761800,5.64
2016-05-30,5.64,5.70,5.62,5.70,4995600,5.70
2016-05-27,5.61,5.68,5.605,5.65,4561200,5.65
2016-05-26,5.64,5.65,5.55,5.61,5414600,5.61
2016-05-25,5.60,5.69,5.59,5.63,9030900,5.63
2016-05-24,5.50,5.59,5.48,5.56,9915400,5.56
2016-05-23,5.57,5.57,5.48,5.49,5348800,5.49
2016-05-20,5.51,5.56,5.49,5.54,5657400,5.54
2016-05-19,5.54,5.545,5.46,5.49,8838700,5.49
2016-05-18,5.46,5.54,5.435,5.52,10878700,5.52
2016-05-17,5.54,5.555,5.445,5.47,10175500,5.47
2016-05-16,5.44,5.53,5.41,5.53,9711000,5.53
2016-05-13,5.50,5.51,5.38,5.46,15750800,5.46
2016-05-12,5.68,5.71,5.41,5.51,23459600,5.51
2016-05-11,5.85,5.91,5.79,5.82,9213000,5.82
2016-05-10,5.81,5.87,5.76,5.81,7205500,5.81
2016-05-09,5.82,5.87,5.795,5.87,4094700,5.87
2016-05-06,5.77,5.84,5.67,5.83,8727000,5.83
2016-05-05,5.83,5.87,5.775,5.83,6946000,5.83
2016-05-04,5.90,5.91,5.83,5.86,10217900,5.86
2016-05-03,5.85,5.95,5.81,5.92,13465600,5.92
2016-05-02,5.85,5.88,5.76,5.88,5478500,5.88
2016-04-29,5.87,5.91,5.82,5.88,8206700,5.88
2016-04-28,5.88,5.885,5.82,5.84,5755900,5.84
2016-04-27,5.85,5.90,5.80,5.82,5719500,5.82
2016-04-26,5.87,5.91,5.81,5.85,7297800,5.85
2016-04-25,5.85,5.85,5.85,5.85,000,5.85
2016-04-22,5.82,5.925,5.81,5.85,6513200,5.85
2016-04-21,5.88,5.895,5.82,5.85,7966000,5.85
2016-04-20,5.84,5.86,5.76,5.81,5035800,5.81
2016-04-19,5.83,5.86,5.79,5.81,6112800,5.81
2016-04-18,5.79,5.80,5.75,5.76,4414000,5.76
2016-04-15,5.70,5.79,5.69,5.79,5475600,5.79
2016-04-14,5.63,5.69,5.61,5.69,4044200,5.69
2016-04-13,5.52,5.62,5.50,5.58,6540200,5.58
2016-04-12,5.41,5.51,5.41,5.49,4063100,5.49
2016-04-11,5.50,5.50,5.41,5.44,5332200,5.44
2016-04-08,5.50,5.50,5.435,5.49,5557100,5.49
2016-04-07,5.55,5.56,5.48,5.55,8022600,5.55
2016-04-06,5.55,5.57,5.48,5.54,7786500,5.54
2016-04-05,5.61,5.61,5.525,5.57,9017900,5.57
2016-04-04,5.67,5.70,5.63,5.65,4304000,5.65
2016-04-01,5.75,5.76,5.62,5.64,7959300,5.64
2016-03-31,5.70,5.81,5.70,5.79,6400600,5.79
2016-03-30,5.79,5.80,5.67,5.69,13073700,5.69
2016-03-29,5.76,5.78,5.68,5.72,7205800,5.72
2016-03-28,5.77,5.77,5.77,5.77,000,5.77
2016-03-25,5.77,5.77,5.77,5.77,000,5.77
2016-03-24,5.80,5.84,5.74,5.77,16551100,5.77
2016-03-23,5.82,5.82,5.71,5.81,9869300,5.81
2016-03-22,5.80,5.85,5.77,5.81,4892700,5.81
2016-03-21,5.83,5.84,5.75,5.79,5413300,5.79
2016-03-18,5.82,5.89,5.79,5.82,12034800,5.82
2016-03-17,5.70,5.815,5.70,5.79,12574400,5.79
2016-03-16,5.63,5.67,5.60,5.67,6058100,5.67
2016-03-15,5.71,5.72,5.60,5.63,8820700,5.63
2016-03-14,5.72,5.79,5.695,5.73,8294300,5.73
2016-03-11,5.67,5.705,5.62,5.68,7401100,5.68
2016-03-10,5.66,5.675,5.63,5.66,6424800,5.66
2016-03-09,5.55,5.67,5.51,5.66,9074300,5.66
2016-03-08,5.57,5.63,5.48,5.54,11026800,5.54
2016-03-07,5.50,5.57,5.48,5.54,7442500,5.54
2016-03-04,5.49,5.50,5.43,5.47,5787700,5.47
2016-03-03,5.32,5.49,5.30,5.47,14995700,5.47
2016-03-02,5.25,5.35,5.23,5.28,16916600,5.28
2016-03-01,5.20,5.20,5.13,5.17,10070300,5.17
2016-02-29,5.36,5.385,5.31,5.32,9304100,5.126
2016-02-26,5.40,5.40,5.285,5.37,5494700,5.17418
2016-02-25,5.49,5.49,5.32,5.36,6779600,5.16454
2016-02-24,5.50,5.50,5.39,5.44,5953000,5.24162
2016-02-23,5.55,5.60,5.505,5.53,6124400,5.32834
2016-02-22,5.45,5.56,5.40,5.54,7502800,5.33798
2016-02-19,5.44,5.54,5.44,5.45,9820300,5.25126
