Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.084,0.084,0.083,0.083,267600,0.083
2016-06-30,0.085,0.085,0.084,0.084,165700,0.084
2016-06-29,0.085,0.085,0.084,0.084,153600,0.084
2016-06-28,0.086,0.0865,0.084,0.085,915200,0.085
2016-06-27,0.081,0.084,0.08,0.084,96500,0.084
2016-06-24,0.082,0.083,0.081,0.081,98500,0.081
2016-06-23,0.08,0.082,0.08,0.081,127600,0.081
2016-06-22,0.081,0.081,0.08,0.08,228500,0.08
2016-06-21,0.083,0.083,0.081,0.081,604200,0.081
2016-06-20,0.082,0.082,0.082,0.082,36500,0.082
2016-06-17,0.083,0.085,0.082,0.082,110900,0.082
2016-06-16,0.084,0.084,0.083,0.083,70200,0.083
2016-06-15,0.086,0.086,0.084,0.084,523700,0.084
2016-06-14,0.087,0.088,0.084,0.085,321300,0.085
2016-06-13,0.084,0.084,0.084,0.084,000,0.084
2016-06-10,0.09,0.092,0.084,0.084,199800,0.084
2016-06-09,0.09,0.091,0.088,0.089,617800,0.089
2016-06-08,0.091,0.092,0.09,0.092,91900,0.092
2016-06-07,0.10,0.10,0.09,0.09,626400,0.09
2016-06-06,0.105,0.105,0.097,0.105,591500,0.105
2016-06-03,0.09,0.10,0.09,0.10,408700,0.10
2016-06-02,0.112,0.115,0.105,0.11,1241500,0.11
2016-06-01,0.12,0.12,0.11,0.11,509600,0.11
2016-05-31,0.115,0.125,0.105,0.12,766300,0.12
2016-05-30,0.115,0.115,0.11,0.11,410600,0.11
2016-05-27,0.11,0.115,0.105,0.115,906400,0.115
2016-05-26,0.16,0.16,0.11,0.115,1413900,0.115
2016-05-25,0.16,0.16,0.16,0.16,000,0.16
2016-05-24,0.16,0.16,0.16,0.16,000,0.16
2016-05-23,0.15,0.16,0.15,0.16,9200,0.16
2016-05-20,0.15,0.15,0.15,0.15,46000,0.15
2016-05-19,0.18,0.18,0.15,0.15,145700,0.15
2016-05-18,0.15,0.185,0.15,0.18,779200,0.18
2016-05-17,0.13,0.13,0.13,0.13,19000,0.13
2016-05-16,0.125,0.125,0.12,0.125,201500,0.125
2016-05-13,0.13,0.13,0.12,0.125,109500,0.125
2016-05-12,0.13,0.13,0.125,0.125,78600,0.125
2016-05-11,0.125,0.13,0.125,0.125,179200,0.125
2016-05-10,0.13,0.13,0.125,0.125,30700,0.125
2016-05-09,0.135,0.135,0.13,0.13,73000,0.13
2016-05-06,0.135,0.14,0.135,0.135,19700,0.135
2016-05-05,0.135,0.14,0.135,0.135,9200,0.135
2016-05-04,0.14,0.145,0.14,0.14,59800,0.14
2016-05-03,0.14,0.142,0.14,0.14,9700,0.14
2016-05-02,0.125,0.15,0.125,0.14,356700,0.14
2016-04-29,0.125,0.13,0.12,0.12,132200,0.12
2016-04-28,0.12,0.12,0.115,0.12,313900,0.12
2016-04-27,0.13,0.135,0.13,0.13,101800,0.13
2016-04-26,0.13,0.15,0.13,0.13,65000,0.13
2016-04-25,0.135,0.135,0.135,0.135,000,0.135
