Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.023,0.023,0.023,0.023,000,0.023
2016-06-30,0.023,0.023,0.023,0.023,000,0.023
2016-06-29,0.024,0.024,0.023,0.023,400000,0.023
2016-06-28,0.022,0.022,0.022,0.022,954600,0.022
2016-06-27,0.022,0.022,0.021,0.021,1130700,0.021
2016-06-24,0.023,0.023,0.023,0.023,750000,0.023
2016-06-23,0.023,0.023,0.023,0.023,000,0.023
2016-06-22,0.023,0.023,0.023,0.023,000,0.023
2016-06-21,0.023,0.023,0.023,0.023,000,0.023
2016-06-20,0.023,0.023,0.023,0.023,000,0.023
2016-06-17,0.023,0.023,0.023,0.023,799800,0.023
2016-06-16,0.024,0.024,0.022,0.022,530200,0.022
2016-06-15,0.024,0.024,0.024,0.024,000,0.024
2016-06-14,0.025,0.026,0.024,0.024,112500,0.024
2016-06-13,0.024,0.024,0.024,0.024,000,0.024
2016-06-10,0.024,0.024,0.024,0.024,531100,0.024
2016-06-09,0.025,0.025,0.022,0.023,2950000,0.023
2016-06-08,0.025,0.025,0.025,0.025,750000,0.025
2016-06-07,0.026,0.026,0.026,0.026,000,0.026
2016-06-06,0.026,0.026,0.026,0.026,000,0.026
2016-06-03,0.026,0.026,0.026,0.026,24800,0.026
2016-06-02,0.026,0.027,0.026,0.026,235800,0.026
2016-06-01,0.027,0.027,0.027,0.027,24000,0.027
2016-05-31,0.026,0.026,0.026,0.026,150000,0.026
2016-05-30,0.027,0.027,0.026,0.026,1235000,0.026
2016-05-27,0.026,0.026,0.026,0.026,000,0.026
2016-05-26,0.026,0.026,0.026,0.026,000,0.026
2016-05-25,0.026,0.026,0.026,0.026,000,0.026
2016-05-24,0.026,0.026,0.026,0.026,25000,0.026
2016-05-23,0.029,0.029,0.026,0.026,250100,0.026
2016-05-20,0.027,0.027,0.027,0.027,600000,0.027
2016-05-19,0.026,0.026,0.026,0.026,1146200,0.026
2016-05-18,0.026,0.026,0.026,0.026,000,0.026
